frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.699758768081665,1039.596923828125,1175.8841552734375,2034.211669921875,2767.122802734375,0,0,1,0,0,0,0,0,0,1,0,1,0.06008816510438919,0.028725113719701767,0.24395522475242615,0.018730945885181427,0.009511574171483517,0.01735614240169525,0.008313552476465702,0.03640428185462952,0.10206899046897888,0.08397924900054932,0.008216455578804016,0.04116508737206459
1,0.03333333333333333,,,,insightface_bbox,0.699758768081665,1039.596923828125,1175.8841552734375,2034.211669921875,2767.122802734375,0,0,1,0,0,0,0,0,0,0,0,0,0.0477764792740345,0.027268502861261368,0.11651740223169327,0.017264459282159805,0.010166626423597336,0.016715368255972862,0.008537455461919308,0.03324168175458908,0.0864863321185112,0.06395106017589569,0.008716731332242489,0.037151988595724106
2,0.06666666666666667,,,,insightface_bbox,0.699758768081665,1039.596923828125,1175.8841552734375,2034.211669921875,2767.122802734375,0,0,0,0,0,0,0,0,0,0,0,0,0.04193953424692154,0.027519918978214264,0.07511334866285324,0.01614319160580635,0.008063851855695248,0.014536404050886631,0.008099651895463467,0.029917672276496887,0.08307021856307983,0.05862896144390106,0.007703411392867565,0.034378454089164734
3,0.1,,,,insightface_bbox,0.699758768081665,1039.596923828125,1175.8841552734375,2034.211669921875,2767.122802734375,0,0,0,0,0,0,0,0,0,0,0,0,0.04373853653669357,0.02882736176252365,0.07440599799156189,0.0168696828186512,0.008157627657055855,0.014800691045820713,0.008617589250206947,0.03087400272488594,0.08774371445178986,0.06186002492904663,0.007706305477768183,0.03565165773034096
4,0.13333333333333333,,,,insightface_bbox,0.699758768081665,1039.596923828125,1175.8841552734375,2034.211669921875,2767.122802734375,0,0,0,0,0,0,0,0,0,0,0,0,0.04385421425104141,0.02853209339082241,0.07427112758159637,0.016784902662038803,0.008092806674540043,0.014863965101540089,0.008855885826051235,0.03011789359152317,0.08562809973955154,0.060561951249837875,0.007701419293880463,0.03582138568162918
5,0.16666666666666666,,,,insightface_bbox,0.699758768081665,1039.596923828125,1175.8841552734375,2034.211669921875,2767.122802734375,0,0,0,0,0,0,0,0,0,0,0,0,0.04278948903083801,0.026963431388139725,0.07509049028158188,0.016052301973104477,0.007972835563123226,0.014562178403139114,0.008413106203079224,0.02936742454767227,0.08389852941036224,0.058069102466106415,0.007463386747986078,0.03563293069601059
6,0.2,,,,insightface_bbox,0.6271856427192688,1046.3646240234375,1117.89892578125,2043.9228515625,2761.953125,0,0,0,0,0,0,0,0,0,0,0,0,0.042013466358184814,0.027103012427687645,0.0731661319732666,0.016538428142666817,0.008415373973548412,0.015360673889517784,0.009694134816527367,0.03148428350687027,0.0808022990822792,0.05711282789707184,0.0073736244812607765,0.035749588161706924
7,0.23333333333333334,,,,insightface_bbox,0.6271856427192688,1046.3646240234375,1117.89892578125,2043.9228515625,2761.953125,0,0,0,0,0,0,0,0,0,0,0,0,0.044007785618305206,0.028870802372694016,0.07726380974054337,0.017314597964286804,0.008876179344952106,0.015743248164653778,0.010066650807857513,0.03207370266318321,0.08370424807071686,0.0566752552986145,0.008391040377318859,0.03764855116605759
8,0.26666666666666666,,,,insightface_bbox,0.6271856427192688,1046.3646240234375,1117.89892578125,2043.9228515625,2761.953125,0,0,0,0,0,0,0,0,0,0,0,0,0.045213483273983,0.02931857481598854,0.07925350964069366,0.017506251111626625,0.009117434732615948,0.01614789478480816,0.01030624657869339,0.03266710788011551,0.08418861031532288,0.0582674965262413,0.008340567350387573,0.038661807775497437
9,0.3,,,,insightface_bbox,0.6271856427192688,1046.3646240234375,1117.89892578125,2043.9228515625,2761.953125,0,0,0,0,0,0,0,0,0,0,0,0,0.04375282675027847,0.027964536100625992,0.0759497806429863,0.01707363687455654,0.008919675834476948,0.01574491709470749,0.010292762890458107,0.03134961798787117,0.08230122923851013,0.05627363920211792,0.0077551910653710365,0.037068840116262436
10,0.3333333333333333,,,,insightface_bbox,0.6271856427192688,1046.3646240234375,1117.89892578125,2043.9228515625,2761.953125,0,0,0,0,0,0,0,0,0,0,0,0,0.043141912668943405,0.026924267411231995,0.07269951701164246,0.016898024827241898,0.008714408613741398,0.01550981868058443,0.01123053953051567,0.03054564632475376,0.08373168110847473,0.058842357248067856,0.007163320668041706,0.036609284579753876
11,0.36666666666666664,,,,insightface_bbox,0.6271856427192688,1046.3646240234375,1117.89892578125,2043.9228515625,2761.953125,0,0,0,0,0,0,0,0,0,0,0,0,0.04261229932308197,0.026674801483750343,0.07272115349769592,0.017226090654730797,0.008606926538050175,0.015602000057697296,0.011652628891170025,0.03055739216506481,0.08239113539457321,0.058390725404024124,0.007403290830552578,0.037140507251024246
