frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.6917458772659302,0.0,693.59912109375,692.812744140625,2382.91259765625,1,0,1,0,0,0,0,0,0,1,0,0,0.06303490698337555,0.029904257506132126,0.682784378528595,0.025722971186041832,0.006246895529329777,0.0171173345297575,0.006322043482214212,0.03142347186803818,0.05933810770511627,0.04617387428879738,0.014273417182266712,0.034594058990478516
1,0.03333333333333333,,,,insightface_bbox,0.6917458772659302,0.0,693.59912109375,692.812744140625,2382.91259765625,0,0,1,0,0,0,0,0,0,1,0,0,0.04970186948776245,0.030222654342651367,0.7062786221504211,0.030430907383561134,0.007319957483559847,0.019815944135189056,0.007630642503499985,0.030879255384206772,0.06472282856702805,0.039727482944726944,0.03757881000638008,0.043001215904951096
2,0.06666666666666667,,,,insightface_bbox,0.6917458772659302,0.0,693.59912109375,692.812744140625,2382.91259765625,0,0,1,0,0,0,0,0,0,1,0,0,0.0578298456966877,0.036690853536129,0.5515187382698059,0.04129236564040184,0.010848148725926876,0.02621239237487316,0.012000356800854206,0.04561891406774521,0.08266286551952362,0.054513104259967804,0.05708868056535721,0.059930749237537384
3,0.1,,,,insightface_bbox,0.6917458772659302,0.0,693.59912109375,692.812744140625,2382.91259765625,0,0,1,0,0,0,0,0,0,0,0,0,0.05536338686943054,0.036308422684669495,0.5595206022262573,0.04279482737183571,0.010930486023426056,0.027408339083194733,0.013027334585785866,0.04693210497498512,0.08244501054286957,0.05594945698976517,0.0686226338148117,0.06740238517522812
4,0.13333333333333333,,,,insightface_bbox,0.6917458772659302,0.0,693.59912109375,692.812744140625,2382.91259765625,0,0,1,0,0,0,0,0,0,0,0,0,0.052580345422029495,0.034486331045627594,0.48145297169685364,0.039368126541376114,0.01091056503355503,0.02584260143339634,0.011890551075339317,0.04756172001361847,0.08213014155626297,0.057337578386068344,0.05536038428544998,0.06406691670417786
5,0.16666666666666666,,,,insightface_bbox,0.6917458772659302,0.0,693.59912109375,692.812744140625,2382.91259765625,0,0,1,0,0,0,0,0,0,0,0,0,0.055754050612449646,0.03690779581665993,0.495816171169281,0.04347094148397446,0.011797107756137848,0.028531143441796303,0.013909623958170414,0.04988124594092369,0.0841941311955452,0.05961531773209572,0.06448306888341904,0.06997139751911163
6,0.2,,,,insightface_bbox,0.7154572010040283,0.0,670.2739868164062,697.1066284179688,2389.6904296875,0,0,1,0,0,0,0,0,0,0,0,0,0.05451323464512825,0.03775601461529732,0.45772844552993774,0.04879743233323097,0.01425153948366642,0.03140117600560188,0.020537909120321274,0.05092605948448181,0.07447226345539093,0.05794508755207062,0.08225955069065094,0.08545354008674622
7,0.23333333333333334,,,,insightface_bbox,0.7154572010040283,0.0,670.2739868164062,697.1066284179688,2389.6904296875,0,0,1,0,0,0,0,0,0,0,0,0,0.054059214890003204,0.036852337419986725,0.41752034425735474,0.04813492298126221,0.015266867354512215,0.032271549105644226,0.022154727950692177,0.05366530269384384,0.07664649188518524,0.059467725455760956,0.08558481186628342,0.08595319092273712
8,0.26666666666666666,,,,insightface_bbox,0.7154572010040283,0.0,670.2739868164062,697.1066284179688,2389.6904296875,0,0,1,0,0,0,0,0,0,0,0,0,0.05373121052980423,0.03702015057206154,0.41875141859054565,0.04893411695957184,0.015161516144871712,0.03202851489186287,0.022355105727910995,0.054015930742025375,0.07651668041944504,0.05942106992006302,0.08459261059761047,0.08596617728471756
9,0.3,,,,insightface_bbox,0.7154572010040283,0.0,670.2739868164062,697.1066284179688,2389.6904296875,0,0,1,0,0,0,0,0,0,0,0,0,0.05250852182507515,0.03633973374962807,0.3987494111061096,0.04827322065830231,0.014559824019670486,0.030753400176763535,0.020983990281820297,0.052628591656684875,0.0753280445933342,0.05832332372665405,0.07912251353263855,0.08389893174171448
