frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7176855206489563,1033.00390625,820.4195556640625,1982.7137451171875,2453.3173828125,0,0,0,0,0,0,0,0,0,0,0,0,0.06018670275807381,0.02805906906723976,0.08467025309801102,0.025659088045358658,0.009680354036390781,0.02695966325700283,0.010470662266016006,0.043285951018333435,0.08009453117847443,0.07818040251731873,0.10108697414398193,0.10459218919277191
1,0.03333333333333333,,,,insightface_bbox,0.7176855206489563,1033.00390625,820.4195556640625,1982.7137451171875,2453.3173828125,0,0,0,0,0,0,0,0,0,0,0,0,0.05811126530170441,0.030823713168501854,0.07238385081291199,0.03415327146649361,0.011812230572104454,0.029591890051960945,0.015755997970700264,0.05240805447101593,0.08110828697681427,0.08977411687374115,0.0826028436422348,0.11743278801441193
2,0.06666666666666667,,,,insightface_bbox,0.7176855206489563,1033.00390625,820.4195556640625,1982.7137451171875,2453.3173828125,0,0,0,0,0,0,0,0,0,0,0,0,0.04583693668246269,0.02726801112294197,0.0445440337061882,0.03164074197411537,0.010622162371873856,0.025091150775551796,0.013688484206795692,0.046605709940195084,0.07657106220722198,0.08498146384954453,0.07383162528276443,0.12801533937454224
3,0.1,,,,insightface_bbox,0.7176855206489563,1033.00390625,820.4195556640625,1982.7137451171875,2453.3173828125,0,0,0,0,0,0,0,0,0,0,0,0,0.04526060074567795,0.027584971860051155,0.04285244643688202,0.031318970024585724,0.010641532950103283,0.024636726826429367,0.013412069529294968,0.04488285630941391,0.07213804125785828,0.08012953400611877,0.07998348772525787,0.13752703368663788
4,0.13333333333333333,,,,insightface_bbox,0.7176855206489563,1033.00390625,820.4195556640625,1982.7137451171875,2453.3173828125,0,0,0,0,0,0,0,0,0,0,0,0,0.04582991823554039,0.028515107929706573,0.04307922348380089,0.031126869842410088,0.010728036053478718,0.025261107832193375,0.013681416399776936,0.044442906975746155,0.06961482763290405,0.07588119059801102,0.08865690976381302,0.1424957662820816
5,0.16666666666666666,,,,insightface_bbox,0.7176855206489563,1033.00390625,820.4195556640625,1982.7137451171875,2453.3173828125,0,0,0,0,0,0,0,0,0,0,0,0,0.043057236820459366,0.02636057883501053,0.039991676807403564,0.028596149757504463,0.009978809393942356,0.023967234417796135,0.012773137539625168,0.042969170957803726,0.06953331083059311,0.0745229572057724,0.08232288062572479,0.13767194747924805
6,0.2,,,,insightface_bbox,0.6856693029403687,1028.5908203125,773.097412109375,1981.576416015625,2460.9287109375,0,0,0,0,0,0,0,0,0,0,0,0,0.04255909100174904,0.02787504531443119,0.034763261675834656,0.02923961542546749,0.010919096879661083,0.02396261692047119,0.014442972838878632,0.04620540887117386,0.06924685835838318,0.07735618203878403,0.07441648095846176,0.12878654897212982
7,0.23333333333333334,,,,insightface_bbox,0.6856693029403687,1028.5908203125,773.097412109375,1981.576416015625,2460.9287109375,0,0,0,0,0,0,0,0,0,0,0,0,0.04417465999722481,0.029618076980113983,0.03903666138648987,0.03161397948861122,0.010887406766414642,0.024759022518992424,0.013917854055762291,0.04425348341464996,0.0715850219130516,0.07577844709157944,0.07927411794662476,0.13154210150241852
8,0.26666666666666666,,,,insightface_bbox,0.6856693029403687,1028.5908203125,773.097412109375,1981.576416015625,2460.9287109375,0,0,0,0,0,0,0,0,0,0,0,0,0.044697355479002,0.030601153150200844,0.0386415459215641,0.0338866226375103,0.01131780818104744,0.025876004248857498,0.015132957138121128,0.04700189828872681,0.07410109788179398,0.07950147986412048,0.08569405227899551,0.13738948106765747
9,0.3,,,,insightface_bbox,0.6856693029403687,1028.5908203125,773.097412109375,1981.576416015625,2460.9287109375,0,0,0,0,0,0,0,0,0,0,0,0,0.044674381613731384,0.030272426083683968,0.03758155182003975,0.03389359265565872,0.011355848982930183,0.025679484009742737,0.015132354572415352,0.04760073497891426,0.07534505426883698,0.0816655084490776,0.08241528272628784,0.13575392961502075
10,0.3333333333333333,,,,insightface_bbox,0.6856693029403687,1028.5908203125,773.097412109375,1981.576416015625,2460.9287109375,0,0,0,0,0,0,0,0,0,0,0,0,0.045044105499982834,0.03027338720858097,0.03785119205713272,0.03341515362262726,0.011550815775990486,0.025828473269939423,0.015379729680716991,0.04694380611181259,0.07502572238445282,0.08134077489376068,0.08439425379037857,0.1393020749092102
11,0.36666666666666664,,,,insightface_bbox,0.6856693029403687,1028.5908203125,773.097412109375,1981.576416015625,2460.9287109375,0,0,0,0,0,0,0,0,0,0,0,0,0.04641030356287956,0.03137920796871185,0.03901251405477524,0.0349184051156044,0.011827023699879646,0.02693203277885914,0.015604307875037193,0.048566777259111404,0.07524897158145905,0.08070838451385498,0.0876225084066391,0.1420702189207077
12,0.4,,,,insightface_bbox,0.6723030209541321,1021.6469116210938,757.286865234375,1979.037353515625,2469.392822265625,0,0,0,0,0,0,0,0,0,0,0,0,0.04520948976278305,0.03103053942322731,0.04013192281126976,0.03362375125288963,0.010865149088203907,0.02535153366625309,0.014735274016857147,0.04512663930654526,0.07155612856149673,0.07467177510261536,0.07579211890697479,0.12861250340938568
13,0.43333333333333335,,,,insightface_bbox,0.6723030209541321,1021.6469116210938,757.286865234375,1979.037353515625,2469.392822265625,0,0,0,0,0,0,0,0,0,0,0,0,0.04515886679291725,0.031399644911289215,0.037834033370018005,0.03324248269200325,0.011470416560769081,0.02527744509279728,0.015179662965238094,0.043974824249744415,0.0734698623418808,0.07628626376390457,0.07449370622634888,0.12781062722206116
14,0.4666666666666667,,,,insightface_bbox,0.6723030209541321,1021.6469116210938,757.286865234375,1979.037353515625,2469.392822265625,0,0,0,0,0,0,0,0,0,0,0,0,0.04654960334300995,0.03324415162205696,0.03792881220579147,0.036629755049943924,0.012030507437884808,0.02648073248565197,0.016200339421629906,0.045854851603507996,0.07502858340740204,0.07723016291856766,0.07454172521829605,0.12760092318058014
15,0.5,,,,insightface_bbox,0.6723030209541321,1021.6469116210938,757.286865234375,1979.037353515625,2469.392822265625,0,0,0,0,0,0,0,0,0,0,0,0,0.04678835719823837,0.03372985124588013,0.03892805054783821,0.03752641752362251,0.012125441804528236,0.026781044900417328,0.016393490135669708,0.04589609429240227,0.07460428774356842,0.07681801170110703,0.07436982542276382,0.13133372366428375
16,0.5333333333333333,,,,insightface_bbox,0.6723030209541321,1021.6469116210938,757.286865234375,1979.037353515625,2469.392822265625,0,0,0,0,0,0,0,0,0,0,0,0,0.04803283140063286,0.03470553457736969,0.040291525423526764,0.03896840661764145,0.012469414621591568,0.027678631246089935,0.01707412116229534,0.04727788642048836,0.07677716016769409,0.0779494121670723,0.07627423107624054,0.13284215331077576
17,0.5666666666666667,,,,insightface_bbox,0.6723030209541321,1021.6469116210938,757.286865234375,1979.037353515625,2469.392822265625,0,0,0,0,0,0,0,0,0,0,0,0,0.05290990322828293,0.0388847216963768,0.043738313019275665,0.045505207031965256,0.013312378898262978,0.029821638017892838,0.018045131117105484,0.050620511174201965,0.07996401935815811,0.08103929460048676,0.08520589023828506,0.14892709255218506
18,0.6,,,,insightface_bbox,0.6844483017921448,1052.1646728515625,799.4359130859375,1994.6976318359375,2472.798583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.05388883873820305,0.03603491559624672,0.050654567778110504,0.046408768743276596,0.01033355388790369,0.02766636200249195,0.014234873466193676,0.048339828848838806,0.08172616362571716,0.08786843717098236,0.08179392665624619,0.15097644925117493
19,0.6333333333333333,,,,insightface_bbox,0.6844483017921448,1052.1646728515625,799.4359130859375,1994.6976318359375,2472.798583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.05436036363244057,0.0376405343413353,0.04911075532436371,0.051387663930654526,0.011151022277772427,0.02896295115351677,0.014817560091614723,0.049716487526893616,0.08480753004550934,0.08961047232151031,0.08559207618236542,0.15263909101486206
20,0.6666666666666666,,,,insightface_bbox,0.6844483017921448,1052.1646728515625,799.4359130859375,1994.6976318359375,2472.798583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.05595560371875763,0.0382775217294693,0.0480118989944458,0.052459366619586945,0.011299870908260345,0.028457622975111008,0.01540475431829691,0.05065760761499405,0.08728502690792084,0.09099066257476807,0.083282470703125,0.15648482739925385
21,0.7,,,,insightface_bbox,0.6844483017921448,1052.1646728515625,799.4359130859375,1994.6976318359375,2472.798583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.05621148645877838,0.038989417254924774,0.04781474173069,0.05434372276067734,0.011467481032013893,0.02873975783586502,0.014944956637918949,0.051147885620594025,0.08726364374160767,0.08903862535953522,0.0821848139166832,0.15488168597221375
22,0.7333333333333333,,,,insightface_bbox,0.6844483017921448,1052.1646728515625,799.4359130859375,1994.6976318359375,2472.798583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.052533648908138275,0.03628314658999443,0.044004328548908234,0.04811806604266167,0.011254264973104,0.02717047557234764,0.014781021513044834,0.048772260546684265,0.08359324932098389,0.08493693172931671,0.07738378643989563,0.14685913920402527
23,0.7666666666666667,,,,insightface_bbox,0.6844483017921448,1052.1646728515625,799.4359130859375,1994.6976318359375,2472.798583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.04964933171868324,0.03404521942138672,0.04147797450423241,0.04244306683540344,0.011004465632140636,0.026117410510778427,0.014516562223434448,0.04656039550900459,0.07771886140108109,0.08013975620269775,0.07565580308437347,0.14116919040679932
24,0.8,,,,insightface_bbox,0.6854521036148071,1047.26318359375,788.2705078125,1982.8426513671875,2472.0439453125,0,0,0,0,0,0,0,0,0,0,0,0,0.049312006682157516,0.0321323499083519,0.046601392328739166,0.03785455971956253,0.009946677833795547,0.02594030648469925,0.012863397598266602,0.04533298313617706,0.07380638271570206,0.07867169380187988,0.0758986845612526,0.14132633805274963
25,0.8333333333333334,,,,insightface_bbox,0.6854521036148071,1047.26318359375,788.2705078125,1982.8426513671875,2472.0439453125,0,0,0,0,0,0,0,0,0,0,0,0,0.04901144281029701,0.03146287798881531,0.04614953696727753,0.03511783853173256,0.009928613901138306,0.02560346946120262,0.01199354324489832,0.04149298369884491,0.0713610127568245,0.07394649088382721,0.07499609887599945,0.13481897115707397
26,0.8666666666666667,,,,insightface_bbox,0.6854521036148071,1047.26318359375,788.2705078125,1982.8426513671875,2472.0439453125,0,0,0,0,0,0,0,0,0,0,0,0,0.047866370528936386,0.030661385506391525,0.04574572294950485,0.033653225749731064,0.009754486382007599,0.025010447949171066,0.012006169185042381,0.040472764521837234,0.07005228102207184,0.07285904884338379,0.07305102050304413,0.13207672536373138
27,0.9,,,,insightface_bbox,0.6854521036148071,1047.26318359375,788.2705078125,1982.8426513671875,2472.0439453125,0,0,0,0,0,0,0,0,0,0,0,0,0.048245619982481,0.030800439417362213,0.04611246660351753,0.03462531045079231,0.009978964924812317,0.025604914873838425,0.012374993413686752,0.041354354470968246,0.0712624043226242,0.07369484007358551,0.07495743781328201,0.13195478916168213
28,0.9333333333333333,,,,insightface_bbox,0.6854521036148071,1047.26318359375,788.2705078125,1982.8426513671875,2472.0439453125,0,0,0,0,0,0,0,0,0,0,0,0,0.0489068403840065,0.031357698142528534,0.046773262321949005,0.03521433472633362,0.010068788193166256,0.025848057121038437,0.01245562732219696,0.04131558910012245,0.07097817957401276,0.0736822783946991,0.07752951979637146,0.13635632395744324
29,0.9666666666666667,,,,insightface_bbox,0.6854521036148071,1047.26318359375,788.2705078125,1982.8426513671875,2472.0439453125,0,0,0,0,0,0,0,0,0,0,0,0,0.049022991210222244,0.03146558254957199,0.04724234715104103,0.035675786435604095,0.010110968723893166,0.025984112173318863,0.012570667080581188,0.042237717658281326,0.07262156158685684,0.07413602620363235,0.07724574208259583,0.1378684788942337
30,1.0,,,,insightface_bbox,0.7197408676147461,1043.33447265625,811.896484375,1981.2401123046875,2466.516845703125,0,0,0,0,0,0,0,0,0,0,0,0,0.04820319265127182,0.031442612409591675,0.041960038244724274,0.0358678475022316,0.010699737817049026,0.02615164965391159,0.01399992872029543,0.04464919865131378,0.07602931559085846,0.07818692922592163,0.07680200040340424,0.135080024600029
31,1.0333333333333334,,,,insightface_bbox,0.7197408676147461,1043.33447265625,811.896484375,1981.2401123046875,2466.516845703125,0,0,0,0,0,0,0,0,0,0,0,0,0.05098043382167816,0.0340672992169857,0.04620560258626938,0.04106081649661064,0.01109823677688837,0.027673644945025444,0.014641127549111843,0.048005759716033936,0.07899685204029083,0.08244574815034866,0.07976110279560089,0.14407429099082947
32,1.0666666666666667,,,,insightface_bbox,0.7197408676147461,1043.33447265625,811.896484375,1981.2401123046875,2466.516845703125,0,0,0,0,0,0,0,0,0,0,0,0,0.04860056936740875,0.032073523849248886,0.04603379964828491,0.03633490204811096,0.010644875466823578,0.02688531205058098,0.013571422547101974,0.04408532753586769,0.07446756958961487,0.0775807797908783,0.0824384018778801,0.1395041048526764
33,1.1,,,,insightface_bbox,0.7197408676147461,1043.33447265625,811.896484375,1981.2401123046875,2466.516845703125,0,0,0,0,0,0,0,0,0,0,0,0,0.04744879901409149,0.031325813382864,0.04480491578578949,0.035050563514232635,0.010445630177855492,0.026278208941221237,0.013194200582802296,0.04301323741674423,0.07351495325565338,0.07688715308904648,0.08058077096939087,0.13892576098442078
34,1.1333333333333333,,,,insightface_bbox,0.7197408676147461,1043.33447265625,811.896484375,1981.2401123046875,2466.516845703125,0,0,0,0,0,0,0,0,0,0,0,0,0.04666080325841904,0.030428670346736908,0.04400942474603653,0.03425736725330353,0.010181868448853493,0.025845153257250786,0.013019567355513573,0.04233896732330322,0.07415594160556793,0.07623390108346939,0.07668205350637436,0.13187238574028015
35,1.1666666666666667,,,,insightface_bbox,0.7197408676147461,1043.33447265625,811.896484375,1981.2401123046875,2466.516845703125,0,0,0,0,0,0,0,0,0,0,0,0,0.04559376835823059,0.029409928247332573,0.043290961533784866,0.031935885548591614,0.00910847820341587,0.024435734376311302,0.01191642228513956,0.040587395429611206,0.07294873893260956,0.07422683387994766,0.07219766080379486,0.12151660025119781
36,1.2,,,,insightface_bbox,0.7158578634262085,1035.818115234375,807.9826049804688,1987.8944091796875,2510.79296875,0,0,0,0,0,0,0,0,0,0,0,0,0.05493595451116562,0.042223162949085236,0.04175730422139168,0.05465845763683319,0.013489166274666786,0.03185197338461876,0.020183753222227097,0.05519956722855568,0.09083814918994904,0.09157779812812805,0.07954154908657074,0.14651046693325043
37,1.2333333333333334,,,,insightface_bbox,0.7158578634262085,1035.818115234375,807.9826049804688,1987.8944091796875,2510.79296875,0,0,0,0,0,0,0,0,0,0,0,0,0.05600414425134659,0.04312015697360039,0.04278428852558136,0.05492139607667923,0.012656393460929394,0.031253665685653687,0.018453774973750114,0.05417972430586815,0.08710775524377823,0.09032240509986877,0.08320194482803345,0.15036287903785706
38,1.2666666666666666,,,,insightface_bbox,0.7158578634262085,1035.818115234375,807.9826049804688,1987.8944091796875,2510.79296875,0,0,0,0,0,0,0,0,0,0,0,0,0.05678407475352287,0.04344656318426132,0.04345111548900604,0.055495068430900574,0.012301030568778515,0.03100290521979332,0.01752883940935135,0.053637951612472534,0.086021788418293,0.08991076052188873,0.08438772708177567,0.14896568655967712
39,1.3,,,,insightface_bbox,0.7158578634262085,1035.818115234375,807.9826049804688,1987.8944091796875,2510.79296875,0,0,0,0,0,0,0,0,0,0,0,0,0.05776029825210571,0.04427310451865196,0.044323600828647614,0.05665042996406555,0.01260051503777504,0.03160278871655464,0.017711037769913673,0.05410977452993393,0.08657962828874588,0.09027792513370514,0.08496027439832687,0.14980453252792358
40,1.3333333333333333,,,,insightface_bbox,0.7158578634262085,1035.818115234375,807.9826049804688,1987.8944091796875,2510.79296875,0,0,0,0,0,0,0,0,0,0,0,0,0.05512189492583275,0.04262380301952362,0.04258812963962555,0.05358860269188881,0.012332966551184654,0.03002687357366085,0.01711721159517765,0.05262208729982376,0.0844574123620987,0.08730583637952805,0.07865232229232788,0.14477837085723877
41,1.3666666666666667,,,,insightface_bbox,0.7158578634262085,1035.818115234375,807.9826049804688,1987.8944091796875,2510.79296875,0,0,0,0,0,0,0,0,0,0,0,0,0.05516219884157181,0.042209193110466,0.04242775961756706,0.05256052687764168,0.012498961761593819,0.02953212521970272,0.016876228153705597,0.05228924751281738,0.08359082043170929,0.08528441190719604,0.07616312801837921,0.1433885395526886
42,1.4,,,,insightface_bbox,0.6917300820350647,1036.6097412109375,802.6978149414062,2005.099365234375,2484.587646484375,0,0,0,0,0,0,0,0,0,0,0,0,0.06696534901857376,0.04838678240776062,0.04613105207681656,0.052183158695697784,0.011029400862753391,0.029601052403450012,0.01650683954358101,0.05463812127709389,0.08461993932723999,0.0821269154548645,0.07376429438591003,0.1420561522245407
43,1.4333333333333333,,,,insightface_bbox,0.6917300820350647,1036.6097412109375,802.6978149414062,2005.099365234375,2484.587646484375,0,0,0,0,0,0,0,0,0,0,0,0,0.06328684091567993,0.04579935222864151,0.04491213709115982,0.048141609877347946,0.010645842179656029,0.028867067769169807,0.0158850084990263,0.050405822694301605,0.0799160823225975,0.07767385244369507,0.07611851394176483,0.14233757555484772
