frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7037126421928406,1044.2830810546875,1160.835693359375,2061.904296875,2730.4072265625,0,0,0,0,0,0,0,0,0,1,0,0,0.04211611673235893,0.02109260857105255,0.07659371197223663,0.01534498855471611,0.008334239944815636,0.014568211510777473,0.009008938446640968,0.029678069055080414,0.10122792422771454,0.06707128137350082,0.0046106968075037,0.028673451393842697
1,0.03333333333333333,,,,insightface_bbox,0.7037126421928406,1044.2830810546875,1160.835693359375,2061.904296875,2730.4072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.04139270260930061,0.0257688220590353,0.041929278522729874,0.016573766246438026,0.009460601955652237,0.015575707890093327,0.011405493132770061,0.02850928157567978,0.08830580115318298,0.06109461933374405,0.007146300747990608,0.03220234811306
2,0.06666666666666667,,,,insightface_bbox,0.7037126421928406,1044.2830810546875,1160.835693359375,2061.904296875,2730.4072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.03910232335329056,0.026527319103479385,0.03453192487359047,0.01563599519431591,0.008571567945182323,0.014236869290471077,0.01128713134676218,0.025707311928272247,0.08030153065919876,0.058380939066410065,0.007436768617480993,0.03335634618997574
3,0.1,,,,insightface_bbox,0.7037126421928406,1044.2830810546875,1160.835693359375,2061.904296875,2730.4072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.03893134742975235,0.02806222066283226,0.0334644615650177,0.01591275818645954,0.008423916064202785,0.01407262310385704,0.01099773496389389,0.024435941129922867,0.07662367820739746,0.05801600217819214,0.008319787681102753,0.03463327884674072
4,0.13333333333333333,,,,insightface_bbox,0.7037126421928406,1044.2830810546875,1160.835693359375,2061.904296875,2730.4072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.038626011461019516,0.02857712283730507,0.03123806044459343,0.015787288546562195,0.008146974258124828,0.013658060692250729,0.010931255295872688,0.023781711235642433,0.07674331963062286,0.05912376940250397,0.008091524243354797,0.03551235795021057
5,0.16666666666666666,,,,insightface_bbox,0.7037126421928406,1044.2830810546875,1160.835693359375,2061.904296875,2730.4072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.035817623138427734,0.026518214493989944,0.030368763953447342,0.015350059606134892,0.007905712351202965,0.013325865380465984,0.011415752582252026,0.02270551770925522,0.07207242399454117,0.05538545176386833,0.00850202888250351,0.03631926700472832
6,0.2,,,,insightface_bbox,0.6688501238822937,1039.9132080078125,972.9017944335938,2054.320556640625,2713.24560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.03280586004257202,0.02402516081929207,0.025388991460204124,0.014735330827534199,0.007500448729842901,0.012917371466755867,0.011013317853212357,0.0242820605635643,0.06623616814613342,0.05421461537480354,0.008556955493986607,0.03449423983693123
7,0.23333333333333334,,,,insightface_bbox,0.6688501238822937,1039.9132080078125,972.9017944335938,2054.320556640625,2713.24560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.030151445418596268,0.02111205644905567,0.02463890053331852,0.013523945584893227,0.007082117721438408,0.011804214678704739,0.010550417006015778,0.02278519794344902,0.06727387011051178,0.05076994001865387,0.006948274560272694,0.031660519540309906
8,0.26666666666666666,,,,insightface_bbox,0.6688501238822937,1039.9132080078125,972.9017944335938,2054.320556640625,2713.24560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.0300922691822052,0.02151167206466198,0.02474752441048622,0.013598754070699215,0.006945853121578693,0.011778103187680244,0.01044912077486515,0.022047458216547966,0.06562112271785736,0.04917868971824646,0.007127412594854832,0.031788863241672516
9,0.3,,,,insightface_bbox,0.6688501238822937,1039.9132080078125,972.9017944335938,2054.320556640625,2713.24560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.029911842197179794,0.021270014345645905,0.02442421205341816,0.013645109720528126,0.006956528872251511,0.01169782504439354,0.010453760623931885,0.022176383063197136,0.06635825335979462,0.05009844899177551,0.007224278058856726,0.031753577291965485
