frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7460466623306274,1094.96630859375,1243.446533203125,2064.0,2682.108642578125,0,0,1,0,0,0,0,0,0,1,0,0,0.04179171472787857,0.02248804271221161,0.11964738368988037,0.015379357151687145,0.007287601940333843,0.013918840326368809,0.00655654352158308,0.03135854750871658,0.09527138620615005,0.0626835972070694,0.004772085230797529,0.02796485833823681
1,0.03333333333333333,,,,insightface_bbox,0.7460466623306274,1094.96630859375,1243.446533203125,2064.0,2682.108642578125,0,0,0,0,0,0,0,0,0,1,0,0,0.042195700109004974,0.025583133101463318,0.07546000182628632,0.016473084688186646,0.008462853729724884,0.015398786403238773,0.007598963100463152,0.03402312099933624,0.10228715091943741,0.06837579607963562,0.006745263002812862,0.031673919409513474
2,0.06666666666666667,,,,insightface_bbox,0.7460466623306274,1094.96630859375,1243.446533203125,2064.0,2682.108642578125,0,0,0,0,0,0,0,0,0,0,0,0,0.03444022685289383,0.022695185616612434,0.0477844700217247,0.014833858236670494,0.0071131461299955845,0.012935742735862732,0.006833728868514299,0.028563737869262695,0.0794701874256134,0.05674484372138977,0.008077248930931091,0.032148491591215134
3,0.1,,,,insightface_bbox,0.7460466623306274,1094.96630859375,1243.446533203125,2064.0,2682.108642578125,0,0,0,0,0,0,0,0,0,1,0,0,0.03598183020949364,0.02433379366993904,0.05039073899388313,0.015827035531401634,0.007102498784661293,0.013849947601556778,0.007102441042661667,0.02998913638293743,0.08274462074041367,0.05924154072999954,0.009200286120176315,0.03247922286391258
4,0.13333333333333333,,,,insightface_bbox,0.7460466623306274,1094.96630859375,1243.446533203125,2064.0,2682.108642578125,0,0,0,0,0,0,0,0,0,1,0,0,0.0371270477771759,0.026247017085552216,0.055491480976343155,0.016378646716475487,0.007084421813488007,0.013855434954166412,0.0072747184894979,0.03075588122010231,0.08591655641794205,0.061500366777181625,0.00846773013472557,0.03252658620476723
5,0.16666666666666666,,,,insightface_bbox,0.7460466623306274,1094.96630859375,1243.446533203125,2064.0,2682.108642578125,0,0,0,0,0,0,0,0,0,1,0,0,0.04219067096710205,0.029419297352433205,0.0668208971619606,0.01724759303033352,0.007315590977668762,0.014473473653197289,0.00776263140141964,0.033396705985069275,0.09791073203086853,0.06885635852813721,0.008218103088438511,0.034743532538414
6,0.2,,,,insightface_bbox,0.6707437038421631,1092.7320556640625,969.035888671875,2064.0,2718.2060546875,0,0,0,0,0,0,0,0,0,1,0,0,0.0390012226998806,0.025320306420326233,0.04897598177194595,0.017377374693751335,0.007087839767336845,0.013797641731798649,0.00852978602051735,0.0360504575073719,0.09093079715967178,0.06811827421188354,0.00685179652646184,0.035067278891801834
7,0.23333333333333334,,,,insightface_bbox,0.6707437038421631,1092.7320556640625,969.035888671875,2064.0,2718.2060546875,0,0,0,0,0,0,0,0,0,1,0,0,0.03837646543979645,0.02369706518948078,0.04899328202009201,0.016515793278813362,0.0068491739220917225,0.013330746442079544,0.00834636203944683,0.03333165869116783,0.09393970668315887,0.06656204164028168,0.0065548415295779705,0.033065829426050186
8,0.26666666666666666,,,,insightface_bbox,0.6707437038421631,1092.7320556640625,969.035888671875,2064.0,2718.2060546875,0,0,0,0,0,0,0,0,0,1,0,0,0.04043523967266083,0.025215940549969673,0.057338956743478775,0.01806943491101265,0.007350437343120575,0.01496800035238266,0.008718934841454029,0.03869421407580376,0.10078316926956177,0.07380741834640503,0.00766922440379858,0.03599473088979721
9,0.3,,,,insightface_bbox,0.6707437038421631,1092.7320556640625,969.035888671875,2064.0,2718.2060546875,0,0,0,0,0,0,0,0,0,1,0,0,0.0421774722635746,0.025953082367777824,0.0630597174167633,0.017922746017575264,0.007710265927016735,0.015300825238227844,0.008666904643177986,0.0379636250436306,0.1012866273522377,0.07322166860103607,0.008706584572792053,0.037282586097717285
