frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.822242259979248,381.67340087890625,1076.3421630859375,1744.7003173828125,2818.8115234375,0,0,0,0,0,0,0,0,0,0,0,0,0.0294382032006979,0.023215994238853455,0.025530176237225533,0.0198427252471447,0.014782849699258804,0.018732912838459015,0.011625713668763638,0.025219088420271873,0.04614129662513733,0.04114101082086563,0.007794101256877184,0.023634880781173706
1,41.666666666666664,,,,insightface_bbox,0.822242259979248,381.67340087890625,1076.3421630859375,1744.7003173828125,2818.8115234375,0,0,0,0,0,0,0,0,0,0,0,0,0.029214436188340187,0.02268218621611595,0.025327350944280624,0.019541623070836067,0.014901060611009598,0.018503490835428238,0.01176767610013485,0.02448522485792637,0.046244628727436066,0.04122612625360489,0.007683159783482552,0.023022659122943878
2,83.33333333333333,,,,insightface_bbox,0.822242259979248,381.67340087890625,1076.3421630859375,1744.7003173828125,2818.8115234375,0,0,0,0,0,0,0,0,0,0,0,0,0.028754502534866333,0.022296275943517685,0.025387389585375786,0.019185978919267654,0.01477312482893467,0.018414471298456192,0.011504404246807098,0.024485887959599495,0.04610111564397812,0.04131367430090904,0.007628691848367453,0.022626163437962532
3,125.0,,,,insightface_bbox,0.822242259979248,381.67340087890625,1076.3421630859375,1744.7003173828125,2818.8115234375,0,0,0,0,0,0,0,0,0,0,0,0,0.028599796816706657,0.022203993052244186,0.025515414774417877,0.019293664023280144,0.015006046742200851,0.018502023071050644,0.011784929782152176,0.024537798017263412,0.047054193913936615,0.04193033277988434,0.0076436130329966545,0.02260456047952175
4,166.66666666666666,,,,insightface_bbox,0.822242259979248,381.67340087890625,1076.3421630859375,1744.7003173828125,2818.8115234375,0,0,0,0,0,0,0,0,0,0,0,0,0.028596380725502968,0.022256579250097275,0.025626717135310173,0.019324498251080513,0.015207651071250439,0.01852228492498398,0.011957795359194279,0.02443939819931984,0.0470467247068882,0.0420357808470726,0.007728667929768562,0.022539032623171806
5,208.33333333333334,,,,insightface_bbox,0.822242259979248,381.67340087890625,1076.3421630859375,1744.7003173828125,2818.8115234375,0,0,0,0,0,0,0,0,0,0,0,0,0.029402613639831543,0.022654414176940918,0.02624359354376793,0.0196341834962368,0.015685560181736946,0.01889151893556118,0.012354591861367226,0.024579057469964027,0.04798721522092819,0.04281816631555557,0.008040035143494606,0.0229030828922987
6,250.0,,,,insightface_bbox,0.8217177391052246,381.2048034667969,1055.2115478515625,1740.9891357421875,2814.085693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.0293054711073637,0.022274600341916084,0.025370243936777115,0.018967952579259872,0.015426106750965118,0.018223023042082787,0.012044163420796394,0.023761166259646416,0.048249512910842896,0.041426774114370346,0.008455806411802769,0.022696444764733315
7,291.6666666666667,,,,insightface_bbox,0.8217177391052246,381.2048034667969,1055.2115478515625,1740.9891357421875,2814.085693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.029470201581716537,0.02222878858447075,0.025349238887429237,0.018810931593179703,0.015626901760697365,0.01839527115225792,0.012135285884141922,0.02370746061205864,0.048585355281829834,0.04200674965977669,0.00864659808576107,0.022656114771962166
8,333.3333333333333,,,,insightface_bbox,0.8217177391052246,381.2048034667969,1055.2115478515625,1740.9891357421875,2814.085693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02947172522544861,0.022138012573122978,0.02527206391096115,0.018883220851421356,0.01565166562795639,0.01871950738132,0.01237716618925333,0.023743480443954468,0.048664022237062454,0.04279555752873421,0.008957168087363243,0.022948941215872765
9,375.0,,,,insightface_bbox,0.8217177391052246,381.2048034667969,1055.2115478515625,1740.9891357421875,2814.085693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.030357053503394127,0.02252720110118389,0.02672136202454567,0.01925373077392578,0.01697421818971634,0.019909203052520752,0.013317318633198738,0.024281833320856094,0.05043502897024155,0.04461292177438736,0.009716466069221497,0.023573916405439377
