frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8341002464294434,195.7136993408203,526.452880859375,865.2485961914062,1395.98583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.030635066330432892,0.02172352932393551,0.02535385824739933,0.016437506303191185,0.018093213438987732,0.015996236354112625,0.01113386731594801,0.021224839612841606,0.055288851261138916,0.04341593012213707,0.009121622890233994,0.02127167023718357
1,41.666666666666664,,,,insightface_bbox,0.8341002464294434,195.7136993408203,526.452880859375,865.2485961914062,1395.98583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03196941688656807,0.022633520886301994,0.02685927227139473,0.016885211691260338,0.01873074099421501,0.016657469794154167,0.011459813453257084,0.021630721166729927,0.05712006613612175,0.043941088020801544,0.009809302166104317,0.02195853553712368
2,83.33333333333333,,,,insightface_bbox,0.8341002464294434,195.7136993408203,526.452880859375,865.2485961914062,1395.98583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03191398084163666,0.022597212344408035,0.025569699704647064,0.01702578365802765,0.019185634329915047,0.016608167439699173,0.011768728494644165,0.021845322102308273,0.057595476508140564,0.04438464343547821,0.01007841806858778,0.022589825093746185
3,125.0,,,,insightface_bbox,0.8341002464294434,195.7136993408203,526.452880859375,865.2485961914062,1395.98583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03162256255745888,0.022188862785696983,0.02568047121167183,0.01667901687324047,0.0184866301715374,0.016368327662348747,0.011096157133579254,0.021621685475111008,0.056815240532159805,0.04414784163236618,0.009163245558738708,0.021945985034108162
4,166.66666666666666,,,,insightface_bbox,0.8341002464294434,195.7136993408203,526.452880859375,865.2485961914062,1395.98583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.0295298732817173,0.021449696272611618,0.024366436526179314,0.016403598710894585,0.017580699175596237,0.0156843364238739,0.011013810522854328,0.021376077085733414,0.05639754608273506,0.04360757768154144,0.009194266982376575,0.02140907756984234
5,208.33333333333334,,,,insightface_bbox,0.8341002464294434,195.7136993408203,526.452880859375,865.2485961914062,1395.98583984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03129913657903671,0.022158661857247353,0.024319343268871307,0.01671547070145607,0.018186334520578384,0.01613456942141056,0.01177453063428402,0.02149391919374466,0.05698873847723007,0.04399266466498375,0.009924705140292645,0.021720416843891144
6,250.0,,,,insightface_bbox,0.8328018188476562,198.80123901367188,539.4629516601562,864.7547607421875,1398.587158203125,0,0,0,0,0,1,0,0,0,0,0,0,0.03565987944602966,0.02463824860751629,0.026511484757065773,0.019514761865139008,0.021481145173311234,0.019064554944634438,0.017225852236151695,0.024145571514964104,0.060460127890110016,0.05059722065925598,0.015119913965463638,0.02711999975144863
7,291.6666666666667,,,,insightface_bbox,0.8328018188476562,198.80123901367188,539.4629516601562,864.7547607421875,1398.587158203125,0,0,0,0,0,1,0,0,0,0,0,0,0.036659032106399536,0.024989845231175423,0.02624356932938099,0.019647330045700073,0.02101820334792137,0.01925225742161274,0.016682006418704987,0.024304818361997604,0.060850828886032104,0.05155517905950546,0.014274746179580688,0.026570891961455345
8,333.3333333333333,,,,insightface_bbox,0.8328018188476562,198.80123901367188,539.4629516601562,864.7547607421875,1398.587158203125,0,0,0,0,0,1,0,0,0,0,0,0,0.038534317165613174,0.026788804680109024,0.029323259368538857,0.020913098007440567,0.022765209898352623,0.02048856019973755,0.01853124424815178,0.025485172867774963,0.06188994646072388,0.051805153489112854,0.014317897148430347,0.02815774641931057
9,375.0,,,,insightface_bbox,0.8328018188476562,198.80123901367188,539.4629516601562,864.7547607421875,1398.587158203125,0,0,0,0,0,1,0,0,0,0,0,0,0.04099614545702934,0.02966366708278656,0.03212040662765503,0.02317904494702816,0.025460384786128998,0.021977409720420837,0.025784142315387726,0.027675770223140717,0.06758914142847061,0.058814890682697296,0.019154727458953857,0.030207259580492973
10,416.6666666666667,,,,insightface_bbox,0.8328018188476562,198.80123901367188,539.4629516601562,864.7547607421875,1398.587158203125,0,0,0,0,0,1,0,0,0,0,0,0,0.03746483847498894,0.026073427870869637,0.027973607182502747,0.020651720464229584,0.02249261364340782,0.0199839286506176,0.018628427758812904,0.025488242506980896,0.06229131668806076,0.052664484828710556,0.015310504473745823,0.0278962142765522
11,458.3333333333333,,,,insightface_bbox,0.8328018188476562,198.80123901367188,539.4629516601562,864.7547607421875,1398.587158203125,0,0,0,0,0,1,0,0,0,0,0,0,0.03606587275862694,0.025932222604751587,0.026223793625831604,0.020714372396469116,0.02330981008708477,0.019606629386544228,0.020340610295534134,0.02530943974852562,0.06116574630141258,0.053106918931007385,0.013089935295283794,0.02702055498957634
12,500.0,,,,insightface_bbox,0.838972806930542,202.54495239257812,536.8906860351562,869.3252563476562,1398.1373291015625,0,0,0,0,0,1,0,0,0,0,0,0,0.037719156593084335,0.027139775454998016,0.029191819950938225,0.02136022038757801,0.02346120961010456,0.01942378655076027,0.021634366363286972,0.024687863886356354,0.06237846240401268,0.05236222967505455,0.014883637428283691,0.027406468987464905
13,541.6666666666666,,,,insightface_bbox,0.838972806930542,202.54495239257812,536.8906860351562,869.3252563476562,1398.1373291015625,0,0,0,0,0,1,0,0,0,0,0,0,0.03848537057638168,0.027030281722545624,0.0279221273958683,0.020969806239008904,0.02344018593430519,0.020003117620944977,0.019210994243621826,0.024809541180729866,0.060599565505981445,0.051917530596256256,0.015805091708898544,0.02816661261022091
14,583.3333333333334,,,,insightface_bbox,0.838972806930542,202.54495239257812,536.8906860351562,869.3252563476562,1398.1373291015625,0,0,0,0,0,1,0,0,0,0,0,0,0.035983894020318985,0.025379804894328117,0.026635469868779182,0.019874636083841324,0.021589679643511772,0.018474766984581947,0.016759419813752174,0.023494502529501915,0.057402968406677246,0.047795508056879044,0.014419383369386196,0.026862751692533493
15,625.0,,,,insightface_bbox,0.838972806930542,202.54495239257812,536.8906860351562,869.3252563476562,1398.1373291015625,0,0,0,0,0,1,0,0,0,0,0,0,0.034551914781332016,0.025291025638580322,0.02579941414296627,0.019781865179538727,0.021230697631835938,0.017802847549319267,0.018186161294579506,0.02315799705684185,0.05739934369921684,0.0485382080078125,0.012744331732392311,0.02550756186246872
