frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8295046091079712,263.1390380859375,954.9060668945312,1925.7681884765625,3188.8623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.028466518968343735,0.019808482378721237,0.02204812876880169,0.02076089195907116,0.00874674879014492,0.017632927745580673,0.008293483406305313,0.023625493049621582,0.04146779328584671,0.03466222062706947,0.00654090940952301,0.02197886072099209
1,41.666666666666664,,,,insightface_bbox,0.8295046091079712,263.1390380859375,954.9060668945312,1925.7681884765625,3188.8623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.02801288664340973,0.019375380128622055,0.020097561180591583,0.020127763971686363,0.008749721571803093,0.016058996319770813,0.008501814678311348,0.02303694561123848,0.042428143322467804,0.03483830392360687,0.006041721440851688,0.021570725366473198
2,83.33333333333333,,,,insightface_bbox,0.8295046091079712,263.1390380859375,954.9060668945312,1925.7681884765625,3188.8623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.028319891542196274,0.01949368789792061,0.02023112215101719,0.02032315358519554,0.008937887847423553,0.015935685485601425,0.008680740371346474,0.023020898923277855,0.04221988841891289,0.034569721668958664,0.005989398341625929,0.021695774048566818
3,125.0,,,,insightface_bbox,0.8295046091079712,263.1390380859375,954.9060668945312,1925.7681884765625,3188.8623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.027726277709007263,0.018833277747035027,0.018865235149860382,0.019661258906126022,0.009124289266765118,0.01532895676791668,0.008929046802222729,0.02245141565799713,0.04229821264743805,0.034774720668792725,0.006106262095272541,0.021167531609535217
4,166.66666666666666,,,,insightface_bbox,0.8295046091079712,263.1390380859375,954.9060668945312,1925.7681884765625,3188.8623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.028104446828365326,0.01880587637424469,0.018800972029566765,0.019555293023586273,0.009249448776245117,0.015223434194922447,0.008815535344183445,0.022181350737810135,0.04278647154569626,0.033662695437669754,0.006496930029243231,0.021464895457029343
5,208.33333333333334,,,,insightface_bbox,0.8295046091079712,263.1390380859375,954.9060668945312,1925.7681884765625,3188.8623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.02815977670252323,0.018719132989645004,0.01809210330247879,0.019160497933626175,0.009433665312826633,0.014942717738449574,0.009190285578370094,0.021613547578454018,0.044053588062524796,0.03422297164797783,0.0064058625139296055,0.021229909732937813
6,250.0,,,,insightface_bbox,0.8303320407867432,252.10336303710938,950.998046875,1925.7608642578125,3190.622314453125,0,0,0,0,0,0,0,0,0,0,0,0,0.02998768910765648,0.019786007702350616,0.019082801416516304,0.018574770539999008,0.009039593860507011,0.014309573918581009,0.00832152646034956,0.019224010407924652,0.042423710227012634,0.030314046889543533,0.006512023974210024,0.021634582430124283
7,291.6666666666667,,,,insightface_bbox,0.8303320407867432,252.10336303710938,950.998046875,1925.7608642578125,3190.622314453125,0,0,0,0,0,0,0,0,0,0,0,0,0.029202837496995926,0.019236626103520393,0.018618067726492882,0.018239766359329224,0.009008793160319328,0.01425443310290575,0.008339748717844486,0.01894163340330124,0.042742419987916946,0.03050408512353897,0.006494584959000349,0.02140582539141178
8,333.3333333333333,,,,insightface_bbox,0.8303320407867432,252.10336303710938,950.998046875,1925.7608642578125,3190.622314453125,0,0,0,0,0,0,0,0,0,0,0,0,0.028853630647063255,0.018827909603714943,0.018140848726034164,0.01702202297747135,0.009028255939483643,0.013918629847466946,0.008346648886799812,0.018193630501627922,0.04339703172445297,0.0300598107278347,0.00641063554212451,0.02094462141394615
9,375.0,,,,insightface_bbox,0.8303320407867432,252.10336303710938,950.998046875,1925.7608642578125,3190.622314453125,0,0,0,0,0,0,0,0,0,0,0,0,0.027747493237257004,0.01821431703865528,0.018365032970905304,0.016172412782907486,0.00930260494351387,0.013502194546163082,0.008626079186797142,0.0172415841370821,0.045098286122083664,0.02928018569946289,0.00561155378818512,0.019582383334636688
