frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7632187604904175,164.79849243164062,398.064697265625,931.98046875,1428.8643798828125,0,0,1,1,1,1,0,1,1,1,1,1,0.06710044294595718,0.048255644738674164,0.1969285011291504,0.04344826564192772,0.11676747351884842,0.05813876539468765,0.09786561131477356,0.04106726124882698,0.37000831961631775,0.1517389416694641,0.020702697336673737,0.04480220377445221
1,41.666666666666664,,,,insightface_bbox,0.7632187604904175,164.79849243164062,398.064697265625,931.98046875,1428.8643798828125,0,0,1,0,1,1,0,1,1,1,1,1,0.06921570748090744,0.04857251048088074,0.19816434383392334,0.04174694046378136,0.10327369719743729,0.05371317267417908,0.08907954394817352,0.03900664299726486,0.344132661819458,0.15092580020427704,0.018605228513479233,0.045276857912540436
2,83.33333333333333,,,,insightface_bbox,0.7632187604904175,164.79849243164062,398.064697265625,931.98046875,1428.8643798828125,0,0,1,0,1,1,0,1,1,1,1,1,0.06931836903095245,0.04897170141339302,0.22113224864006042,0.042919233441352844,0.10638558119535446,0.05713997036218643,0.09500131011009216,0.03996249660849571,0.37040436267852783,0.15217885375022888,0.01759624294936657,0.04506217688322067
3,125.0,,,,insightface_bbox,0.7632187604904175,164.79849243164062,398.064697265625,931.98046875,1428.8643798828125,0,0,1,1,1,1,0,1,1,1,1,1,0.07121606171131134,0.05092185363173485,0.21659889817237854,0.044090788811445236,0.11805570870637894,0.05897160619497299,0.09685591608285904,0.041446760296821594,0.37623971700668335,0.15300166606903076,0.019125597551465034,0.04560260474681854
4,166.66666666666666,,,,insightface_bbox,0.7632187604904175,164.79849243164062,398.064697265625,931.98046875,1428.8643798828125,0,0,1,1,1,1,0,1,1,1,1,1,0.0775192528963089,0.0575144998729229,0.24260415136814117,0.05141429975628853,0.17006036639213562,0.07255900651216507,0.135490283370018,0.047631409019231796,0.4535606801509857,0.16479001939296722,0.022670550271868706,0.04920507222414017
5,208.33333333333334,,,,insightface_bbox,0.7632187604904175,164.79849243164062,398.064697265625,931.98046875,1428.8643798828125,0,0,1,1,1,1,0,1,1,1,1,1,0.08288682997226715,0.06504330784082413,0.2581135034561157,0.05793356895446777,0.23799437284469604,0.07602795213460922,0.15377536416053772,0.05804456025362015,0.5317118167877197,0.18650956451892853,0.024498626589775085,0.05671427398920059
6,250.0,,,,insightface_bbox,0.756371259689331,168.69309997558594,391.5919189453125,932.3707275390625,1425.6793212890625,0,0,1,1,1,1,0,1,1,1,1,1,0.07369055598974228,0.05430152639746666,0.21544423699378967,0.053807586431503296,0.199735626578331,0.07306282967329025,0.16412517428398132,0.05099997669458389,0.38344308733940125,0.1647273302078247,0.02887129597365856,0.05053931474685669
7,291.6666666666667,,,,insightface_bbox,0.756371259689331,168.69309997558594,391.5919189453125,932.3707275390625,1425.6793212890625,0,0,1,1,1,1,0,1,1,1,1,1,0.07628887891769409,0.05640004202723503,0.22220225632190704,0.05489930883049965,0.21879085898399353,0.0762098878622055,0.17280833423137665,0.052234772592782974,0.3908996284008026,0.16990283131599426,0.03072527050971985,0.052650921046733856
8,333.3333333333333,,,,insightface_bbox,0.756371259689331,168.69309997558594,391.5919189453125,932.3707275390625,1425.6793212890625,0,0,1,1,1,1,0,1,1,1,1,1,0.07920810580253601,0.060420528054237366,0.2982487380504608,0.056289803236722946,0.21745143830776215,0.0827755481004715,0.13078969717025757,0.05698658525943756,0.6166835427284241,0.17803385853767395,0.025420038029551506,0.05174187570810318
9,375.0,,,,insightface_bbox,0.756371259689331,168.69309997558594,391.5919189453125,932.3707275390625,1425.6793212890625,0,0,1,1,1,1,0,1,1,1,1,1,0.09288955479860306,0.06724871695041656,0.4115915596485138,0.05842084437608719,0.22644373774528503,0.0908534824848175,0.11927672475576401,0.060763031244277954,0.6894234418869019,0.18804261088371277,0.027937714010477066,0.05806313455104828
10,416.6666666666667,,,,insightface_bbox,0.756371259689331,168.69309997558594,391.5919189453125,932.3707275390625,1425.6793212890625,0,0,1,1,1,1,0,1,1,1,1,1,0.08967998623847961,0.06279242038726807,0.5171128511428833,0.05583202466368675,0.18863838911056519,0.09501796960830688,0.10055381059646606,0.0604720413684845,0.7661772966384888,0.1812615990638733,0.026439541950821877,0.055444274097681046
11,458.3333333333333,,,,insightface_bbox,0.756371259689331,168.69309997558594,391.5919189453125,932.3707275390625,1425.6793212890625,0,0,1,1,1,1,0,1,1,1,1,1,0.08251997828483582,0.05895232409238815,0.5521745681762695,0.05363579839468002,0.17209163308143616,0.09229209274053574,0.09230240434408188,0.06018032133579254,0.7956589460372925,0.18243283033370972,0.024970753118395805,0.05393461883068085
12,500.0,,,,insightface_bbox,0.777652382850647,167.72763061523438,397.0686950683594,933.6295166015625,1420.4364013671875,0,0,1,1,1,1,0,1,1,1,1,1,0.08270233124494553,0.053188856691122055,0.8794284462928772,0.048510096967220306,0.13418494164943695,0.12814830243587494,0.07436354458332062,0.05689875781536102,0.8091212511062622,0.1551540046930313,0.021797604858875275,0.04952128604054451
