frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8128558397293091,375.14080810546875,1056.8580322265625,1737.1827392578125,2853.70947265625,0,0,0,0,0,0,0,0,0,0,0,0,0.026773743331432343,0.021838799118995667,0.022983714938163757,0.017449593171477318,0.015206580050289631,0.015718422830104828,0.01218013372272253,0.021958939731121063,0.04204681143164635,0.03328048437833786,0.007856489159166813,0.021078191697597504
1,41.666666666666664,,,,insightface_bbox,0.8128558397293091,375.14080810546875,1056.8580322265625,1737.1827392578125,2853.70947265625,0,0,0,0,0,0,0,0,0,0,0,0,0.02770603820681572,0.022236397489905357,0.023627623915672302,0.01788763701915741,0.01672539673745632,0.01611587591469288,0.012930987402796745,0.022295482456684113,0.04418593645095825,0.035549063235521317,0.008047112263739109,0.02114393748342991
2,83.33333333333333,,,,insightface_bbox,0.8128558397293091,375.14080810546875,1056.8580322265625,1737.1827392578125,2853.70947265625,0,0,0,0,0,0,0,0,0,0,0,0,0.028304588049650192,0.022494003176689148,0.02305077202618122,0.018288299441337585,0.018101898953318596,0.01615128666162491,0.013823246583342552,0.0223002377897501,0.045443497598171234,0.037156667560338974,0.008134599775075912,0.021724438294768333
3,125.0,,,,insightface_bbox,0.8128558397293091,375.14080810546875,1056.8580322265625,1737.1827392578125,2853.70947265625,0,0,0,0,0,0,0,0,0,0,0,0,0.02853512391448021,0.022647112607955933,0.024217979982495308,0.018706955015659332,0.019779618829488754,0.01679176278412342,0.014791088178753853,0.02290947549045086,0.046988893300294876,0.03923759609460831,0.008475327864289284,0.02175932750105858
4,166.66666666666666,,,,insightface_bbox,0.8128558397293091,375.14080810546875,1056.8580322265625,1737.1827392578125,2853.70947265625,0,0,0,0,0,0,0,0,0,0,0,0,0.03066921792924404,0.024334153160452843,0.026318876072764397,0.020160194486379623,0.021831221878528595,0.01820579543709755,0.017016975209116936,0.023849964141845703,0.048974040895700455,0.0422278568148613,0.009502597153186798,0.023445559665560722
5,208.33333333333334,,,,insightface_bbox,0.8128558397293091,375.14080810546875,1056.8580322265625,1737.1827392578125,2853.70947265625,0,0,0,0,0,0,0,0,0,0,0,0,0.03152657300233841,0.025181405246257782,0.026490721851587296,0.020886778831481934,0.02267528511583805,0.018642928451299667,0.018187260255217552,0.023961253464221954,0.04893936589360237,0.04282757639884949,0.010029678232967854,0.02463485673069954
6,250.0,,,,insightface_bbox,0.8228871822357178,380.703369140625,1043.992919921875,1741.392333984375,2867.116943359375,0,0,0,0,0,0,0,0,0,0,0,0,0.03211307153105736,0.025579771026968956,0.026028955355286598,0.021487347781658173,0.022775258868932724,0.01906229928135872,0.019568094983696938,0.02438381128013134,0.04860451817512512,0.044292718172073364,0.011388586834073067,0.02622813731431961
7,291.6666666666667,,,,insightface_bbox,0.8228871822357178,380.703369140625,1043.992919921875,1741.392333984375,2867.116943359375,0,0,0,0,0,0,0,0,0,0,0,0,0.031174665316939354,0.02467760629951954,0.025657417252659798,0.021470030769705772,0.022972524166107178,0.018883759155869484,0.020117636770009995,0.024270853027701378,0.04808006435632706,0.04422866180539131,0.01150939054787159,0.025772880762815475
8,333.3333333333333,,,,insightface_bbox,0.8228871822357178,380.703369140625,1043.992919921875,1741.392333984375,2867.116943359375,0,0,0,0,0,0,0,0,0,0,0,0,0.027307625859975815,0.023896096274256706,0.023379845544695854,0.02073492854833603,0.019431564956903458,0.018396371975541115,0.01575280725955963,0.023737000301480293,0.04818614572286606,0.044056981801986694,0.01669256202876568,0.028273120522499084
9,375.0,,,,insightface_bbox,0.8228871822357178,380.703369140625,1043.992919921875,1741.392333984375,2867.116943359375,0,0,0,0,0,1,0,0,0,0,0,0,0.02885185182094574,0.02789020724594593,0.03039546124637127,0.026405567303299904,0.02392067015171051,0.024272430688142776,0.027730338275432587,0.027962565422058105,0.04955824092030525,0.04945140704512596,0.05039309710264206,0.038494404405355453
10,416.6666666666667,,,,insightface_bbox,0.8228871822357178,380.703369140625,1043.992919921875,1741.392333984375,2867.116943359375,0,0,0,0,0,1,0,0,0,0,0,0,0.029825624078512192,0.028410911560058594,0.034125443547964096,0.027405429631471634,0.025559598580002785,0.02486456371843815,0.031175628304481506,0.02769145928323269,0.0512823760509491,0.04904692992568016,0.04171120375394821,0.03551999479532242
11,458.3333333333333,,,,insightface_bbox,0.8228871822357178,380.703369140625,1043.992919921875,1741.392333984375,2867.116943359375,0,0,0,0,0,1,0,0,0,0,0,0,0.030538294464349747,0.02924560010433197,0.036119114607572556,0.028404489159584045,0.026901086792349815,0.025822199881076813,0.033990394324064255,0.028199942782521248,0.051761165261268616,0.05012829601764679,0.044194962829351425,0.03625291585922241
