frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8281425833702087,381.732421875,1066.4208984375,1739.640380859375,2812.083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.02886921539902687,0.023145833984017372,0.026798157021403313,0.019747188314795494,0.014787741005420685,0.017725886777043343,0.012762426398694515,0.025071408599615097,0.04773674160242081,0.03950542211532593,0.007242897525429726,0.021865887567400932
1,41.666666666666664,,,,insightface_bbox,0.8281425833702087,381.732421875,1066.4208984375,1739.640380859375,2812.083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.029587319120764732,0.02321530133485794,0.02652003988623619,0.020003022626042366,0.014839195646345615,0.017707299441099167,0.01242103986442089,0.025214925408363342,0.047800857573747635,0.040138304233551025,0.007174797356128693,0.022203002125024796
2,83.33333333333333,,,,insightface_bbox,0.8281425833702087,381.732421875,1066.4208984375,1739.640380859375,2812.083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.029421096667647362,0.02284083515405655,0.02630006894469261,0.019792191684246063,0.014923266135156155,0.017509903758764267,0.012382088229060173,0.02476613223552704,0.04756643995642662,0.03954889625310898,0.007181893102824688,0.021886957809329033
3,125.0,,,,insightface_bbox,0.8281425833702087,381.732421875,1066.4208984375,1739.640380859375,2812.083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.02922944352030754,0.022496286779642105,0.026205454021692276,0.019646992906928062,0.015177901834249496,0.017404455691576004,0.012379857711493969,0.024697378277778625,0.04773605987429619,0.04013202339410782,0.007075265981256962,0.02146937884390354
4,166.66666666666666,,,,insightface_bbox,0.8281425833702087,381.732421875,1066.4208984375,1739.640380859375,2812.083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.02906482294201851,0.02211509272456169,0.0257490873336792,0.019307423382997513,0.015072246082127094,0.017356766387820244,0.011981677263975143,0.024655180051922798,0.04780878126621246,0.04044985771179199,0.00719386525452137,0.021289819851517677
5,208.33333333333334,,,,insightface_bbox,0.8281425833702087,381.732421875,1066.4208984375,1739.640380859375,2812.083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.02896818518638611,0.021830515936017036,0.025517385452985764,0.019210565835237503,0.0155339315533638,0.017202990129590034,0.012183808721601963,0.024569999426603317,0.048510462045669556,0.04155094176530838,0.007101004011929035,0.021213917061686516
6,250.0,,,,insightface_bbox,0.8292301893234253,379.9291076660156,1065.274658203125,1743.447998046875,2814.74072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.030718687921762466,0.02302311733365059,0.028866847977042198,0.019721535965800285,0.015258479863405228,0.018804723396897316,0.012276416644454002,0.025896020233631134,0.05110776051878929,0.045116424560546875,0.007881875149905682,0.022694140672683716
7,291.6666666666667,,,,insightface_bbox,0.8292301893234253,379.9291076660156,1065.274658203125,1743.447998046875,2814.74072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.030948404222726822,0.02308937907218933,0.029322272166609764,0.020070817321538925,0.0158692579716444,0.018947618082165718,0.012509495951235294,0.026120653375983238,0.05154218524694443,0.04568379744887352,0.00785304419696331,0.022703127935528755
8,333.3333333333333,,,,insightface_bbox,0.8292301893234253,379.9291076660156,1065.274658203125,1743.447998046875,2814.74072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.031488414853811264,0.023396871984004974,0.029966220259666443,0.020446036010980606,0.016562413424253464,0.019054558128118515,0.013291087001562119,0.025995394214987755,0.05152284726500511,0.04567363113164902,0.007860945537686348,0.022642727941274643
9,375.0,,,,insightface_bbox,0.8292301893234253,379.9291076660156,1065.274658203125,1743.447998046875,2814.74072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.0315360426902771,0.023493578657507896,0.03080086037516594,0.020538194105029106,0.0170585997402668,0.019463034346699715,0.013846002519130707,0.025809399783611298,0.052286554127931595,0.046086329966783524,0.0076162004843354225,0.02272864803671837
10,416.6666666666667,,,,insightface_bbox,0.8292301893234253,379.9291076660156,1065.274658203125,1743.447998046875,2814.74072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.03181435540318489,0.02368934452533722,0.03346872329711914,0.02064327709376812,0.017032209783792496,0.0209108404815197,0.01267195213586092,0.026384521275758743,0.052233342081308365,0.044982247054576874,0.00872176606208086,0.02409350499510765
11,458.3333333333333,,,,insightface_bbox,0.8292301893234253,379.9291076660156,1065.274658203125,1743.447998046875,2814.74072265625,0,0,0,0,0,0,0,0,0,0,0,0,0.030722634866833687,0.023335732519626617,0.031158851459622383,0.020526442676782608,0.016704685986042023,0.02046472579240799,0.012892723083496094,0.025532888248562813,0.0517578199505806,0.0452892892062664,0.007793262600898743,0.023312587291002274
