frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8235197067260742,388.2752380371094,1063.5673828125,1728.0732421875,2796.5224609375,0,0,0,0,0,0,0,0,0,0,0,0,0.036376308649778366,0.029909532517194748,0.028056420385837555,0.02146882936358452,0.016491100192070007,0.020103661343455315,0.013661816716194153,0.02659933641552925,0.048625268042087555,0.035272032022476196,0.009634586051106453,0.030369427055120468
1,41.666666666666664,,,,insightface_bbox,0.8235197067260742,388.2752380371094,1063.5673828125,1728.0732421875,2796.5224609375,0,0,0,0,0,0,0,0,0,0,0,0,0.03389352560043335,0.027503715828061104,0.025841154158115387,0.020413409918546677,0.01620163396000862,0.018457993865013123,0.013106238096952438,0.02531282603740692,0.04614201933145523,0.0346360020339489,0.009314109571278095,0.028390605002641678
2,83.33333333333333,,,,insightface_bbox,0.8235197067260742,388.2752380371094,1063.5673828125,1728.0732421875,2796.5224609375,0,0,0,0,0,0,0,0,0,0,0,0,0.03356543183326721,0.027134472504258156,0.025770753622055054,0.0202533770352602,0.016279850155115128,0.01848641037940979,0.012964493595063686,0.025340327993035316,0.04602845385670662,0.034829266369342804,0.009320104494690895,0.02807820588350296
3,125.0,,,,insightface_bbox,0.8235197067260742,388.2752380371094,1063.5673828125,1728.0732421875,2796.5224609375,0,0,0,0,0,0,0,0,0,0,0,0,0.03258482366800308,0.026075618341565132,0.025997094810009003,0.019886625930666924,0.016675980761647224,0.018067914992570877,0.013111998327076435,0.024969853460788727,0.04597724229097366,0.035868123173713684,0.00923600047826767,0.02732883021235466
4,166.66666666666666,,,,insightface_bbox,0.8235197067260742,388.2752380371094,1063.5673828125,1728.0732421875,2796.5224609375,0,0,0,0,0,0,0,0,0,0,0,0,0.032256051898002625,0.025969313457608223,0.02600080519914627,0.019591566175222397,0.01644299179315567,0.01789584942162037,0.012736726552248001,0.024909209460020065,0.046683553606271744,0.03604970872402191,0.008926578797399998,0.027080722153186798
5,208.33333333333334,,,,insightface_bbox,0.8235197067260742,388.2752380371094,1063.5673828125,1728.0732421875,2796.5224609375,0,0,0,0,0,0,0,0,0,0,0,0,0.032072216272354126,0.02557394653558731,0.025739073753356934,0.01945587247610092,0.016948722302913666,0.01767202466726303,0.01314597949385643,0.02434750646352768,0.047053322196006775,0.03733488544821739,0.009216823615133762,0.026650773361325264
6,250.0,,,,insightface_bbox,0.8321850299835205,391.95538330078125,1070.3590087890625,1725.88623046875,2801.07861328125,0,0,0,0,0,0,0,0,0,0,0,0,0.036890484392642975,0.02909976989030838,0.02850194275379181,0.022566931322216988,0.01971001736819744,0.020997583866119385,0.018159154802560806,0.026911411434412003,0.05213450267910957,0.04237337410449982,0.013216463848948479,0.03178673982620239
7,291.6666666666667,,,,insightface_bbox,0.8321850299835205,391.95538330078125,1070.3590087890625,1725.88623046875,2801.07861328125,0,0,0,0,0,0,0,0,0,0,0,0,0.03740993142127991,0.029489265754818916,0.028732676059007645,0.02286934293806553,0.020094510167837143,0.021323172375559807,0.018488053232431412,0.02707741968333721,0.052178334444761276,0.04268040880560875,0.013493040576577187,0.032178375869989395
8,333.3333333333333,,,,insightface_bbox,0.8321850299835205,391.95538330078125,1070.3590087890625,1725.88623046875,2801.07861328125,0,0,0,0,0,0,0,0,0,0,0,0,0.03560737892985344,0.02767021954059601,0.028402723371982574,0.021981270983815193,0.01949659362435341,0.020803090184926987,0.017195919528603554,0.026960376650094986,0.05258458852767944,0.044306181371212006,0.013296492397785187,0.030878834426403046
9,375.0,,,,insightface_bbox,0.8321850299835205,391.95538330078125,1070.3590087890625,1725.88623046875,2801.07861328125,0,0,0,0,0,0,0,0,0,0,0,0,0.03491929918527603,0.027246758341789246,0.027970055118203163,0.021894600242376328,0.01971152424812317,0.020468126982450485,0.017570259049534798,0.026667414233088493,0.053406067192554474,0.04515219107270241,0.013475855812430382,0.030641237273812294
10,416.6666666666667,,,,insightface_bbox,0.8321850299835205,391.95538330078125,1070.3590087890625,1725.88623046875,2801.07861328125,0,0,0,0,0,0,0,0,0,0,0,0,0.03458750247955322,0.026929069310426712,0.027429327368736267,0.021597614511847496,0.01952582225203514,0.020262738689780235,0.017024602741003036,0.02626122534275055,0.05235666781663895,0.0442076176404953,0.013556638732552528,0.030410923063755035
11,458.3333333333333,,,,insightface_bbox,0.8321850299835205,391.95538330078125,1070.3590087890625,1725.88623046875,2801.07861328125,0,0,0,0,0,0,0,0,0,0,0,0,0.034873414784669876,0.02734380215406418,0.02775644138455391,0.021799921989440918,0.020052295178174973,0.020525790750980377,0.01728226989507675,0.026374375447630882,0.05281193554401398,0.044520676136016846,0.01374308206140995,0.030532564967870712
12,500.0,,,,insightface_bbox,0.8292814493179321,394.6201171875,1063.6170654296875,1724.0731201171875,2803.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03210403397679329,0.02497764676809311,0.02614041417837143,0.020405994728207588,0.01706782728433609,0.019034193828701973,0.015058273449540138,0.026216864585876465,0.05206087604165077,0.043540164828300476,0.012712856754660606,0.029078107327222824
13,541.6666666666666,,,,insightface_bbox,0.8292814493179321,394.6201171875,1063.6170654296875,1724.0731201171875,2803.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.032123908400535583,0.025088805705308914,0.026305021718144417,0.020710673183202744,0.018235262483358383,0.019199324771761894,0.01606491021811962,0.02605939470231533,0.052714306861162186,0.044508807361125946,0.013142259791493416,0.029182299971580505
14,583.3333333333334,,,,insightface_bbox,0.8292814493179321,394.6201171875,1063.6170654296875,1724.0731201171875,2803.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03371661156415939,0.026226481422781944,0.02728281170129776,0.021467136219143867,0.01909375563263893,0.019852446392178535,0.017333945259451866,0.026436395943164825,0.05347408354282379,0.04550718516111374,0.012924440205097198,0.029989324510097504
15,625.0,,,,insightface_bbox,0.8292814493179321,394.6201171875,1063.6170654296875,1724.0731201171875,2803.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03383827209472656,0.026118412613868713,0.02775944024324417,0.021527070552110672,0.019896717742085457,0.02004919946193695,0.01782780885696411,0.026432961225509644,0.05410416051745415,0.04634009301662445,0.012935595586895943,0.029929978772997856
16,666.6666666666666,,,,insightface_bbox,0.8292814493179321,394.6201171875,1063.6170654296875,1724.0731201171875,2803.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.034581590443849564,0.02687869593501091,0.027919530868530273,0.021997859701514244,0.020253397524356842,0.02040320634841919,0.01866721920669079,0.026648130267858505,0.05417824536561966,0.046228423714637756,0.013181907124817371,0.030495598912239075
17,708.3333333333334,,,,insightface_bbox,0.8292814493179321,394.6201171875,1063.6170654296875,1724.0731201171875,2803.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.034443292766809464,0.026609104126691818,0.028402118012309074,0.02187233418226242,0.020553844049572945,0.02058318629860878,0.019307224079966545,0.026495596393942833,0.055832866579294205,0.04719410836696625,0.013561280444264412,0.029893556609749794
18,750.0,,,,insightface_bbox,0.8353060483932495,397.3704833984375,1066.493408203125,1732.5751953125,2792.8671875,0,0,0,0,0,0,0,0,0,0,0,0,0.03409484773874283,0.026691455394029617,0.027974911034107208,0.021125061437487602,0.021039413288235664,0.019949154928326607,0.01701745204627514,0.025304660201072693,0.053151682019233704,0.044322703033685684,0.0119574423879385,0.028338424861431122
19,791.6666666666666,,,,insightface_bbox,0.8353060483932495,397.3704833984375,1066.493408203125,1732.5751953125,2792.8671875,0,0,0,0,0,0,0,0,0,0,0,0,0.02912296913564205,0.022274179384112358,0.025563975796103477,0.01906011626124382,0.018237514421343803,0.017814194783568382,0.015936722978949547,0.02411596104502678,0.051477398723363876,0.04486680403351784,0.010324147529900074,0.024425383657217026
20,833.3333333333334,,,,insightface_bbox,0.8353060483932495,397.3704833984375,1066.493408203125,1732.5751953125,2792.8671875,0,0,0,0,0,0,0,0,0,0,0,0,0.016848428174853325,0.013986140489578247,0.026834826916456223,0.013949120417237282,0.008290538564324379,0.00840053241699934,0.004371309652924538,0.014700903557240963,0.03587707132101059,0.02556915581226349,0.0017453699838370085,0.011624851264059544
21,875.0,,,,insightface_bbox,0.8353060483932495,397.3704833984375,1066.493408203125,1732.5751953125,2792.8671875,0,0,0,0,0,0,0,0,0,0,0,0,0.016920626163482666,0.014036066830158234,0.026835817843675613,0.013961277902126312,0.00840915460139513,0.00841591041535139,0.004306683782488108,0.014391890726983547,0.03555795177817345,0.025514641776680946,0.0017375354655086994,0.01164169143885374
