frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.9084252119064331,722.364013671875,1037.322265625,1430.0618896484375,1953.5380859375,0,0,0,0,0,1,0,1,0,1,0,0,0.12478568404912949,0.07434247434139252,0.18730507791042328,0.047856491059064865,0.08099162578582764,0.060503870248794556,0.0430542454123497,0.06210509315133095,0.11310958862304688,0.10495808720588684,0.22056622803211212,0.1267787665128708
1,41.666666666666664,,,,insightface_bbox,0.9084252119064331,722.364013671875,1037.322265625,1430.0618896484375,1953.5380859375,0,0,0,0,0,1,1,1,0,0,0,0,0.15465420484542847,0.10105592012405396,0.2612253427505493,0.07571050524711609,0.18563337624073029,0.07956334948539734,0.16777196526527405,0.09225350618362427,0.1334916055202484,0.14482145011425018,0.22375041246414185,0.13960984349250793
2,83.33333333333333,,,,insightface_bbox,0.9084252119064331,722.364013671875,1037.322265625,1430.0618896484375,1953.5380859375,0,0,0,0,0,1,0,1,0,1,0,0,0.12913212180137634,0.07601964473724365,0.2217041701078415,0.04950211942195892,0.08442376554012299,0.07539308816194534,0.04416199028491974,0.07197030633687973,0.14055924117565155,0.13636204600334167,0.3301006555557251,0.123152956366539
3,125.0,,,,insightface_bbox,0.9084252119064331,722.364013671875,1037.322265625,1430.0618896484375,1953.5380859375,0,0,0,0,0,1,0,0,0,1,0,0,0.11314953863620758,0.06695448607206345,0.20201580226421356,0.04868484288454056,0.04832690954208374,0.055077798664569855,0.04727444797754288,0.06057438999414444,0.12699268758296967,0.1399361938238144,0.13010060787200928,0.13943347334861755
4,166.66666666666666,,,,insightface_bbox,0.9084252119064331,722.364013671875,1037.322265625,1430.0618896484375,1953.5380859375,0,0,1,0,0,0,0,0,0,1,0,0,0.13534651696681976,0.07543456554412842,0.3038777709007263,0.046020228415727615,0.04564560949802399,0.052006907761096954,0.04627406597137451,0.05869016796350479,0.10742322355508804,0.13743211328983307,0.07344408333301544,0.18932020664215088
5,208.33333333333334,,,,insightface_bbox,0.9084252119064331,722.364013671875,1037.322265625,1430.0618896484375,1953.5380859375,0,0,0,0,0,0,0,0,0,1,0,0,0.13765211403369904,0.07926584780216217,0.3218267858028412,0.04888860136270523,0.05600197613239288,0.05867130681872368,0.04537779837846756,0.07255123555660248,0.1271745264530182,0.1427506059408188,0.1178673580288887,0.2392248660326004
6,250.0,,,,insightface_bbox,0.8853831887245178,631.8887939453125,1192.5621337890625,1291.1112060546875,2059.1748046875,0,0,0,0,0,0,0,0,0,1,0,0,0.10044444352388382,0.049093592911958694,0.1898861527442932,0.037380874156951904,0.03760296478867531,0.040251124650239944,0.033468328416347504,0.0579858273267746,0.10676398128271103,0.13658303022384644,0.04483192414045334,0.13282766938209534
7,291.6666666666667,,,,insightface_bbox,0.8853831887245178,631.8887939453125,1192.5621337890625,1291.1112060546875,2059.1748046875,0,0,0,0,0,1,1,1,0,1,0,0,0.13200527429580688,0.08756457269191742,0.20734591782093048,0.07570453733205795,0.13219870626926422,0.06639158725738525,0.1789531707763672,0.11042524129152298,0.21487906575202942,0.19167788326740265,0.3116132915019989,0.24810129404067993
8,333.3333333333333,,,,insightface_bbox,0.8853831887245178,631.8887939453125,1192.5621337890625,1291.1112060546875,2059.1748046875,0,0,0,0,0,0,0,1,0,1,0,0,0.11623062938451767,0.0597698837518692,0.14891758561134338,0.040709979832172394,0.037920646369457245,0.04494400694966316,0.03357081115245819,0.059515997767448425,0.10241243988275528,0.13526758551597595,0.10854806751012802,0.1472201645374298
9,375.0,,,,insightface_bbox,0.8853831887245178,631.8887939453125,1192.5621337890625,1291.1112060546875,2059.1748046875,0,0,1,0,0,1,0,0,0,0,0,0,0.17418937385082245,0.0964135229587555,0.36406052112579346,0.06348660588264465,0.08917330205440521,0.06561799347400665,0.09056840091943741,0.07450325787067413,0.1053638681769371,0.11326824128627777,0.10321203619241714,0.17713594436645508
10,416.6666666666667,,,,insightface_bbox,0.8853831887245178,631.8887939453125,1192.5621337890625,1291.1112060546875,2059.1748046875,0,0,1,0,0,1,0,1,0,1,0,0,0.120174840092659,0.08322668075561523,0.2919692099094391,0.05151740461587906,0.0807807669043541,0.05255072936415672,0.07455258071422577,0.0661415159702301,0.12614446878433228,0.1225193440914154,0.06259546428918839,0.11985305696725845
11,458.3333333333333,,,,insightface_bbox,0.8853831887245178,631.8887939453125,1192.5621337890625,1291.1112060546875,2059.1748046875,0,0,0,0,0,0,0,1,0,1,0,0,0.08543455600738525,0.05674155429005623,0.1142108142375946,0.03624648228287697,0.03404330089688301,0.03173103183507919,0.0351925790309906,0.059039223939180374,0.1476554274559021,0.12985144555568695,0.029897991567850113,0.0923098549246788
12,500.0,,,,insightface_bbox,0.8832270503044128,993.03369140625,1183.4024658203125,1628.5130615234375,2055.790771484375,0,0,0,0,0,0,0,0,0,1,0,1,0.0688844695687294,0.038008224219083786,0.12461939454078674,0.02387552335858345,0.020981887355446815,0.020751243457198143,0.015027043409645557,0.032866474241018295,0.10819017142057419,0.09662836790084839,0.008974614553153515,0.0619782917201519
13,541.6666666666666,,,,insightface_bbox,0.8832270503044128,993.03369140625,1183.4024658203125,1628.5130615234375,2055.790771484375,0,0,1,0,0,0,0,0,0,1,0,1,0.07296886295080185,0.039899129420518875,0.169202521443367,0.02228178270161152,0.017460700124502182,0.020139344036579132,0.011337431147694588,0.028695741668343544,0.09739282727241516,0.08004723489284515,0.00903291068971157,0.05917957052588463
14,583.3333333333334,,,,insightface_bbox,0.8832270503044128,993.03369140625,1183.4024658203125,1628.5130615234375,2055.790771484375,0,0,0,0,0,0,0,0,0,1,0,0,0.08564780652523041,0.046540699899196625,0.1429809331893921,0.028188711032271385,0.024230483919382095,0.023717284202575684,0.020019277930259705,0.03883428871631622,0.11091245710849762,0.1019638404250145,0.011616111733019352,0.07788660377264023
15,625.0,,,,insightface_bbox,0.8832270503044128,993.03369140625,1183.4024658203125,1628.5130615234375,2055.790771484375,0,0,0,0,0,0,0,0,0,1,0,0,0.10080429911613464,0.054323866963386536,0.18330124020576477,0.039170291274785995,0.043597787618637085,0.03400958701968193,0.044488828629255295,0.05354281887412071,0.10672681033611298,0.11959117650985718,0.023076200857758522,0.12683068215847015
16,666.6666666666666,,,,insightface_bbox,0.8832270503044128,993.03369140625,1183.4024658203125,1628.5130615234375,2055.790771484375,0,0,0,0,0,0,0,1,0,1,0,0,0.0843186303973198,0.052134379744529724,0.14503847062587738,0.04164508730173111,0.04841139540076256,0.038887687027454376,0.054151855409145355,0.07460891455411911,0.11538349092006683,0.14416737854480743,0.0462242066860199,0.13173682987689972
17,708.3333333333334,,,,insightface_bbox,0.8832270503044128,993.03369140625,1183.4024658203125,1628.5130615234375,2055.790771484375,0,0,0,0,0,0,0,0,0,1,0,0,0.10798346996307373,0.06918791681528091,0.14428982138633728,0.05098560452461243,0.0611128993332386,0.04867220297455788,0.0649154782295227,0.08111029863357544,0.15054839849472046,0.16946768760681152,0.09901288151741028,0.19668453931808472
18,750.0,,,,insightface_bbox,0.9065796136856079,627.50341796875,1142.5567626953125,1261.5091552734375,1976.0906982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.11566488444805145,0.06405524164438248,0.2131686508655548,0.0482279434800148,0.05498476326465607,0.05017441511154175,0.04807381331920624,0.07018796354532242,0.1218564435839653,0.14931796491146088,0.06402675807476044,0.16847312450408936
19,791.6666666666666,,,,insightface_bbox,0.9065796136856079,627.50341796875,1142.5567626953125,1261.5091552734375,1976.0906982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.10049380362033844,0.04987260326743126,0.1617114394903183,0.034820377826690674,0.03349919244647026,0.035413432866334915,0.023813840001821518,0.0493144765496254,0.09062536060810089,0.1118527352809906,0.04190649092197418,0.133127361536026
20,833.3333333333334,,,,insightface_bbox,0.9065796136856079,627.50341796875,1142.5567626953125,1261.5091552734375,1976.0906982421875,0,0,0,0,0,0,0,0,0,1,0,0,0.08531779050827026,0.043341025710105896,0.1620115488767624,0.02725580707192421,0.0232774056494236,0.02864832431077957,0.015054715797305107,0.03894306346774101,0.08934551477432251,0.11453992128372192,0.027163906022906303,0.0898834690451622
21,875.0,,,,insightface_bbox,0.9065796136856079,627.50341796875,1142.5567626953125,1261.5091552734375,1976.0906982421875,0,0,0,0,0,0,0,0,0,1,0,0,0.09811004996299744,0.050355810672044754,0.16999515891075134,0.02927985042333603,0.026704955846071243,0.03034336119890213,0.016490237787365913,0.04105854406952858,0.08348064124584198,0.11656442284584045,0.02647668868303299,0.10526694357395172
22,916.6666666666666,,,,insightface_bbox,0.9065796136856079,627.50341796875,1142.5567626953125,1261.5091552734375,1976.0906982421875,0,0,0,0,0,0,0,0,0,1,0,0,0.11317627131938934,0.054549604654312134,0.20946575701236725,0.036011602729558945,0.03498760238289833,0.037035852670669556,0.027082597836852074,0.04780178517103195,0.09959819912910461,0.13466699421405792,0.039262816309928894,0.1315639317035675
23,958.3333333333334,,,,insightface_bbox,0.9065796136856079,627.50341796875,1142.5567626953125,1261.5091552734375,1976.0906982421875,0,0,0,0,0,0,0,0,0,1,0,0,0.10350342094898224,0.05237535014748573,0.14569802582263947,0.03758220374584198,0.03966102749109268,0.03855559974908829,0.031114837154746056,0.0596812441945076,0.10494674742221832,0.1261846423149109,0.04454188421368599,0.15679539740085602
24,1000.0,,,,insightface_bbox,0.9066936373710632,802.0343627929688,1139.8768310546875,1410.125732421875,1961.0615234375,0,0,0,0,0,0,0,0,0,1,0,0,0.10725589096546173,0.057857464998960495,0.17327022552490234,0.04352705553174019,0.05766039714217186,0.03855811804533005,0.0507294163107872,0.06665624678134918,0.1052452027797699,0.11820702999830246,0.03575185686349869,0.1715404987335205
25,1041.6666666666667,,,,insightface_bbox,0.9066936373710632,802.0343627929688,1139.8768310546875,1410.125732421875,1961.0615234375,0,0,0,0,0,0,0,0,0,1,0,0,0.08147340267896652,0.04490141570568085,0.12598158419132233,0.03065170720219612,0.02985604852437973,0.02672513760626316,0.02220885455608368,0.05326052010059357,0.10824297368526459,0.10649578273296356,0.015432965010404587,0.09876102209091187
26,1083.3333333333333,,,,insightface_bbox,0.9066936373710632,802.0343627929688,1139.8768310546875,1410.125732421875,1961.0615234375,0,0,0,0,0,0,0,0,0,1,0,0,0.07609521597623825,0.04381373152136803,0.12892575562000275,0.026405079290270805,0.02507646381855011,0.024280887097120285,0.016132406890392303,0.04412581026554108,0.11499472707509995,0.09936594218015671,0.0127024557441473,0.07421654462814331
