frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8329677581787109,392.36456298828125,1057.0587158203125,1725.3951416015625,2788.07177734375,0,0,0,0,0,0,0,0,0,0,0,0,0.03409533575177193,0.027231892570853233,0.02960515022277832,0.02286812663078308,0.01919999159872532,0.021181952208280563,0.019297540187835693,0.02834177017211914,0.05364511162042618,0.04755846783518791,0.013452813029289246,0.02992783859372139
1,41.666666666666664,,,,insightface_bbox,0.8329677581787109,392.36456298828125,1057.0587158203125,1725.3951416015625,2788.07177734375,0,0,0,0,0,0,0,0,0,0,0,0,0.03417268767952919,0.027334224432706833,0.0292472243309021,0.022842807695269585,0.019920336082577705,0.021137762814760208,0.01928003318607807,0.028045035898685455,0.05302935466170311,0.04654568433761597,0.012471424415707588,0.0291408970952034
2,83.33333333333333,,,,insightface_bbox,0.8329677581787109,392.36456298828125,1057.0587158203125,1725.3951416015625,2788.07177734375,0,0,0,0,0,0,0,0,0,0,0,0,0.03419211134314537,0.027171041816473007,0.028205182403326035,0.022701790556311607,0.01959327794611454,0.020719684660434723,0.018473917618393898,0.02758720889687538,0.053494978696107864,0.045828927308321,0.012996083125472069,0.029585693031549454
3,125.0,,,,insightface_bbox,0.8329677581787109,392.36456298828125,1057.0587158203125,1725.3951416015625,2788.07177734375,0,0,0,0,0,0,0,0,0,0,0,0,0.034031711518764496,0.02718375064432621,0.02794933319091797,0.02258155681192875,0.019682627171278,0.02067558281123638,0.018242888152599335,0.02727597951889038,0.053087178617715836,0.04521962255239487,0.013110384345054626,0.02931172214448452
4,166.66666666666666,,,,insightface_bbox,0.8329677581787109,392.36456298828125,1057.0587158203125,1725.3951416015625,2788.07177734375,0,0,0,0,0,0,0,0,0,0,0,0,0.03371035307645798,0.026749994605779648,0.02847195789217949,0.022232208400964737,0.019801266491413116,0.02089570462703705,0.017738036811351776,0.027386967092752457,0.0535636842250824,0.045839253813028336,0.013294183649122715,0.029010336846113205
5,208.33333333333334,,,,insightface_bbox,0.8329677581787109,392.36456298828125,1057.0587158203125,1725.3951416015625,2788.07177734375,0,0,0,0,0,0,0,0,0,0,0,0,0.034554220736026764,0.027479177340865135,0.027936110273003578,0.022443009540438652,0.020346127450466156,0.02088513970375061,0.018190518021583557,0.027328766882419586,0.05388566106557846,0.04630628228187561,0.01295193936675787,0.029010197147727013
6,250.0,,,,insightface_bbox,0.8356814980506897,391.1707763671875,1076.1671142578125,1725.29052734375,2803.451171875,0,0,0,0,0,0,0,0,0,0,0,0,0.035584207624197006,0.028136221691966057,0.027897562831640244,0.02260204218327999,0.021035226061940193,0.02088288962841034,0.01894739270210266,0.027147434651851654,0.053238239139318466,0.04605969041585922,0.01180149707943201,0.028852183371782303
7,291.6666666666667,,,,insightface_bbox,0.8356814980506897,391.1707763671875,1076.1671142578125,1725.29052734375,2803.451171875,0,0,0,0,0,0,0,0,0,0,0,0,0.0357130691409111,0.02830461412668228,0.027398139238357544,0.022593170404434204,0.021125683560967445,0.02100127562880516,0.0190786961466074,0.027028603479266167,0.05305187404155731,0.045864079147577286,0.012274857610464096,0.028798624873161316
8,333.3333333333333,,,,insightface_bbox,0.8356814980506897,391.1707763671875,1076.1671142578125,1725.29052734375,2803.451171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03618118166923523,0.028575535863637924,0.02764534018933773,0.022813301533460617,0.02141149714589119,0.0214436873793602,0.019080035388469696,0.02733530104160309,0.05314897373318672,0.0456472709774971,0.01293724961578846,0.029544951394200325
9,375.0,,,,insightface_bbox,0.8356814980506897,391.1707763671875,1076.1671142578125,1725.29052734375,2803.451171875,0,0,0,0,0,0,0,0,0,0,0,0,0.036333661526441574,0.028375601395964622,0.02929205447435379,0.02286391519010067,0.022482004016637802,0.02180127054452896,0.01965608447790146,0.027849901467561722,0.05475554242730141,0.04769266024231911,0.013912282884120941,0.030256332829594612
10,416.6666666666667,,,,insightface_bbox,0.8356814980506897,391.1707763671875,1076.1671142578125,1725.29052734375,2803.451171875,0,0,0,0,0,0,0,0,0,0,0,0,0.036304179579019547,0.028378022834658623,0.028255432844161987,0.022649457678198814,0.02234247326850891,0.02149767428636551,0.01940215192735195,0.027625814080238342,0.05417954549193382,0.04687532037496567,0.013715153560042381,0.02992677502334118
11,458.3333333333333,,,,insightface_bbox,0.8356814980506897,391.1707763671875,1076.1671142578125,1725.29052734375,2803.451171875,0,0,0,0,0,0,0,0,0,0,0,0,0.035277992486953735,0.02754267491400242,0.02770204283297062,0.022168615832924843,0.022111669182777405,0.020928850397467613,0.018986990675330162,0.02680473029613495,0.053089335560798645,0.04585066810250282,0.013248847797513008,0.029125718399882317
12,500.0,,,,insightface_bbox,0.8356409668922424,393.0915832519531,1062.8756103515625,1729.9853515625,2787.9345703125,0,0,0,0,0,0,0,0,0,0,0,0,0.032941803336143494,0.026005765423178673,0.024995217099785805,0.02038545161485672,0.020360277965664864,0.018614254891872406,0.01605743169784546,0.02393907867372036,0.04708981141448021,0.04000263288617134,0.01114578079432249,0.026657652109861374
13,541.6666666666666,,,,insightface_bbox,0.8356409668922424,393.0915832519531,1062.8756103515625,1729.9853515625,2787.9345703125,0,0,0,0,0,0,0,0,0,0,0,0,0.03323259577155113,0.026334047317504883,0.026589373126626015,0.020815478637814522,0.021782882511615753,0.01903289370238781,0.01731833443045616,0.02455766871571541,0.04974053055047989,0.04235778748989105,0.01132703572511673,0.02658446878194809
14,583.3333333333334,,,,insightface_bbox,0.8356409668922424,393.0915832519531,1062.8756103515625,1729.9853515625,2787.9345703125,0,0,0,0,0,0,0,0,0,0,0,0,0.03257818892598152,0.02600754052400589,0.02586924284696579,0.020662982016801834,0.021548902615904808,0.01915939524769783,0.017250780016183853,0.024805376306176186,0.04992560297250748,0.04225321486592293,0.011627953499555588,0.026612689718604088
15,625.0,,,,insightface_bbox,0.8356409668922424,393.0915832519531,1062.8756103515625,1729.9853515625,2787.9345703125,0,0,0,0,0,0,0,0,0,0,0,0,0.03145085275173187,0.024801939725875854,0.02542305365204811,0.01998126320540905,0.021348336711525917,0.018897172063589096,0.016235796734690666,0.024468325078487396,0.0496712364256382,0.041179634630680084,0.01173004973679781,0.026151414960622787
16,666.6666666666666,,,,insightface_bbox,0.8356409668922424,393.0915832519531,1062.8756103515625,1729.9853515625,2787.9345703125,0,0,0,0,0,0,0,0,0,0,0,0,0.031443580985069275,0.024797562509775162,0.025519700720906258,0.019875872880220413,0.021203897893428802,0.018963396549224854,0.01564287394285202,0.02434251643717289,0.049847815185785294,0.03994760662317276,0.011663733050227165,0.026518680155277252
17,708.3333333333334,,,,insightface_bbox,0.8356409668922424,393.0915832519531,1062.8756103515625,1729.9853515625,2787.9345703125,0,0,0,0,0,0,0,0,0,0,0,0,0.03133745118975639,0.024676937609910965,0.02551048994064331,0.019830064848065376,0.021536648273468018,0.01872123032808304,0.016026068478822708,0.024369560182094574,0.05096496641635895,0.04046224057674408,0.011294711381196976,0.026212938129901886
18,750.0,,,,insightface_bbox,0.8265583515167236,385.289794921875,1061.4503173828125,1728.519287109375,2803.6484375,0,0,0,0,0,0,0,0,0,0,0,0,0.02787761017680168,0.021211842074990273,0.02396743930876255,0.01716827228665352,0.017127374187111855,0.016382142901420593,0.012596608139574528,0.0220070518553257,0.04915427044034004,0.03774759918451309,0.00805971771478653,0.02157554030418396
19,791.6666666666666,,,,insightface_bbox,0.8265583515167236,385.289794921875,1061.4503173828125,1728.519287109375,2803.6484375,0,0,0,0,0,0,0,0,0,0,0,0,0.028170030564069748,0.021883489564061165,0.025021404027938843,0.01766481250524521,0.01798795722424984,0.01687636412680149,0.013546333648264408,0.022266406565904617,0.050649404525756836,0.0377572663128376,0.007909510284662247,0.02228831872344017
20,833.3333333333334,,,,insightface_bbox,0.8265583515167236,385.289794921875,1061.4503173828125,1728.519287109375,2803.6484375,0,0,0,0,0,0,0,0,0,0,0,0,0.028036421164870262,0.02206554263830185,0.02546858973801136,0.017782922834157944,0.018160441890358925,0.01708751544356346,0.014448873698711395,0.02240186184644699,0.05115990340709686,0.03774011880159378,0.007915372028946877,0.022616872563958168
21,875.0,,,,insightface_bbox,0.8265583515167236,385.289794921875,1061.4503173828125,1728.519287109375,2803.6484375,0,0,0,0,0,0,0,0,0,0,0,0,0.027971966192126274,0.021883103996515274,0.02594306319952011,0.017884841188788414,0.01910940557718277,0.016997860744595528,0.015431005507707596,0.022157955914735794,0.052087023854255676,0.03893818333745003,0.007721654139459133,0.021991020068526268
22,916.6666666666666,,,,insightface_bbox,0.8265583515167236,385.289794921875,1061.4503173828125,1728.519287109375,2803.6484375,0,0,0,0,0,0,0,0,0,0,0,0,0.02741231769323349,0.02184491604566574,0.026252085343003273,0.017880983650684357,0.01909037120640278,0.017511077225208282,0.016795195639133453,0.02200130559504032,0.053464144468307495,0.039488285779953,0.007474573794752359,0.021658724173903465
23,958.3333333333334,,,,insightface_bbox,0.8265583515167236,385.289794921875,1061.4503173828125,1728.519287109375,2803.6484375,0,0,0,0,0,0,0,0,0,0,0,0,0.027668748050928116,0.02271101623773575,0.026608072221279144,0.018457118421792984,0.020931854844093323,0.01845712587237358,0.018460029736161232,0.022577250376343727,0.055810943245887756,0.04043180122971535,0.008241621777415276,0.02214498072862625
24,1000.0,,,,insightface_bbox,0.8353556394577026,382.6227722167969,1034.914306640625,1737.0836181640625,2824.60498046875,0,0,0,0,0,0,0,0,0,0,0,0,0.029155293479561806,0.023334048688411713,0.03053266368806362,0.01949397288262844,0.02045533061027527,0.020485466346144676,0.02023281529545784,0.024733558297157288,0.058213010430336,0.04450026899576187,0.008842941373586655,0.023243095725774765
