frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.847148060798645,430.36083984375,964.0726318359375,1791.959228515625,2755.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0.02894528955221176,0.0214986652135849,0.016649942845106125,0.01611115224659443,0.010253585875034332,0.014147860929369926,0.008557522669434547,0.01983068697154522,0.04379093647003174,0.030409380793571472,0.0065687852911651134,0.02349199540913105
1,41.666666666666664,,,,insightface_bbox,0.847148060798645,430.36083984375,964.0726318359375,1791.959228515625,2755.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0.029385540634393692,0.02177758887410164,0.01700502075254917,0.01616261526942253,0.01047179289162159,0.01412970945239067,0.008742015808820724,0.019635071977972984,0.04355933144688606,0.031202377751469612,0.006459422409534454,0.02300364151597023
2,83.33333333333333,,,,insightface_bbox,0.847148060798645,430.36083984375,964.0726318359375,1791.959228515625,2755.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0.02886340022087097,0.02123926766216755,0.016561318188905716,0.015818636864423752,0.010318906046450138,0.013607397675514221,0.008616890758275986,0.019095005467534065,0.04254999756813049,0.03114435449242592,0.006037533283233643,0.021918103098869324
3,125.0,,,,insightface_bbox,0.847148060798645,430.36083984375,964.0726318359375,1791.959228515625,2755.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0.029068225994706154,0.021065251901745796,0.016192318871617317,0.015926431864500046,0.010425146669149399,0.013854807242751122,0.008559811860322952,0.019539684057235718,0.04343101754784584,0.0321836955845356,0.00657178508117795,0.021877393126487732
4,166.66666666666666,,,,insightface_bbox,0.847148060798645,430.36083984375,964.0726318359375,1791.959228515625,2755.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0.029777241870760918,0.021096203476190567,0.016641810536384583,0.01597568951547146,0.010740023106336594,0.014119768515229225,0.008534570224583149,0.019430743530392647,0.04309367015957832,0.03198649361729622,0.006517996545881033,0.021627526730298996
5,208.33333333333334,,,,insightface_bbox,0.847148060798645,430.36083984375,964.0726318359375,1791.959228515625,2755.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0.029787125065922737,0.021740544587373734,0.016896482557058334,0.016343165189027786,0.010808313265442848,0.014406096190214157,0.008772119879722595,0.020357368513941765,0.0437416173517704,0.03294345736503601,0.006716127973049879,0.021933164447546005
6,250.0,,,,insightface_bbox,0.8547670841217041,427.6337890625,975.9205322265625,1789.2745361328125,2754.33251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.02957269363105297,0.022825973108410835,0.017987828701734543,0.01698756404221058,0.01071526762098074,0.015084367245435715,0.010032733902335167,0.020849864929914474,0.04708543047308922,0.034037623554468155,0.006660779006779194,0.02265103906393051
7,291.6666666666667,,,,insightface_bbox,0.8547670841217041,427.6337890625,975.9205322265625,1789.2745361328125,2754.33251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.026927154511213303,0.019910413771867752,0.015920370817184448,0.017052076756954193,0.011829668655991554,0.014535541646182537,0.010688253678381443,0.020660754293203354,0.04497228190302849,0.035705726593732834,0.006712739355862141,0.021164104342460632
8,333.3333333333333,,,,insightface_bbox,0.8547670841217041,427.6337890625,975.9205322265625,1789.2745361328125,2754.33251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.02920849621295929,0.02069913037121296,0.018794989213347435,0.018068086355924606,0.01215151883661747,0.015621412545442581,0.010387158021330833,0.02915254235267639,0.05540399253368378,0.044348180294036865,0.0072748190723359585,0.023877302184700966
9,375.0,,,,insightface_bbox,0.8547670841217041,427.6337890625,975.9205322265625,1789.2745361328125,2754.33251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.029420165345072746,0.02119295671582222,0.021102022379636765,0.018989436328411102,0.014164884574711323,0.016482489183545113,0.011721888557076454,0.0233748946338892,0.048247575759887695,0.040132440626621246,0.007142888382077217,0.02311643213033676
