frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8289992809295654,1254.361572265625,371.0264587402344,1920.422607421875,1476.563720703125,0,1,1,1,1,1,0,1,1,1,0,1,0.14051257073879242,0.1985059678554535,1.3637723922729492,0.14456388354301453,0.1280297487974167,1.274248480796814,0.09150651097297668,0.5397024154663086,0.5806894302368164,0.15799465775489807,0.059134744107723236,0.08094316720962524
1,41.666666666666664,,,,insightface_bbox,0.8289992809295654,1254.361572265625,371.0264587402344,1920.422607421875,1476.563720703125,0,1,1,1,1,1,0,1,1,1,0,1,0.13887467980384827,0.1953182965517044,1.3914425373077393,0.14342518150806427,0.12633156776428223,1.2801109552383423,0.09090420603752136,0.5361985564231873,0.5866495370864868,0.15608815848827362,0.056886665523052216,0.07935093343257904
2,83.33333333333333,,,,insightface_bbox,0.8289992809295654,1254.361572265625,371.0264587402344,1920.422607421875,1476.563720703125,1,1,1,0,1,1,0,1,1,1,1,1,0.1453513652086258,0.19537368416786194,1.1020264625549316,0.12466848641633987,0.1052514910697937,0.9620954990386963,0.07763113081455231,0.6554853320121765,0.5571867227554321,0.12859079241752625,0.04825867712497711,0.06587378680706024
3,125.0,,,,insightface_bbox,0.8289992809295654,1254.361572265625,371.0264587402344,1920.422607421875,1476.563720703125,1,1,1,0,1,1,0,1,1,1,1,1,0.12882938981056213,0.16505293548107147,0.9298643469810486,0.11193233728408813,0.08731459081172943,0.6282528638839722,0.08131758123636246,0.7299185395240784,0.5464240908622742,0.12205445766448975,0.04316435009241104,0.056092534214258194
4,166.66666666666666,,,,insightface_bbox,0.8289992809295654,1254.361572265625,371.0264587402344,1920.422607421875,1476.563720703125,0,1,1,0,1,1,0,1,1,1,1,1,0.10637304931879044,0.13691644370555878,0.9738770127296448,0.10223717987537384,0.07347673177719116,0.8392404317855835,0.06458254158496857,0.6349260210990906,0.6501264572143555,0.13545386493206024,0.03145274519920349,0.06130857393145561
5,208.33333333333334,,,,insightface_bbox,0.8289992809295654,1254.361572265625,371.0264587402344,1920.422607421875,1476.563720703125,0,1,1,0,1,1,0,1,1,1,0,1,0.09008333832025528,0.14616641402244568,0.6769782304763794,0.09158435463905334,0.06401298940181732,0.8527753353118896,0.05596393719315529,0.5452520251274109,0.41554296016693115,0.13093352317810059,0.04164404422044754,0.052396953105926514
6,250.0,,,,insightface_bbox,0.8306269645690918,1264.531982421875,349.357666015625,1977.032958984375,1497.9488525390625,0,1,1,0,0,1,0,1,0,1,0,0,0.09233545511960983,0.1151093989610672,0.44683152437210083,0.0877755880355835,0.04860876500606537,0.5251423716545105,0.03321290761232376,0.7721202373504639,0.22246630489826202,0.141403466463089,0.035117007791996,0.0425603985786438
7,291.6666666666667,,,,insightface_bbox,0.8306269645690918,1264.531982421875,349.357666015625,1977.032958984375,1497.9488525390625,0,0,1,0,0,0,0,1,0,0,0,0,0.06098867207765579,0.06765817105770111,0.15115833282470703,0.04694720357656479,0.02411210536956787,0.11699427664279938,0.014442802406847477,0.5043190121650696,0.12679868936538696,0.10550245642662048,0.02923671528697014,0.028567204251885414
8,333.3333333333333,,,,insightface_bbox,0.8306269645690918,1264.531982421875,349.357666015625,1977.032958984375,1497.9488525390625,0,0,0,0,0,0,0,0,0,0,0,0,0.0570136234164238,0.0629611387848854,0.07255600392818451,0.03182225674390793,0.009897368960082531,0.039074286818504333,0.01013834960758686,0.12615984678268433,0.08033028244972229,0.07441975921392441,0.03051804006099701,0.02292894944548607
9,375.0,,,,insightface_bbox,0.8306269645690918,1264.531982421875,349.357666015625,1977.032958984375,1497.9488525390625,0,0,0,0,0,0,0,0,0,0,0,0,0.05094081908464432,0.06617844104766846,0.09919150918722153,0.03604023903608322,0.013734517619013786,0.049680475145578384,0.012018638662993908,0.1461268663406372,0.092995285987854,0.08650261908769608,0.03513631969690323,0.025644423440098763
