frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8244019746780396,217.5644073486328,425.71551513671875,978.35205078125,1400.1063232421875,0,0,0,0,0,0,0,0,0,0,0,0,0.025121429935097694,0.016953427344560623,0.021938569843769073,0.016523635014891624,0.01090913824737072,0.016680888831615448,0.005678404588252306,0.024970881640911102,0.05165794864296913,0.03989369422197342,0.010041058994829655,0.016776710748672485
1,41.666666666666664,,,,insightface_bbox,0.8244019746780396,217.5644073486328,425.71551513671875,978.35205078125,1400.1063232421875,0,0,0,0,0,0,0,0,0,0,0,0,0.023847993463277817,0.01639487035572529,0.019522085785865784,0.016088813543319702,0.010694541037082672,0.015723079442977905,0.005431436933577061,0.02449270710349083,0.05008144676685333,0.039161067456007004,0.009976107627153397,0.016769059002399445
2,83.33333333333333,,,,insightface_bbox,0.8244019746780396,217.5644073486328,425.71551513671875,978.35205078125,1400.1063232421875,0,0,0,0,0,0,0,0,0,0,0,0,0.02391575649380684,0.016469120979309082,0.019390398636460304,0.016106532886624336,0.010809095576405525,0.01583484746515751,0.0054955086670815945,0.024667605757713318,0.050625573843717575,0.039755288511514664,0.010166119784116745,0.016810327768325806
3,125.0,,,,insightface_bbox,0.8244019746780396,217.5644073486328,425.71551513671875,978.35205078125,1400.1063232421875,0,0,0,0,0,0,0,0,0,0,0,0,0.024030055850744247,0.016646049916744232,0.019233647733926773,0.01673397421836853,0.010758758522570133,0.01598123461008072,0.0056072017177939415,0.02540471777319908,0.05108899623155594,0.04101671651005745,0.010143594816327095,0.01712499000132084
4,166.66666666666666,,,,insightface_bbox,0.8244019746780396,217.5644073486328,425.71551513671875,978.35205078125,1400.1063232421875,0,0,0,0,0,0,0,0,0,0,0,0,0.023407211527228355,0.016102973371744156,0.01917954720556736,0.015935450792312622,0.010594041086733341,0.015482939779758453,0.005376558285206556,0.024826155975461006,0.05005166307091713,0.039438553154468536,0.009910890832543373,0.016669917851686478
5,208.33333333333334,,,,insightface_bbox,0.8244019746780396,217.5644073486328,425.71551513671875,978.35205078125,1400.1063232421875,0,0,0,0,0,0,0,0,0,0,0,0,0.02429075352847576,0.016819924116134644,0.02049225941300392,0.016122443601489067,0.011559946462512016,0.01641177013516426,0.0056663090363144875,0.025403279811143875,0.05209757015109062,0.040181174874305725,0.010189812630414963,0.01653200201690197
6,250.0,,,,insightface_bbox,0.8142811059951782,217.63308715820312,420.45709228515625,980.8734741210938,1401.5364990234375,0,0,0,0,0,0,0,0,0,0,0,0,0.024349724873900414,0.01710757426917553,0.019709210842847824,0.017046306282281876,0.011841537430882454,0.016215521842241287,0.0059126694686710835,0.024656737223267555,0.05147550627589226,0.04117503762245178,0.009741335175931454,0.016585057601332664
7,291.6666666666667,,,,insightface_bbox,0.8142811059951782,217.63308715820312,420.45709228515625,980.8734741210938,1401.5364990234375,0,0,0,0,0,0,0,0,0,0,0,0,0.02413719892501831,0.017140867188572884,0.018798284232616425,0.01726691983640194,0.011721285991370678,0.016108263283967972,0.005872801877558231,0.025190293788909912,0.05201711878180504,0.04205697029829025,0.009423479437828064,0.01639745570719242
8,333.3333333333333,,,,insightface_bbox,0.8142811059951782,217.63308715820312,420.45709228515625,980.8734741210938,1401.5364990234375,0,0,0,0,0,0,0,0,0,0,0,0,0.024133900180459023,0.0167832188308239,0.019887590780854225,0.01663471758365631,0.011342647485435009,0.015673113986849785,0.005597432143986225,0.024367142468690872,0.05149509385228157,0.04031754657626152,0.009279631078243256,0.016388799995183945
9,375.0,,,,insightface_bbox,0.8142811059951782,217.63308715820312,420.45709228515625,980.8734741210938,1401.5364990234375,0,0,0,0,0,0,0,0,0,0,0,0,0.024313170462846756,0.01703352853655815,0.019490372389554977,0.01731712557375431,0.011405694298446178,0.01609702780842781,0.005641123279929161,0.024769527837634087,0.05074644088745117,0.040444329380989075,0.009385786950588226,0.016536252573132515
