frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8302041292190552,387.8485107421875,1049.453369140625,1726.981689453125,2801.9560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.028083477169275284,0.022595830261707306,0.02139887586236,0.017410004511475563,0.01557154767215252,0.01487191766500473,0.012056281790137291,0.021815204992890358,0.04657256603240967,0.03592464327812195,0.007504160050302744,0.02394743077456951
1,41.666666666666664,,,,insightface_bbox,0.8302041292190552,387.8485107421875,1049.453369140625,1726.981689453125,2801.9560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.02824266627430916,0.022320719435811043,0.022331997752189636,0.01746610924601555,0.016098640859127045,0.014852994121611118,0.012388475239276886,0.021734178066253662,0.04882119596004486,0.0375928059220314,0.007406838238239288,0.02363409474492073
2,83.33333333333333,,,,insightface_bbox,0.8302041292190552,387.8485107421875,1049.453369140625,1726.981689453125,2801.9560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.029706500470638275,0.023112250491976738,0.02261410281062126,0.018228011205792427,0.017433350905776024,0.015671631321310997,0.013736947439610958,0.022471260279417038,0.050470177084207535,0.039914004504680634,0.008243972435593605,0.024927262216806412
3,125.0,,,,insightface_bbox,0.8302041292190552,387.8485107421875,1049.453369140625,1726.981689453125,2801.9560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.029813962057232857,0.022841408848762512,0.023137221112847328,0.018250176683068275,0.01788477413356304,0.01586615853011608,0.013920679688453674,0.022450054064393044,0.0509125292301178,0.040672414004802704,0.008440195582807064,0.024778803810477257
4,166.66666666666666,,,,insightface_bbox,0.8302041292190552,387.8485107421875,1049.453369140625,1726.981689453125,2801.9560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.030842915177345276,0.023813284933567047,0.02531789243221283,0.01890556700527668,0.018809378147125244,0.01649915985763073,0.015156096778810024,0.023157786577939987,0.053164295852184296,0.04247249662876129,0.008319506421685219,0.025375662371516228
5,208.33333333333334,,,,insightface_bbox,0.8302041292190552,387.8485107421875,1049.453369140625,1726.981689453125,2801.9560546875,0,0,0,0,0,0,0,0,0,0,0,0,0.029736477881669998,0.022946728393435478,0.02438555657863617,0.0183215644210577,0.018453793600201607,0.016155187040567398,0.01457914523780346,0.02265942469239235,0.05268983915448189,0.04208613559603691,0.007961210794746876,0.024609845131635666
6,250.0,,,,insightface_bbox,0.8340021371841431,396.698486328125,1051.85009765625,1726.1788330078125,2810.136962890625,0,0,0,0,0,0,0,0,0,0,0,0,0.03247222304344177,0.024938786402344704,0.026330163702368736,0.020831113681197166,0.02011904865503311,0.018751129508018494,0.02016136422753334,0.025165721774101257,0.054823584854602814,0.04733555391430855,0.011101515963673592,0.028952382504940033
7,291.6666666666667,,,,insightface_bbox,0.8340021371841431,396.698486328125,1051.85009765625,1726.1788330078125,2810.136962890625,0,0,0,0,0,0,0,0,0,0,0,0,0.03147061541676521,0.02428283542394638,0.02627657726407051,0.02040708251297474,0.020073164254426956,0.018470704555511475,0.01963227242231369,0.02455362305045128,0.05413203686475754,0.04713480919599533,0.011615446768701077,0.02895921841263771
8,333.3333333333333,,,,insightface_bbox,0.8340021371841431,396.698486328125,1051.85009765625,1726.1788330078125,2810.136962890625,0,0,0,0,0,0,0,0,0,0,0,0,0.02793690375983715,0.0227468553930521,0.023115389049053192,0.019168153405189514,0.017532022669911385,0.016851047053933144,0.01592937670648098,0.022342747077345848,0.05211585760116577,0.043066829442977905,0.011355200782418251,0.028325477614998817
9,375.0,,,,insightface_bbox,0.8340021371841431,396.698486328125,1051.85009765625,1726.1788330078125,2810.136962890625,0,0,0,0,0,0,0,0,0,0,0,0,0.029178589582443237,0.024614397436380386,0.02703414112329483,0.019305039197206497,0.016354912891983986,0.01779065653681755,0.01734999008476734,0.0238832738250494,0.05949101969599724,0.048743680119514465,0.01319123338907957,0.029296748340129852
10,416.6666666666667,,,,insightface_bbox,0.8340021371841431,396.698486328125,1051.85009765625,1726.1788330078125,2810.136962890625,0,0,0,0,0,0,0,0,0,0,0,0,0.031823866069316864,0.030845487490296364,0.036276038736104965,0.02273729257285595,0.028069300577044487,0.02194848656654358,0.037058912217617035,0.02556859701871872,0.07626265287399292,0.05931504815816879,0.015033838339149952,0.0313820019364357
11,458.3333333333333,,,,insightface_bbox,0.8340021371841431,396.698486328125,1051.85009765625,1726.1788330078125,2810.136962890625,0,0,0,0,0,1,0,1,0,0,0,0,0.03340812772512436,0.03250354528427124,0.04130721092224121,0.025679506361484528,0.039967525750398636,0.028035636991262436,0.05495525896549225,0.027845069766044617,0.07954809069633484,0.06500393152236938,0.019152063876390457,0.03289211168885231
12,500.0,,,,insightface_bbox,0.8301458358764648,387.32757568359375,1038.624755859375,1733.21826171875,2805.385498046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030182499438524246,0.028961263597011566,0.038445696234703064,0.021679535508155823,0.023071765899658203,0.02049475908279419,0.02993997000157833,0.0229437667876482,0.06113472580909729,0.046376924961805344,0.005584405269473791,0.022117728367447853
13,541.6666666666666,,,,insightface_bbox,0.8301458358764648,387.32757568359375,1038.624755859375,1733.21826171875,2805.385498046875,0,0,0,0,0,0,0,0,0,0,0,0,0.025756100192666054,0.024229083210229874,0.031236520037055016,0.02013060450553894,0.017593737691640854,0.017575128003954887,0.019930262118577957,0.022169331088662148,0.05505133792757988,0.04516731947660446,0.004634568467736244,0.019090935587882996
14,583.3333333333334,,,,insightface_bbox,0.8301458358764648,387.32757568359375,1038.624755859375,1733.21826171875,2805.385498046875,0,0,0,0,0,0,0,0,0,0,0,0,0.024875041097402573,0.02180473692715168,0.026904813945293427,0.02124270424246788,0.015075012110173702,0.014484530314803123,0.019551122561097145,0.019655179232358932,0.04666883125901222,0.040929947048425674,0.003570418804883957,0.017431585118174553
15,625.0,,,,insightface_bbox,0.8301458358764648,387.32757568359375,1038.624755859375,1733.21826171875,2805.385498046875,0,0,0,0,0,0,0,0,0,0,0,0,0.026851478964090347,0.023013655096292496,0.029484957456588745,0.02335199899971485,0.01709769293665886,0.01573065109550953,0.02351374551653862,0.020908528938889503,0.0495375394821167,0.04309556633234024,0.0038262829184532166,0.018203996121883392
16,666.6666666666666,,,,insightface_bbox,0.8301458358764648,387.32757568359375,1038.624755859375,1733.21826171875,2805.385498046875,0,0,0,0,0,0,0,0,0,0,0,0,0.028652630746364594,0.022947611287236214,0.03004092536866665,0.024418652057647705,0.016881771385669708,0.016147486865520477,0.02987673133611679,0.021083524450659752,0.04985082894563675,0.045364830642938614,0.004134584218263626,0.019388047978281975
17,708.3333333333334,,,,insightface_bbox,0.8301458358764648,387.32757568359375,1038.624755859375,1733.21826171875,2805.385498046875,0,0,0,0,0,0,0,0,0,0,0,0,0.025554979220032692,0.02011243999004364,0.02544599026441574,0.020821204409003258,0.01365048997104168,0.013833615928888321,0.02243431657552719,0.019024910405278206,0.04686871916055679,0.04319057613611221,0.003620780073106289,0.017584126442670822
