frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8824339509010315,1599.09375,436.694091796875,2307.431640625,1424.1241455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.03991696983575821,0.041281744837760925,0.05780145525932312,0.04093516990542412,0.011099446564912796,0.034137506037950516,0.06278307735919952,0.03973575308918953,0.09476165473461151,0.12425889074802399,0.04376539960503578,0.05722414702177048
1,41.666666666666664,,,,insightface_bbox,0.8824339509010315,1599.09375,436.694091796875,2307.431640625,1424.1241455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.04544684663414955,0.050978004932403564,0.07512598484754562,0.04676727578043938,0.014572400599718094,0.040548909455537796,0.07027890533208847,0.04552678018808365,0.09442812204360962,0.13617999851703644,0.10180897265672684,0.07609499990940094
2,83.33333333333333,,,,insightface_bbox,0.8824339509010315,1599.09375,436.694091796875,2307.431640625,1424.1241455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.04899263381958008,0.04712589830160141,0.08655808866024017,0.04669681563973427,0.016852904111146927,0.045062266290187836,0.0965571328997612,0.047335777431726456,0.09500950574874878,0.1435675024986267,0.09580105543136597,0.08816753327846527
3,125.0,,,,insightface_bbox,0.8824339509010315,1599.09375,436.694091796875,2307.431640625,1424.1241455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.05898524820804596,0.04893432557582855,0.11919347941875458,0.050695013254880905,0.02291165105998516,0.0464351512491703,0.11440268903970718,0.04820066690444946,0.1131238043308258,0.1511356085538864,0.08722350001335144,0.087100088596344
4,166.66666666666666,,,,insightface_bbox,0.8824339509010315,1599.09375,436.694091796875,2307.431640625,1424.1241455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.04647050425410271,0.03888527676463127,0.08265340328216553,0.04725627601146698,0.023726122453808784,0.04124923795461655,0.1527826339006424,0.04182872176170349,0.10724521428346634,0.1504293978214264,0.05501630902290344,0.07503186166286469
5,208.33333333333334,,,,insightface_bbox,0.8824339509010315,1599.09375,436.694091796875,2307.431640625,1424.1241455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.05608060956001282,0.05026329308748245,0.11310421675443649,0.059068914502859116,0.024898916482925415,0.05034003406763077,0.21253535151481628,0.05164237320423126,0.1148231253027916,0.15419912338256836,0.05595230311155319,0.07361556589603424
6,250.0,,,,insightface_bbox,0.873328685760498,1599.2706298828125,421.7680969238281,2313.301025390625,1429.62451171875,0,0,0,0,0,0,0,1,0,0,0,0,0.0549064576625824,0.04671386629343033,0.12804491817951202,0.05399313196539879,0.030040668323636055,0.05426396429538727,0.2047511786222458,0.05745190754532814,0.11517853289842606,0.16558648645877838,0.0761585608124733,0.08354897797107697
7,291.6666666666667,,,,insightface_bbox,0.873328685760498,1599.2706298828125,421.7680969238281,2313.301025390625,1429.62451171875,0,0,0,0,0,0,0,1,0,0,0,0,0.05999555438756943,0.050016213208436966,0.13122646510601044,0.05146554857492447,0.03241404891014099,0.04688991233706474,0.19900161027908325,0.05292932689189911,0.13323844969272614,0.17479372024536133,0.10236005485057831,0.09851707518100739
8,333.3333333333333,,,,insightface_bbox,0.873328685760498,1599.2706298828125,421.7680969238281,2313.301025390625,1429.62451171875,0,0,0,0,0,1,1,1,0,0,0,0,0.04063543677330017,0.03467322140932083,0.051519811153411865,0.04523614048957825,0.031183501705527306,0.03257682919502258,0.27341148257255554,0.0405956394970417,0.11895906925201416,0.19471213221549988,0.04184912145137787,0.06020393967628479
9,375.0,,,,insightface_bbox,0.873328685760498,1599.2706298828125,421.7680969238281,2313.301025390625,1429.62451171875,0,0,0,0,0,1,1,1,0,0,0,0,0.03539733961224556,0.03272898867726326,0.04434870555996895,0.03738370165228844,0.021470805630087852,0.027344688773155212,0.2406396120786667,0.02827184647321701,0.087384894490242,0.11988193541765213,0.03475926071405411,0.04834500700235367
