frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7263113856315613,149.7041015625,598.7323608398438,1997.71875,3038.653076171875,0,0,0,0,0,0,0,1,0,0,0,0,0.04968087747693062,0.06019546836614609,0.10243199020624161,0.03131068870425224,0.016111096367239952,0.036220937967300415,0.01714734360575676,0.04982488229870796,0.08900906890630722,0.10876396298408508,0.01275795977562666,0.026093535125255585
1,41.666666666666664,,,,insightface_bbox,0.7263113856315613,149.7041015625,598.7323608398438,1997.71875,3038.653076171875,0,0,0,0,0,0,0,1,0,0,0,0,0.047913096845149994,0.05489661917090416,0.09891252964735031,0.029543492943048477,0.01541847549378872,0.03445115685462952,0.01739031821489334,0.0490666888654232,0.09003956615924835,0.10838395357131958,0.011709276586771011,0.02563835307955742
2,83.33333333333333,,,,insightface_bbox,0.7263113856315613,149.7041015625,598.7323608398438,1997.71875,3038.653076171875,0,0,0,0,0,0,0,1,0,0,0,0,0.04201364144682884,0.04869312047958374,0.10161413252353668,0.029260536655783653,0.015602904371917248,0.03380059823393822,0.017842810600996017,0.04954224079847336,0.0908563956618309,0.1077842265367508,0.011837443336844444,0.025763358920812607
3,125.0,,,,insightface_bbox,0.7263113856315613,149.7041015625,598.7323608398438,1997.71875,3038.653076171875,0,0,0,0,0,0,0,1,0,0,0,0,0.0396842435002327,0.04677421599626541,0.09965251386165619,0.029683135449886322,0.015970801934599876,0.03371162712574005,0.01855490729212761,0.05048166215419769,0.0868101567029953,0.10703472793102264,0.013409143313765526,0.02674637734889984
4,166.66666666666666,,,,insightface_bbox,0.7263113856315613,149.7041015625,598.7323608398438,1997.71875,3038.653076171875,0,0,0,0,0,0,0,1,0,0,0,0,0.03866398707032204,0.03789073973894119,0.09929240494966507,0.028538748621940613,0.01891552284359932,0.0399288684129715,0.02029268816113472,0.046064868569374084,0.08181660622358322,0.10213442146778107,0.01668621599674225,0.027729224413633347
5,208.33333333333334,,,,insightface_bbox,0.7263113856315613,149.7041015625,598.7323608398438,1997.71875,3038.653076171875,0,0,0,0,1,0,0,1,0,0,0,0,0.040804315358400345,0.04672020301222801,0.11379227787256241,0.03257974609732628,0.022681595757603645,0.05025014653801918,0.026283469051122665,0.04824404418468475,0.0813717320561409,0.10595198720693588,0.018678290769457817,0.03060118481516838
6,250.0,,,,insightface_bbox,0.747107982635498,151.1495361328125,584.006103515625,1987.7666015625,3030.246826171875,0,0,1,0,1,0,0,1,0,0,0,0,0.045002806931734085,0.04798569157719612,0.18133530020713806,0.034031130373477936,0.031842075288295746,0.09467726945877075,0.03144606947898865,0.04579784348607063,0.07872378826141357,0.09142943471670151,0.02372075244784355,0.03715478628873825
7,291.6666666666667,,,,insightface_bbox,0.747107982635498,151.1495361328125,584.006103515625,1987.7666015625,3030.246826171875,0,0,1,0,1,1,0,1,0,0,0,0,0.06125984713435173,0.08187353610992432,0.3144127130508423,0.047018326818943024,0.053411684930324554,0.37425726652145386,0.048463135957717896,0.057638414204120636,0.11621555685997009,0.10313000530004501,0.031594958156347275,0.047244224697351456
8,333.3333333333333,,,,insightface_bbox,0.747107982635498,151.1495361328125,584.006103515625,1987.7666015625,3030.246826171875,0,0,1,0,1,1,0,1,0,0,0,0,0.06297456473112106,0.10809770971536636,0.40201321244239807,0.05325285717844963,0.06861285120248795,0.7539710998535156,0.060511477291584015,0.05732522904872894,0.1315261870622635,0.09933597594499588,0.034457262605428696,0.0526345819234848
9,375.0,,,,insightface_bbox,0.747107982635498,151.1495361328125,584.006103515625,1987.7666015625,3030.246826171875,0,0,1,0,1,1,0,1,0,0,0,0,0.053547266870737076,0.09564431011676788,0.3520887792110443,0.046630047261714935,0.06590299308300018,0.7083315253257751,0.04524404555559158,0.05263005942106247,0.12880073487758636,0.08943380415439606,0.02907566726207733,0.04528019577264786
10,416.6666666666667,,,,insightface_bbox,0.747107982635498,151.1495361328125,584.006103515625,1987.7666015625,3030.246826171875,0,0,1,0,1,1,0,1,0,0,0,0,0.04867907613515854,0.0749654620885849,0.2796590030193329,0.040874332189559937,0.056058768182992935,0.5148178339004517,0.03680591285228729,0.04702166095376015,0.12329499423503876,0.0869818925857544,0.025112967938184738,0.03941553831100464
11,458.3333333333333,,,,insightface_bbox,0.747107982635498,151.1495361328125,584.006103515625,1987.7666015625,3030.246826171875,0,0,1,0,1,1,0,1,0,0,0,0,0.048536837100982666,0.07412278652191162,0.2708630859851837,0.039404481649398804,0.04963752627372742,0.408667653799057,0.03502798080444336,0.04367399960756302,0.12187699973583221,0.08604202419519424,0.025671178475022316,0.037951163947582245
12,500.0,,,,insightface_bbox,0.8276553153991699,230.11083984375,602.5697631835938,1972.9010009765625,2965.482177734375,0,0,1,0,1,1,0,1,0,0,0,0,0.0642772763967514,0.06113029271364212,0.5367839932441711,0.036353982985019684,0.06622569262981415,0.4697820842266083,0.051792170852422714,0.040038373321294785,0.11301176249980927,0.08060670644044876,0.019865604117512703,0.041573937982320786
13,541.6666666666666,,,,insightface_bbox,0.8276553153991699,230.11083984375,602.5697631835938,1972.9010009765625,2965.482177734375,0,0,1,1,1,1,0,1,0,0,0,0,0.07006321102380753,0.07311797887086868,0.5801270008087158,0.041616834700107574,0.07406169921159744,0.8464264869689941,0.06313711404800415,0.04846993461251259,0.13949255645275116,0.08348115533590317,0.024731561541557312,0.04572618752717972
14,583.3333333333334,,,,insightface_bbox,0.8276553153991699,230.11083984375,602.5697631835938,1972.9010009765625,2965.482177734375,0,0,1,1,1,1,0,1,0,0,0,0,0.07106083631515503,0.08262456953525543,0.4935905337333679,0.04440315067768097,0.06861430406570435,0.9953683018684387,0.06378410756587982,0.050541676580905914,0.1589389443397522,0.08375032991170883,0.027152132242918015,0.04734664782881737
15,625.0,,,,insightface_bbox,0.8276553153991699,230.11083984375,602.5697631835938,1972.9010009765625,2965.482177734375,0,0,1,1,1,1,0,1,0,0,0,0,0.06940153986215591,0.08839406073093414,0.4434284269809723,0.04432157054543495,0.06642554700374603,1.090417504310608,0.059640686959028244,0.05034616217017174,0.1590045690536499,0.08006864786148071,0.028508376330137253,0.04747762903571129
16,666.6666666666666,,,,insightface_bbox,0.8276553153991699,230.11083984375,602.5697631835938,1972.9010009765625,2965.482177734375,0,0,1,1,1,1,0,1,0,0,0,0,0.060027025640010834,0.1041889563202858,0.3459608256816864,0.043312251567840576,0.05609859153628349,1.0679548978805542,0.05293995887041092,0.04517696797847748,0.12809498608112335,0.07220688462257385,0.029413580894470215,0.042618751525878906
17,708.3333333333334,,,,insightface_bbox,0.8276553153991699,230.11083984375,602.5697631835938,1972.9010009765625,2965.482177734375,0,0,1,1,1,1,0,1,0,0,0,0,0.060006387531757355,0.11313250660896301,0.34502503275871277,0.044923875480890274,0.05643347650766373,1.0470685958862305,0.05840545520186424,0.044905323535203934,0.12752516567707062,0.07552464306354523,0.031008442863821983,0.042930856347084045
18,750.0,,,,insightface_bbox,0.8811242580413818,278.9720764160156,614.6682739257812,1930.86474609375,2862.15966796875,0,0,1,0,1,1,0,0,0,0,0,0,0.041667405515909195,0.04236992821097374,0.4209545850753784,0.02565266191959381,0.0360771082341671,0.13047072291374207,0.02247263677418232,0.02448764070868492,0.0795973688364029,0.052186138927936554,0.014623886905610561,0.028911743313074112
19,791.6666666666666,,,,insightface_bbox,0.8811242580413818,278.9720764160156,614.6682739257812,1930.86474609375,2862.15966796875,0,0,1,0,1,0,0,0,0,0,0,0,0.042907871305942535,0.03850152716040611,0.42983278632164,0.024213027209043503,0.032798878848552704,0.09105705469846725,0.0227021686732769,0.023249946534633636,0.07558251172304153,0.05141432583332062,0.012580297887325287,0.027422914281487465
20,833.3333333333334,,,,insightface_bbox,0.8811242580413818,278.9720764160156,614.6682739257812,1930.86474609375,2862.15966796875,0,0,1,0,1,1,0,1,0,0,0,0,0.05149180442094803,0.042405422776937485,0.54161536693573,0.02940172143280506,0.04445120692253113,0.13639605045318604,0.033580414950847626,0.029202420264482498,0.08930548280477524,0.06261029094457626,0.015044198371469975,0.030334657058119774
21,875.0,,,,insightface_bbox,0.8811242580413818,278.9720764160156,614.6682739257812,1930.86474609375,2862.15966796875,0,0,1,0,1,1,0,1,0,0,0,0,0.04598736763000488,0.037709321826696396,0.4189407527446747,0.028200984001159668,0.041555896401405334,0.1548980474472046,0.03606126084923744,0.029683727771043777,0.0816628634929657,0.059884801506996155,0.01599963568150997,0.027637004852294922
22,916.6666666666666,,,,insightface_bbox,0.8811242580413818,278.9720764160156,614.6682739257812,1930.86474609375,2862.15966796875,0,0,1,0,1,1,0,1,0,0,0,0,0.04509428143501282,0.03695950284600258,0.4004432260990143,0.027664314955472946,0.04047192260622978,0.15265443921089172,0.03558627888560295,0.030071109533309937,0.08382835239171982,0.06061375141143799,0.015104733407497406,0.02669270895421505
23,958.3333333333334,,,,insightface_bbox,0.8811242580413818,278.9720764160156,614.6682739257812,1930.86474609375,2862.15966796875,0,0,1,0,1,1,0,1,0,0,0,0,0.04172809422016144,0.03425445780158043,0.2943817377090454,0.025777000933885574,0.03462747484445572,0.11629592627286911,0.032892856746912,0.027828820049762726,0.07923729717731476,0.05897977203130722,0.013808412477374077,0.023651879280805588
24,1000.0,,,,insightface_bbox,0.8685692548751831,307.5003662109375,637.8958740234375,1866.404052734375,2774.83251953125,0,0,1,0,1,1,0,1,0,0,0,0,0.06498658657073975,0.044533342123031616,0.3525395393371582,0.02835826575756073,0.04291902855038643,0.14487186074256897,0.038512006402015686,0.028674200177192688,0.08115220814943314,0.06907127052545547,0.030754683539271355,0.04094415903091431
25,1041.6666666666667,,,,insightface_bbox,0.8685692548751831,307.5003662109375,637.8958740234375,1866.404052734375,2774.83251953125,0,0,1,0,1,1,0,1,0,0,0,0,0.06349003314971924,0.041139572858810425,0.31983721256256104,0.026823299005627632,0.0395788811147213,0.12040655314922333,0.03664340451359749,0.027652328833937645,0.07890869677066803,0.06856808066368103,0.034275587648153305,0.041071049869060516
26,1083.3333333333333,,,,insightface_bbox,0.8685692548751831,307.5003662109375,637.8958740234375,1866.404052734375,2774.83251953125,0,0,1,0,1,1,0,1,0,0,0,0,0.059790559113025665,0.03741605952382088,0.28625166416168213,0.026662670075893402,0.03912517800927162,0.1078837662935257,0.03895662724971771,0.02604995109140873,0.07008706778287888,0.06802497804164886,0.03571956232190132,0.037925705313682556
27,1125.0,,,,insightface_bbox,0.8685692548751831,307.5003662109375,637.8958740234375,1866.404052734375,2774.83251953125,0,0,1,0,1,1,0,1,0,0,0,0,0.05563778802752495,0.034891482442617416,0.2649914026260376,0.025235917419195175,0.035813044756650925,0.09210951626300812,0.03634591028094292,0.02457260899245739,0.06631018966436386,0.0650746300816536,0.03256279230117798,0.03550277650356293
28,1166.6666666666667,,,,insightface_bbox,0.8685692548751831,307.5003662109375,637.8958740234375,1866.404052734375,2774.83251953125,0,0,1,0,1,1,0,1,0,0,0,0,0.04294959455728531,0.02926737442612648,0.19983617961406708,0.02159477397799492,0.02730836160480976,0.05587437003850937,0.027876999229192734,0.022695230320096016,0.05816154181957245,0.0590030662715435,0.023330409079790115,0.029073448851704597
29,1208.3333333333333,,,,insightface_bbox,0.8685692548751831,307.5003662109375,637.8958740234375,1866.404052734375,2774.83251953125,0,0,1,0,1,1,0,1,0,0,0,0,0.043938279151916504,0.029425043612718582,0.19632992148399353,0.021986249834299088,0.027836289256811142,0.05457937717437744,0.0290039274841547,0.023217713460326195,0.0578339621424675,0.060500048100948334,0.024563517421483994,0.029907431453466415
30,1250.0,,,,insightface_bbox,0.8527662754058838,312.7508239746094,654.20947265625,1847.01416015625,2753.808349609375,0,0,1,0,1,1,0,0,0,0,0,0,0.0791296735405922,0.04183841869235039,0.3505789637565613,0.026257066056132317,0.029422368854284286,0.09137970209121704,0.028307192027568817,0.025474872440099716,0.06143268942832947,0.05728195607662201,0.037507861852645874,0.035163115710020065
31,1291.6666666666667,,,,insightface_bbox,0.8527662754058838,312.7508239746094,654.20947265625,1847.01416015625,2753.808349609375,0,0,1,0,1,1,0,0,0,0,0,0,0.07562508434057236,0.03909236937761307,0.3404843211174011,0.023975437507033348,0.025769419968128204,0.07316245138645172,0.024403000250458717,0.02355200983583927,0.05821076035499573,0.05379137024283409,0.03340480476617813,0.03148936852812767
32,1333.3333333333333,,,,insightface_bbox,0.8527662754058838,312.7508239746094,654.20947265625,1847.01416015625,2753.808349609375,0,0,1,0,1,1,0,0,0,0,0,0,0.08150673657655716,0.04116189107298851,0.3235284984111786,0.024142330512404442,0.024670522660017014,0.07652071118354797,0.024587446823716164,0.02329961210489273,0.0579269602894783,0.05281580239534378,0.0373561829328537,0.032893791794776917
33,1375.0,,,,insightface_bbox,0.8527662754058838,312.7508239746094,654.20947265625,1847.01416015625,2753.808349609375,0,0,1,0,1,1,0,0,0,0,0,0,0.08239071071147919,0.041343070566654205,0.29664766788482666,0.023868419229984283,0.023946350440382957,0.07815607637166977,0.024953968822956085,0.023202478885650635,0.05593700334429741,0.05319683253765106,0.03903738781809807,0.03284284844994545
34,1416.6666666666667,,,,insightface_bbox,0.8527662754058838,312.7508239746094,654.20947265625,1847.01416015625,2753.808349609375,0,0,1,0,1,1,0,0,0,0,0,0,0.08471685647964478,0.04206319898366928,0.2900391221046448,0.024865342304110527,0.02475033327937126,0.08132220059633255,0.026822954416275024,0.024606434628367424,0.06122272461652756,0.05683744698762894,0.03990592435002327,0.03390023857355118
35,1458.3333333333333,,,,insightface_bbox,0.8527662754058838,312.7508239746094,654.20947265625,1847.01416015625,2753.808349609375,0,0,1,0,1,1,0,0,0,0,0,0,0.09024564921855927,0.04727603495121002,0.3059616982936859,0.027282124385237694,0.027327291667461395,0.10228853672742844,0.030986204743385315,0.026438327506184578,0.06593574583530426,0.06020073592662811,0.04454607516527176,0.03688575699925423
36,1500.0,,,,insightface_bbox,0.8371914029121399,322.0192565917969,687.0686645507812,1832.5323486328125,2713.9189453125,0,0,1,0,1,1,0,0,0,0,0,0,0.08833938091993332,0.04649738222360611,0.43418318033218384,0.027875743806362152,0.02914086915552616,0.13535389304161072,0.029535654932260513,0.028156839311122894,0.07031776756048203,0.05679601430892944,0.04270138218998909,0.036103058606386185
37,1541.6666666666667,,,,insightface_bbox,0.8371914029121399,322.0192565917969,687.0686645507812,1832.5323486328125,2713.9189453125,0,0,1,0,1,1,0,0,0,0,0,0,0.08179039508104324,0.044122058898210526,0.3943941295146942,0.027586203068494797,0.029439568519592285,0.11885661631822586,0.03162717819213867,0.027452580630779266,0.06966377794742584,0.05798574537038803,0.040371932089328766,0.034364521503448486
38,1583.3333333333333,,,,insightface_bbox,0.8371914029121399,322.0192565917969,687.0686645507812,1832.5323486328125,2713.9189453125,0,0,1,0,1,1,0,0,0,0,0,0,0.07625599950551987,0.04198196902871132,0.3536093235015869,0.027083881199359894,0.02838861383497715,0.11009823530912399,0.032183483242988586,0.02782011218369007,0.0693449079990387,0.059401948004961014,0.039767079055309296,0.03450683504343033
39,1625.0,,,,insightface_bbox,0.8371914029121399,322.0192565917969,687.0686645507812,1832.5323486328125,2713.9189453125,0,0,1,0,1,1,0,0,0,0,0,0,0.0792604610323906,0.04322327673435211,0.3734808564186096,0.027107270434498787,0.029204484075307846,0.10800450295209885,0.03234720975160599,0.027229543775320053,0.06745437532663345,0.05760275200009346,0.03976770117878914,0.03404704108834267
40,1666.6666666666667,,,,insightface_bbox,0.8371914029121399,322.0192565917969,687.0686645507812,1832.5323486328125,2713.9189453125,0,0,1,0,1,1,0,0,0,0,0,0,0.08618823438882828,0.04676528647542,0.4180747866630554,0.02844223566353321,0.03041103668510914,0.1294693946838379,0.03155556321144104,0.028864767402410507,0.0704192966222763,0.0578455775976181,0.044224925339221954,0.03669780120253563
41,1708.3333333333333,,,,insightface_bbox,0.8371914029121399,322.0192565917969,687.0686645507812,1832.5323486328125,2713.9189453125,0,0,1,0,1,1,0,0,0,0,0,0,0.08375939726829529,0.046457864344120026,0.4041050374507904,0.02794974483549595,0.03011918067932129,0.1326795220375061,0.030383523553609848,0.02855217456817627,0.07046178728342056,0.057020578533411026,0.042711514979600906,0.036279696971178055
42,1750.0,,,,insightface_bbox,0.8457916975021362,321.4880676269531,698.1773681640625,1829.0531005859375,2725.075439453125,0,0,1,0,1,1,0,0,0,0,0,0,0.07875488698482513,0.04524124786257744,0.3804470896720886,0.028400879353284836,0.02957828715443611,0.13851790130138397,0.030989933758974075,0.029904795810580254,0.07321128249168396,0.05893443524837494,0.04566379263997078,0.036436211317777634
43,1791.6666666666667,,,,insightface_bbox,0.8457916975021362,321.4880676269531,698.1773681640625,1829.0531005859375,2725.075439453125,0,0,1,0,1,1,0,0,0,0,0,0,0.07084710896015167,0.04204092547297478,0.29336604475975037,0.027328919619321823,0.026733605191111565,0.10944277793169022,0.03132336214184761,0.027606576681137085,0.07107724249362946,0.05718286707997322,0.04408784955739975,0.035055458545684814
44,1833.3333333333333,,,,insightface_bbox,0.8457916975021362,321.4880676269531,698.1773681640625,1829.0531005859375,2725.075439453125,0,0,1,0,1,1,0,0,0,0,0,0,0.08593149483203888,0.05223285034298897,0.2862819731235504,0.03391806408762932,0.03407038003206253,0.13657552003860474,0.05242049694061279,0.03359740599989891,0.08417822420597076,0.07245420664548874,0.07227274775505066,0.04433642327785492
45,1875.0,,,,insightface_bbox,0.8457916975021362,321.4880676269531,698.1773681640625,1829.0531005859375,2725.075439453125,0,0,1,0,1,1,0,0,0,0,0,0,0.09166990220546722,0.05976293236017227,0.27213218808174133,0.03640728443861008,0.03754217550158501,0.1655985713005066,0.0605551078915596,0.03570885583758354,0.09122002124786377,0.0765664204955101,0.0802498608827591,0.04571624845266342
46,1916.6666666666667,,,,insightface_bbox,0.8457916975021362,321.4880676269531,698.1773681640625,1829.0531005859375,2725.075439453125,0,0,1,0,1,1,0,1,0,0,0,0,0.0979624018073082,0.06323245167732239,0.3002731204032898,0.03756462037563324,0.0400879830121994,0.20346659421920776,0.06486804783344269,0.03731141239404678,0.09584854543209076,0.07780205458402634,0.0809907615184784,0.04642137885093689
47,1958.3333333333333,,,,insightface_bbox,0.8457916975021362,321.4880676269531,698.1773681640625,1829.0531005859375,2725.075439453125,0,0,1,0,1,1,0,1,0,0,0,0,0.09114649891853333,0.05868109315633774,0.28341490030288696,0.03517500311136246,0.039837419986724854,0.1834779679775238,0.06202448159456253,0.03420610353350639,0.08786383271217346,0.0739053338766098,0.06544117629528046,0.04137498885393143
