frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8090430498123169,751.3096313476562,767.5545654296875,1943.6700439453125,2637.1640625,0,0,0,0,0,1,1,0,0,0,0,0,0.0665028765797615,0.04562212526798248,0.06079733371734619,0.03567453846335411,0.06132933497428894,0.04198075830936432,0.03435095399618149,0.036602944135665894,0.04685455560684204,0.05700553208589554,0.5933059453964233,0.09430806338787079
1,41.666666666666664,,,,insightface_bbox,0.8090430498123169,751.3096313476562,767.5545654296875,1943.6700439453125,2637.1640625,0,0,0,0,0,1,1,0,0,0,0,0,0.06375330686569214,0.04469707980751991,0.05959083139896393,0.035385776311159134,0.06105584651231766,0.041447073221206665,0.03513304144144058,0.036576200276613235,0.0467001236975193,0.0570039227604866,0.6043577790260315,0.09399281442165375
2,83.33333333333333,,,,insightface_bbox,0.8090430498123169,751.3096313476562,767.5545654296875,1943.6700439453125,2637.1640625,0,0,0,0,0,1,1,0,0,0,0,0,0.06466950476169586,0.04489897936582565,0.060264185070991516,0.03548556938767433,0.06082933023571968,0.04175039380788803,0.03505006432533264,0.03676536679267883,0.04688623547554016,0.05692894011735916,0.6051322817802429,0.09440919756889343
3,125.0,,,,insightface_bbox,0.8090430498123169,751.3096313476562,767.5545654296875,1943.6700439453125,2637.1640625,0,0,0,0,0,1,1,0,0,0,0,0,0.06527456641197205,0.04575406759977341,0.059858061373233795,0.03602050617337227,0.05970478802919388,0.04209638386964798,0.036545272916555405,0.036656104028224945,0.047052543610334396,0.05683683231472969,0.5902920961380005,0.09525320678949356
4,166.66666666666666,,,,insightface_bbox,0.8090430498123169,751.3096313476562,767.5545654296875,1943.6700439453125,2637.1640625,0,0,0,0,0,1,1,0,0,0,0,0,0.061969827860593796,0.04465937241911888,0.058089084923267365,0.035246774554252625,0.05862656235694885,0.04172085225582123,0.03713523596525192,0.03569062054157257,0.04757540673017502,0.05692832171916962,0.5862112045288086,0.09473337978124619
5,208.33333333333334,,,,insightface_bbox,0.8090430498123169,751.3096313476562,767.5545654296875,1943.6700439453125,2637.1640625,0,0,0,0,0,1,1,0,0,0,0,0,0.05995761230587959,0.043808989226818085,0.05334111303091049,0.034609898924827576,0.05693409591913223,0.040886569768190384,0.03553100675344467,0.03597305715084076,0.047067660838365555,0.05544913560152054,0.6149978637695312,0.09720728546380997
6,250.0,,,,insightface_bbox,0.8077805638313293,719.7512817382812,793.094482421875,1941.0274658203125,2660.010009765625,0,0,0,0,0,1,0,0,0,0,0,0,0.06488523632287979,0.04361794888973236,0.045269325375556946,0.03155475854873657,0.04490422084927559,0.037371303886175156,0.028977470472455025,0.03098478354513645,0.044216565787792206,0.05257776379585266,0.4139932692050934,0.09550294280052185
7,291.6666666666667,,,,insightface_bbox,0.8077805638313293,719.7512817382812,793.094482421875,1941.0274658203125,2660.010009765625,0,0,0,0,0,1,0,0,0,0,0,0,0.06556826829910278,0.04321925342082977,0.04528254643082619,0.03154933080077171,0.04446570575237274,0.03787856921553612,0.028377054259181023,0.0312047116458416,0.04394960030913353,0.05298516899347305,0.402456670999527,0.09510201215744019
8,333.3333333333333,,,,insightface_bbox,0.8077805638313293,719.7512817382812,793.094482421875,1941.0274658203125,2660.010009765625,0,0,0,0,0,0,0,0,0,0,0,0,0.06282538920640945,0.04032542556524277,0.04481228068470955,0.029993843287229538,0.03933221846818924,0.03712228685617447,0.023956820368766785,0.031039420515298843,0.0419485941529274,0.05259649455547333,0.3387671113014221,0.09396824240684509
9,375.0,,,,insightface_bbox,0.8077805638313293,719.7512817382812,793.094482421875,1941.0274658203125,2660.010009765625,0,0,0,0,0,0,0,0,0,0,0,0,0.06388206779956818,0.04184344410896301,0.04537706822156906,0.030591629445552826,0.04047064110636711,0.03744636848568916,0.0247054286301136,0.031604766845703125,0.042911116033792496,0.05351017415523529,0.32854869961738586,0.09426195919513702
