frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8144958019256592,229.912109375,341.52288818359375,937.6405639648438,1278.1968994140625,0,0,1,1,1,1,0,1,0,1,0,1,0.06063888221979141,0.04499094560742378,0.31947511434555054,0.06259602308273315,0.24754129350185394,0.10104404389858246,0.446461021900177,0.06160864606499672,0.18009094893932343,0.14873825013637543,0.04575326666235924,0.042164094746112823
1,41.666666666666664,,,,insightface_bbox,0.8144958019256592,229.912109375,341.52288818359375,937.6405639648438,1278.1968994140625,0,0,1,1,1,1,0,1,0,1,0,1,0.06844188272953033,0.04958217963576317,0.4203376770019531,0.06697186827659607,0.27423790097236633,0.11306700110435486,0.41693153977394104,0.06788162142038345,0.20426930487155914,0.1661011278629303,0.042988959699869156,0.04456077143549919
2,83.33333333333333,,,,insightface_bbox,0.8144958019256592,229.912109375,341.52288818359375,937.6405639648438,1278.1968994140625,0,0,1,1,1,1,0,1,0,1,0,1,0.05744002386927605,0.04213428124785423,0.305841326713562,0.05959313362836838,0.22092340886592865,0.09252261370420456,0.34709250926971436,0.05969475209712982,0.16465052962303162,0.14085382223129272,0.03577315807342529,0.03842105343937874
3,125.0,,,,insightface_bbox,0.8144958019256592,229.912109375,341.52288818359375,937.6405639648438,1278.1968994140625,0,0,1,1,1,1,0,1,0,1,0,1,0.05300814285874367,0.03906639292836189,0.2564150393009186,0.055623359978199005,0.20717576146125793,0.08415278047323227,0.3155490756034851,0.05666729062795639,0.1453065127134323,0.13485579192638397,0.03354058042168617,0.03567987307906151
4,166.66666666666666,,,,insightface_bbox,0.8144958019256592,229.912109375,341.52288818359375,937.6405639648438,1278.1968994140625,0,0,1,1,1,1,0,1,0,0,0,0,0.04853513836860657,0.03421749547123909,0.2188659906387329,0.04959693178534508,0.1450999230146408,0.07613864541053772,0.23246777057647705,0.05130495876073837,0.12224166095256805,0.1223519816994667,0.02884139120578766,0.03216833248734474
5,208.33333333333334,,,,insightface_bbox,0.8144958019256592,229.912109375,341.52288818359375,937.6405639648438,1278.1968994140625,0,0,1,1,1,1,0,1,0,0,0,0,0.05453835800290108,0.03768238425254822,0.29341864585876465,0.052126482129096985,0.14885668456554413,0.08661586791276932,0.19880199432373047,0.05679382011294365,0.12833712995052338,0.13213711977005005,0.031198354437947273,0.03267217054963112
6,250.0,,,,insightface_bbox,0.8019828796386719,229.95372009277344,341.5652770996094,934.724609375,1262.0634765625,0,0,1,1,1,1,0,1,0,1,0,1,0.06338111311197281,0.04310519993305206,0.41386502981185913,0.05750926584005356,0.17765648663043976,0.09871834516525269,0.2513086199760437,0.06109024956822395,0.14762234687805176,0.13578328490257263,0.03239363431930542,0.039288051426410675
7,291.6666666666667,,,,insightface_bbox,0.8019828796386719,229.95372009277344,341.5652770996094,934.724609375,1262.0634765625,0,0,1,1,1,1,0,1,0,1,0,0,0.06157616153359413,0.042674802243709564,0.4085848033428192,0.05560996010899544,0.1720641404390335,0.09462233632802963,0.23632198572158813,0.05896430090069771,0.1415879875421524,0.13181237876415253,0.031294479966163635,0.03890864923596382
8,333.3333333333333,,,,insightface_bbox,0.8019828796386719,229.95372009277344,341.5652770996094,934.724609375,1262.0634765625,0,0,1,1,1,1,0,1,0,1,0,0,0.057871263474226,0.03887899965047836,0.36579087376594543,0.04972695931792259,0.15066005289554596,0.08152573555707932,0.20852607488632202,0.05228450894355774,0.12938687205314636,0.12408071756362915,0.027966314926743507,0.03458927571773529
9,375.0,,,,insightface_bbox,0.8019828796386719,229.95372009277344,341.5652770996094,934.724609375,1262.0634765625,0,0,1,1,1,1,0,1,0,0,0,0,0.058760177344083786,0.03916136175394058,0.42720460891723633,0.04832223057746887,0.13413526117801666,0.07783262431621552,0.19424603879451752,0.049228034913539886,0.11776167899370193,0.11828140169382095,0.030194491147994995,0.03566455841064453
