frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8256103992462158,377.6446228027344,1059.011474609375,1740.722900390625,2803.838623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030699538066983223,0.024355247616767883,0.02953113056719303,0.020479153841733932,0.016498712822794914,0.020956456661224365,0.014592348597943783,0.02641230635344982,0.05176769196987152,0.047119759023189545,0.007976214401423931,0.023200100287795067
1,41.666666666666664,,,,insightface_bbox,0.8256103992462158,377.6446228027344,1059.011474609375,1740.722900390625,2803.838623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030707191675901413,0.023887546733021736,0.02918708696961403,0.020162610337138176,0.016412435099482536,0.02004626765847206,0.013792544603347778,0.025677790865302086,0.05163845047354698,0.047297991812229156,0.007828254252672195,0.022694237530231476
2,83.33333333333333,,,,insightface_bbox,0.8256103992462158,377.6446228027344,1059.011474609375,1740.722900390625,2803.838623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030329670757055283,0.02331537753343582,0.028573760762810707,0.0198129341006279,0.01652076281607151,0.019684307277202606,0.013675647787749767,0.025509146973490715,0.0520574115216732,0.04828837513923645,0.007949844934046268,0.022577473893761635
3,125.0,,,,insightface_bbox,0.8256103992462158,377.6446228027344,1059.011474609375,1740.722900390625,2803.838623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030763735994696617,0.02315504103899002,0.028621986508369446,0.019660845398902893,0.016918649896979332,0.019697008654475212,0.013741737231612206,0.025118177756667137,0.053772419691085815,0.04925774410367012,0.008167766034603119,0.022508785128593445
4,166.66666666666666,,,,insightface_bbox,0.8256103992462158,377.6446228027344,1059.011474609375,1740.722900390625,2803.838623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030706800520420074,0.022888150066137314,0.02804764360189438,0.019463608041405678,0.017021125182509422,0.01940133236348629,0.01370975375175476,0.024758223444223404,0.053464625030756,0.04911510646343231,0.008248753845691681,0.02230878174304962
5,208.33333333333334,,,,insightface_bbox,0.8256103992462158,377.6446228027344,1059.011474609375,1740.722900390625,2803.838623046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030253566801548004,0.022455191239714622,0.027139464393258095,0.019102228805422783,0.016539262607693672,0.018790319561958313,0.01319022849202156,0.02459903247654438,0.05354773998260498,0.04921434819698334,0.007669838145375252,0.021818600594997406
6,250.0,,,,insightface_bbox,0.8208745718002319,378.8812255859375,1039.919921875,1742.588134765625,2807.03369140625,0,0,0,0,0,0,0,0,0,0,0,0,0.031271886080503464,0.023476390168070793,0.027979498729109764,0.01967609114944935,0.017223896458745003,0.01943308673799038,0.014041335321962833,0.024797867983579636,0.05400548875331879,0.0493226982653141,0.008042393252253532,0.022397607564926147
7,291.6666666666667,,,,insightface_bbox,0.8208745718002319,378.8812255859375,1039.919921875,1742.588134765625,2807.03369140625,0,0,0,0,0,0,0,0,0,0,0,0,0.030948035418987274,0.023059315979480743,0.027469182386994362,0.01915784180164337,0.016878031194210052,0.019199755042791367,0.013429902493953705,0.024386262521147728,0.054280586540699005,0.04944911599159241,0.007803160697221756,0.02197171561419964
8,333.3333333333333,,,,insightface_bbox,0.8208745718002319,378.8812255859375,1039.919921875,1742.588134765625,2807.03369140625,0,0,0,0,0,0,0,0,0,0,0,0,0.03049773909151554,0.022361410781741142,0.026119453832507133,0.01861405000090599,0.016482435166835785,0.01877075433731079,0.012977621518075466,0.023658625781536102,0.05382596701383591,0.04890820011496544,0.007673720829188824,0.021537700667977333
9,375.0,,,,insightface_bbox,0.8208745718002319,378.8812255859375,1039.919921875,1742.588134765625,2807.03369140625,0,0,0,0,0,0,0,0,0,0,0,0,0.0302916020154953,0.022173751145601273,0.02708975225687027,0.018527768552303314,0.016976332291960716,0.019083397462964058,0.013024230487644672,0.023560918867588043,0.05490777641534805,0.04984158277511597,0.007654957007616758,0.021201521158218384
10,416.6666666666667,,,,insightface_bbox,0.8208745718002319,378.8812255859375,1039.919921875,1742.588134765625,2807.03369140625,0,0,0,0,0,0,0,0,0,0,0,0,0.03032761625945568,0.02239367365837097,0.027266189455986023,0.018514545634388924,0.016847163438796997,0.018936460837721825,0.012827119790017605,0.023413432762026787,0.054902493953704834,0.04921664297580719,0.007442602887749672,0.021181177347898483
11,458.3333333333333,,,,insightface_bbox,0.8208745718002319,378.8812255859375,1039.919921875,1742.588134765625,2807.03369140625,0,0,0,0,0,0,0,0,0,0,0,0,0.030370116233825684,0.022177856415510178,0.027117503806948662,0.018439343199133873,0.016879091039299965,0.018963061273097992,0.012614468112587929,0.023252904415130615,0.05433214455842972,0.048884518444538116,0.0074590458534657955,0.02113908901810646
12,500.0,,,,insightface_bbox,0.822099506855011,393.4067077636719,1049.89453125,1738.3228759765625,2819.830810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.030190683901309967,0.022615380585193634,0.024853147566318512,0.017957378178834915,0.02036943845450878,0.017442820593714714,0.013556212186813354,0.022977299988269806,0.05001259967684746,0.04338616132736206,0.009034966118633747,0.02189168892800808
13,541.6666666666666,,,,insightface_bbox,0.822099506855011,393.4067077636719,1049.89453125,1738.3228759765625,2819.830810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.02986915595829487,0.022111281752586365,0.024768810719251633,0.01744663529098034,0.019963307306170464,0.01689801551401615,0.01352667436003685,0.022186681628227234,0.04973660781979561,0.04321660101413727,0.008873687125742435,0.021002084016799927
14,583.3333333333334,,,,insightface_bbox,0.822099506855011,393.4067077636719,1049.89453125,1738.3228759765625,2819.830810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.02941763959825039,0.02211008407175541,0.024093344807624817,0.01766924187541008,0.02001410350203514,0.01679135672748089,0.014096599072217941,0.02238444983959198,0.05025448650121689,0.04375162720680237,0.009054630994796753,0.021456854417920113
15,625.0,,,,insightface_bbox,0.822099506855011,393.4067077636719,1049.89453125,1738.3228759765625,2819.830810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.02936195395886898,0.02204471454024315,0.023817963898181915,0.01766466163098812,0.020078767091035843,0.016891472041606903,0.014057381078600883,0.022404881194233894,0.049705930054187775,0.043415334075689316,0.00909572746604681,0.02141687646508217
16,666.6666666666666,,,,insightface_bbox,0.822099506855011,393.4067077636719,1049.89453125,1738.3228759765625,2819.830810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.02841256931424141,0.02122814580798149,0.02302173152565956,0.016887981444597244,0.01893884316086769,0.016283130273222923,0.012767459265887737,0.021935630589723587,0.04886879771947861,0.042037349194288254,0.008691131137311459,0.020773356780409813
17,708.3333333333334,,,,insightface_bbox,0.822099506855011,393.4067077636719,1049.89453125,1738.3228759765625,2819.830810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.028849458321928978,0.0212671160697937,0.023186085745692253,0.016811149194836617,0.01905212365090847,0.016385257244110107,0.012755168601870537,0.022006060928106308,0.048955678939819336,0.04220631718635559,0.008750304579734802,0.020763199776411057
18,750.0,,,,insightface_bbox,0.821133017539978,385.5196838378906,1063.41455078125,1740.8270263671875,2809.518798828125,0,0,0,0,0,0,0,0,0,0,0,0,0.030331194400787354,0.02119629830121994,0.0240800641477108,0.01762494631111622,0.01716925948858261,0.017303962260484695,0.012227410450577736,0.022431517019867897,0.05267348140478134,0.04643157869577408,0.00786542147397995,0.020684292539954185
19,791.6666666666666,,,,insightface_bbox,0.821133017539978,385.5196838378906,1063.41455078125,1740.8270263671875,2809.518798828125,0,0,0,0,0,0,0,0,0,0,0,0,0.030923541635274887,0.02168368548154831,0.024688344448804855,0.01795915514230728,0.017874903976917267,0.017691051587462425,0.012521025724709034,0.022894669324159622,0.053502924740314484,0.0468117892742157,0.008094178512692451,0.021058451384305954
