frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.822213888168335,192.68556213378906,533.8403930664062,871.6950073242188,1396.5858154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.0330951102077961,0.02292737178504467,0.030976135283708572,0.018151504918932915,0.01792033761739731,0.019509637728333473,0.012296561151742935,0.02253580093383789,0.05603356286883354,0.04847878962755203,0.009197689592838287,0.021234698593616486
1,41.666666666666664,,,,insightface_bbox,0.822213888168335,192.68556213378906,533.8403930664062,871.6950073242188,1396.5858154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.03380095213651657,0.02326439693570137,0.03135376051068306,0.01836877502501011,0.018074234947562218,0.01957632228732109,0.012219920754432678,0.022658759728074074,0.056172437965869904,0.04839763417840004,0.009120099246501923,0.021295035257935524
2,83.33333333333333,,,,insightface_bbox,0.822213888168335,192.68556213378906,533.8403930664062,871.6950073242188,1396.5858154296875,0,0,0,0,0,1,0,0,0,0,0,0,0.033721353858709335,0.023251589387655258,0.03170839697122574,0.018489079549908638,0.018398556858301163,0.019775090739130974,0.012735238298773766,0.02279142662882805,0.05682844668626785,0.04883889853954315,0.009412236511707306,0.02147812768816948
3,125.0,,,,insightface_bbox,0.822213888168335,192.68556213378906,533.8403930664062,871.6950073242188,1396.5858154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.03299771621823311,0.02255309373140335,0.030827512964606285,0.018285326659679413,0.017950383946299553,0.019043002277612686,0.013345189392566681,0.02266964688897133,0.05743975192308426,0.0500088706612587,0.00932694785296917,0.021408459171652794
4,166.66666666666666,,,,insightface_bbox,0.822213888168335,192.68556213378906,533.8403930664062,871.6950073242188,1396.5858154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.032469671219587326,0.022164352238178253,0.028685878962278366,0.01808231696486473,0.01744595542550087,0.01809092052280903,0.012700624763965607,0.021859847009181976,0.05657687783241272,0.048374466598033905,0.008715124800801277,0.021125491708517075
5,208.33333333333334,,,,insightface_bbox,0.822213888168335,192.68556213378906,533.8403930664062,871.6950073242188,1396.5858154296875,0,0,0,0,0,1,0,0,0,0,0,0,0.03330419957637787,0.022511254996061325,0.02910005860030651,0.01846364326775074,0.018667325377464294,0.018320666626095772,0.014236660674214363,0.022054534405469894,0.05613764747977257,0.048241131007671356,0.00923709012567997,0.021427443251013756
6,250.0,,,,insightface_bbox,0.8280707597732544,191.92552185058594,529.7914428710938,867.429443359375,1396.130859375,0,0,0,0,0,0,0,0,0,0,0,0,0.03260406479239464,0.021456345915794373,0.025817984715104103,0.01712961308658123,0.019036175683140755,0.016568481922149658,0.012775580398738384,0.020683910697698593,0.05430983006954193,0.04424700140953064,0.00918047595769167,0.02066074311733246
7,291.6666666666667,,,,insightface_bbox,0.8280707597732544,191.92552185058594,529.7914428710938,867.429443359375,1396.130859375,0,0,0,0,0,0,0,0,0,0,0,0,0.03126351535320282,0.021168386563658714,0.02487591654062271,0.01708598993718624,0.018159708008170128,0.01609966903924942,0.012278413400053978,0.020494284108281136,0.05352266505360603,0.044494275003671646,0.008641356602311134,0.019903304055333138
8,333.3333333333333,,,,insightface_bbox,0.8280707597732544,191.92552185058594,529.7914428710938,867.429443359375,1396.130859375,0,0,0,0,0,0,0,0,0,0,0,0,0.030932744964957237,0.02072952501475811,0.024396933615207672,0.016699299216270447,0.018040722236037254,0.015683718025684357,0.012253908440470695,0.01998724229633808,0.052733585238456726,0.04250797629356384,0.008658072911202908,0.019908741116523743
9,375.0,,,,insightface_bbox,0.8280707597732544,191.92552185058594,529.7914428710938,867.429443359375,1396.130859375,0,0,0,0,0,1,0,0,0,0,0,0,0.03221121430397034,0.021224074065685272,0.02539234235882759,0.01729409024119377,0.01937611773610115,0.016267651692032814,0.013184315524995327,0.020200006663799286,0.0525221973657608,0.043474067002534866,0.008826708421111107,0.019910696893930435
10,416.6666666666667,,,,insightface_bbox,0.8280707597732544,191.92552185058594,529.7914428710938,867.429443359375,1396.130859375,0,0,0,0,0,1,0,0,0,0,0,0,0.0328526496887207,0.021537140011787415,0.02696933038532734,0.017237259075045586,0.019460411742329597,0.016868386417627335,0.013267146423459053,0.020262662321329117,0.05331190302968025,0.042896490544080734,0.009336265735328197,0.02034946158528328
11,458.3333333333333,,,,insightface_bbox,0.8280707597732544,191.92552185058594,529.7914428710938,867.429443359375,1396.130859375,0,0,0,0,0,1,0,0,0,0,0,0,0.0321420356631279,0.021188337355852127,0.025263898074626923,0.01712489314377308,0.019521964713931084,0.016453146934509277,0.013062002137303352,0.019658727571368217,0.05089128762483597,0.04138939082622528,0.009782346896827221,0.020689627155661583
12,500.0,,,,insightface_bbox,0.8257569074630737,189.1156768798828,527.2941284179688,867.4074096679688,1407.9158935546875,0,0,0,0,0,0,0,0,0,0,0,0,0.029864512383937836,0.020544592291116714,0.023990562185645103,0.01723235286772251,0.017462732270359993,0.015935951843857765,0.012662871740758419,0.020000318065285683,0.051835402846336365,0.043891601264476776,0.008106842637062073,0.020751694217324257
13,541.6666666666666,,,,insightface_bbox,0.8257569074630737,189.1156768798828,527.2941284179688,867.4074096679688,1407.9158935546875,0,0,0,0,0,1,0,0,0,0,0,0,0.02956012263894081,0.02153254859149456,0.023819763213396072,0.017862726002931595,0.016970444470643997,0.01587245799601078,0.013833860866725445,0.02068207412958145,0.0560828298330307,0.04959194362163544,0.00784753542393446,0.02073463425040245
14,583.3333333333334,,,,insightface_bbox,0.8257569074630737,189.1156768798828,527.2941284179688,867.4074096679688,1407.9158935546875,0,0,0,0,0,1,0,0,0,0,0,0,0.03075379692018032,0.024337375536561012,0.028369832783937454,0.019348351284861565,0.01945573464035988,0.018142443150281906,0.01834901049733162,0.022467024624347687,0.06228547543287277,0.052848681807518005,0.008595453575253487,0.0213759858161211
15,625.0,,,,insightface_bbox,0.8257569074630737,189.1156768798828,527.2941284179688,867.4074096679688,1407.9158935546875,0,0,0,0,0,1,0,0,0,0,0,0,0.029933655634522438,0.024103809148073196,0.028199685737490654,0.019326133653521538,0.018984593451023102,0.017996907234191895,0.018279246985912323,0.022335972636938095,0.06285534054040909,0.05355474352836609,0.008167451247572899,0.02085099369287491
16,666.6666666666666,,,,insightface_bbox,0.8257569074630737,189.1156768798828,527.2941284179688,867.4074096679688,1407.9158935546875,0,0,0,0,0,1,0,0,0,0,0,0,0.031553562730550766,0.025450846180319786,0.03033619560301304,0.0204014889895916,0.021448511630296707,0.01867584139108658,0.021888133138418198,0.022541247308254242,0.06334860622882843,0.052542053163051605,0.00935154128819704,0.021591361612081528
17,708.3333333333334,,,,insightface_bbox,0.8257569074630737,189.1156768798828,527.2941284179688,867.4074096679688,1407.9158935546875,0,0,0,0,0,1,0,0,0,0,0,0,0.03253637254238129,0.026056762784719467,0.03175843879580498,0.021010560914874077,0.023429542779922485,0.01940307393670082,0.02488117851316929,0.022958440706133842,0.06516099721193314,0.053963012993335724,0.00924768764525652,0.021313879638910294
18,750.0,,,,insightface_bbox,0.8249747157096863,193.18862915039062,532.7202758789062,873.2940673828125,1406.6207275390625,0,0,0,0,0,1,0,0,0,0,0,0,0.03216291964054108,0.025990532711148262,0.030980419367551804,0.021502360701560974,0.023578602820634842,0.019615644589066505,0.025907374918460846,0.022255143150687218,0.06368512660264969,0.05315183848142624,0.0081844013184309,0.02031465247273445
19,791.6666666666666,,,,insightface_bbox,0.8249747157096863,193.18862915039062,532.7202758789062,873.2940673828125,1406.6207275390625,0,0,0,0,0,1,0,0,0,0,0,0,0.032312992960214615,0.026214368641376495,0.03219800442457199,0.02143031172454357,0.023914406076073647,0.019800307229161263,0.025499442592263222,0.02262980118393898,0.06513852626085281,0.053042564541101456,0.00766603322699666,0.020054705440998077
20,833.3333333333334,,,,insightface_bbox,0.8249747157096863,193.18862915039062,532.7202758789062,873.2940673828125,1406.6207275390625,0,0,0,0,0,1,0,0,0,0,0,0,0.032579176127910614,0.02646290510892868,0.032231684774160385,0.021821802482008934,0.02447645366191864,0.019860226660966873,0.025529617443680763,0.022844595834612846,0.0637429878115654,0.05290982872247696,0.007837409153580666,0.020531143993139267
21,875.0,,,,insightface_bbox,0.8249747157096863,193.18862915039062,532.7202758789062,873.2940673828125,1406.6207275390625,0,0,0,0,0,1,0,1,0,0,0,0,0.0329211950302124,0.026812195777893066,0.03263022378087044,0.022375579923391342,0.024455709382891655,0.02000986598432064,0.028307419270277023,0.023158833384513855,0.06537038087844849,0.05403310805559158,0.007645170670002699,0.02049553021788597
