frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7740850448608398,221.70254516601562,765.9006958007812,1890.960205078125,2986.547119140625,0,0,0,0,0,0,0,0,0,0,0,0,0.020610736683011055,0.014777262695133686,0.04095868021249771,0.013829026371240616,0.008496709167957306,0.01592901349067688,0.005181631073355675,0.02121504582464695,0.0380106195807457,0.043115101754665375,0.005612256471067667,0.015633394941687584
1,41.666666666666664,,,,insightface_bbox,0.7740850448608398,221.70254516601562,765.9006958007812,1890.960205078125,2986.547119140625,0,0,0,0,0,0,0,0,0,0,0,0,0.021875200793147087,0.015715040266513824,0.042507853358983994,0.014171452261507511,0.00910609308630228,0.016427861526608467,0.005487953778356314,0.021568534895777702,0.03861457109451294,0.04606238752603531,0.005910892505198717,0.015560212545096874
2,83.33333333333333,,,,insightface_bbox,0.7740850448608398,221.70254516601562,765.9006958007812,1890.960205078125,2986.547119140625,0,0,0,0,0,0,0,0,0,0,0,0,0.02218063734471798,0.0160335972905159,0.04495309293270111,0.014043733477592468,0.009209061041474342,0.01650695689022541,0.005397095810621977,0.02122098207473755,0.03895733132958412,0.046424008905887604,0.005743309855461121,0.015489867888391018
3,125.0,,,,insightface_bbox,0.7740850448608398,221.70254516601562,765.9006958007812,1890.960205078125,2986.547119140625,0,0,0,0,0,0,0,0,0,0,0,0,0.022501084953546524,0.01626904308795929,0.043154969811439514,0.014018425717949867,0.009370150975883007,0.01665310189127922,0.005440773442387581,0.021291550248861313,0.03882060572504997,0.047310881316661835,0.005968903191387653,0.01535207498818636
4,166.66666666666666,,,,insightface_bbox,0.7740850448608398,221.70254516601562,765.9006958007812,1890.960205078125,2986.547119140625,0,0,0,0,0,0,0,0,0,0,0,0,0.02235325053334236,0.01613939367234707,0.04323176294565201,0.013903659768402576,0.009410249069333076,0.016399232670664787,0.0053357817232608795,0.021202106028795242,0.038690246641635895,0.04692487791180611,0.0059842998161911964,0.015203507617115974
5,208.33333333333334,,,,insightface_bbox,0.7740850448608398,221.70254516601562,765.9006958007812,1890.960205078125,2986.547119140625,0,0,0,0,0,0,0,0,0,0,0,0,0.022057317197322845,0.016087528318166733,0.04062654450535774,0.013615423813462257,0.009138340130448341,0.015981994569301605,0.005181055516004562,0.02071240544319153,0.038330480456352234,0.046775758266448975,0.005631064064800739,0.015057836659252644
6,250.0,,,,insightface_bbox,0.7694786787033081,224.47055053710938,765.9752807617188,1892.1201171875,2985.21875,0,0,0,0,0,0,0,1,0,0,0,0,0.020754877477884293,0.015320121310651302,0.03440564125776291,0.013410767540335655,0.008922619745135307,0.015094732865691185,0.005296087823808193,0.020477045327425003,0.038607627153396606,0.04741331562399864,0.005219793412834406,0.014769685454666615
7,291.6666666666667,,,,insightface_bbox,0.7694786787033081,224.47055053710938,765.9752807617188,1892.1201171875,2985.21875,0,0,0,0,0,0,0,1,0,0,0,0,0.02077421359717846,0.015581655316054821,0.03296065703034401,0.013480117544531822,0.009097546339035034,0.015313742682337761,0.005547203589230776,0.021032221615314484,0.03941755369305611,0.049579933285713196,0.0053417072631418705,0.014856299385428429
8,333.3333333333333,,,,insightface_bbox,0.7694786787033081,224.47055053710938,765.9752807617188,1892.1201171875,2985.21875,0,0,0,0,0,0,0,1,0,0,0,0,0.022065404802560806,0.01573967933654785,0.033213965594768524,0.013498329557478428,0.009114145301282406,0.015706533566117287,0.00556328846141696,0.020679865032434464,0.038990799337625504,0.049064118415117264,0.005885315593332052,0.015307977795600891
9,375.0,,,,insightface_bbox,0.7694786787033081,224.47055053710938,765.9752807617188,1892.1201171875,2985.21875,0,0,0,0,0,0,0,1,0,0,0,0,0.02326550893485546,0.016189537942409515,0.03822016343474388,0.013597294688224792,0.009333453141152859,0.016501417383551598,0.005803175736218691,0.020981069654226303,0.040146127343177795,0.05046343803405762,0.005797252990305424,0.015559420920908451
