frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7411879301071167,291.0892639160156,422.4677429199219,961.7975463867188,1320.892578125,0,0,0,0,0,1,0,1,0,0,0,0,0.045630279928445816,0.04563560336828232,0.047589611262083054,0.03815971687436104,0.07998120039701462,0.03316252678632736,0.18710792064666748,0.03983016684651375,0.08337603509426117,0.07089798152446747,0.02535177581012249,0.03253250569105148
1,41.666666666666664,,,,insightface_bbox,0.7411879301071167,291.0892639160156,422.4677429199219,961.7975463867188,1320.892578125,0,0,0,0,0,1,0,1,0,0,0,0,0.04540911316871643,0.0436030849814415,0.047240786254405975,0.03736129403114319,0.07508794963359833,0.032572582364082336,0.1891835331916809,0.040394220501184464,0.08221808820962906,0.07442997395992279,0.02536243572831154,0.03285626322031021
2,83.33333333333333,,,,insightface_bbox,0.7411879301071167,291.0892639160156,422.4677429199219,961.7975463867188,1320.892578125,0,0,0,0,0,1,0,1,0,0,0,0,0.045274119824171066,0.0440048947930336,0.04602455347776413,0.03705936670303345,0.07102353870868683,0.03178727999329567,0.17677739262580872,0.039298683404922485,0.0821605771780014,0.06988223642110825,0.024668918922543526,0.03296923264861107
3,125.0,,,,insightface_bbox,0.7411879301071167,291.0892639160156,422.4677429199219,961.7975463867188,1320.892578125,0,0,0,0,0,1,0,1,0,0,0,0,0.0442819818854332,0.04164085164666176,0.04252081736922264,0.035151828080415726,0.06082635000348091,0.02978537231683731,0.14420995116233826,0.037476204335689545,0.0778743177652359,0.06603685021400452,0.024801738560199738,0.03283793106675148
4,166.66666666666666,,,,insightface_bbox,0.7411879301071167,291.0892639160156,422.4677429199219,961.7975463867188,1320.892578125,0,0,0,1,0,1,1,1,0,0,0,0,0.04865273833274841,0.04373864084482193,0.05665929988026619,0.03832881152629852,0.09038630872964859,0.03505764901638031,0.2416848987340927,0.0341094508767128,0.07457748800516129,0.06291796267032623,0.027076957747340202,0.03522718697786331
5,208.33333333333334,,,,insightface_bbox,0.7411879301071167,291.0892639160156,422.4677429199219,961.7975463867188,1320.892578125,0,0,0,1,1,1,1,1,0,0,0,0,0.0511506125330925,0.047611165791749954,0.06168521195650101,0.042342230677604675,0.10915176570415497,0.04130982607603073,0.30309799313545227,0.037702254951000214,0.08258365839719772,0.0710982233285904,0.028979968279600143,0.039187513291835785
6,250.0,,,,insightface_bbox,0.7881244421005249,281.7875671386719,422.7843322753906,963.9701538085938,1350.6051025390625,0,0,0,0,0,1,1,1,0,0,0,0,0.07774396240711212,0.06215960159897804,0.08973367512226105,0.06495059281587601,0.11548162996768951,0.055726584047079086,0.36147117614746094,0.04909811541438103,0.08459141850471497,0.10418856143951416,0.11817682534456253,0.11186712980270386
7,291.6666666666667,,,,insightface_bbox,0.7881244421005249,281.7875671386719,422.7843322753906,963.9701538085938,1350.6051025390625,0,0,0,0,1,1,1,0,0,0,0,0,0.08525015413761139,0.06783246994018555,0.0869634822010994,0.06822218745946884,0.15326951444149017,0.049516428261995316,0.3782592713832855,0.04895785450935364,0.0939970538020134,0.09207287430763245,0.09770386666059494,0.11568162590265274
8,333.3333333333333,,,,insightface_bbox,0.7881244421005249,281.7875671386719,422.7843322753906,963.9701538085938,1350.6051025390625,0,0,0,1,1,1,1,0,0,0,0,0,0.11793896555900574,0.09773752093315125,0.10730818659067154,0.11051199585199356,0.2863248586654663,0.06625936180353165,0.8037940263748169,0.07568658143281937,0.12758399546146393,0.13257822394371033,0.19888730347156525,0.28209471702575684
9,375.0,,,,insightface_bbox,0.7881244421005249,281.7875671386719,422.7843322753906,963.9701538085938,1350.6051025390625,0,0,0,1,1,1,1,0,0,0,0,0,0.11637426167726517,0.0958075076341629,0.10619983077049255,0.10165892541408539,0.278141587972641,0.06329023092985153,0.7024374604225159,0.0716380700469017,0.11989568173885345,0.1259032040834427,0.17510192096233368,0.24454429745674133
