frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8417358994483948,377.45562744140625,1047.5804443359375,1751.218505859375,2846.148193359375,0,0,0,0,0,0,0,0,0,0,0,0,0.024095483124256134,0.02170766144990921,0.02104974538087845,0.021731700748205185,0.02463734708726406,0.020598361268639565,0.02033185213804245,0.029296567663550377,0.05515156686306,0.04470090940594673,0.01545895729213953,0.021339409053325653
1,41.666666666666664,,,,insightface_bbox,0.8417358994483948,377.45562744140625,1047.5804443359375,1751.218505859375,2846.148193359375,0,0,0,0,0,0,0,0,0,0,0,0,0.025707710534334183,0.024019451811909676,0.02346738986670971,0.023793429136276245,0.030306220054626465,0.021789688616991043,0.021661169826984406,0.032136447727680206,0.06197177618741989,0.04772452265024185,0.01681695133447647,0.02206002175807953
2,83.33333333333333,,,,insightface_bbox,0.8417358994483948,377.45562744140625,1047.5804443359375,1751.218505859375,2846.148193359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02654181979596615,0.02550533227622509,0.024532288312911987,0.024035824462771416,0.033255379647016525,0.022141344845294952,0.019629811868071556,0.03430996835231781,0.067629873752594,0.04849554970860481,0.017309721559286118,0.02220708131790161
3,125.0,,,,insightface_bbox,0.8417358994483948,377.45562744140625,1047.5804443359375,1751.218505859375,2846.148193359375,0,0,0,0,0,0,0,0,0,0,0,0,0.026263194158673286,0.025844426825642586,0.024506796151399612,0.02398858219385147,0.03456960618495941,0.021768905222415924,0.018233971670269966,0.035405032336711884,0.07001865655183792,0.04888744652271271,0.016926821321249008,0.022017020732164383
4,166.66666666666666,,,,insightface_bbox,0.8417358994483948,377.45562744140625,1047.5804443359375,1751.218505859375,2846.148193359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02557622641324997,0.0262703076004982,0.025338198989629745,0.02406364679336548,0.03583773970603943,0.021310247480869293,0.01790631003677845,0.0365067683160305,0.07623029500246048,0.04968012124300003,0.014378690160810947,0.02109960839152336
5,208.33333333333334,,,,insightface_bbox,0.8417358994483948,377.45562744140625,1047.5804443359375,1751.218505859375,2846.148193359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02523457631468773,0.026737740263342857,0.02708556316792965,0.02415715903043747,0.036326680332422256,0.021128904074430466,0.01763131096959114,0.036330584436655045,0.08293609321117401,0.05124114826321602,0.012417844496667385,0.01997707039117813
6,250.0,,,,insightface_bbox,0.8498159050941467,376.4755554199219,1043.950439453125,1759.09765625,2860.882568359375,0,0,0,0,0,0,0,1,0,0,0,0,0.028827417641878128,0.03386291489005089,0.03707647696137428,0.03843441605567932,0.07852145284414291,0.027155764400959015,0.057089515030384064,0.04343272000551224,0.09505276381969452,0.07016853243112564,0.012238187715411186,0.02235940657556057
7,291.6666666666667,,,,insightface_bbox,0.8498159050941467,376.4755554199219,1043.950439453125,1759.09765625,2860.882568359375,0,0,0,0,0,1,0,1,0,0,0,0,0.05061814561486244,0.0717562809586525,0.05370189994573593,0.07488944381475449,0.29233020544052124,0.05668141692876816,0.22346867620944977,0.07107476145029068,0.09133987873792648,0.1087392047047615,0.34445858001708984,0.08959212899208069
8,333.3333333333333,,,,insightface_bbox,0.8498159050941467,376.4755554199219,1043.950439453125,1759.09765625,2860.882568359375,0,0,0,1,1,1,0,1,0,0,0,0,0.06932827830314636,0.10150723159313202,0.06016722321510315,0.11099059134721756,0.6544148921966553,0.07448071241378784,0.7334398031234741,0.09193931519985199,0.1058439239859581,0.1683371365070343,0.5331227779388428,0.1428314447402954
9,375.0,,,,insightface_bbox,0.8498159050941467,376.4755554199219,1043.950439453125,1759.09765625,2860.882568359375,0,0,0,1,1,1,0,1,0,0,0,0,0.07699523121118546,0.11269642412662506,0.062387365847826004,0.11833268404006958,0.7932749390602112,0.08247498422861099,0.8286813497543335,0.1041276603937149,0.11796469986438751,0.1981905698776245,0.5154325366020203,0.16674892604351044
