frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8019421100616455,380.09161376953125,776.341064453125,1734.229248046875,2573.655029296875,0,0,0,0,0,0,0,1,0,0,0,0,0.03227454796433449,0.020004315301775932,0.03287570923566818,0.023522907868027687,0.014542646706104279,0.02195439487695694,0.05491267144680023,0.026188593357801437,0.05381961911916733,0.06357169151306152,0.005620675627142191,0.021836964413523674
1,41.666666666666664,,,,insightface_bbox,0.8019421100616455,380.09161376953125,776.341064453125,1734.229248046875,2573.655029296875,0,0,0,0,0,0,0,1,0,0,0,0,0.0327533558011055,0.020338863134384155,0.033242687582969666,0.024216163903474808,0.015345807187259197,0.022027090191841125,0.060948386788368225,0.026802456006407738,0.05487065762281418,0.06583338230848312,0.005756803322583437,0.02229168266057968
2,83.33333333333333,,,,insightface_bbox,0.8019421100616455,380.09161376953125,776.341064453125,1734.229248046875,2573.655029296875,0,0,0,0,0,0,0,1,0,0,0,0,0.033354148268699646,0.020316457375884056,0.032162174582481384,0.023959297686815262,0.015209775418043137,0.022134650498628616,0.05838165059685707,0.026734914630651474,0.054708536714315414,0.06637614965438843,0.006572771351784468,0.022908758372068405
3,125.0,,,,insightface_bbox,0.8019421100616455,380.09161376953125,776.341064453125,1734.229248046875,2573.655029296875,0,0,0,0,0,0,0,1,0,0,0,0,0.03332222253084183,0.02018037997186184,0.031126633286476135,0.024007633328437805,0.015474376268684864,0.02196796052157879,0.05948048084974289,0.02643604204058647,0.054395243525505066,0.06693952530622482,0.007066629361361265,0.022993849590420723
4,166.66666666666666,,,,insightface_bbox,0.8019421100616455,380.09161376953125,776.341064453125,1734.229248046875,2573.655029296875,0,0,0,0,0,0,0,1,0,0,0,0,0.0328153520822525,0.019871963188052177,0.0284113846719265,0.023472949862480164,0.015090041793882847,0.02146054245531559,0.053836070001125336,0.02598925307393074,0.0536375418305397,0.06598199903964996,0.00762651301920414,0.023504262790083885
5,208.33333333333334,,,,insightface_bbox,0.8019421100616455,380.09161376953125,776.341064453125,1734.229248046875,2573.655029296875,0,0,0,0,0,0,0,1,0,0,0,0,0.030712008476257324,0.018988562747836113,0.02460971660912037,0.022760897874832153,0.015179669484496117,0.01981690339744091,0.05119166895747185,0.025597883388400078,0.05283598601818085,0.0673157200217247,0.007885327562689781,0.023391343653202057
6,250.0,,,,insightface_bbox,0.800234317779541,373.22698974609375,769.2383422851562,1721.222900390625,2570.6484375,0,0,0,0,0,0,0,1,0,0,0,0,0.030511168763041496,0.01922657899558544,0.024769961833953857,0.022232292219996452,0.01383257657289505,0.020253244787454605,0.03823108971118927,0.02721783146262169,0.04789368808269501,0.06304357200860977,0.008108729496598244,0.024861685931682587
7,291.6666666666667,,,,insightface_bbox,0.800234317779541,373.22698974609375,769.2383422851562,1721.222900390625,2570.6484375,0,0,0,0,0,0,0,1,0,0,0,0,0.02902241423726082,0.019077925011515617,0.023683486506342888,0.02208978310227394,0.013912435621023178,0.02022453397512436,0.03403586521744728,0.02812287025153637,0.04911455512046814,0.06512807309627533,0.008711890317499638,0.02526833489537239
8,333.3333333333333,,,,insightface_bbox,0.800234317779541,373.22698974609375,769.2383422851562,1721.222900390625,2570.6484375,0,0,0,0,0,0,0,1,0,0,0,0,0.028310898691415787,0.018880000337958336,0.021966218948364258,0.021508650854229927,0.013296922668814659,0.018643148243427277,0.02969464473426342,0.027770645916461945,0.04909871518611908,0.06676279753446579,0.007676819339394569,0.024402989074587822
9,375.0,,,,insightface_bbox,0.800234317779541,373.22698974609375,769.2383422851562,1721.222900390625,2570.6484375,0,0,0,0,0,0,0,1,0,0,0,0,0.025755316019058228,0.017671862617135048,0.020096024498343468,0.019409360364079475,0.01387670449912548,0.016816982999444008,0.025452319532632828,0.02649417519569397,0.05059163272380829,0.06773551553487778,0.006118811666965485,0.02094462141394615
10,416.6666666666667,,,,insightface_bbox,0.800234317779541,373.22698974609375,769.2383422851562,1721.222900390625,2570.6484375,0,0,0,0,0,0,0,1,0,0,0,0,0.02666494809091091,0.019623734056949615,0.020889675244688988,0.02213665470480919,0.01760353520512581,0.01730481907725334,0.03889211639761925,0.02682160586118698,0.054105740040540695,0.07256818562746048,0.006044046487659216,0.019779741764068604
11,458.3333333333333,,,,insightface_bbox,0.800234317779541,373.22698974609375,769.2383422851562,1721.222900390625,2570.6484375,0,0,0,0,0,1,0,1,0,0,0,0,0.030959244817495346,0.02507716603577137,0.025205690413713455,0.028956789523363113,0.022921038791537285,0.02108403481543064,0.06687603145837784,0.031131017953157425,0.06182882562279701,0.0870424434542656,0.006905293557792902,0.020602714270353317
12,500.0,,,,insightface_bbox,0.7944272756576538,371.6915588378906,751.5095825195312,1728.565185546875,2562.44580078125,0,0,0,0,0,1,0,1,0,0,0,0,0.029280848801136017,0.026683922857046127,0.03359461948275566,0.031082341447472572,0.027071645483374596,0.02424207702279091,0.11529397964477539,0.031371355056762695,0.07159703224897385,0.10233046114444733,0.007455949671566486,0.021260906010866165
13,541.6666666666666,,,,insightface_bbox,0.7944272756576538,371.6915588378906,751.5095825195312,1728.565185546875,2562.44580078125,0,0,0,0,1,1,0,1,0,0,0,0,0.049383584409952164,0.05119418352842331,0.04456913098692894,0.048145316541194916,0.058657675981521606,0.03954001143574715,0.29762110114097595,0.03574749082326889,0.08290906250476837,0.1372789889574051,0.02956085093319416,0.04071814566850662
14,583.3333333333334,,,,insightface_bbox,0.7944272756576538,371.6915588378906,751.5095825195312,1728.565185546875,2562.44580078125,0,0,0,0,1,1,1,1,0,0,0,0,0.05766357481479645,0.07402180880308151,0.04857476055622101,0.05917862430214882,0.09642152488231659,0.04401038587093353,0.38772571086883545,0.03857879713177681,0.08594764769077301,0.1458645761013031,0.04125775769352913,0.04669070243835449
15,625.0,,,,insightface_bbox,0.7944272756576538,371.6915588378906,751.5095825195312,1728.565185546875,2562.44580078125,0,0,0,0,1,1,1,1,0,0,0,0,0.08371210098266602,0.12990963459014893,0.061822012066841125,0.07928746938705444,0.19720302522182465,0.05324428901076317,0.49927112460136414,0.049977295100688934,0.09821005910634995,0.16541802883148193,0.05347352847456932,0.05721476301550865
16,666.6666666666666,,,,insightface_bbox,0.7944272756576538,371.6915588378906,751.5095825195312,1728.565185546875,2562.44580078125,0,0,0,1,1,1,1,1,0,0,0,0,0.08798930048942566,0.13376319408416748,0.06418853253126144,0.08409716933965683,0.24422785639762878,0.05554996803402901,0.5240647196769714,0.053916655480861664,0.1003352627158165,0.17001450061798096,0.06542223691940308,0.06365904211997986
17,708.3333333333334,,,,insightface_bbox,0.7944272756576538,371.6915588378906,751.5095825195312,1728.565185546875,2562.44580078125,0,0,0,1,1,1,1,1,0,0,0,0,0.08875750005245209,0.1378670632839203,0.06611186265945435,0.08708246052265167,0.2966165244579315,0.055663689970970154,0.5722175240516663,0.05568109452724457,0.10048364102840424,0.17121298611164093,0.07255801558494568,0.06497664749622345
18,750.0,,,,insightface_bbox,0.8055686354637146,378.1395263671875,751.3906860351562,1727.5013427734375,2574.15087890625,0,0,0,1,1,1,1,1,0,0,0,0,0.07482875883579254,0.10505135357379913,0.07042890042066574,0.08731045573949814,0.3494153618812561,0.05398569628596306,0.4873378574848175,0.05761105939745903,0.10459744185209274,0.1593846082687378,0.07262805104255676,0.06203129142522812
19,791.6666666666666,,,,insightface_bbox,0.8055686354637146,378.1395263671875,751.3906860351562,1727.5013427734375,2574.15087890625,0,0,0,1,1,1,1,1,0,0,0,0,0.07655790448188782,0.11059951782226562,0.07114392518997192,0.08741016685962677,0.40739354491233826,0.05187578126788139,0.4808114767074585,0.058217789977788925,0.10365395992994308,0.15419752895832062,0.06806892156600952,0.06374895572662354
20,833.3333333333334,,,,insightface_bbox,0.8055686354637146,378.1395263671875,751.3906860351562,1727.5013427734375,2574.15087890625,0,0,0,1,1,1,1,1,0,0,0,0,0.08642349392175674,0.13111630082130432,0.07838958501815796,0.09348231554031372,0.49511635303497314,0.054213061928749084,0.5146399736404419,0.06279797852039337,0.10477639734745026,0.1585610955953598,0.06543220579624176,0.07048361748456955
