frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.827441930770874,385.2110595703125,1054.5335693359375,1727.0419921875,2790.807373046875,0,0,0,0,0,0,0,0,0,0,0,0,0.03083256632089615,0.026487916707992554,0.02474423684179783,0.019234899431467056,0.014271272346377373,0.017445821315050125,0.011183606460690498,0.02552885375916958,0.04675627499818802,0.03436048701405525,0.00845688208937645,0.026366297155618668
1,41.666666666666664,,,,insightface_bbox,0.827441930770874,385.2110595703125,1054.5335693359375,1727.0419921875,2790.807373046875,0,0,0,0,0,0,0,0,0,0,0,0,0.029228832572698593,0.02431827038526535,0.023709259927272797,0.018203865736722946,0.01445270050317049,0.016242720186710358,0.01104289572685957,0.024121545255184174,0.04480845481157303,0.0338449701666832,0.008012954145669937,0.024433057755231857
2,83.33333333333333,,,,insightface_bbox,0.827441930770874,385.2110595703125,1054.5335693359375,1727.0419921875,2790.807373046875,0,0,0,0,0,0,0,0,0,0,0,0,0.02889636904001236,0.023771880194544792,0.023496655747294426,0.017978934571146965,0.014962287619709969,0.016198545694351196,0.010998225770890713,0.02380097284913063,0.04506411403417587,0.03442297875881195,0.008115947246551514,0.0241120345890522
3,125.0,,,,insightface_bbox,0.827441930770874,385.2110595703125,1054.5335693359375,1727.0419921875,2790.807373046875,0,0,0,0,0,0,0,0,0,0,0,0,0.029325108975172043,0.023921625688672066,0.023639455437660217,0.018146900460124016,0.015584114007651806,0.01621178537607193,0.011236552149057388,0.0236662644892931,0.04576137289404869,0.035515062510967255,0.008313195779919624,0.024072248488664627
4,166.66666666666666,,,,insightface_bbox,0.827441930770874,385.2110595703125,1054.5335693359375,1727.0419921875,2790.807373046875,0,0,0,0,0,0,0,0,0,0,0,0,0.028351489454507828,0.022769056260585785,0.023050803691148758,0.01773248240351677,0.015685373917222023,0.015953760594129562,0.011076978407800198,0.023287970572710037,0.04580054432153702,0.03591202571988106,0.008631128817796707,0.023923996835947037
5,208.33333333333334,,,,insightface_bbox,0.827441930770874,385.2110595703125,1054.5335693359375,1727.0419921875,2790.807373046875,0,0,0,0,0,0,0,0,0,0,0,0,0.028900600969791412,0.022911030799150467,0.02331657148897648,0.01806042343378067,0.016164887696504593,0.016027942299842834,0.011679056100547314,0.023253820836544037,0.04660509526729584,0.036477215588092804,0.008732878603041172,0.02423809841275215
6,250.0,,,,insightface_bbox,0.8364401459693909,400.2312927246094,1072.215576171875,1731.1103515625,2805.455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.03552689030766487,0.027675049379467964,0.028346825391054153,0.022247126325964928,0.019536204636096954,0.02056960202753544,0.01730530522763729,0.027000315487384796,0.05320160835981369,0.04317421093583107,0.014411001466214657,0.031058549880981445
7,291.6666666666667,,,,insightface_bbox,0.8364401459693909,400.2312927246094,1072.215576171875,1731.1103515625,2805.455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.03632919117808342,0.02748226746916771,0.02921590581536293,0.02236706204712391,0.020667679607868195,0.020883087068796158,0.018576066941022873,0.02663200907409191,0.054303985089063644,0.044162679463624954,0.014134506694972515,0.030429476872086525
8,333.3333333333333,,,,insightface_bbox,0.8364401459693909,400.2312927246094,1072.215576171875,1731.1103515625,2805.455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.037978023290634155,0.030012644827365875,0.036113712936639786,0.023886539041996002,0.024095049127936363,0.022800885140895844,0.022562293335795403,0.029115060344338417,0.05827867239713669,0.044229064136743546,0.013064691796898842,0.03118959255516529
9,375.0,,,,insightface_bbox,0.8364401459693909,400.2312927246094,1072.215576171875,1731.1103515625,2805.455078125,0,0,0,0,0,0,0,0,0,0,0,0,0.037405259907245636,0.02926049567759037,0.037890706211328506,0.023860333487391472,0.024495229125022888,0.02213178016245365,0.02214423380792141,0.029208634048700333,0.057857219129800797,0.044506222009658813,0.011941123753786087,0.03133932501077652
