frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7715365886688232,556.8173217773438,613.708740234375,1515.94921875,1891.0257568359375,0,0,0,0,0,1,0,0,0,0,0,0,0.04207918792963028,0.03485896438360214,0.038156554102897644,0.03114938735961914,0.02701265923678875,0.02961663156747818,0.06398385763168335,0.03334541246294975,0.04695019870996475,0.04577110707759857,0.022806404158473015,0.044042304158210754
1,41.666666666666664,,,,insightface_bbox,0.7715365886688232,556.8173217773438,613.708740234375,1515.94921875,1891.0257568359375,0,0,0,0,0,1,0,1,0,0,0,0,0.046537622809410095,0.034547120332717896,0.03786947950720787,0.03314363211393356,0.031860679388046265,0.0299880001693964,0.08600828051567078,0.031656429171562195,0.04904858022928238,0.05329826846718788,0.021097885444760323,0.0421857088804245
2,83.33333333333333,,,,insightface_bbox,0.7715365886688232,556.8173217773438,613.708740234375,1515.94921875,1891.0257568359375,0,0,0,0,0,1,0,1,0,0,0,0,0.04863525927066803,0.03442682698369026,0.04046244919300079,0.033886704593896866,0.034760940819978714,0.031076449900865555,0.10160654783248901,0.030466187745332718,0.04857393354177475,0.05102154612541199,0.023388711735606194,0.04311695694923401
3,125.0,,,,insightface_bbox,0.7715365886688232,556.8173217773438,613.708740234375,1515.94921875,1891.0257568359375,0,0,0,0,0,1,0,0,0,0,0,0,0.0513591542840004,0.03469567000865936,0.04122649133205414,0.034012939780950546,0.0338054858148098,0.030500035732984543,0.10397815704345703,0.03015870414674282,0.04387003183364868,0.04711328446865082,0.022703278809785843,0.04211394116282463
4,166.66666666666666,,,,insightface_bbox,0.7715365886688232,556.8173217773438,613.708740234375,1515.94921875,1891.0257568359375,0,0,0,0,0,1,0,0,0,0,0,0,0.054476115852594376,0.03639206662774086,0.03914453834295273,0.03439623862504959,0.03177127614617348,0.029437854886054993,0.08548938482999802,0.030832624062895775,0.04107600450515747,0.04509593918919563,0.020748846232891083,0.04209918901324272
5,208.33333333333334,,,,insightface_bbox,0.7715365886688232,556.8173217773438,613.708740234375,1515.94921875,1891.0257568359375,0,0,0,0,0,1,0,0,0,0,0,0,0.052821483463048935,0.03526248410344124,0.03662940487265587,0.03332905471324921,0.02915659174323082,0.027011021971702576,0.06895596534013748,0.03031899221241474,0.03967840597033501,0.04272003471851349,0.016553668305277824,0.03963929042220116
6,250.0,,,,insightface_bbox,0.7891622185707092,584.1377563476562,626.7590942382812,1556.276123046875,1906.7105712890625,0,0,0,0,0,1,0,0,0,0,0,0,0.04539993032813072,0.03587275743484497,0.033086538314819336,0.030209437012672424,0.026466645300388336,0.026543131098151207,0.049523018300533295,0.03110724315047264,0.04641050100326538,0.041749484837055206,0.017048509791493416,0.04444665461778641
7,291.6666666666667,,,,insightface_bbox,0.7891622185707092,584.1377563476562,626.7590942382812,1556.276123046875,1906.7105712890625,0,0,0,0,0,1,0,0,0,0,0,0,0.04707546532154083,0.0352211520075798,0.03437031805515289,0.031859006732702255,0.030140673741698265,0.02742309495806694,0.06627114117145538,0.030945338308811188,0.0459548756480217,0.045763298869132996,0.018372545018792152,0.042524270713329315
8,333.3333333333333,,,,insightface_bbox,0.7891622185707092,584.1377563476562,626.7590942382812,1556.276123046875,1906.7105712890625,0,0,0,0,0,1,0,1,0,0,0,0,0.04987338185310364,0.03594043105840683,0.03954824060201645,0.03554869443178177,0.034890059381723404,0.031072016805410385,0.09708040952682495,0.033502887934446335,0.04958299919962883,0.053557224571704865,0.02279473841190338,0.04399856925010681
9,375.0,,,,insightface_bbox,0.7891622185707092,584.1377563476562,626.7590942382812,1556.276123046875,1906.7105712890625,0,0,0,0,0,1,0,1,0,0,0,0,0.05002889409661293,0.03568306937813759,0.040565408766269684,0.03565174341201782,0.03559662401676178,0.0318710096180439,0.10268471390008926,0.03350033611059189,0.05133535712957382,0.05537644028663635,0.02398761361837387,0.044483426958322525
10,416.6666666666667,,,,insightface_bbox,0.7891622185707092,584.1377563476562,626.7590942382812,1556.276123046875,1906.7105712890625,0,0,0,0,0,1,0,1,0,0,0,0,0.04989314079284668,0.03617073595523834,0.042814500629901886,0.03640488535165787,0.03642510622739792,0.03270073980093002,0.10593530535697937,0.035809364169836044,0.050057265907526016,0.05490485206246376,0.027721019461750984,0.04469802975654602
11,458.3333333333333,,,,insightface_bbox,0.7891622185707092,584.1377563476562,626.7590942382812,1556.276123046875,1906.7105712890625,0,0,0,0,0,1,0,1,0,0,0,0,0.04456527903676033,0.03355174884200096,0.04164288192987442,0.033791378140449524,0.036025192588567734,0.03200330212712288,0.13512226939201355,0.039561375975608826,0.052015647292137146,0.04986313730478287,0.02660110406577587,0.03757128491997719
12,500.0,,,,insightface_bbox,0.7815952897071838,454.9659118652344,638.5457153320312,1398.4918212890625,1923.8426513671875,0,0,0,0,0,1,0,0,0,0,0,0,0.055764831602573395,0.03834967315196991,0.04928133636713028,0.036305829882621765,0.0351436547935009,0.029513191431760788,0.08744268864393234,0.027928760275244713,0.05566434562206268,0.042779598385095596,0.012193547561764717,0.03526301681995392
13,541.6666666666666,,,,insightface_bbox,0.7815952897071838,454.9659118652344,638.5457153320312,1398.4918212890625,1923.8426513671875,0,0,0,0,0,1,0,1,0,0,0,0,0.05010911077260971,0.03489483520388603,0.03571534901857376,0.037301260977983475,0.02715713158249855,0.026471413671970367,0.06594391167163849,0.05818618834018707,0.07753422111272812,0.07215528935194016,0.012175563722848892,0.04625948518514633
14,583.3333333333334,,,,insightface_bbox,0.7815952897071838,454.9659118652344,638.5457153320312,1398.4918212890625,1923.8426513671875,0,0,0,0,0,1,0,1,0,0,0,0,0.04972550645470619,0.034587256610393524,0.03561879321932793,0.037102822214365005,0.02706025540828705,0.026323281228542328,0.06444735825061798,0.05786750465631485,0.07737212628126144,0.07185911387205124,0.012003395706415176,0.045827627182006836
15,625.0,,,,insightface_bbox,0.7815952897071838,454.9659118652344,638.5457153320312,1398.4918212890625,1923.8426513671875,0,0,0,0,0,0,0,0,0,0,0,0,0.04180999845266342,0.029708992689847946,0.032978713512420654,0.02892623469233513,0.01774401217699051,0.020928721874952316,0.02480948343873024,0.03144104778766632,0.06244141235947609,0.05390160158276558,0.0072511788457632065,0.03654065728187561
16,666.6666666666666,,,,insightface_bbox,0.7815952897071838,454.9659118652344,638.5457153320312,1398.4918212890625,1923.8426513671875,0,0,0,0,0,0,0,0,0,0,0,0,0.03816719353199005,0.026069212704896927,0.02782529592514038,0.023286698386073112,0.014367290772497654,0.01653781533241272,0.017415516078472137,0.02705414779484272,0.06459768116474152,0.049405504018068314,0.004206065554171801,0.03267865628004074
17,708.3333333333334,,,,insightface_bbox,0.7815952897071838,454.9659118652344,638.5457153320312,1398.4918212890625,1923.8426513671875,0,0,0,0,0,0,0,0,0,0,0,0,0.03788016363978386,0.025199951604008675,0.0287790410220623,0.022025037556886673,0.014094527810811996,0.016114160418510437,0.015795134007930756,0.02748153731226921,0.059451453387737274,0.04495808482170105,0.004080222919583321,0.03106021136045456
18,750.0,,,,insightface_bbox,0.7229528427124023,241.94297790527344,701.7509765625,1103.6839599609375,1977.4527587890625,0,0,0,0,0,0,0,0,0,1,0,0,0.04101547971367836,0.0283733569085598,0.03167567774653435,0.026685213670134544,0.01567605696618557,0.018163081258535385,0.018798720091581345,0.04359591379761696,0.06415512412786484,0.06432167440652847,0.003941804636269808,0.03522416949272156
19,791.6666666666666,,,,insightface_bbox,0.7229528427124023,241.94297790527344,701.7509765625,1103.6839599609375,1977.4527587890625,0,0,0,0,0,0,0,0,0,1,0,0,0.04107940196990967,0.028418458998203278,0.03181322664022446,0.02670624479651451,0.015772812068462372,0.018227145075798035,0.018893269822001457,0.04358610510826111,0.06369927525520325,0.06383898854255676,0.003975038416683674,0.03528502956032753
20,833.3333333333334,,,,insightface_bbox,0.7229528427124023,241.94297790527344,701.7509765625,1103.6839599609375,1977.4527587890625,0,0,0,0,0,0,0,0,0,1,0,0,0.04688575118780136,0.03185083717107773,0.03826884180307388,0.028408972546458244,0.016573436558246613,0.02054816298186779,0.01899714209139347,0.04319862276315689,0.06653251498937607,0.06260474771261215,0.005064150784164667,0.04279978573322296
21,875.0,,,,insightface_bbox,0.7229528427124023,241.94297790527344,701.7509765625,1103.6839599609375,1977.4527587890625,0,0,0,0,0,0,0,0,0,1,0,0,0.046925920993089676,0.03255916386842728,0.040964145213365555,0.029762763530015945,0.016565976664423943,0.020567914471030235,0.018832605332136154,0.04457185044884682,0.06918416917324066,0.06409195065498352,0.005369494669139385,0.04476529359817505
22,916.6666666666666,,,,insightface_bbox,0.7229528427124023,241.94297790527344,701.7509765625,1103.6839599609375,1977.4527587890625,0,0,0,0,0,0,0,0,0,1,0,0,0.05097179859876633,0.03422747552394867,0.04512467235326767,0.031139306724071503,0.017316501587629318,0.021912578493356705,0.021842729300260544,0.04668527841567993,0.07334001362323761,0.06869293004274368,0.006262348964810371,0.04914753511548042
23,958.3333333333334,,,,insightface_bbox,0.7229528427124023,241.94297790527344,701.7509765625,1103.6839599609375,1977.4527587890625,0,0,0,0,0,0,0,0,0,1,0,0,0.05548810586333275,0.03652432933449745,0.04678194969892502,0.032309550791978836,0.017083512619137764,0.022502483800053596,0.022214865311980247,0.04743170365691185,0.07216400653123856,0.06772585958242416,0.006847510114312172,0.05276292562484741
24,1000.0,,,,insightface_bbox,0.7042987942695618,237.8352813720703,703.8367309570312,1147.2613525390625,2037.3458251953125,0,0,0,0,0,0,0,0,0,1,0,0,0.052697665989398956,0.03493295609951019,0.044625282287597656,0.034521788358688354,0.01917966455221176,0.026255259290337563,0.028441453352570534,0.05654919892549515,0.08379734307527542,0.084929458796978,0.008161045610904694,0.053785331547260284
