frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7942361831665039,852.95361328125,673.7963256835938,1951.8603515625,2366.644775390625,0,0,0,0,0,0,0,0,0,1,0,0,0.027265427634119987,0.017175085842609406,0.056673433631658554,0.018620623275637627,0.009069180116057396,0.018259413540363312,0.006192299537360668,0.05437720939517021,0.08236304670572281,0.04992624372243881,0.005352801643311977,0.026400405913591385
1,41.666666666666664,,,,insightface_bbox,0.7942361831665039,852.95361328125,673.7963256835938,1951.8603515625,2366.644775390625,0,0,0,0,0,0,0,0,0,1,0,0,0.026588402688503265,0.016504013910889626,0.054765671491622925,0.018283408135175705,0.009122001007199287,0.01777406968176365,0.005910915322601795,0.05540990084409714,0.08017130941152573,0.049570031464099884,0.005150074604898691,0.025273188948631287
2,83.33333333333333,,,,insightface_bbox,0.7942361831665039,852.95361328125,673.7963256835938,1951.8603515625,2366.644775390625,0,0,0,0,0,0,0,0,0,1,0,0,0.02557673677802086,0.015868617221713066,0.04443144425749779,0.016495201736688614,0.008330043405294418,0.01598283089697361,0.005243332590907812,0.046408530324697495,0.0742628276348114,0.04541739821434021,0.004355551674962044,0.024064594879746437
3,125.0,,,,insightface_bbox,0.7942361831665039,852.95361328125,673.7963256835938,1951.8603515625,2366.644775390625,0,0,0,0,0,0,0,0,0,1,0,0,0.025922013446688652,0.015871508046984673,0.03604156896471977,0.01568746007978916,0.008311561308801174,0.015262859873473644,0.00505074393004179,0.041551847010850906,0.0701349601149559,0.043268050998449326,0.0040215696208179,0.023842722177505493
4,166.66666666666666,,,,insightface_bbox,0.7942361831665039,852.95361328125,673.7963256835938,1951.8603515625,2366.644775390625,0,0,0,0,0,0,0,0,0,1,0,0,0.0266647320240736,0.01673325151205063,0.030463358387351036,0.01580740511417389,0.008288885466754436,0.014273961074650288,0.005022342782467604,0.039068739861249924,0.0625125989317894,0.04086393490433693,0.0038561890833079815,0.025473302230238914
5,208.33333333333334,,,,insightface_bbox,0.7942361831665039,852.95361328125,673.7963256835938,1951.8603515625,2366.644775390625,0,0,0,0,0,0,0,0,0,1,0,0,0.0244267750531435,0.01604587770998478,0.029542572796344757,0.01586906984448433,0.008037317544221878,0.013094120658934116,0.004946364089846611,0.03326771780848503,0.05760283023118973,0.03815270960330963,0.003453253535553813,0.023785512894392014
6,250.0,,,,insightface_bbox,0.8263702392578125,779.11962890625,657.2435302734375,1913.813720703125,2366.490966796875,0,0,0,0,0,0,0,0,0,0,0,0,0.020537013188004494,0.017177267000079155,0.025187376886606216,0.020131483674049377,0.010146139189600945,0.013632457703351974,0.007072719279676676,0.023403679952025414,0.040909506380558014,0.03742413595318794,0.0074961185455322266,0.03507372364401817
7,291.6666666666667,,,,insightface_bbox,0.8263702392578125,779.11962890625,657.2435302734375,1913.813720703125,2366.490966796875,0,0,0,0,0,0,0,0,0,0,0,0,0.021436510607600212,0.018272163346409798,0.02883574366569519,0.02105880342423916,0.011123706586658955,0.01448279619216919,0.007669101003557444,0.02453041821718216,0.04181792587041855,0.037749189883470535,0.008485383354127407,0.03854203224182129
8,333.3333333333333,,,,insightface_bbox,0.8263702392578125,779.11962890625,657.2435302734375,1913.813720703125,2366.490966796875,0,0,0,0,0,0,0,0,0,0,0,0,0.022124163806438446,0.018144750967621803,0.02914305031299591,0.020542524755001068,0.010901396162807941,0.015010971575975418,0.006834106054157019,0.026407834142446518,0.04104621708393097,0.03631449118256569,0.010345992632210255,0.041540391743183136
9,375.0,,,,insightface_bbox,0.8263702392578125,779.11962890625,657.2435302734375,1913.813720703125,2366.490966796875,0,0,0,0,0,0,0,0,0,0,0,0,0.02273816615343094,0.018902648240327835,0.02966923825442791,0.021498430520296097,0.01061975583434105,0.014713000506162643,0.006330334581434727,0.03402795270085335,0.0438208132982254,0.03926205635070801,0.011996766552329063,0.0483873076736927
10,416.6666666666667,,,,insightface_bbox,0.8263702392578125,779.11962890625,657.2435302734375,1913.813720703125,2366.490966796875,0,0,0,0,0,0,0,0,0,0,0,0,0.02611607126891613,0.02108067274093628,0.03442074730992317,0.023556549102067947,0.010925334878265858,0.015194939449429512,0.006244403310120106,0.04671788215637207,0.049941517412662506,0.04421740025281906,0.012467142194509506,0.0560847632586956
11,458.3333333333333,,,,insightface_bbox,0.8263702392578125,779.11962890625,657.2435302734375,1913.813720703125,2366.490966796875,0,0,0,0,0,0,0,0,0,0,0,0,0.029384233057498932,0.023347698152065277,0.04220178723335266,0.026336682960391045,0.011557653546333313,0.016438789665699005,0.006919140927493572,0.05232211947441101,0.05519569292664528,0.048902980983257294,0.012603691779077053,0.05743907392024994
