frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8299250602722168,391.4949951171875,1063.8912353515625,1728.73974609375,2791.0986328125,0,0,0,0,0,0,0,0,0,0,0,0,0.03312065824866295,0.02654908411204815,0.027064671739935875,0.020738858729600906,0.018879391252994537,0.019292226061224937,0.015739530324935913,0.026306871324777603,0.04881107807159424,0.039312928915023804,0.011413135565817356,0.029396994039416313
1,41.666666666666664,,,,insightface_bbox,0.8299250602722168,391.4949951171875,1063.8912353515625,1728.73974609375,2791.0986328125,0,0,0,0,0,0,0,0,0,0,0,0,0.03253064304590225,0.02595469541847706,0.02746450901031494,0.020509490743279457,0.01934739574790001,0.018795916810631752,0.01601073518395424,0.02611977607011795,0.05033162236213684,0.041648078709840775,0.010931933298707008,0.028422081843018532
2,83.33333333333333,,,,insightface_bbox,0.8299250602722168,391.4949951171875,1063.8912353515625,1728.73974609375,2791.0986328125,0,0,0,0,0,0,0,0,0,0,0,0,0.032336391508579254,0.025695566087961197,0.027617797255516052,0.020370423793792725,0.019708210602402687,0.01877335086464882,0.01597655564546585,0.02604186162352562,0.05135391652584076,0.04244060069322586,0.01094425655901432,0.027849359437823296
3,125.0,,,,insightface_bbox,0.8299250602722168,391.4949951171875,1063.8912353515625,1728.73974609375,2791.0986328125,0,0,0,0,0,0,0,0,0,0,0,0,0.03234029933810234,0.024817854166030884,0.028701331466436386,0.020389266312122345,0.020727703347802162,0.018525516614317894,0.016642579808831215,0.026027090847492218,0.05434347316622734,0.04489263519644737,0.011532103642821312,0.027171803638339043
4,166.66666666666666,,,,insightface_bbox,0.8299250602722168,391.4949951171875,1063.8912353515625,1728.73974609375,2791.0986328125,0,0,0,0,0,0,0,0,0,0,0,0,0.030231548473238945,0.023442599922418594,0.02765391394495964,0.01903734914958477,0.01889064908027649,0.01737487129867077,0.01444923784583807,0.02509206533432007,0.05543015897274017,0.043259397149086,0.010992414318025112,0.026097780093550682
5,208.33333333333334,,,,insightface_bbox,0.8299250602722168,391.4949951171875,1063.8912353515625,1728.73974609375,2791.0986328125,0,0,0,0,0,0,0,0,0,0,0,0,0.029433805495500565,0.022755127400159836,0.027247795835137367,0.018531352281570435,0.018338117748498917,0.017035173252224922,0.013749795034527779,0.02450820431113243,0.054896775633096695,0.04268283024430275,0.010345667600631714,0.025446414947509766
6,250.0,,,,insightface_bbox,0.8327019214630127,391.34722900390625,1058.0797119140625,1730.3349609375,2823.634765625,0,0,0,0,0,0,0,0,0,0,0,0,0.02319515496492386,0.021234748885035515,0.025023505091667175,0.016460875049233437,0.01832789182662964,0.014952289871871471,0.013937927782535553,0.02180793322622776,0.06193140521645546,0.042044784873723984,0.0067762210965156555,0.020946906879544258
7,291.6666666666667,,,,insightface_bbox,0.8327019214630127,391.34722900390625,1058.0797119140625,1730.3349609375,2823.634765625,0,0,0,0,1,1,0,1,0,0,0,0,0.062113337218761444,0.07711052149534225,0.0894026905298233,0.07277368754148483,0.42247530817985535,0.0643581971526146,0.293687105178833,0.06414701044559479,0.09745509177446365,0.10451838374137878,0.4771299958229065,0.1028752475976944
8,333.3333333333333,,,,insightface_bbox,0.8327019214630127,391.34722900390625,1058.0797119140625,1730.3349609375,2823.634765625,0,0,0,1,1,1,1,1,0,0,0,0,0.10890263319015503,0.1618081033229828,0.1281784176826477,0.14664897322654724,1.564439296722412,0.10006947815418243,1.5933175086975098,0.11599323898553848,0.11719483137130737,0.1337902992963791,0.7838907241821289,0.4561690092086792
9,375.0,,,,insightface_bbox,0.8327019214630127,391.34722900390625,1058.0797119140625,1730.3349609375,2823.634765625,0,0,0,1,1,1,1,1,0,0,0,0,0.11753038316965103,0.1710599660873413,0.1394829899072647,0.15083636343479156,1.6391133069992065,0.10491975396871567,1.6168551445007324,0.12008541077375412,0.12301614880561829,0.1383034735918045,0.7976741194725037,0.45834827423095703
10,416.6666666666667,,,,insightface_bbox,0.8327019214630127,391.34722900390625,1058.0797119140625,1730.3349609375,2823.634765625,0,0,0,1,1,1,1,0,0,0,0,0,0.1345478892326355,0.18861734867095947,0.12754662334918976,0.17076760530471802,1.5837401151657104,0.10678243637084961,2.176931858062744,0.1253347247838974,0.12875065207481384,0.155465766787529,0.9924201965332031,0.792913556098938
11,458.3333333333333,,,,insightface_bbox,0.8327019214630127,391.34722900390625,1058.0797119140625,1730.3349609375,2823.634765625,0,0,0,1,1,1,1,0,0,0,0,0,0.14005747437477112,0.19921167194843292,0.10980677604675293,0.15805967152118683,1.0521281957626343,0.08715569227933884,2.281944513320923,0.10630428791046143,0.11767490953207016,0.16445383429527283,1.0254231691360474,1.183242917060852
12,500.0,,,,insightface_bbox,0.8142621517181396,401.55120849609375,871.4862670898438,1737.1370849609375,2795.830810546875,0,0,0,1,1,1,1,1,0,0,0,0,0.14287561178207397,0.16963693499565125,0.1370897740125656,0.1503962278366089,1.059923529624939,0.11561097204685211,2.142791271209717,0.09824515879154205,0.1163221076130867,0.17686480283737183,0.936790406703949,0.8643413186073303
13,541.6666666666666,,,,insightface_bbox,0.8142621517181396,401.55120849609375,871.4862670898438,1737.1370849609375,2795.830810546875,0,0,0,1,1,1,1,1,0,0,0,0,0.14406456053256989,0.1709834635257721,0.13769955933094025,0.1517418920993805,1.0845164060592651,0.11710777133703232,2.162923574447632,0.09951126575469971,0.11804960668087006,0.17933861911296844,0.9493739008903503,0.8629728555679321
14,583.3333333333334,,,,insightface_bbox,0.8142621517181396,401.55120849609375,871.4862670898438,1737.1370849609375,2795.830810546875,0,0,0,1,1,1,1,1,0,0,0,0,0.17540185153484344,0.18922187387943268,0.15191376209259033,0.1571073979139328,0.8462473750114441,0.12558725476264954,1.8556840419769287,0.09868310391902924,0.12750676274299622,0.20158129930496216,0.5173041224479675,0.8184806108474731
15,625.0,,,,insightface_bbox,0.8142621517181396,401.55120849609375,871.4862670898438,1737.1370849609375,2795.830810546875,0,0,0,0,1,1,1,0,0,0,0,0,0.15021073818206787,0.18744158744812012,0.1255265176296234,0.1540716290473938,0.5954656004905701,0.09760956466197968,1.9314767122268677,0.10704853385686874,0.1381610929965973,0.21824441850185394,0.42898473143577576,0.9490901827812195
16,666.6666666666666,,,,insightface_bbox,0.8142621517181396,401.55120849609375,871.4862670898438,1737.1370849609375,2795.830810546875,0,0,0,0,1,1,0,0,0,0,0,0,0.18242281675338745,0.22940264642238617,0.14723259210586548,0.17883574962615967,0.6150863766670227,0.13950517773628235,2.072753667831421,0.1583062708377838,0.16659744083881378,0.29646262526512146,0.59312903881073,1.2067513465881348
17,708.3333333333334,,,,insightface_bbox,0.8142621517181396,401.55120849609375,871.4862670898438,1737.1370849609375,2795.830810546875,0,0,0,0,1,1,0,0,0,0,0,0,0.18823611736297607,0.23638567328453064,0.15040245652198792,0.18187329173088074,0.6561326384544373,0.14653214812278748,2.095587730407715,0.1617022603750229,0.17019353806972504,0.3012881875038147,0.5919538736343384,1.1824314594268799
18,750.0,,,,insightface_bbox,0.8716968297958374,400.1614685058594,791.5932006835938,1724.4603271484375,2709.51025390625,0,0,0,0,1,1,0,0,0,0,0,0,0.19919607043266296,0.2544618248939514,0.1579516977071762,0.18849357962608337,0.5591804385185242,0.12688688933849335,2.0518670082092285,0.17507237195968628,0.16830317676067352,0.29503750801086426,0.768315315246582,1.4328975677490234
19,791.6666666666666,,,,insightface_bbox,0.8716968297958374,400.1614685058594,791.5932006835938,1724.4603271484375,2709.51025390625,0,0,0,0,1,1,0,0,0,0,0,0,0.1963590383529663,0.23887230455875397,0.14522312581539154,0.18190360069274902,0.4834548234939575,0.11918973922729492,1.9415662288665771,0.20435087382793427,0.17433279752731323,0.30391645431518555,0.8267688155174255,1.4188919067382812
