frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8169515132904053,377.5218200683594,1057.2772216796875,1734.38671875,2842.1982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.03079638071358204,0.02587270177900791,0.02389359101653099,0.019782129675149918,0.016822632402181625,0.01788284443318844,0.015361717902123928,0.023587020114064217,0.04322385415434837,0.03607349097728729,0.010187500156462193,0.025932740420103073
1,41.666666666666664,,,,insightface_bbox,0.8169515132904053,377.5218200683594,1057.2772216796875,1734.38671875,2842.1982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.029461251571774483,0.024637652561068535,0.022452866658568382,0.01887059211730957,0.016181515529751778,0.016811933368444443,0.014392048120498657,0.022790517657995224,0.042355846613645554,0.035455942153930664,0.009304163046181202,0.024636434391140938
2,83.33333333333333,,,,insightface_bbox,0.8169515132904053,377.5218200683594,1057.2772216796875,1734.38671875,2842.1982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.029399249702692032,0.0242428258061409,0.022352030500769615,0.018694426864385605,0.016126273199915886,0.01658928208053112,0.01428062655031681,0.022579338401556015,0.04250441491603851,0.0357929952442646,0.009385867044329643,0.024668965488672256
3,125.0,,,,insightface_bbox,0.8169515132904053,377.5218200683594,1057.2772216796875,1734.38671875,2842.1982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.029192538931965828,0.02385256625711918,0.022712601348757744,0.0186977069824934,0.016780786216259003,0.016797630116343498,0.014400151558220387,0.022725099697709084,0.04338723048567772,0.03697364032268524,0.009708909317851067,0.02447623573243618
4,166.66666666666666,,,,insightface_bbox,0.8169515132904053,377.5218200683594,1057.2772216796875,1734.38671875,2842.1982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.028947580605745316,0.02358998730778694,0.02273104339838028,0.018459616228938103,0.016914790496230125,0.016797054558992386,0.014211399480700493,0.022669054567813873,0.04354747384786606,0.03691233694553375,0.009782491251826286,0.02420632913708687
5,208.33333333333334,,,,insightface_bbox,0.8169515132904053,377.5218200683594,1057.2772216796875,1734.38671875,2842.1982421875,0,0,0,0,0,0,0,0,0,0,0,0,0.029350794851779938,0.023778222501277924,0.023688824847340584,0.018691807985305786,0.017541181296110153,0.016898006200790405,0.015100906603038311,0.023018889129161835,0.04482988268136978,0.03888127952814102,0.009649259969592094,0.024258337914943695
6,250.0,,,,insightface_bbox,0.8127498626708984,377.304931640625,1062.115966796875,1734.9720458984375,2844.589111328125,0,0,0,0,0,0,0,0,0,0,0,0,0.029009608551859856,0.02360008843243122,0.0235286932438612,0.018337324261665344,0.01696362905204296,0.016624167561531067,0.01403503306210041,0.022747062146663666,0.042979512363672256,0.036967989057302475,0.008941330015659332,0.02369656227529049
7,291.6666666666667,,,,insightface_bbox,0.8127498626708984,377.304931640625,1062.115966796875,1734.9720458984375,2844.589111328125,0,0,0,0,0,0,0,0,0,0,0,0,0.029203373938798904,0.023717962205410004,0.023784058168530464,0.018443461507558823,0.017568089067935944,0.016866229474544525,0.014281434938311577,0.02289803884923458,0.044132381677627563,0.038004178553819656,0.00898794736713171,0.023461075499653816
8,333.3333333333333,,,,insightface_bbox,0.8127498626708984,377.304931640625,1062.115966796875,1734.9720458984375,2844.589111328125,0,0,0,0,0,0,0,0,0,0,0,0,0.028915375471115112,0.023709114640951157,0.02397451549768448,0.018420370295643806,0.01798401027917862,0.01694146730005741,0.014531049877405167,0.02275441586971283,0.04411355033516884,0.037925004959106445,0.009215099737048149,0.023082368075847626
9,375.0,,,,insightface_bbox,0.8127498626708984,377.304931640625,1062.115966796875,1734.9720458984375,2844.589111328125,0,0,0,0,0,0,0,0,0,0,0,0,0.029018081724643707,0.023940499871969223,0.024891454726457596,0.018635030835866928,0.018494296818971634,0.017121434211730957,0.014630480669438839,0.02298532985150814,0.044620051980018616,0.038411110639572144,0.009472884237766266,0.023058868944644928
