frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8521208763122559,1693.500732421875,483.4543151855469,2388.90087890625,1471.567138671875,0,0,0,0,0,0,0,0,0,0,0,0,0.04267353191971779,0.03036620281636715,0.039023257791996,0.013993358239531517,0.005500903353095055,0.015614056959748268,0.005363584961742163,0.023783527314662933,0.0631839781999588,0.052765391767024994,0.022829517722129822,0.10669562965631485
1,41.666666666666664,,,,insightface_bbox,0.8521208763122559,1693.500732421875,483.4543151855469,2388.90087890625,1471.567138671875,0,0,0,0,0,0,0,0,0,0,0,0,0.02001136727631092,0.019153954461216927,0.025058742612600327,0.010572735220193863,0.004397817421704531,0.009946612641215324,0.0032061589881777763,0.024389192461967468,0.06611575186252594,0.06486169993877411,0.010831133462488651,0.06636228412389755
2,83.33333333333333,,,,insightface_bbox,0.8521208763122559,1693.500732421875,483.4543151855469,2388.90087890625,1471.567138671875,0,0,0,0,0,0,0,0,0,0,0,0,0.03926170617341995,0.02857174351811409,0.049559902399778366,0.013803882524371147,0.006691617425531149,0.01407073624432087,0.004566802643239498,0.023830877617001534,0.08157197386026382,0.07489211112260818,0.010593956336379051,0.0742046982049942
3,125.0,,,,insightface_bbox,0.8521208763122559,1693.500732421875,483.4543151855469,2388.90087890625,1471.567138671875,0,0,0,0,0,0,0,0,0,0,0,0,0.032359641045331955,0.021550938487052917,0.03987058624625206,0.01213142555207014,0.005759159103035927,0.011918576434254646,0.004356766119599342,0.019806092604994774,0.07647857069969177,0.06439856439828873,0.00941619835793972,0.05420393496751785
4,166.66666666666666,,,,insightface_bbox,0.8521208763122559,1693.500732421875,483.4543151855469,2388.90087890625,1471.567138671875,0,0,0,0,0,0,0,0,0,0,0,0,0.020490799099206924,0.020226038992404938,0.024199966341257095,0.012344757094979286,0.007275931537151337,0.013246901333332062,0.007150677964091301,0.020889058709144592,0.07667095959186554,0.06609510630369186,0.00846038106828928,0.046149447560310364
5,208.33333333333334,,,,insightface_bbox,0.8521208763122559,1693.500732421875,483.4543151855469,2388.90087890625,1471.567138671875,0,0,0,0,0,0,0,0,0,0,0,0,0.0395529568195343,0.027902960777282715,0.030638696625828743,0.01603277213871479,0.009386228397488594,0.017665976658463478,0.009342323988676071,0.022912219166755676,0.09475137293338776,0.0743117481470108,0.018633682280778885,0.051334578543901443
6,250.0,,,,insightface_bbox,0.8580664992332458,1708.0811767578125,483.9888000488281,2420.102783203125,1469.794921875,0,0,0,0,0,0,0,0,0,0,0,0,0.04043466970324516,0.030229946598410606,0.02524474263191223,0.018878377974033356,0.009467823430895805,0.01855834573507309,0.015255795791745186,0.023758934810757637,0.08840739727020264,0.0846950113773346,0.02800576761364937,0.04955793917179108
7,291.6666666666667,,,,insightface_bbox,0.8580664992332458,1708.0811767578125,483.9888000488281,2420.102783203125,1469.794921875,0,0,0,0,0,0,0,1,0,0,0,0,0.05568266659975052,0.09363050758838654,0.03310340642929077,0.04107118397951126,0.016962921246886253,0.04847343638539314,0.029371129348874092,0.0409499891102314,0.11271700263023376,0.14602673053741455,0.0800623744726181,0.0825926810503006
8,333.3333333333333,,,,insightface_bbox,0.8580664992332458,1708.0811767578125,483.9888000488281,2420.102783203125,1469.794921875,0,0,0,0,0,0,0,1,0,0,0,0,0.0504215769469738,0.06176576018333435,0.027553124353289604,0.03426503762602806,0.017815090715885162,0.03573222830891609,0.03757831081748009,0.035170622169971466,0.10056755691766739,0.1227978989481926,0.04498112201690674,0.06446900963783264
9,375.0,,,,insightface_bbox,0.8580664992332458,1708.0811767578125,483.9888000488281,2420.102783203125,1469.794921875,0,0,0,0,0,0,0,1,0,0,0,0,0.03531043231487274,0.04165221378207207,0.020703358575701714,0.02797309309244156,0.012151302769780159,0.028517285361886024,0.019041456282138824,0.033851079642772675,0.08551007509231567,0.10891992598772049,0.04472080618143082,0.055479392409324646
