frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8309178948402405,198.50071716308594,537.6394653320312,866.2437744140625,1395.2069091796875,0,0,0,0,0,1,0,0,0,0,0,0,0.03605858236551285,0.025087520480155945,0.030262671411037445,0.019088376313447952,0.022379783913493156,0.01834201067686081,0.015954162925481796,0.022089436650276184,0.054095104336738586,0.04568815603852272,0.012292749248445034,0.023890595883131027
1,41.666666666666664,,,,insightface_bbox,0.8309178948402405,198.50071716308594,537.6394653320312,866.2437744140625,1395.2069091796875,0,0,0,0,0,1,0,0,0,0,0,0,0.037497229874134064,0.02594779059290886,0.030345715582370758,0.019302114844322205,0.022671649232506752,0.01900089718401432,0.015601526014506817,0.022561511024832726,0.0549265518784523,0.04591073468327522,0.013601329177618027,0.0247714314609766
2,83.33333333333333,,,,insightface_bbox,0.8309178948402405,198.50071716308594,537.6394653320312,866.2437744140625,1395.2069091796875,0,0,0,0,0,1,0,0,0,0,0,0,0.03704488277435303,0.02570713870227337,0.029733339324593544,0.019203640520572662,0.022490693256258965,0.018620198592543602,0.015711529180407524,0.022435160353779793,0.05493246018886566,0.046272777020931244,0.01264909841120243,0.024417851120233536
3,125.0,,,,insightface_bbox,0.8309178948402405,198.50071716308594,537.6394653320312,866.2437744140625,1395.2069091796875,0,0,0,0,0,1,0,0,0,0,0,0,0.036871932446956635,0.02600035071372986,0.02957189455628395,0.019146431237459183,0.022180698812007904,0.018320143222808838,0.01575448550283909,0.022553706541657448,0.05623897537589073,0.04635230451822281,0.012155454605817795,0.024584878236055374
4,166.66666666666666,,,,insightface_bbox,0.8309178948402405,198.50071716308594,537.6394653320312,866.2437744140625,1395.2069091796875,0,0,0,0,0,0,0,0,0,0,0,0,0.03423261642456055,0.024899426847696304,0.027060914784669876,0.018269851803779602,0.020678313449025154,0.016863135620951653,0.014665434136986732,0.021185221150517464,0.05419386178255081,0.0439784862101078,0.011307700537145138,0.023629147559404373
5,208.33333333333334,,,,insightface_bbox,0.8309178948402405,198.50071716308594,537.6394653320312,866.2437744140625,1395.2069091796875,0,0,0,0,0,1,0,0,0,0,0,0,0.03391218185424805,0.02452976256608963,0.02563554421067238,0.018093377351760864,0.020496804267168045,0.016379782930016518,0.015039728954434395,0.020204920321702957,0.05384109914302826,0.04461990296840668,0.010996641591191292,0.022812891751527786
6,250.0,,,,insightface_bbox,0.8326040506362915,198.25863647460938,537.4871826171875,865.9772338867188,1397.0994873046875,0,0,0,0,0,0,0,0,0,0,0,0,0.03172808513045311,0.02437829039990902,0.02485605888068676,0.017969045788049698,0.018956178799271584,0.01578080654144287,0.01361774280667305,0.02043849602341652,0.05504002422094345,0.04488113895058632,0.010694083757698536,0.023454073816537857
7,291.6666666666667,,,,insightface_bbox,0.8326040506362915,198.25863647460938,537.4871826171875,865.9772338867188,1397.0994873046875,0,0,0,0,0,0,0,0,0,0,0,0,0.030941937118768692,0.023829283192753792,0.023830141872167587,0.01762521266937256,0.01828911527991295,0.015394276939332485,0.012979918159544468,0.020487334579229355,0.055793941020965576,0.04512324929237366,0.009492850862443447,0.02354385145008564
8,333.3333333333333,,,,insightface_bbox,0.8326040506362915,198.25863647460938,537.4871826171875,865.9772338867188,1397.0994873046875,0,0,0,0,0,1,0,0,0,0,0,0,0.0338321179151535,0.0274612158536911,0.030255429446697235,0.020569633692502975,0.020276512950658798,0.017454519867897034,0.018314635381102562,0.02296249382197857,0.06383159011602402,0.05133094638586044,0.01591050624847412,0.024575594812631607
9,375.0,,,,insightface_bbox,0.8326040506362915,198.25863647460938,537.4871826171875,865.9772338867188,1397.0994873046875,0,0,0,0,0,0,0,0,0,0,0,0,0.033589959144592285,0.027399245649576187,0.029749350622296333,0.020321357995271683,0.020281540229916573,0.01753976382315159,0.018007583916187286,0.02330191247165203,0.06469285488128662,0.05118492990732193,0.015363851562142372,0.02440839819610119
