frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8103927373886108,257.96246337890625,591.3316040039062,1919.6334228515625,3158.17822265625,1,0,1,0,1,0,0,0,0,0,0,0,0.08927111327648163,0.03661023825407028,0.7812350392341614,0.024013297632336617,0.015193428844213486,0.03793712332844734,0.022433316335082054,0.014076671563088894,0.03328421711921692,0.03777118772268295,0.021804530173540115,0.027060246095061302
1,41.666666666666664,,,,insightface_bbox,0.8103927373886108,257.96246337890625,591.3316040039062,1919.6334228515625,3158.17822265625,1,0,1,0,1,0,0,0,0,0,0,0,0.08633659034967422,0.03628256544470787,0.7744232416152954,0.02416149154305458,0.015607548877596855,0.03778775781393051,0.023076914250850677,0.014312193728983402,0.033342111855745316,0.03872125595808029,0.021149277687072754,0.02663039043545723
2,83.33333333333333,,,,insightface_bbox,0.8103927373886108,257.96246337890625,591.3316040039062,1919.6334228515625,3158.17822265625,1,0,1,0,1,0,0,0,0,0,0,0,0.08350248634815216,0.035619184374809265,0.7965966463088989,0.024042485281825066,0.016209334135055542,0.03871146962046623,0.024514172226190567,0.014232153072953224,0.03325379267334938,0.03890380635857582,0.022601913660764694,0.027259530499577522
3,125.0,,,,insightface_bbox,0.8103927373886108,257.96246337890625,591.3316040039062,1919.6334228515625,3158.17822265625,1,0,1,0,1,0,0,0,0,0,0,0,0.08278540521860123,0.035560090094804764,0.7633146643638611,0.023892182856798172,0.01604461297392845,0.03763795271515846,0.024718763306736946,0.014023173600435257,0.032652489840984344,0.03890731930732727,0.02217285707592964,0.02701750211417675
4,166.66666666666666,,,,insightface_bbox,0.8103927373886108,257.96246337890625,591.3316040039062,1919.6334228515625,3158.17822265625,1,0,1,0,1,0,0,0,0,0,0,0,0.08074496686458588,0.03520971164107323,0.7526911497116089,0.02425161749124527,0.015988104045391083,0.03711545094847679,0.02438974566757679,0.014040647074580193,0.03281473368406296,0.03881344199180603,0.022294342517852783,0.027615297585725784
5,208.33333333333334,,,,insightface_bbox,0.8103927373886108,257.96246337890625,591.3316040039062,1919.6334228515625,3158.17822265625,1,0,1,0,1,0,0,0,0,0,0,0,0.07889984548091888,0.035381488502025604,0.6849799156188965,0.02492915466427803,0.015613099560141563,0.035914063453674316,0.024397872388362885,0.014472132548689842,0.032355256378650665,0.03910128399729729,0.022426152601838112,0.02844345010817051
6,250.0,,,,insightface_bbox,0.8169016242027283,261.6605529785156,584.8125,1917.9061279296875,3202.64599609375,1,0,1,0,1,0,0,0,0,0,0,0,0.07652705907821655,0.03685794025659561,0.5741763710975647,0.02776823751628399,0.01580098271369934,0.035175621509552,0.020514972507953644,0.015405491925776005,0.031841397285461426,0.03703467920422554,0.01725797913968563,0.027299467474222183
7,291.6666666666667,,,,insightface_bbox,0.8169016242027283,261.6605529785156,584.8125,1917.9061279296875,3202.64599609375,0,0,1,0,1,0,0,0,0,0,0,0,0.05336514860391617,0.030402550473809242,0.3784526586532593,0.03013501688838005,0.015070232562720776,0.03980148211121559,0.020878547802567482,0.01535879634320736,0.031070396304130554,0.038153793662786484,0.017398491501808167,0.027849718928337097
8,333.3333333333333,,,,insightface_bbox,0.8169016242027283,261.6605529785156,584.8125,1917.9061279296875,3202.64599609375,0,0,1,0,1,0,0,0,0,0,0,0,0.054308366030454636,0.030502595007419586,0.386409193277359,0.029753243550658226,0.014418244361877441,0.037885721772909164,0.019440945237874985,0.014824464917182922,0.030156176537275314,0.037853896617889404,0.01677742972970009,0.027477823197841644
9,375.0,,,,insightface_bbox,0.8169016242027283,261.6605529785156,584.8125,1917.9061279296875,3202.64599609375,0,0,1,0,1,0,0,0,0,0,0,0,0.060534313321113586,0.04209475219249725,0.4190082848072052,0.03430132567882538,0.016960954293608665,0.05479912832379341,0.020483192056417465,0.015168849378824234,0.035988084971904755,0.041456226259469986,0.01912488043308258,0.03322958946228027
