frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8217811584472656,382.6492614746094,1067.9140625,1749.12744140625,2818.60693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.029329722747206688,0.023744741454720497,0.030765367671847343,0.020574703812599182,0.017140589654445648,0.023475755006074905,0.014315460808575153,0.025090722367167473,0.0524742491543293,0.046731214970350266,0.008569318801164627,0.02138180285692215
1,41.666666666666664,,,,insightface_bbox,0.8217811584472656,382.6492614746094,1067.9140625,1749.12744140625,2818.60693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02948296070098877,0.02327779307961464,0.029688524082303047,0.020023364573717117,0.016697479411959648,0.0234413743019104,0.01402377337217331,0.02509436383843422,0.05255556106567383,0.047019265592098236,0.008780976757407188,0.021425370126962662
2,83.33333333333333,,,,insightface_bbox,0.8217811584472656,382.6492614746094,1067.9140625,1749.12744140625,2818.60693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.029505077749490738,0.023365169763565063,0.029286276549100876,0.02014218643307686,0.016889924183487892,0.023348098620772362,0.014451449736952782,0.025142665952444077,0.052621662616729736,0.04756156727671623,0.00891345925629139,0.021541811525821686
3,125.0,,,,insightface_bbox,0.8217811584472656,382.6492614746094,1067.9140625,1749.12744140625,2818.60693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.029591161757707596,0.022977693006396294,0.029266808182001114,0.01982048898935318,0.016811516135931015,0.02322465553879738,0.013986906036734581,0.02501031756401062,0.05295775085687637,0.04738420620560646,0.008904337882995605,0.02148362621665001
4,166.66666666666666,,,,insightface_bbox,0.8217811584472656,382.6492614746094,1067.9140625,1749.12744140625,2818.60693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.029457591474056244,0.022875119000673294,0.029677804559469223,0.019982315599918365,0.017325561493635178,0.023273970931768417,0.014630494639277458,0.02508489042520523,0.05302399769425392,0.0481191985309124,0.008999912068247795,0.021347830072045326
5,208.33333333333334,,,,insightface_bbox,0.8217811584472656,382.6492614746094,1067.9140625,1749.12744140625,2818.60693359375,0,0,0,0,0,0,0,0,0,0,0,0,0.029616251587867737,0.022729016840457916,0.029736395925283432,0.019898369908332825,0.017306340858340263,0.02255556918680668,0.014647232368588448,0.02481507509946823,0.05320245772600174,0.04827896133065224,0.008836750872433186,0.021206194534897804
6,250.0,,,,insightface_bbox,0.8199708461761475,377.2247314453125,1047.51611328125,1735.707275390625,2827.21728515625,0,0,0,0,0,0,0,0,0,0,0,0,0.02941301092505455,0.019955949857831,0.025434527546167374,0.016647467389702797,0.015290427953004837,0.018857277929782867,0.010835077613592148,0.022449083626270294,0.053095895797014236,0.04453468695282936,0.00856846384704113,0.020976608619093895
7,291.6666666666667,,,,insightface_bbox,0.8199708461761475,377.2247314453125,1047.51611328125,1735.707275390625,2827.21728515625,0,0,0,0,0,0,0,0,0,0,0,0,0.0297815203666687,0.020194685086607933,0.025681480765342712,0.016787748783826828,0.015400806441903114,0.01881321892142296,0.010944230481982231,0.02237933874130249,0.05305255204439163,0.044318702071905136,0.008627820760011673,0.02110585942864418
8,333.3333333333333,,,,insightface_bbox,0.8199708461761475,377.2247314453125,1047.51611328125,1735.707275390625,2827.21728515625,0,0,0,0,0,0,0,0,0,0,0,0,0.02992425113916397,0.020054543390870094,0.025759205222129822,0.016783498227596283,0.015872979536652565,0.018849710002541542,0.011200034990906715,0.02228274568915367,0.05287614092230797,0.044758398085832596,0.008882706053555012,0.02115056663751602
9,375.0,,,,insightface_bbox,0.8199708461761475,377.2247314453125,1047.51611328125,1735.707275390625,2827.21728515625,0,0,0,0,0,0,0,0,0,0,0,0,0.030003098770976067,0.02023746445775032,0.026168499141931534,0.01675816997885704,0.016121789813041687,0.019023338332772255,0.011715968139469624,0.021936995908617973,0.05319766327738762,0.044603753834962845,0.008870035409927368,0.02120952680706978
