frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8268815875053406,380.6033935546875,1055.854248046875,1742.9219970703125,2788.32568359375,0,0,0,0,0,0,0,0,0,0,0,0,0.028932148590683937,0.021957281976938248,0.03371523693203926,0.019344907253980637,0.015758821740746498,0.020042041316628456,0.014560780487954617,0.023490503430366516,0.05224192142486572,0.04653508961200714,0.007301978301256895,0.02027040161192417
1,41.666666666666664,,,,insightface_bbox,0.8268815875053406,380.6033935546875,1055.854248046875,1742.9219970703125,2788.32568359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02894565835595131,0.0214812271296978,0.03253703564405441,0.019353536888957024,0.016365962103009224,0.019780108705163002,0.0153962979093194,0.023340240120887756,0.052073776721954346,0.046820417046546936,0.007308593485504389,0.020201370120048523
2,83.33333333333333,,,,insightface_bbox,0.8268815875053406,380.6033935546875,1055.854248046875,1742.9219970703125,2788.32568359375,0,0,0,0,0,0,0,0,0,0,0,0,0.029032045975327492,0.021509548649191856,0.031828708946704865,0.019274776801466942,0.016744570806622505,0.01944218948483467,0.015822215005755424,0.023108862340450287,0.05156237632036209,0.046735670417547226,0.007317392621189356,0.020168941468000412
3,125.0,,,,insightface_bbox,0.8268815875053406,380.6033935546875,1055.854248046875,1742.9219970703125,2788.32568359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02932676300406456,0.021917540580034256,0.03161429613828659,0.01925811916589737,0.01767108216881752,0.019057661294937134,0.01732526533305645,0.023139769211411476,0.053229574114084244,0.04767739027738571,0.007458671927452087,0.020941348746418953
4,166.66666666666666,,,,insightface_bbox,0.8268815875053406,380.6033935546875,1055.854248046875,1742.9219970703125,2788.32568359375,0,0,0,0,0,0,0,0,0,0,0,0,0.02965935319662094,0.022823233157396317,0.032105691730976105,0.019805001094937325,0.018636392429471016,0.0188482403755188,0.019219746813178062,0.02309654839336872,0.053702760487794876,0.04674457013607025,0.00716385617852211,0.021461818367242813
5,208.33333333333334,,,,insightface_bbox,0.8268815875053406,380.6033935546875,1055.854248046875,1742.9219970703125,2788.32568359375,0,0,0,0,0,0,0,0,0,0,0,0,0.030498823150992393,0.023579085245728493,0.03333287686109543,0.020515481010079384,0.020693480968475342,0.019922833889722824,0.021459942683577538,0.023463748395442963,0.05551639944314957,0.04788753017783165,0.007464768830686808,0.02151995711028576
6,250.0,,,,insightface_bbox,0.8344660401344299,393.7544860839844,1050.138671875,1739.43310546875,2805.225830078125,0,0,0,0,0,0,0,0,0,0,0,0,0.029306303709745407,0.023127702996134758,0.03359419107437134,0.01777854561805725,0.022111648693680763,0.01690765470266342,0.018503667786717415,0.021300163120031357,0.0572243370115757,0.04166707023978233,0.007989589124917984,0.02069256454706192
7,291.6666666666667,,,,insightface_bbox,0.8344660401344299,393.7544860839844,1050.138671875,1739.43310546875,2805.225830078125,0,0,0,0,0,0,0,0,0,0,0,0,0.029003584757447243,0.023083582520484924,0.033535003662109375,0.017636289820075035,0.022388847544789314,0.016937080770730972,0.01788170635700226,0.020917246118187904,0.05725215747952461,0.041411079466342926,0.00800231471657753,0.0204776581376791
8,333.3333333333333,,,,insightface_bbox,0.8344660401344299,393.7544860839844,1050.138671875,1739.43310546875,2805.225830078125,0,0,0,0,0,0,0,0,0,0,0,0,0.02786414325237274,0.022719133645296097,0.03478458523750305,0.017255673184990883,0.021044228225946426,0.016863567754626274,0.01681007817387581,0.02028471790254116,0.060015399008989334,0.041860323399305344,0.007646932266652584,0.019842246547341347
9,375.0,,,,insightface_bbox,0.8344660401344299,393.7544860839844,1050.138671875,1739.43310546875,2805.225830078125,0,0,0,0,0,1,0,0,0,0,0,0,0.027844369411468506,0.024247348308563232,0.047540389001369476,0.020315732806921005,0.02749977447092533,0.02291705645620823,0.02842688001692295,0.02199682593345642,0.06714469194412231,0.04783717542886734,0.009829062968492508,0.020952019840478897
