frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7357132434844971,214.5238037109375,678.2254638671875,1903.8955078125,2983.708251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.018004126846790314,0.01428806222975254,0.021193793043494225,0.011583618819713593,0.0067762527614831924,0.011668278835713863,0.005059926304966211,0.013185901567339897,0.03413057327270508,0.037155330181121826,0.0043742177076637745,0.01122693344950676
1,41.666666666666664,,,,insightface_bbox,0.7357132434844971,214.5238037109375,678.2254638671875,1903.8955078125,2983.708251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.018055781722068787,0.014563348144292831,0.022345643490552902,0.01180675346404314,0.006699572317302227,0.011890284717082977,0.004865681286901236,0.013555594719946384,0.03442097455263138,0.038188543170690536,0.004181421361863613,0.011287610046565533
2,83.33333333333333,,,,insightface_bbox,0.7357132434844971,214.5238037109375,678.2254638671875,1903.8955078125,2983.708251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.017907561734318733,0.014456267468631268,0.021424779668450356,0.011555531993508339,0.006508267484605312,0.011690519750118256,0.0046599023044109344,0.013434463180601597,0.0339079312980175,0.03818097338080406,0.0041857268661260605,0.011238985694944859
3,125.0,,,,insightface_bbox,0.7357132434844971,214.5238037109375,678.2254638671875,1903.8955078125,2983.708251953125,0,0,0,0,0,0,0,0,0,0,0,0,0.018038751557469368,0.01516926009207964,0.021344587206840515,0.011772222816944122,0.006341082043945789,0.012065581046044827,0.004758791066706181,0.013518225401639938,0.033045295625925064,0.03918839991092682,0.004261533729732037,0.01135137677192688
4,166.66666666666666,,,,insightface_bbox,0.7357132434844971,214.5238037109375,678.2254638671875,1903.8955078125,2983.708251953125,0,0,0,0,0,0,0,1,0,0,0,0,0.016799384728074074,0.014775583520531654,0.021699534729123116,0.011660376563668251,0.006020643748342991,0.011444797739386559,0.0043302676640450954,0.0131100844591856,0.030512744560837746,0.03889719396829605,0.0037473803386092186,0.01071345154196024
5,208.33333333333334,,,,insightface_bbox,0.7357132434844971,214.5238037109375,678.2254638671875,1903.8955078125,2983.708251953125,0,0,0,0,0,0,0,1,0,0,0,0,0.0234877597540617,0.028304386883974075,0.04086952283978462,0.016709601506590843,0.007477988488972187,0.03305644541978836,0.006822758354246616,0.015526948496699333,0.04688411206007004,0.05032620579004288,0.008358441293239594,0.016373470425605774
6,250.0,,,,insightface_bbox,0.7518349885940552,214.767333984375,670.0847778320312,1909.6614990234375,3016.360595703125,0,0,0,0,0,0,0,1,0,0,0,0,0.026132503524422646,0.03483787924051285,0.03813948109745979,0.02039717137813568,0.008578531444072723,0.03298041597008705,0.010480616241693497,0.018062224611639977,0.04276128113269806,0.05454082414507866,0.016872769221663475,0.022859901189804077
7,291.6666666666667,,,,insightface_bbox,0.7518349885940552,214.767333984375,670.0847778320312,1909.6614990234375,3016.360595703125,0,0,0,0,0,0,0,1,0,0,0,0,0.026011699810624123,0.036939166486263275,0.034651078283786774,0.021343786269426346,0.008646688424050808,0.030824240297079086,0.011678957380354404,0.018365267664194107,0.041602253913879395,0.05748728662729263,0.018154308199882507,0.02524014376103878
8,333.3333333333333,,,,insightface_bbox,0.7518349885940552,214.767333984375,670.0847778320312,1909.6614990234375,3016.360595703125,0,0,0,0,0,0,0,1,0,0,0,0,0.02657775953412056,0.03728071600198746,0.03378276899456978,0.021734796464443207,0.009094259701669216,0.02755492739379406,0.014989255927503109,0.019083645194768906,0.04094969481229782,0.0636531412601471,0.017164234071969986,0.02747928351163864
9,375.0,,,,insightface_bbox,0.7518349885940552,214.767333984375,670.0847778320312,1909.6614990234375,3016.360595703125,0,0,0,0,0,1,0,1,0,0,0,0,0.028279703110456467,0.04138743504881859,0.0342450886964798,0.022747159004211426,0.009502077475190163,0.02640514075756073,0.019946416839957237,0.02005772478878498,0.04084150493144989,0.06787092983722687,0.015732543542981148,0.027265168726444244
