frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8278589248657227,427.2297668457031,942.329833984375,1706.5130615234375,2611.06201171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03186102584004402,0.02735864371061325,0.0281599760055542,0.02270428091287613,0.01721271127462387,0.01962193474173546,0.0203161109238863,0.036887675523757935,0.06730786710977554,0.03721066191792488,0.007157497573643923,0.029546309262514114
1,41.666666666666664,,,,insightface_bbox,0.8278589248657227,427.2297668457031,942.329833984375,1706.5130615234375,2611.06201171875,0,0,0,0,0,0,0,0,0,0,0,0,0.032975103706121445,0.02815830707550049,0.029866451397538185,0.023136571049690247,0.018043329939246178,0.019821299239993095,0.019964776933193207,0.03749284893274307,0.0710279792547226,0.040278300642967224,0.0073604704812169075,0.02970197983086109
2,83.33333333333333,,,,insightface_bbox,0.8278589248657227,427.2297668457031,942.329833984375,1706.5130615234375,2611.06201171875,0,0,0,0,0,0,0,0,0,0,0,0,0.032883867621421814,0.027783606201410294,0.029291916638612747,0.0229177325963974,0.018077438697218895,0.019619045779109,0.019511934369802475,0.03798984736204147,0.07083811610937119,0.04101906716823578,0.007496995851397514,0.029931727796792984
3,125.0,,,,insightface_bbox,0.8278589248657227,427.2297668457031,942.329833984375,1706.5130615234375,2611.06201171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03325553983449936,0.028033748269081116,0.03031652234494686,0.022961579263210297,0.018755869939923286,0.01977045275270939,0.019465254619717598,0.038735050708055496,0.07248198986053467,0.041991617530584335,0.007572410628199577,0.029956776648759842
4,166.66666666666666,,,,insightface_bbox,0.8278589248657227,427.2297668457031,942.329833984375,1706.5130615234375,2611.06201171875,0,0,0,0,0,0,0,0,0,0,0,0,0.033910512924194336,0.028664153069257736,0.030894801020622253,0.023282743990421295,0.01914140209555626,0.020001066848635674,0.019998464733362198,0.038734883069992065,0.07246121019124985,0.042080484330654144,0.007598391268402338,0.030208060517907143
5,208.33333333333334,,,,insightface_bbox,0.8278589248657227,427.2297668457031,942.329833984375,1706.5130615234375,2611.06201171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03310193121433258,0.028253260999917984,0.03049379400908947,0.023438148200511932,0.019284775480628014,0.019897622987627983,0.02017342299222946,0.03885270655155182,0.07122339308261871,0.041703201830387115,0.007609422318637371,0.030076483264565468
6,250.0,,,,insightface_bbox,0.8243166208267212,415.5001220703125,934.539794921875,1710.3076171875,2611.889892578125,0,0,0,0,0,0,0,0,0,0,0,0,0.031310658901929855,0.025020774453878403,0.029152903705835342,0.021834559738636017,0.016501670703291893,0.020341604948043823,0.018069975078105927,0.029900290071964264,0.0592164471745491,0.03843048959970474,0.010604522190988064,0.028296226635575294
7,291.6666666666667,,,,insightface_bbox,0.8243166208267212,415.5001220703125,934.539794921875,1710.3076171875,2611.889892578125,0,0,0,0,0,0,0,0,0,0,0,0,0.03084985725581646,0.024839799851179123,0.028912963345646858,0.02165830135345459,0.016451247036457062,0.020118646323680878,0.01782022975385189,0.02986197918653488,0.05959293991327286,0.03849872201681137,0.010856260545551777,0.028317419812083244
8,333.3333333333333,,,,insightface_bbox,0.8243166208267212,415.5001220703125,934.539794921875,1710.3076171875,2611.889892578125,0,0,0,0,0,0,0,0,0,0,0,0,0.030753212049603462,0.024605266749858856,0.028712205588817596,0.02153470739722252,0.016470516100525856,0.020153334364295006,0.01793901063501835,0.03011622466146946,0.05967123433947563,0.038839563727378845,0.011134571395814419,0.028282616287469864
9,375.0,,,,insightface_bbox,0.8243166208267212,415.5001220703125,934.539794921875,1710.3076171875,2611.889892578125,0,0,0,0,0,0,0,0,0,0,0,0,0.03059236705303192,0.024434193968772888,0.029480362311005592,0.02178724855184555,0.016708552837371826,0.02058403566479683,0.0177391916513443,0.02999068982899189,0.060454946011304855,0.03943655639886856,0.011901330202817917,0.028688544407486916
10,416.6666666666667,,,,insightface_bbox,0.8243166208267212,415.5001220703125,934.539794921875,1710.3076171875,2611.889892578125,0,0,0,0,0,0,0,0,0,0,0,0,0.02971317619085312,0.02388872392475605,0.028609778732061386,0.021282078698277473,0.016372792422771454,0.02010791003704071,0.017427708953619003,0.029526889324188232,0.05980338156223297,0.03867875039577484,0.011417203582823277,0.027925819158554077
11,458.3333333333333,,,,insightface_bbox,0.8243166208267212,415.5001220703125,934.539794921875,1710.3076171875,2611.889892578125,0,0,0,0,0,0,0,0,0,0,0,0,0.029226114973425865,0.023567797616124153,0.028327733278274536,0.020885737612843513,0.015886632725596428,0.0196982529014349,0.016550373286008835,0.029103122651576996,0.05977597087621689,0.038506172597408295,0.011266014538705349,0.02740984782576561
12,500.0,,,,insightface_bbox,0.8174200057983398,416.0103454589844,948.6083374023438,1712.5914306640625,2613.559814453125,0,0,0,0,0,0,0,0,0,0,0,0,0.027659542858600616,0.022546961903572083,0.025773148983716965,0.020889196544885635,0.015312884002923965,0.01888030394911766,0.016551978886127472,0.028345642611384392,0.05724254995584488,0.038522869348526,0.010962434113025665,0.02655714564025402
13,541.6666666666666,,,,insightface_bbox,0.8174200057983398,416.0103454589844,948.6083374023438,1712.5914306640625,2613.559814453125,0,0,0,0,0,0,0,0,0,0,0,0,0.024597156792879105,0.020975254476070404,0.023071272298693657,0.0216420516371727,0.014869519509375095,0.01711760088801384,0.018623534590005875,0.02480453997850418,0.05393586307764053,0.03941917419433594,0.008272644132375717,0.02418467588722706
14,583.3333333333334,,,,insightface_bbox,0.8174200057983398,416.0103454589844,948.6083374023438,1712.5914306640625,2613.559814453125,0,0,0,0,0,0,0,0,0,0,0,0,0.0290268175303936,0.0247111264616251,0.02387220226228237,0.025627385824918747,0.016418371349573135,0.0213228277862072,0.0284600667655468,0.02719930186867714,0.0586451031267643,0.05053501948714256,0.029690537601709366,0.03510437533259392
15,625.0,,,,insightface_bbox,0.8174200057983398,416.0103454589844,948.6083374023438,1712.5914306640625,2613.559814453125,0,0,0,0,0,0,0,0,0,0,0,0,0.029413511976599693,0.02505725622177124,0.026007678359746933,0.024993736296892166,0.01623005047440529,0.021795649081468582,0.02869262546300888,0.028434468433260918,0.059319302439689636,0.04980817809700966,0.025424756109714508,0.0330430269241333
16,666.6666666666666,,,,insightface_bbox,0.8174200057983398,416.0103454589844,948.6083374023438,1712.5914306640625,2613.559814453125,0,0,0,0,0,0,0,0,0,0,0,0,0.024230141192674637,0.021792564541101456,0.02288588136434555,0.02010294795036316,0.015173031948506832,0.0172383151948452,0.01786639541387558,0.023080648854374886,0.050098419189453125,0.03490839898586273,0.009498292580246925,0.026359889656305313
17,708.3333333333334,,,,insightface_bbox,0.8174200057983398,416.0103454589844,948.6083374023438,1712.5914306640625,2613.559814453125,0,0,0,0,0,1,0,0,0,0,0,0,0.025361232459545135,0.02526313252747059,0.028137153014540672,0.02674831822514534,0.017013952136039734,0.019714830443263054,0.020668908953666687,0.02669432945549488,0.04818500950932503,0.038201019167900085,0.012284588068723679,0.031018761917948723
