frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8657342791557312,418.4225769042969,1063.168212890625,1754.97509765625,2795.21142578125,0,0,0,0,0,0,0,0,0,0,0,0,0.030995076522231102,0.02289743162691593,0.0403120182454586,0.018839647993445396,0.016231123358011246,0.021319912746548653,0.01377340592443943,0.02448161318898201,0.054621193557977676,0.0396081767976284,0.007723404094576836,0.021787630394101143
1,41.666666666666664,,,,insightface_bbox,0.8657342791557312,418.4225769042969,1063.168212890625,1754.97509765625,2795.21142578125,0,0,0,0,0,0,0,0,0,0,0,0,0.0301309023052454,0.021771974861621857,0.035337526351213455,0.018525313585996628,0.01694987528026104,0.01997288502752781,0.014190487563610077,0.02310043014585972,0.052559878677129745,0.03942884877324104,0.008202246390283108,0.0214089248329401
2,83.33333333333333,,,,insightface_bbox,0.8657342791557312,418.4225769042969,1063.168212890625,1754.97509765625,2795.21142578125,0,0,0,0,0,0,0,0,0,0,0,0,0.030458509922027588,0.021989598870277405,0.035472434014081955,0.01826845481991768,0.016963129863142967,0.019977685064077377,0.013991015963256359,0.022640589624643326,0.05212894827127457,0.03854266554117203,0.008034968748688698,0.02118803560733795
3,125.0,,,,insightface_bbox,0.8657342791557312,418.4225769042969,1063.168212890625,1754.97509765625,2795.21142578125,0,0,0,0,0,0,0,0,0,0,0,0,0.03145588934421539,0.022385362535715103,0.0329071506857872,0.018475031480193138,0.01792953535914421,0.020133091136813164,0.014968249015510082,0.022526293992996216,0.05438503250479698,0.039637431502342224,0.008415278047323227,0.021635662764310837
4,166.66666666666666,,,,insightface_bbox,0.8657342791557312,418.4225769042969,1063.168212890625,1754.97509765625,2795.21142578125,0,0,0,0,0,0,0,0,0,0,0,0,0.03205530717968941,0.024773042649030685,0.03363863006234169,0.0191219262778759,0.0213111974298954,0.020506948232650757,0.01858203299343586,0.022897953167557716,0.060001492500305176,0.04035797342658043,0.007993603125214577,0.023089051246643066
5,208.33333333333334,,,,insightface_bbox,0.8657342791557312,418.4225769042969,1063.168212890625,1754.97509765625,2795.21142578125,0,0,0,0,0,1,0,0,0,0,0,0,0.03097277320921421,0.025595515966415405,0.037341706454753876,0.019509829580783844,0.02427145466208458,0.021221574395895004,0.022621531039476395,0.022581590339541435,0.061404019594192505,0.039591897279024124,0.007515244651585817,0.022724203765392303
6,250.0,,,,insightface_bbox,0.869304895401001,417.8900146484375,1047.7672119140625,1754.097412109375,2801.335693359375,0,0,0,0,0,1,0,1,0,0,0,0,0.033677782863378525,0.029501663520932198,0.08449535071849823,0.023178253322839737,0.03799164667725563,0.034393031150102615,0.039250947535037994,0.02506997063755989,0.07832783460617065,0.04828833416104317,0.008787119761109352,0.02355995774269104
7,291.6666666666667,,,,insightface_bbox,0.869304895401001,417.8900146484375,1047.7672119140625,1754.097412109375,2801.335693359375,0,0,1,0,1,1,0,1,0,1,0,1,0.049390554428100586,0.043738722801208496,0.236250638961792,0.036907147616147995,0.07213161885738373,0.10250865668058395,0.07436619699001312,0.038214609026908875,0.1634305864572525,0.0853109210729599,0.017450746148824692,0.03930673375725746
8,333.3333333333333,,,,insightface_bbox,0.869304895401001,417.8900146484375,1047.7672119140625,1754.097412109375,2801.335693359375,0,0,1,0,0,1,0,1,0,1,0,1,0.04860146343708038,0.04482308402657509,0.2616075873374939,0.03608448803424835,0.06376434862613678,0.10124672949314117,0.07304659485816956,0.0353090763092041,0.1360725462436676,0.07682429254055023,0.017973000183701515,0.03950551524758339
9,375.0,,,,insightface_bbox,0.869304895401001,417.8900146484375,1047.7672119140625,1754.097412109375,2801.335693359375,0,0,1,0,0,1,0,1,0,1,0,0,0.04606201872229576,0.04149597883224487,0.27020958065986633,0.0338500551879406,0.058359891176223755,0.09540822356939316,0.06875327229499817,0.03131788596510887,0.10877396166324615,0.07079028338193893,0.01833377033472061,0.03674372285604477
10,416.6666666666667,,,,insightface_bbox,0.869304895401001,417.8900146484375,1047.7672119140625,1754.097412109375,2801.335693359375,0,0,1,0,0,1,0,1,0,1,0,0,0.041032224893569946,0.03746632859110832,0.27484121918678284,0.03122999519109726,0.052068762481212616,0.07098504900932312,0.053990356624126434,0.028746653348207474,0.08796629309654236,0.06401687115430832,0.017002692446112633,0.03372155874967575
11,458.3333333333333,,,,insightface_bbox,0.869304895401001,417.8900146484375,1047.7672119140625,1754.097412109375,2801.335693359375,0,0,1,0,0,1,0,1,0,1,0,0,0.038362760096788406,0.03595550358295441,0.28561973571777344,0.030769042670726776,0.053827665746212006,0.060452330857515335,0.05158888176083565,0.027774980291724205,0.07920238375663757,0.0643606185913086,0.01628558523952961,0.032982680946588516
