frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8212699890136719,416.7527160644531,1019.0735473632812,1705.9615478515625,2695.597412109375,0,0,0,0,0,0,0,0,0,0,0,0,0.031640201807022095,0.025258146226406097,0.030023571103811264,0.022477127611637115,0.016845393925905228,0.02132766880095005,0.013608626089990139,0.03125970810651779,0.06212826073169708,0.045559510588645935,0.008128910325467587,0.031967706978321075
1,41.666666666666664,,,,insightface_bbox,0.8212699890136719,416.7527160644531,1019.0735473632812,1705.9615478515625,2695.597412109375,0,0,0,0,0,0,0,0,0,0,0,0,0.03228289633989334,0.02556157484650612,0.030154701322317123,0.022494718432426453,0.01713746227324009,0.021192392334342003,0.014192053116858006,0.030879007652401924,0.06518044322729111,0.0485696867108345,0.008316061459481716,0.03164246305823326
2,83.33333333333333,,,,insightface_bbox,0.8212699890136719,416.7527160644531,1019.0735473632812,1705.9615478515625,2695.597412109375,0,0,0,0,0,0,0,0,0,0,0,0,0.0323374979197979,0.025455420836806297,0.030428916215896606,0.022361859679222107,0.01681726984679699,0.020785342901945114,0.013758357614278793,0.03074073977768421,0.06551028788089752,0.04844183474779129,0.007918395102024078,0.031016584485769272
3,125.0,,,,insightface_bbox,0.8212699890136719,416.7527160644531,1019.0735473632812,1705.9615478515625,2695.597412109375,0,0,0,0,0,0,0,0,0,0,0,0,0.03280885890126228,0.025697529315948486,0.030327916145324707,0.022355075925588608,0.016961678862571716,0.020693086087703705,0.01380035188049078,0.030584482476115227,0.06625863909721375,0.04976679012179375,0.007985995151102543,0.03101486712694168
4,166.66666666666666,,,,insightface_bbox,0.8212699890136719,416.7527160644531,1019.0735473632812,1705.9615478515625,2695.597412109375,0,0,0,0,0,0,0,0,0,0,0,0,0.03175261616706848,0.025070898234844208,0.029327262192964554,0.021657200530171394,0.016483625397086143,0.02027939260005951,0.01348359975963831,0.03021589294075966,0.0662769079208374,0.04951338469982147,0.00746123306453228,0.029734674841165543
5,208.33333333333334,,,,insightface_bbox,0.8212699890136719,416.7527160644531,1019.0735473632812,1705.9615478515625,2695.597412109375,0,0,0,0,0,0,0,0,0,0,0,0,0.02879565954208374,0.021607626229524612,0.029913300648331642,0.01971682347357273,0.01454147882759571,0.02194530889391899,0.012020129710435867,0.02975025214254856,0.06526573747396469,0.05066456273198128,0.007389395032078028,0.02541246823966503
6,250.0,,,,insightface_bbox,0.7960143089294434,399.170654296875,991.2771606445312,1690.6812744140625,2683.54541015625,0,0,0,0,0,0,0,0,0,0,0,0,0.03179086372256279,0.021199479699134827,0.04108876734972,0.020507104694843292,0.013527117669582367,0.018037518486380577,0.009694825857877731,0.03148072957992554,0.06411866098642349,0.049203380942344666,0.00713058328256011,0.024280771613121033
7,291.6666666666667,,,,insightface_bbox,0.7960143089294434,399.170654296875,991.2771606445312,1690.6812744140625,2683.54541015625,0,0,1,0,0,0,0,0,0,0,0,0,0.023712804540991783,0.02038590796291828,0.08336205035448074,0.024697132408618927,0.014869272708892822,0.021334383636713028,0.006773878820240498,0.028448978438973427,0.05988553538918495,0.054867859929800034,0.006053722929209471,0.020198596641421318
8,333.3333333333333,,,,insightface_bbox,0.7960143089294434,399.170654296875,991.2771606445312,1690.6812744140625,2683.54541015625,0,0,0,0,0,0,0,0,0,0,0,0,0.024051811546087265,0.017097726464271545,0.01995185576379299,0.016342822462320328,0.007833141833543777,0.010626736097037792,0.007870277389883995,0.01875683106482029,0.03938235715031624,0.037159375846385956,0.003686729818582535,0.025307290256023407
9,375.0,,,,insightface_bbox,0.7960143089294434,399.170654296875,991.2771606445312,1690.6812744140625,2683.54541015625,0,0,0,0,0,0,0,1,0,1,0,0,0.019688740372657776,0.01450921967625618,0.016037415713071823,0.01892065443098545,0.012700068764388561,0.012196245603263378,0.023772241547703743,0.03076690062880516,0.057449039071798325,0.07210616767406464,0.004708474967628717,0.018166715279221535
