frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7878665328025818,423.8517150878906,1521.832763671875,1753.9295654296875,3229.69775390625,0,0,0,1,1,1,0,1,0,1,0,1,0.06832638382911682,0.08178844302892685,0.18616580963134766,0.07559618353843689,0.3655269742012024,0.07677958160638809,0.20284660160541534,0.10414927452802658,0.2355368286371231,0.19366712868213654,0.15639877319335938,0.0831226259469986
1,41.666666666666664,,,,insightface_bbox,0.7878665328025818,423.8517150878906,1521.832763671875,1753.9295654296875,3229.69775390625,0,0,0,1,1,1,0,1,1,1,0,1,0.06893016397953033,0.0829058438539505,0.17862287163734436,0.0782957524061203,0.43726861476898193,0.07914850115776062,0.22384598851203918,0.10747652500867844,0.25023478269577026,0.1948283463716507,0.18888098001480103,0.08589288592338562
2,83.33333333333333,,,,insightface_bbox,0.7878665328025818,423.8517150878906,1521.832763671875,1753.9295654296875,3229.69775390625,0,0,0,1,1,1,0,1,1,1,0,1,0.06535863131284714,0.07927916944026947,0.15841546654701233,0.07430662214756012,0.4300325810909271,0.0734785944223404,0.20546318590641022,0.10142546147108078,0.23179545998573303,0.1845087707042694,0.17114980518817902,0.08140261471271515
3,125.0,,,,insightface_bbox,0.7878665328025818,423.8517150878906,1521.832763671875,1753.9295654296875,3229.69775390625,0,0,0,1,1,1,0,1,0,1,0,1,0.06300567835569382,0.07550704479217529,0.14877517521381378,0.07016896456480026,0.39417460560798645,0.069460429251194,0.19364556670188904,0.09404901415109634,0.20656877756118774,0.17703266441822052,0.147555410861969,0.07508675009012222
4,166.66666666666666,,,,insightface_bbox,0.7878665328025818,423.8517150878906,1521.832763671875,1753.9295654296875,3229.69775390625,0,0,0,1,1,1,0,1,0,1,0,1,0.06015007942914963,0.07100433856248856,0.14038768410682678,0.06592392921447754,0.338911235332489,0.06491844356060028,0.18154802918434143,0.08842350542545319,0.20886926352977753,0.17114078998565674,0.11317427456378937,0.06965562701225281
5,208.33333333333334,,,,insightface_bbox,0.7878665328025818,423.8517150878906,1521.832763671875,1753.9295654296875,3229.69775390625,0,0,0,1,1,1,0,1,1,1,0,1,0.0579288974404335,0.06869929283857346,0.13239900767803192,0.06313332915306091,0.3162062168121338,0.06038188561797142,0.15863268077373505,0.08553512394428253,0.22687393426895142,0.163089320063591,0.08823215216398239,0.0686851441860199
6,250.0,,,,insightface_bbox,0.8133764266967773,407.15753173828125,1487.1915283203125,1759.236083984375,3210.076171875,0,0,0,1,1,1,1,1,0,1,0,1,0.06690873205661774,0.0723641961812973,0.14712928235530853,0.0678512305021286,0.31602567434310913,0.06155748292803764,0.4405443072319031,0.07313290238380432,0.13859358429908752,0.14490754902362823,0.07467956095933914,0.06930840015411377
7,291.6666666666667,,,,insightface_bbox,0.8133764266967773,407.15753173828125,1487.1915283203125,1759.236083984375,3210.076171875,0,0,0,1,1,1,0,1,0,1,0,1,0.06147056818008423,0.06674191355705261,0.1809197962284088,0.06531795114278793,0.2599297761917114,0.0616554357111454,0.2669476866722107,0.08362728357315063,0.19047516584396362,0.17953677475452423,0.05838195979595184,0.06003853306174278
8,333.3333333333333,,,,insightface_bbox,0.8133764266967773,407.15753173828125,1487.1915283203125,1759.236083984375,3210.076171875,0,0,0,0,1,1,0,1,0,1,0,1,0.05610444024205208,0.059905122965574265,0.12380536645650864,0.05751582980155945,0.22761395573616028,0.05486644431948662,0.1963464617729187,0.07089891284704208,0.13782712817192078,0.14265289902687073,0.07244367897510529,0.05446666479110718
9,375.0,,,,insightface_bbox,0.8133764266967773,407.15753173828125,1487.1915283203125,1759.236083984375,3210.076171875,0,0,0,0,1,1,0,1,0,0,0,0,0.05009012296795845,0.04967569559812546,0.08341115713119507,0.04688110202550888,0.17203427851200104,0.04506837576627731,0.10000473260879517,0.05574224889278412,0.0893574133515358,0.08760616928339005,0.09805591404438019,0.05396535247564316
10,416.6666666666667,,,,insightface_bbox,0.8133764266967773,407.15753173828125,1487.1915283203125,1759.236083984375,3210.076171875,0,0,0,0,1,1,0,1,0,0,0,0,0.04801291972398758,0.04917934164404869,0.08178890496492386,0.04795076325535774,0.18961399793624878,0.04531295970082283,0.10375909507274628,0.05580533668398857,0.09005451202392578,0.0857202410697937,0.09122215956449509,0.052255161106586456
11,458.3333333333333,,,,insightface_bbox,0.8133764266967773,407.15753173828125,1487.1915283203125,1759.236083984375,3210.076171875,0,0,0,0,1,1,0,1,0,0,0,0,0.04818589240312576,0.048698749393224716,0.11425294727087021,0.049161627888679504,0.18585914373397827,0.05039738118648529,0.09212743490934372,0.061524588614702225,0.1000308096408844,0.09257201850414276,0.08850210905075073,0.050149716436862946
12,500.0,,,,insightface_bbox,0.8132027983665466,387.3963317871094,1355.29345703125,1763.8260498046875,3180.15966796875,0,0,0,0,1,1,0,1,0,0,0,0,0.04218973591923714,0.04260193184018135,0.12276329100131989,0.04568543657660484,0.13450467586517334,0.04986758902668953,0.10616705566644669,0.05562368035316467,0.10487237572669983,0.10875057429075241,0.06369172036647797,0.044592246413230896
13,541.6666666666666,,,,insightface_bbox,0.8132027983665466,387.3963317871094,1355.29345703125,1763.8260498046875,3180.15966796875,0,0,0,0,1,1,0,1,0,0,0,0,0.04265608265995979,0.04161791875958443,0.11798897385597229,0.04590732976794243,0.1445409506559372,0.04742760211229324,0.10935834050178528,0.05457393825054169,0.11283011734485626,0.11122062057256699,0.057780779898166656,0.04209807515144348
