frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8254053592681885,191.9049835205078,521.0819091796875,871.4853515625,1400.8934326171875,0,0,0,0,0,0,0,0,0,0,0,0,0.030625198036432266,0.020580420270562172,0.027524342760443687,0.01596977561712265,0.015541710890829563,0.019207937642931938,0.01024448499083519,0.02051212079823017,0.0530683696269989,0.04415671527385712,0.010616816580295563,0.02155372127890587
1,41.666666666666664,,,,insightface_bbox,0.8254053592681885,191.9049835205078,521.0819091796875,871.4853515625,1400.8934326171875,0,0,0,0,0,0,0,0,0,0,0,0,0.030545517802238464,0.020021872594952583,0.02640560455620289,0.015948355197906494,0.015011100098490715,0.018069691956043243,0.009928825311362743,0.020155716687440872,0.05162163823843002,0.042987436056137085,0.01001070998609066,0.021173646673560143
2,83.33333333333333,,,,insightface_bbox,0.8254053592681885,191.9049835205078,521.0819091796875,871.4853515625,1400.8934326171875,0,0,0,0,0,0,0,0,0,0,0,0,0.03074304200708866,0.020613616332411766,0.026152020320296288,0.016523918136954308,0.015751617029309273,0.01827826537191868,0.01053062453866005,0.020324580371379852,0.05203089118003845,0.04358452185988426,0.010530735366046429,0.021563291549682617
3,125.0,,,,insightface_bbox,0.8254053592681885,191.9049835205078,521.0819091796875,871.4853515625,1400.8934326171875,0,0,0,0,0,0,0,0,0,0,0,0,0.029925327748060226,0.02004684880375862,0.024874594062566757,0.016228260472416878,0.015385111793875694,0.017301810905337334,0.010404640808701515,0.0198688767850399,0.050133150070905685,0.04265027493238449,0.009865724481642246,0.02100856602191925
4,166.66666666666666,,,,insightface_bbox,0.8254053592681885,191.9049835205078,521.0819091796875,871.4853515625,1400.8934326171875,0,0,0,0,0,0,0,0,0,0,0,0,0.029124226421117783,0.01950848661363125,0.024624712765216827,0.01633452996611595,0.015314055606722832,0.017049580812454224,0.010442201979458332,0.020215235650539398,0.05124405026435852,0.04432739317417145,0.009712777100503445,0.02044142782688141
5,208.33333333333334,,,,insightface_bbox,0.8254053592681885,191.9049835205078,521.0819091796875,871.4853515625,1400.8934326171875,0,0,0,0,0,0,0,0,0,0,0,0,0.02957685850560665,0.020016498863697052,0.025778627023100853,0.016904160380363464,0.01615542732179165,0.016520487144589424,0.011478970758616924,0.020252935588359833,0.05168354511260986,0.04495260864496231,0.010117577388882637,0.020698029547929764
6,250.0,,,,insightface_bbox,0.8189220428466797,189.68724060058594,529.6333618164062,867.8113403320312,1407.029296875,0,0,0,0,0,0,0,0,0,0,0,0,0.027057060971856117,0.01820107363164425,0.022084666416049004,0.014842737466096878,0.014897278510034084,0.014178305864334106,0.010732305236160755,0.018398428335785866,0.052390698343515396,0.041553184390068054,0.009053959511220455,0.01901378110051155
7,291.6666666666667,,,,insightface_bbox,0.8189220428466797,189.68724060058594,529.6333618164062,867.8113403320312,1407.029296875,0,0,0,0,0,0,0,0,0,0,0,0,0.027833161875605583,0.01872549206018448,0.021504657343029976,0.01508152112364769,0.015145380981266499,0.013748310506343842,0.011809742078185081,0.01783592812716961,0.05183398723602295,0.04145093262195587,0.008621716871857643,0.019427089020609856
8,333.3333333333333,,,,insightface_bbox,0.8189220428466797,189.68724060058594,529.6333618164062,867.8113403320312,1407.029296875,0,0,0,0,0,0,0,0,0,0,0,0,0.028032749891281128,0.01912502571940422,0.02270365320146084,0.015190208330750465,0.015121516771614552,0.01410087663680315,0.012120159342885017,0.018319953233003616,0.05418900400400162,0.042526327073574066,0.00930494163185358,0.019913505762815475
9,375.0,,,,insightface_bbox,0.8189220428466797,189.68724060058594,529.6333618164062,867.8113403320312,1407.029296875,0,0,0,0,0,0,0,0,0,0,0,0,0.028608759865164757,0.01931602880358696,0.022502301260828972,0.01565089076757431,0.015326341614127159,0.014393744990229607,0.012175812385976315,0.01887654699385166,0.05365004763007164,0.044299960136413574,0.0094247842207551,0.02019263431429863
