frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8202964067459106,383.741455078125,1048.17724609375,1727.6650390625,2797.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0.029375754296779633,0.024011019617319107,0.02406931482255459,0.019143393263220787,0.017701217904686928,0.017723746597766876,0.013548105955123901,0.02374887838959694,0.045084670186042786,0.037461116909980774,0.009521044790744781,0.024437207728624344
1,41.666666666666664,,,,insightface_bbox,0.8202964067459106,383.741455078125,1048.17724609375,1727.6650390625,2797.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0.029095618054270744,0.02357340231537819,0.023419402539730072,0.018766529858112335,0.017442531883716583,0.017241518944501877,0.013102848082780838,0.02317151054739952,0.044615622609853745,0.03698235750198364,0.009454530663788319,0.024062085896730423
2,83.33333333333333,,,,insightface_bbox,0.8202964067459106,383.741455078125,1048.17724609375,1727.6650390625,2797.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0.028276432305574417,0.022877855226397514,0.02264462038874626,0.01821976900100708,0.016910966485738754,0.016736235469579697,0.012532578781247139,0.022634100168943405,0.04436491057276726,0.036179352551698685,0.009196259081363678,0.023668114095926285
3,125.0,,,,insightface_bbox,0.8202964067459106,383.741455078125,1048.17724609375,1727.6650390625,2797.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0.028613943606615067,0.022964412346482277,0.022653598338365555,0.01827818900346756,0.017510775476694107,0.0167983565479517,0.012729484587907791,0.0222653616219759,0.04432576149702072,0.036475881934165955,0.009656878188252449,0.024059686809778214
4,166.66666666666666,,,,insightface_bbox,0.8202964067459106,383.741455078125,1048.17724609375,1727.6650390625,2797.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0.02886512316763401,0.02294875495135784,0.022750817239284515,0.0182761549949646,0.01815214194357395,0.016992175951600075,0.012755326926708221,0.022256366908550262,0.04487369582056999,0.036969058215618134,0.010135039687156677,0.02441570535302162
5,208.33333333333334,,,,insightface_bbox,0.8202964067459106,383.741455078125,1048.17724609375,1727.6650390625,2797.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0.02844560705125332,0.02272464707493782,0.0231606587767601,0.01815972477197647,0.01793672703206539,0.016671117395162582,0.012846755795180798,0.022182952612638474,0.04585610702633858,0.03802391141653061,0.009514091536402702,0.023537147790193558
6,250.0,,,,insightface_bbox,0.8222135901451111,391.40313720703125,1064.3358154296875,1742.3931884765625,2801.407470703125,0,0,0,0,0,0,0,0,0,0,0,0,0.02649722807109356,0.02021266333758831,0.02340880036354065,0.016615495085716248,0.01504222396761179,0.015625979751348495,0.011022234335541725,0.021161865442991257,0.04544798657298088,0.03797958791255951,0.006654926110059023,0.019901160150766373
7,291.6666666666667,,,,insightface_bbox,0.8222135901451111,391.40313720703125,1064.3358154296875,1742.3931884765625,2801.407470703125,0,0,0,0,0,0,0,0,0,0,0,0,0.02650967612862587,0.020158961415290833,0.02365950122475624,0.016680840402841568,0.015273762866854668,0.01582067273557186,0.01113640982657671,0.021298060193657875,0.045971423387527466,0.038840096443891525,0.006922818720340729,0.020003139972686768
8,333.3333333333333,,,,insightface_bbox,0.8222135901451111,391.40313720703125,1064.3358154296875,1742.3931884765625,2801.407470703125,0,0,0,0,0,0,0,0,0,0,0,0,0.026830893009901047,0.020400753244757652,0.02414878085255623,0.016795162111520767,0.015743743628263474,0.016032621264457703,0.011351128108799458,0.021413369104266167,0.0459391325712204,0.03893322870135307,0.0068834396079182625,0.02005169354379177
9,375.0,,,,insightface_bbox,0.8222135901451111,391.40313720703125,1064.3358154296875,1742.3931884765625,2801.407470703125,0,0,0,0,0,0,0,0,0,0,0,0,0.026341203600168228,0.019991638138890266,0.025067662820219994,0.01672591269016266,0.015995658934116364,0.016427183523774147,0.011413825675845146,0.021664399653673172,0.047347292304039,0.040036026388406754,0.006873312406241894,0.019296228885650635
10,416.6666666666667,,,,insightface_bbox,0.8222135901451111,391.40313720703125,1064.3358154296875,1742.3931884765625,2801.407470703125,0,0,0,0,0,0,0,0,0,0,0,0,0.0261134821921587,0.020195527002215385,0.02448943257331848,0.01681412197649479,0.016226748004555702,0.016385693103075027,0.011727036908268929,0.021695906296372414,0.04735443368554115,0.0397806242108345,0.007000167388468981,0.01958637498319149
11,458.3333333333333,,,,insightface_bbox,0.8222135901451111,391.40313720703125,1064.3358154296875,1742.3931884765625,2801.407470703125,0,0,0,0,0,0,0,0,0,0,0,0,0.026241902261972427,0.020305152982473373,0.02449486032128334,0.016898006200790405,0.016264650970697403,0.016479942947626114,0.011778725311160088,0.021843714639544487,0.047444965690374374,0.04017331078648567,0.007010261062532663,0.01969846896827221
12,500.0,,,,insightface_bbox,0.823314905166626,386.0823974609375,1073.612548828125,1743.660400390625,2822.29296875,0,0,0,0,0,0,0,0,0,0,0,0,0.028544066473841667,0.02163325622677803,0.02684710919857025,0.018460581079125404,0.015577063895761967,0.01779196597635746,0.011554459109902382,0.0240551196038723,0.048807382583618164,0.044363148510456085,0.007905704900622368,0.02169850282371044
13,541.6666666666666,,,,insightface_bbox,0.823314905166626,386.0823974609375,1073.612548828125,1743.660400390625,2822.29296875,0,0,0,0,0,0,0,0,0,0,0,0,0.028114814311265945,0.020882634446024895,0.0267275832593441,0.018131611868739128,0.016210999339818954,0.017790738493204117,0.011736826039850712,0.02354270964860916,0.0500463992357254,0.04557862877845764,0.008122236467897892,0.020843520760536194
14,583.3333333333334,,,,insightface_bbox,0.823314905166626,386.0823974609375,1073.612548828125,1743.660400390625,2822.29296875,0,0,0,0,0,0,0,0,0,0,0,0,0.02434682287275791,0.01914181187748909,0.023634059354662895,0.016430547460913658,0.013482945039868355,0.016747787594795227,0.010171692818403244,0.02174208126962185,0.05018294230103493,0.04381733387708664,0.008560786023736,0.019382992759346962
15,625.0,,,,insightface_bbox,0.823314905166626,386.0823974609375,1073.612548828125,1743.660400390625,2822.29296875,0,0,0,0,0,0,0,0,0,0,0,0,0.024832485243678093,0.019166314974427223,0.025885481387376785,0.016634654253721237,0.015893246978521347,0.017097391188144684,0.012562006711959839,0.022130489349365234,0.055155884474515915,0.046893410384655,0.00941508635878563,0.018675290048122406
16,666.6666666666666,,,,insightface_bbox,0.823314905166626,386.0823974609375,1073.612548828125,1743.660400390625,2822.29296875,0,0,0,0,0,1,0,0,0,0,0,0,0.030139831826090813,0.026263806968927383,0.04012581333518028,0.024611301720142365,0.03663887456059456,0.0255877822637558,0.03964546322822571,0.025683028623461723,0.06069715693593025,0.048518549650907516,0.027680587023496628,0.02413654513657093
