frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8401557207107544,324.1729431152344,444.7698974609375,910.4081420898438,1204.3272705078125,0,0,0,0,0,1,0,0,0,0,0,0,0.031961798667907715,0.02644205279648304,0.02771255373954773,0.01950058527290821,0.023512396961450577,0.018808573484420776,0.02509577013552189,0.023625941947102547,0.06245652586221695,0.03788650780916214,0.012434298172593117,0.02496921271085739
1,41.666666666666664,,,,insightface_bbox,0.8401557207107544,324.1729431152344,444.7698974609375,910.4081420898438,1204.3272705078125,0,0,0,0,0,1,0,0,0,0,0,0,0.03260368853807449,0.02704714424908161,0.02839546650648117,0.019708387553691864,0.023833896964788437,0.019097836688160896,0.024708829820156097,0.024122528731822968,0.06246340274810791,0.0383676253259182,0.012667456641793251,0.025251366198062897
2,83.33333333333333,,,,insightface_bbox,0.8401557207107544,324.1729431152344,444.7698974609375,910.4081420898438,1204.3272705078125,0,0,0,0,0,1,0,0,0,0,0,0,0.03338304162025452,0.027278993278741837,0.029154203832149506,0.01986125484108925,0.024091769009828568,0.019337765872478485,0.025796806439757347,0.024248268455266953,0.0634075403213501,0.03776232525706291,0.013039353303611279,0.02520168386399746
3,125.0,,,,insightface_bbox,0.8401557207107544,324.1729431152344,444.7698974609375,910.4081420898438,1204.3272705078125,0,0,0,0,0,1,0,0,0,0,0,0,0.03336039185523987,0.027186483144760132,0.029282350093126297,0.01965370401740074,0.0241390410810709,0.01917073130607605,0.025670116767287254,0.02387726679444313,0.06236806511878967,0.03772725909948349,0.01284097135066986,0.024617530405521393
4,166.66666666666666,,,,insightface_bbox,0.8401557207107544,324.1729431152344,444.7698974609375,910.4081420898438,1204.3272705078125,0,0,0,1,1,1,1,1,0,0,0,0,0.06682436168193817,0.06125396117568016,0.10041959583759308,0.05478166043758392,0.22000627219676971,0.058866605162620544,0.5740700364112854,0.04015499725937843,0.0638386532664299,0.05570793151855469,0.31927067041397095,0.0951370969414711
5,208.33333333333334,,,,insightface_bbox,0.8401557207107544,324.1729431152344,444.7698974609375,910.4081420898438,1204.3272705078125,0,0,0,1,1,1,1,1,0,0,0,0,0.07772692292928696,0.07276852428913116,0.1100466400384903,0.06901085376739502,0.4158356487751007,0.062251050025224686,0.6775334477424622,0.04967876151204109,0.07558612525463104,0.07716719806194305,0.6378879547119141,0.11442171037197113
6,250.0,,,,insightface_bbox,0.8585923910140991,323.7166748046875,454.9090270996094,912.21484375,1239.47900390625,0,0,0,1,1,1,1,1,0,0,0,0,0.0766051858663559,0.07251779735088348,0.10502457618713379,0.06603685021400452,0.45663154125213623,0.0628480613231659,0.5514493584632874,0.050751347094774246,0.0805870071053505,0.07460540533065796,0.6277002096176147,0.10716935992240906
7,291.6666666666667,,,,insightface_bbox,0.8585923910140991,323.7166748046875,454.9090270996094,912.21484375,1239.47900390625,0,0,0,1,1,1,1,1,0,0,0,0,0.0759434923529625,0.07188255339860916,0.10586220771074295,0.0650133490562439,0.4402439594268799,0.06355223804712296,0.5222331881523132,0.050559334456920624,0.08199374377727509,0.07529941946268082,0.6339457631111145,0.10802480578422546
8,333.3333333333333,,,,insightface_bbox,0.8585923910140991,323.7166748046875,454.9090270996094,912.21484375,1239.47900390625,0,0,0,1,1,1,1,1,0,0,0,0,0.07175597548484802,0.07717172801494598,0.10873264074325562,0.06010589003562927,0.4379895329475403,0.05546649917960167,0.47763872146606445,0.048923470079898834,0.08851376175880432,0.06914072483778,0.1972000151872635,0.06932446360588074
9,375.0,,,,insightface_bbox,0.8585923910140991,323.7166748046875,454.9090270996094,912.21484375,1239.47900390625,0,0,0,0,1,1,1,1,0,0,0,0,0.0470220148563385,0.04988308250904083,0.06185728311538696,0.03659743070602417,0.13980089128017426,0.041348330676555634,0.1767590492963791,0.03439478948712349,0.09452316164970398,0.057091616094112396,0.10373829305171967,0.04725625365972519
10,416.6666666666667,,,,insightface_bbox,0.8585923910140991,323.7166748046875,454.9090270996094,912.21484375,1239.47900390625,0,0,0,0,0,1,1,1,0,0,0,0,0.04363489896059036,0.0445467047393322,0.057496797293424606,0.03643433377146721,0.06355612725019455,0.05014771223068237,0.2146410197019577,0.03349357470870018,0.0843065083026886,0.05864880234003067,0.14190858602523804,0.05608179420232773
11,458.3333333333333,,,,insightface_bbox,0.8585923910140991,323.7166748046875,454.9090270996094,912.21484375,1239.47900390625,0,0,0,0,0,1,1,1,0,0,0,0,0.045178163796663284,0.04500098153948784,0.05924418941140175,0.036809831857681274,0.0602630190551281,0.05115107074379921,0.22721850872039795,0.033413663506507874,0.08372488617897034,0.05887467414140701,0.13501828908920288,0.056664351373910904
12,500.0,,,,insightface_bbox,0.8421857953071594,326.75762939453125,440.41375732421875,914.9664916992188,1208.902587890625,0,0,0,0,1,1,1,1,0,0,0,0,0.046557120978832245,0.04819031059741974,0.06349081546068192,0.04094444587826729,0.08270066231489182,0.056418925523757935,0.28319764137268066,0.03653883561491966,0.08442237973213196,0.06436692178249359,0.21449917554855347,0.06556407362222672
13,541.6666666666666,,,,insightface_bbox,0.8421857953071594,326.75762939453125,440.41375732421875,914.9664916992188,1208.902587890625,0,0,0,1,1,1,1,1,0,0,0,0,0.054521594196558,0.05770065635442734,0.07155091315507889,0.04298892244696617,0.19995251297950745,0.04633196443319321,0.2423262596130371,0.038799986243247986,0.09442257881164551,0.0630464255809784,0.16713260114192963,0.0568283386528492
14,583.3333333333334,,,,insightface_bbox,0.8421857953071594,326.75762939453125,440.41375732421875,914.9664916992188,1208.902587890625,0,0,0,1,1,1,1,1,0,0,0,0,0.07121066749095917,0.07755449414253235,0.0892597883939743,0.05578678846359253,0.35054272413253784,0.056531183421611786,0.29811903834342957,0.049329545348882675,0.09326276183128357,0.07071660459041595,0.29520168900489807,0.07374205440282822
15,625.0,,,,insightface_bbox,0.8421857953071594,326.75762939453125,440.41375732421875,914.9664916992188,1208.902587890625,0,0,0,1,1,1,1,1,0,0,0,0,0.06638237088918686,0.07182902842760086,0.08105842769145966,0.05150573328137398,0.3091224431991577,0.05418787896633148,0.24726983904838562,0.04714551568031311,0.09197989106178284,0.06827830523252487,0.27732911705970764,0.06962615251541138
16,666.6666666666666,,,,insightface_bbox,0.8421857953071594,326.75762939453125,440.41375732421875,914.9664916992188,1208.902587890625,0,0,0,1,1,1,1,1,0,0,0,0,0.08762620389461517,0.09317836165428162,0.11577533185482025,0.07712110131978989,0.711778998374939,0.07211989909410477,0.6750432252883911,0.06088275834918022,0.09793928265571594,0.0867045521736145,0.6541053056716919,0.10968375951051712
17,708.3333333333334,,,,insightface_bbox,0.8421857953071594,326.75762939453125,440.41375732421875,914.9664916992188,1208.902587890625,0,0,0,1,1,1,1,1,0,0,0,0,0.089986652135849,0.09601788222789764,0.1181536316871643,0.07604627311229706,0.6737738847732544,0.07405488193035126,0.5775057077407837,0.06269723176956177,0.0999947339296341,0.08527881652116776,0.650524377822876,0.11009689420461655
18,750.0,,,,insightface_bbox,0.8343679904937744,331.7559509277344,428.2655334472656,915.19775390625,1216.385498046875,0,0,0,1,1,1,1,1,0,0,0,0,0.07683853805065155,0.08774853497743607,0.09925921261310577,0.06539881229400635,0.5908010005950928,0.06333449482917786,0.4330371022224426,0.05595151335000992,0.09597903490066528,0.07568900287151337,0.3996502161026001,0.08339390903711319
19,791.6666666666666,,,,insightface_bbox,0.8343679904937744,331.7559509277344,428.2655334472656,915.19775390625,1216.385498046875,0,0,0,1,1,1,1,1,0,0,0,0,0.07659824192523956,0.08845052123069763,0.09689722210168839,0.06442202627658844,0.5504855513572693,0.06250862777233124,0.41580861806869507,0.05543358251452446,0.09601942449808121,0.07571374624967575,0.3719744384288788,0.08156057447195053
20,833.3333333333334,,,,insightface_bbox,0.8343679904937744,331.7559509277344,428.2655334472656,915.19775390625,1216.385498046875,0,0,0,1,1,1,1,1,0,0,0,0,0.08057449012994766,0.09025334566831589,0.10225076973438263,0.07200461626052856,0.6682862043380737,0.06521275639533997,0.5538994073867798,0.05729889124631882,0.09422793984413147,0.08303481340408325,0.5203550457954407,0.10089180618524551
