frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8192014694213867,281.23944091796875,343.0688781738281,1021.2429809570312,1320.52001953125,0,0,1,0,0,1,0,1,0,0,0,0,0.03473096340894699,0.024596640840172768,0.10310788452625275,0.02456355094909668,0.020314469933509827,0.02642783150076866,0.028096454218029976,0.027254892513155937,0.059215471148490906,0.06245832517743111,0.010108409449458122,0.02060774341225624
1,41.666666666666664,,,,insightface_bbox,0.8192014694213867,281.23944091796875,343.0688781738281,1021.2429809570312,1320.52001953125,0,0,1,0,0,1,0,1,0,0,0,0,0.03986009955406189,0.027687139809131622,0.11185649037361145,0.02426869049668312,0.021827200427651405,0.027230266481637955,0.029454883188009262,0.02794129028916359,0.0666213184595108,0.06865336745977402,0.011431606486439705,0.02288111299276352
2,83.33333333333333,,,,insightface_bbox,0.8192014694213867,281.23944091796875,343.0688781738281,1021.2429809570312,1320.52001953125,0,0,1,0,0,1,0,1,0,0,0,0,0.045590903609991074,0.031377483159303665,0.13868455588817596,0.025735680013895035,0.023123465478420258,0.030674757435917854,0.03292634338140488,0.029631515964865685,0.07172788679599762,0.072793148458004,0.012923498637974262,0.02468985691666603
3,125.0,,,,insightface_bbox,0.8192014694213867,281.23944091796875,343.0688781738281,1021.2429809570312,1320.52001953125,0,0,1,0,0,1,0,1,0,0,0,0,0.048047102987766266,0.03344066068530083,0.15763512253761292,0.026173651218414307,0.02349625527858734,0.03309718146920204,0.03307567909359932,0.029731616377830505,0.07397011667490005,0.0721859484910965,0.013968387618660927,0.024663977324962616
4,166.66666666666666,,,,insightface_bbox,0.8192014694213867,281.23944091796875,343.0688781738281,1021.2429809570312,1320.52001953125,0,0,1,0,0,1,0,1,0,0,0,0,0.046138569712638855,0.03251775726675987,0.17524796724319458,0.02620730549097061,0.024121420457959175,0.035134971141815186,0.03481118008494377,0.029826458543539047,0.07127396017313004,0.07136601954698563,0.014563556760549545,0.02404545433819294
5,208.33333333333334,,,,insightface_bbox,0.8192014694213867,281.23944091796875,343.0688781738281,1021.2429809570312,1320.52001953125,0,0,1,0,0,1,0,1,0,0,0,0,0.04482916742563248,0.031103145331144333,0.1494312882423401,0.025313857942819595,0.021999582648277283,0.03222374618053436,0.03092525340616703,0.029606932774186134,0.07057937979698181,0.06939899176359177,0.013920959085226059,0.02372700348496437
6,250.0,,,,insightface_bbox,0.8319829106330872,295.031005859375,344.45611572265625,1031.671142578125,1320.63671875,0,0,1,0,0,1,0,1,0,1,0,0,0.04847801476716995,0.03549220412969589,0.20455555617809296,0.02865751087665558,0.027516331523656845,0.039160434156656265,0.04204337298870087,0.03571803867816925,0.08301091194152832,0.08596879243850708,0.015857957303524017,0.026646779850125313
7,291.6666666666667,,,,insightface_bbox,0.8319829106330872,295.031005859375,344.45611572265625,1031.671142578125,1320.63671875,0,0,1,0,0,1,0,1,0,0,0,0,0.04517778381705284,0.0323370061814785,0.16067644953727722,0.02688232809305191,0.024927666410803795,0.03430056571960449,0.03671557456254959,0.034317657351493835,0.07575439661741257,0.07927098125219345,0.015153634361922741,0.025528261438012123
8,333.3333333333333,,,,insightface_bbox,0.8319829106330872,295.031005859375,344.45611572265625,1031.671142578125,1320.63671875,0,0,1,0,0,1,0,1,0,0,0,0,0.042750097811222076,0.029511163011193275,0.1361377239227295,0.02509424462914467,0.021602967754006386,0.03016551025211811,0.031240146607160568,0.030675210058689117,0.06974387913942337,0.07201601564884186,0.013052159920334816,0.023909378796815872
9,375.0,,,,insightface_bbox,0.8319829106330872,295.031005859375,344.45611572265625,1031.671142578125,1320.63671875,0,0,1,0,0,1,0,1,0,1,0,0,0.046554725617170334,0.03516331687569618,0.25136810541152954,0.027712397277355194,0.025553440675139427,0.03634259104728699,0.03969455137848854,0.0334860235452652,0.08473921567201614,0.08069752156734467,0.01371496357023716,0.025880351662635803
10,416.6666666666667,,,,insightface_bbox,0.8319829106330872,295.031005859375,344.45611572265625,1031.671142578125,1320.63671875,0,0,1,0,0,1,0,1,0,1,0,0,0.04726298898458481,0.03635289892554283,0.27988260984420776,0.028036804869771004,0.026149267330765724,0.03734473139047623,0.04036135599017143,0.034073784947395325,0.08692409098148346,0.08149120956659317,0.01372619904577732,0.02592448517680168
11,458.3333333333333,,,,insightface_bbox,0.8319829106330872,295.031005859375,344.45611572265625,1031.671142578125,1320.63671875,0,0,1,0,1,1,0,1,0,1,0,1,0.06444195657968521,0.04887507110834122,0.5269571542739868,0.040452174842357635,0.05577361211180687,0.12439185380935669,0.12588736414909363,0.04140080511569977,0.14952117204666138,0.10804218053817749,0.01680668443441391,0.03633939102292061
12,500.0,,,,insightface_bbox,0.8319531679153442,286.7086181640625,339.9048767089844,1024.449951171875,1312.36865234375,0,0,1,0,0,1,0,1,0,1,0,0,0.0423949733376503,0.0316154770553112,0.23181232810020447,0.02849387750029564,0.02820909023284912,0.03935214877128601,0.04868130758404732,0.03253358229994774,0.07733719050884247,0.08100439608097076,0.015281868167221546,0.026575807482004166
13,541.6666666666666,,,,insightface_bbox,0.8319531679153442,286.7086181640625,339.9048767089844,1024.449951171875,1312.36865234375,0,0,1,0,0,1,0,1,0,1,0,0,0.04325610399246216,0.03210357949137688,0.23536688089370728,0.028930267319083214,0.028343547135591507,0.040240366011857986,0.05206141620874405,0.033070698380470276,0.07803305238485336,0.08217287063598633,0.015771180391311646,0.02738761715590954
14,583.3333333333334,,,,insightface_bbox,0.8319531679153442,286.7086181640625,339.9048767089844,1024.449951171875,1312.36865234375,0,0,1,0,0,1,0,1,0,0,0,0,0.03901338577270508,0.027250947430729866,0.14404228329658508,0.025647234171628952,0.02318936586380005,0.03295280411839485,0.03912828490138054,0.02822130173444748,0.055724434554576874,0.061851102858781815,0.013011377304792404,0.02264142967760563
