frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8385269641876221,399.3826904296875,1027.516845703125,1734.762451171875,2781.22509765625,0,0,0,0,0,0,0,0,0,0,0,0,0.02675357274711132,0.026750832796096802,0.034548282623291016,0.02362949587404728,0.016883479431271553,0.02106018178164959,0.015769612044095993,0.02612394094467163,0.05124811455607414,0.04044647514820099,0.008320492692291737,0.02312915213406086
1,41.666666666666664,,,,insightface_bbox,0.8385269641876221,399.3826904296875,1027.516845703125,1734.762451171875,2781.22509765625,0,0,0,0,0,0,0,0,0,0,0,0,0.027641158550977707,0.02717011421918869,0.03478303924202919,0.024210557341575623,0.0178095493465662,0.021345093846321106,0.01552753895521164,0.02644944004714489,0.051366157829761505,0.041404757648706436,0.00889511127024889,0.02368009090423584
2,83.33333333333333,,,,insightface_bbox,0.8385269641876221,399.3826904296875,1027.516845703125,1734.762451171875,2781.22509765625,0,0,0,0,0,0,0,0,0,0,0,0,0.029451211914420128,0.028553705662488937,0.035896915942430496,0.026142358779907227,0.01995212212204933,0.022746801376342773,0.017782237380743027,0.026935303583741188,0.0515582412481308,0.043301135301589966,0.010517610237002373,0.02577655017375946
3,125.0,,,,insightface_bbox,0.8385269641876221,399.3826904296875,1027.516845703125,1734.762451171875,2781.22509765625,0,0,0,0,0,0,0,0,0,0,0,0,0.03132374957203865,0.02919180504977703,0.03723703697323799,0.02699051983654499,0.023005837574601173,0.023728476837277412,0.022188041359186172,0.02743827924132347,0.052924733608961105,0.04567227512598038,0.011215162463486195,0.02676660567522049
4,166.66666666666666,,,,insightface_bbox,0.8385269641876221,399.3826904296875,1027.516845703125,1734.762451171875,2781.22509765625,0,0,0,0,0,0,0,0,0,0,0,0,0.03517761826515198,0.03237802907824516,0.04386318847537041,0.03137902915477753,0.030043158680200577,0.026798386126756668,0.03762486204504967,0.029981009662151337,0.056484051048755646,0.05109075456857681,0.01369105651974678,0.02870517037808895
5,208.33333333333334,,,,insightface_bbox,0.8385269641876221,399.3826904296875,1027.516845703125,1734.762451171875,2781.22509765625,0,0,0,0,0,1,0,0,0,0,0,0,0.03805027902126312,0.03395628556609154,0.04686557501554489,0.032893791794776917,0.032312195748090744,0.029447775334119797,0.04750456660985947,0.031726837158203125,0.05824410170316696,0.0541699156165123,0.018616296350955963,0.03141939267516136
6,250.0,,,,insightface_bbox,0.851702094078064,400.1528625488281,1024.0711669921875,1731.4844970703125,2790.577880859375,0,0,0,0,0,1,0,0,0,0,0,0,0.038899149745702744,0.03377345949411392,0.04506582021713257,0.03387488052248955,0.030363641679286957,0.032941583544015884,0.04556069150567055,0.035850655287504196,0.06283693760633469,0.059884827584028244,0.043069981038570404,0.03887414559721947
7,291.6666666666667,,,,insightface_bbox,0.851702094078064,400.1528625488281,1024.0711669921875,1731.4844970703125,2790.577880859375,0,0,0,0,0,1,0,0,0,0,0,0,0.04899480938911438,0.04600055515766144,0.06242051348090172,0.052436694502830505,0.05079527944326401,0.048989929258823395,0.16475996375083923,0.04626678675413132,0.06733438372612,0.0759168267250061,0.2744092345237732,0.07623402029275894
8,333.3333333333333,,,,insightface_bbox,0.851702094078064,400.1528625488281,1024.0711669921875,1731.4844970703125,2790.577880859375,0,0,0,0,0,1,0,0,0,0,0,0,0.05964043736457825,0.05863487347960472,0.09501500427722931,0.07636019587516785,0.07681967318058014,0.06412284821271896,0.3758638799190521,0.05620695650577545,0.07390790432691574,0.09396611154079437,0.41927459836006165,0.1309705525636673
9,375.0,,,,insightface_bbox,0.851702094078064,400.1528625488281,1024.0711669921875,1731.4844970703125,2790.577880859375,0,0,0,0,0,1,0,0,0,0,0,0,0.0660577341914177,0.06111755967140198,0.09251400083303452,0.07850107550621033,0.0770895704627037,0.06400030106306076,0.26809749007225037,0.056452903896570206,0.0780063271522522,0.08940834552049637,0.28483837842941284,0.11278709769248962
10,416.6666666666667,,,,insightface_bbox,0.851702094078064,400.1528625488281,1024.0711669921875,1731.4844970703125,2790.577880859375,0,0,0,0,0,1,0,0,0,0,0,0,0.07300093024969101,0.06660856306552887,0.08777591586112976,0.08747190237045288,0.07029863446950912,0.06350133568048477,0.2404644936323166,0.057091422379016876,0.07660903036594391,0.08822880685329437,0.28183695673942566,0.12900057435035706
11,458.3333333333333,,,,insightface_bbox,0.851702094078064,400.1528625488281,1024.0711669921875,1731.4844970703125,2790.577880859375,0,0,0,0,0,1,0,0,0,0,0,0,0.08452125638723373,0.07562299072742462,0.09615137428045273,0.09779836982488632,0.07524088770151138,0.06830630451440811,0.27298542857170105,0.05992205813527107,0.07626724243164062,0.09074360877275467,0.292915403842926,0.1436735987663269
12,500.0,,,,insightface_bbox,0.8440855741500854,401.0841369628906,1054.3223876953125,1737.891845703125,2871.203125,0,0,0,0,0,1,0,0,0,0,0,0,0.09239877760410309,0.08011378347873688,0.10043974965810776,0.10591790825128555,0.08863070607185364,0.06923934817314148,0.36719202995300293,0.06034662574529648,0.07480636984109879,0.09428161382675171,0.26849982142448425,0.1355014443397522
13,541.6666666666666,,,,insightface_bbox,0.8440855741500854,401.0841369628906,1054.3223876953125,1737.891845703125,2871.203125,0,0,0,0,0,1,0,0,0,0,0,0,0.0964471772313118,0.08204282075166702,0.10343898832798004,0.11001084744930267,0.09475208073854446,0.07148982584476471,0.3697468340396881,0.062237076461315155,0.07722771912813187,0.09764007478952408,0.25496500730514526,0.13658419251441956
14,583.3333333333334,,,,insightface_bbox,0.8440855741500854,401.0841369628906,1054.3223876953125,1737.891845703125,2871.203125,0,0,0,0,0,1,0,0,0,0,0,0,0.09551849216222763,0.08214504271745682,0.09942935407161713,0.109067901968956,0.0918661430478096,0.07049011439085007,0.3449957072734833,0.062135547399520874,0.07716981321573257,0.09534447640180588,0.23435750603675842,0.13494569063186646
15,625.0,,,,insightface_bbox,0.8440855741500854,401.0841369628906,1054.3223876953125,1737.891845703125,2871.203125,0,0,0,0,0,1,0,0,0,0,0,0,0.09001865983009338,0.07814712822437286,0.0938490778207779,0.10182279348373413,0.08534330874681473,0.06742572784423828,0.30306461453437805,0.05902807414531708,0.07539688050746918,0.09139888733625412,0.2000788003206253,0.12238144874572754
16,666.6666666666666,,,,insightface_bbox,0.8440855741500854,401.0841369628906,1054.3223876953125,1737.891845703125,2871.203125,0,0,0,0,0,1,0,0,0,0,0,0,0.07569326460361481,0.06610371917486191,0.07711197435855865,0.08175350725650787,0.0641104131937027,0.05838781222701073,0.18911701440811157,0.05252230167388916,0.06802839785814285,0.08355579525232315,0.18717020750045776,0.11431948095560074
17,708.3333333333334,,,,insightface_bbox,0.8440855741500854,401.0841369628906,1054.3223876953125,1737.891845703125,2871.203125,0,0,0,0,0,1,0,0,0,0,0,0,0.051564931869506836,0.046156033873558044,0.0599566251039505,0.0513586699962616,0.04766501113772392,0.04195353388786316,0.09297690540552139,0.04018423706293106,0.06075693666934967,0.06617682427167892,0.07601460814476013,0.058989305049180984
18,750.0,,,,insightface_bbox,0.8483519554138184,399.64117431640625,1006.4102783203125,1731.2607421875,2792.21044921875,0,0,0,0,0,0,0,0,0,0,0,0,0.03417697176337242,0.03100002370774746,0.04073729366064072,0.03051825612783432,0.03081928752362728,0.02965633012354374,0.034631770104169846,0.02946605533361435,0.04860398918390274,0.046885572373867035,0.051854733377695084,0.036828428506851196
19,791.6666666666666,,,,insightface_bbox,0.8483519554138184,399.64117431640625,1006.4102783203125,1731.2607421875,2792.21044921875,0,0,0,0,0,0,0,0,0,0,0,0,0.029744094237685204,0.027743767946958542,0.034990884363651276,0.0262614618986845,0.025331206619739532,0.023301005363464355,0.027552394196391106,0.02621481381356716,0.05615413561463356,0.04588950425386429,0.01638803631067276,0.02591531351208687
20,833.3333333333334,,,,insightface_bbox,0.8483519554138184,399.64117431640625,1006.4102783203125,1731.2607421875,2792.21044921875,0,0,0,0,0,0,0,0,0,0,0,0,0.028681635856628418,0.027459440752863884,0.032175082713365555,0.02523232437670231,0.024451566860079765,0.02383231185376644,0.025519348680973053,0.026578707620501518,0.05704690143465996,0.045391350984573364,0.01820427179336548,0.027061915025115013
21,875.0,,,,insightface_bbox,0.8483519554138184,399.64117431640625,1006.4102783203125,1731.2607421875,2792.21044921875,0,0,0,0,0,0,0,0,0,0,0,0,0.028216753154993057,0.026544855907559395,0.031379640102386475,0.023990290239453316,0.02375164069235325,0.024312824010849,0.023505354300141335,0.026405315846204758,0.06040111929178238,0.04609769582748413,0.021250039339065552,0.027596773579716682
22,916.6666666666666,,,,insightface_bbox,0.8483519554138184,399.64117431640625,1006.4102783203125,1731.2607421875,2792.21044921875,0,0,0,0,0,0,0,0,0,0,0,0,0.029419787228107452,0.028008077293634415,0.03119746968150139,0.023876475170254707,0.02163083292543888,0.025443313643336296,0.02204582467675209,0.027128616347908974,0.06298711895942688,0.04760865122079849,0.026864994317293167,0.03014928661286831
23,958.3333333333334,,,,insightface_bbox,0.8483519554138184,399.64117431640625,1006.4102783203125,1731.2607421875,2792.21044921875,0,0,0,0,0,0,0,0,0,0,0,0,0.027691643685102463,0.026232020929455757,0.02831086702644825,0.022434532642364502,0.018321041017770767,0.024617400020360947,0.01924385502934456,0.02576812356710434,0.060978591442108154,0.046449918299913406,0.025904793292284012,0.0294867604970932
