frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8741323351860046,1267.408203125,520.3076171875,1942.2130126953125,1478.27783203125,0,0,1,0,1,0,0,0,0,0,0,0,0.04056047648191452,0.03127007931470871,0.16501981019973755,0.02397112548351288,0.015006283298134804,0.05398518964648247,0.009107358753681183,0.5835620164871216,0.0859406441450119,0.038625165820121765,0.01770889014005661,0.024889668449759483
1,41.666666666666664,,,,insightface_bbox,0.8741323351860046,1267.408203125,520.3076171875,1942.2130126953125,1478.27783203125,0,0,1,0,1,0,0,1,0,0,0,0,0.041482407599687576,0.038650672882795334,0.18495452404022217,0.029983071610331535,0.01845385693013668,0.0582595020532608,0.014352202415466309,0.7713969945907593,0.10930534452199936,0.05864936113357544,0.027356218546628952,0.028033271431922913
2,83.33333333333333,,,,insightface_bbox,0.8741323351860046,1267.408203125,520.3076171875,1942.2130126953125,1478.27783203125,0,0,1,0,0,0,0,1,0,0,0,0,0.03905608505010605,0.05658906698226929,0.12242723256349564,0.04197744280099869,0.021591290831565857,0.09334327280521393,0.019622111693024635,0.29705458879470825,0.08994083851575851,0.09043499082326889,0.04766883701086044,0.02633891999721527
3,125.0,,,,insightface_bbox,0.8741323351860046,1267.408203125,520.3076171875,1942.2130126953125,1478.27783203125,0,0,1,0,0,0,0,1,0,0,0,0,0.03201422095298767,0.04244597628712654,0.11463817954063416,0.04221923276782036,0.019113846123218536,0.07729997485876083,0.0281209759414196,0.2628488540649414,0.0925513505935669,0.09740344434976578,0.031630564481019974,0.027296941727399826
4,166.66666666666666,,,,insightface_bbox,0.8741323351860046,1267.408203125,520.3076171875,1942.2130126953125,1478.27783203125,0,0,0,0,1,0,0,1,0,0,0,0,0.026772180572152138,0.027810536324977875,0.055910639464855194,0.028226014226675034,0.013531968928873539,0.04018830507993698,0.03153529763221741,0.09728872030973434,0.07949911803007126,0.08147993683815002,0.008028197102248669,0.015783904120326042
5,208.33333333333334,,,,insightface_bbox,0.8741323351860046,1267.408203125,520.3076171875,1942.2130126953125,1478.27783203125,0,0,0,0,1,0,0,0,0,0,0,0,0.03750438243150711,0.032960955053567886,0.06251592934131622,0.03213287144899368,0.016829008236527443,0.03993549197912216,0.06125260517001152,0.07779532670974731,0.08212443441152573,0.09336714446544647,0.011330382898449898,0.01863592490553856
6,250.0,,,,insightface_bbox,0.8769071102142334,1258.180419921875,520.4027099609375,1954.6197509765625,1465.80078125,0,0,0,0,0,0,0,1,0,0,0,0,0.02964267134666443,0.045339472591876984,0.039954785257577896,0.03639359772205353,0.018043801188468933,0.03578591346740723,0.07840103656053543,0.13347190618515015,0.08817567676305771,0.11792782694101334,0.019171668216586113,0.026925543323159218
7,291.6666666666667,,,,insightface_bbox,0.8769071102142334,1258.180419921875,520.4027099609375,1954.6197509765625,1465.80078125,0,0,0,0,0,0,0,1,0,0,0,0,0.05088657885789871,0.05858011171221733,0.05637585371732712,0.04137524217367172,0.017112860456109047,0.041693828999996185,0.03136373311281204,0.413535475730896,0.11016926169395447,0.11680631339550018,0.016210505738854408,0.03020574152469635
8,333.3333333333333,,,,insightface_bbox,0.8769071102142334,1258.180419921875,520.4027099609375,1954.6197509765625,1465.80078125,0,0,0,0,0,0,0,0,0,0,0,0,0.04241542890667915,0.03959565982222557,0.06713344156742096,0.033317625522613525,0.013336795382201672,0.03511577844619751,0.025755807757377625,0.2219359427690506,0.10681433975696564,0.10584685951471329,0.01677105203270912,0.030117396265268326
9,375.0,,,,insightface_bbox,0.8769071102142334,1258.180419921875,520.4027099609375,1954.6197509765625,1465.80078125,0,0,0,0,0,0,0,1,0,1,0,1,0.043178681284189224,0.03888082131743431,0.07727295160293579,0.03976423665881157,0.019355062395334244,0.0351652130484581,0.03480808064341545,0.4250178337097168,0.20947277545928955,0.14810478687286377,0.010443477891385555,0.028902549296617508
