frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8555985689163208,313.26519775390625,440.7779541015625,900.2235717773438,1209.5079345703125,0,0,0,1,1,1,1,1,0,0,0,0,0.0893499106168747,0.10576982796192169,0.10913379490375519,0.09543716907501221,0.9659788608551025,0.07068786025047302,1.854378581047058,0.07562561333179474,0.08527473360300064,0.06219473481178284,0.3621492385864258,0.11024519801139832
1,41.666666666666664,,,,insightface_bbox,0.8555985689163208,313.26519775390625,440.7779541015625,900.2235717773438,1209.5079345703125,0,0,0,1,1,1,1,1,0,0,0,0,0.0880817174911499,0.10516609251499176,0.10768282413482666,0.09459787607192993,0.9661209583282471,0.0694308876991272,1.8217741250991821,0.07460527122020721,0.08443251252174377,0.062221329659223557,0.3360885679721832,0.10882221907377243
2,83.33333333333333,,,,insightface_bbox,0.8555985689163208,313.26519775390625,440.7779541015625,900.2235717773438,1209.5079345703125,0,0,0,1,1,1,1,1,0,0,0,0,0.08551511913537979,0.10051585733890533,0.10764853656291962,0.0885695368051529,0.8454904556274414,0.06595952063798904,1.808882713317871,0.07081983983516693,0.0859978049993515,0.0600772388279438,0.2981647253036499,0.09788104891777039
3,125.0,,,,insightface_bbox,0.8555985689163208,313.26519775390625,440.7779541015625,900.2235717773438,1209.5079345703125,0,0,0,1,1,1,1,1,0,0,0,0,0.08469913899898529,0.09821590781211853,0.11112068593502045,0.08449443429708481,0.6632279753684998,0.06530353426933289,1.6547348499298096,0.06807074695825577,0.09131267666816711,0.05778442695736885,0.23880375921726227,0.08252683281898499
4,166.66666666666666,,,,insightface_bbox,0.8555985689163208,313.26519775390625,440.7779541015625,900.2235717773438,1209.5079345703125,0,0,0,1,1,1,1,1,0,0,0,0,0.08044052124023438,0.0859472006559372,0.11354256421327591,0.07095255702733994,0.3217066824436188,0.054444264620542526,1.3632525205612183,0.052933596074581146,0.08728943765163422,0.052829381078481674,0.06834757328033447,0.06520366668701172
5,208.33333333333334,,,,insightface_bbox,0.8555985689163208,313.26519775390625,440.7779541015625,900.2235717773438,1209.5079345703125,0,0,0,1,1,1,1,1,0,0,0,0,0.08119728416204453,0.08212798088788986,0.11852407455444336,0.06878428161144257,0.3005339801311493,0.05377315357327461,1.3754746913909912,0.0498269721865654,0.07973651587963104,0.05294066295027733,0.07051239162683487,0.0673827975988388
6,250.0,,,,insightface_bbox,0.8505182862281799,314.87384033203125,438.46624755859375,900.5867309570312,1210.364501953125,0,0,0,1,1,1,1,1,0,0,0,0,0.0764240026473999,0.07800295203924179,0.10749541223049164,0.06568482518196106,0.29036757349967957,0.05047356337308884,1.4027442932128906,0.04642510414123535,0.07386226207017899,0.05254353955388069,0.06134837493300438,0.0660395547747612
7,291.6666666666667,,,,insightface_bbox,0.8505182862281799,314.87384033203125,438.46624755859375,900.5867309570312,1210.364501953125,0,0,0,1,1,1,1,1,0,0,0,0,0.07715567201375961,0.0785633772611618,0.1104373186826706,0.0663851797580719,0.26663994789123535,0.0511043556034565,1.3632302284240723,0.046512387692928314,0.07433350384235382,0.05351852625608444,0.06070801988244057,0.06672479957342148
8,333.3333333333333,,,,insightface_bbox,0.8505182862281799,314.87384033203125,438.46624755859375,900.5867309570312,1210.364501953125,0,0,0,1,1,1,1,0,0,0,0,0,0.1131482869386673,0.10161393135786057,0.17485076189041138,0.09648582339286804,0.6010420322418213,0.08476618677377701,2.188178062438965,0.07892799377441406,0.08501891046762466,0.06153731048107147,0.936927080154419,0.2115662395954132
9,375.0,,,,insightface_bbox,0.8505182862281799,314.87384033203125,438.46624755859375,900.5867309570312,1210.364501953125,0,0,0,1,1,1,1,0,0,0,0,0,0.11310023069381714,0.10723218321800232,0.1692945659160614,0.10776270925998688,0.77408367395401,0.08455462753772736,2.18709135055542,0.08646918833255768,0.08444886654615402,0.06612216681241989,1.1152455806732178,0.2696371376514435
10,416.6666666666667,,,,insightface_bbox,0.8505182862281799,314.87384033203125,438.46624755859375,900.5867309570312,1210.364501953125,0,0,0,1,1,1,1,0,0,0,0,0,0.11569191515445709,0.11450071632862091,0.1407555490732193,0.11698082089424133,1.1099482774734497,0.089896060526371,2.1429576873779297,0.08914569020271301,0.08704452961683273,0.07865601032972336,1.0984336137771606,0.22131475806236267
11,458.3333333333333,,,,insightface_bbox,0.8505182862281799,314.87384033203125,438.46624755859375,900.5867309570312,1210.364501953125,0,0,0,1,1,1,1,1,0,0,0,0,0.11776212602853775,0.11990988254547119,0.13996067643165588,0.12354856729507446,1.1726632118225098,0.0923602283000946,2.139796495437622,0.09345871210098267,0.09001168608665466,0.08318708091974258,1.1382673978805542,0.23330986499786377
12,500.0,,,,insightface_bbox,0.8528401851654053,321.5325622558594,441.3841247558594,904.9840698242188,1219.902099609375,0,0,0,1,1,1,1,0,0,0,0,0,0.098820261657238,0.10636113584041595,0.12558399140834808,0.10086026787757874,0.9672418832778931,0.07381508499383926,2.0936789512634277,0.07367915660142899,0.08670016378164291,0.07169465720653534,0.6039204001426697,0.15354807674884796
