frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.826073169708252,381.6046142578125,1062.9814453125,1733.625,2817.793212890625,0,0,0,0,0,0,0,0,0,0,0,0,0.02747518941760063,0.020191308110952377,0.02180471643805504,0.016247926279902458,0.012579943984746933,0.015583558939397335,0.00909466203302145,0.0221029594540596,0.04399609565734863,0.0340568944811821,0.0068687316961586475,0.02140505239367485
1,41.666666666666664,,,,insightface_bbox,0.826073169708252,381.6046142578125,1062.9814453125,1733.625,2817.793212890625,0,0,0,0,0,0,0,0,0,0,0,0,0.027087129652500153,0.019748004153370857,0.022770946845412254,0.01599898189306259,0.012423013336956501,0.01559203490614891,0.008626884780824184,0.02224750630557537,0.04372888803482056,0.03360622376203537,0.006377310957759619,0.02110457979142666
2,83.33333333333333,,,,insightface_bbox,0.826073169708252,381.6046142578125,1062.9814453125,1733.625,2817.793212890625,0,0,0,0,0,0,0,0,0,0,0,0,0.02652052789926529,0.01903860829770565,0.023471757769584656,0.015581410378217697,0.012805274687707424,0.015946989879012108,0.008441204205155373,0.022628169506788254,0.044951777905225754,0.03411930426955223,0.00646784994751215,0.02097487449645996
3,125.0,,,,insightface_bbox,0.826073169708252,381.6046142578125,1062.9814453125,1733.625,2817.793212890625,0,0,0,0,0,0,0,0,0,0,0,0,0.027008382603526115,0.019299538806080818,0.026770709082484245,0.015627920627593994,0.013773197308182716,0.017325785011053085,0.008737064898014069,0.024078670889139175,0.048511628061532974,0.03665139898657799,0.006722691468894482,0.021183408796787262
4,166.66666666666666,,,,insightface_bbox,0.826073169708252,381.6046142578125,1062.9814453125,1733.625,2817.793212890625,0,0,0,0,0,0,0,0,0,0,0,0,0.026978056877851486,0.01886642538011074,0.025667401030659676,0.015269582159817219,0.013909452594816685,0.017374979332089424,0.00851657148450613,0.023753557354211807,0.04938286170363426,0.037059035152196884,0.007045438978821039,0.021145343780517578
5,208.33333333333334,,,,insightface_bbox,0.826073169708252,381.6046142578125,1062.9814453125,1733.625,2817.793212890625,0,0,0,0,0,0,0,0,0,0,0,0,0.026553429663181305,0.01868714764714241,0.02478593960404396,0.0150016900151968,0.013852897100150585,0.017390185967087746,0.008414776995778084,0.023294249549508095,0.050136253237724304,0.03761152923107147,0.006977750454097986,0.02110820636153221
6,250.0,,,,insightface_bbox,0.8278321623802185,375.4481506347656,1032.4833984375,1742.4188232421875,2825.9833984375,0,0,0,0,0,0,0,0,0,0,0,0,0.031178802251815796,0.023618990555405617,0.03072395920753479,0.01903863437473774,0.014983606524765491,0.022989660501480103,0.011751318350434303,0.026971977204084396,0.054899513721466064,0.0451592318713665,0.009327560663223267,0.02478255331516266
7,291.6666666666667,,,,insightface_bbox,0.8278321623802185,375.4481506347656,1032.4833984375,1742.4188232421875,2825.9833984375,0,0,0,0,0,0,0,0,0,0,0,0,0.030247028917074203,0.023205630481243134,0.029038118198513985,0.018847856670618057,0.015047797001898289,0.022673455998301506,0.01181279867887497,0.026150766760110855,0.05475946515798569,0.04508513957262039,0.009527625516057014,0.024445105344057083
8,333.3333333333333,,,,insightface_bbox,0.8278321623802185,375.4481506347656,1032.4833984375,1742.4188232421875,2825.9833984375,0,0,0,0,0,0,0,0,0,0,0,0,0.02887456677854061,0.0222729854285717,0.02686755545437336,0.018244778737425804,0.014523264020681381,0.022040707990527153,0.011628457345068455,0.025355264544487,0.05478760227560997,0.04545784741640091,0.009329646825790405,0.023753196001052856
9,375.0,,,,insightface_bbox,0.8278321623802185,375.4481506347656,1032.4833984375,1742.4188232421875,2825.9833984375,0,0,0,0,0,0,0,0,0,0,0,0,0.030941378325223923,0.023692648857831955,0.030756229534745216,0.019074996933341026,0.014967708848416805,0.02351415902376175,0.012573088519275188,0.025916773825883865,0.05759604647755623,0.04710061848163605,0.009660160169005394,0.02459200844168663
10,416.6666666666667,,,,insightface_bbox,0.8278321623802185,375.4481506347656,1032.4833984375,1742.4188232421875,2825.9833984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03032333217561245,0.022873999550938606,0.02817387878894806,0.01907549612224102,0.014808263629674911,0.023218583315610886,0.012864180840551853,0.025283455848693848,0.05806414783000946,0.047924548387527466,0.010212006978690624,0.024430494755506516
11,458.3333333333333,,,,insightface_bbox,0.8278321623802185,375.4481506347656,1032.4833984375,1742.4188232421875,2825.9833984375,0,0,0,0,0,0,0,0,0,0,0,0,0.02951342985033989,0.022613760083913803,0.025953510776162148,0.018998494371771812,0.014536688104271889,0.022757776081562042,0.013554743491113186,0.024397026747465134,0.0560225211083889,0.04787500575184822,0.010650001466274261,0.023826591670513153
12,500.0,,,,insightface_bbox,0.83202064037323,369.5666198730469,1035.5965576171875,1749.229736328125,2830.298583984375,0,0,0,0,0,1,0,1,0,0,0,0,0.028084145858883858,0.021836664527654648,0.025131549686193466,0.02068193629384041,0.017070163041353226,0.02082165703177452,0.022359058260917664,0.02474166639149189,0.05303799360990524,0.05068060755729675,0.010831556282937527,0.02314005419611931
13,541.6666666666666,,,,insightface_bbox,0.83202064037323,369.5666198730469,1035.5965576171875,1749.229736328125,2830.298583984375,0,0,0,0,0,1,0,1,0,0,0,0,0.029711727052927017,0.02320381999015808,0.02517414093017578,0.02174973301589489,0.019077517092227936,0.021571647375822067,0.026037845760583878,0.025288842618465424,0.05480938404798508,0.05294356495141983,0.011460314504802227,0.023675236850976944
14,583.3333333333334,,,,insightface_bbox,0.83202064037323,369.5666198730469,1035.5965576171875,1749.229736328125,2830.298583984375,0,0,0,0,0,1,0,1,0,0,0,0,0.027842046692967415,0.02200598642230034,0.02312915213406086,0.021270502358675003,0.017930012196302414,0.020572610199451447,0.025497082620859146,0.02559949830174446,0.055790238082408905,0.05437451973557472,0.011912239715456963,0.023259351029992104
15,625.0,,,,insightface_bbox,0.83202064037323,369.5666198730469,1035.5965576171875,1749.229736328125,2830.298583984375,0,0,0,0,0,1,0,1,0,0,0,0,0.02948504127562046,0.023373255506157875,0.02516808733344078,0.02211209014058113,0.019061964005231857,0.021343078464269638,0.02637581154704094,0.02674837037920952,0.05975200980901718,0.05589507892727852,0.013183042407035828,0.02462705969810486
16,666.6666666666666,,,,insightface_bbox,0.83202064037323,369.5666198730469,1035.5965576171875,1749.229736328125,2830.298583984375,0,0,0,0,0,1,0,1,0,0,0,0,0.02647705189883709,0.021275823935866356,0.022067636251449585,0.020008934661746025,0.01689188927412033,0.01820671185851097,0.022707125172019005,0.02446296438574791,0.06612471491098404,0.05387064442038536,0.010921825654804707,0.02314823865890503
17,708.3333333333334,,,,insightface_bbox,0.83202064037323,369.5666198730469,1035.5965576171875,1749.229736328125,2830.298583984375,0,0,0,0,0,1,0,1,0,0,0,0,0.027341458946466446,0.02336522378027439,0.0243934728205204,0.021298401057720184,0.01878274232149124,0.01852547377347946,0.026049766689538956,0.026327727362513542,0.07475189119577408,0.05754410848021507,0.010167836211621761,0.02281886711716652
18,750.0,,,,insightface_bbox,0.8293148279190063,361.1005554199219,1018.8308715820312,1760.97509765625,2847.6982421875,0,0,0,0,0,1,0,1,0,0,0,0,0.02504536136984825,0.022649822756648064,0.022129185497760773,0.02165195718407631,0.016093753278255463,0.01930631510913372,0.026621276512742043,0.028897861018776894,0.07273054122924805,0.06544321030378342,0.01133975014090538,0.022662943229079247
