frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8735501766204834,1903.1832275390625,89.60403442382812,2494.26806640625,927.3162841796875,0,0,1,0,0,0,0,1,0,1,0,1,0.04107650741934776,0.026395486667752266,0.06821417063474655,0.021917574107646942,0.0077618444338440895,0.03412453830242157,0.005621036980301142,0.18330498039722443,0.12691548466682434,0.12297877669334412,0.004401183221489191,0.013794341124594212
1,41.666666666666664,,,,insightface_bbox,0.8735501766204834,1903.1832275390625,89.60403442382812,2494.26806640625,927.3162841796875,0,0,1,0,0,0,0,1,0,1,0,0,0.0512562170624733,0.030115582048892975,0.1250399947166443,0.02934848517179489,0.010838553309440613,0.046780623495578766,0.008322968147695065,0.44944706559181213,0.13449260592460632,0.1142498031258583,0.006121559999883175,0.01804175227880478
2,83.33333333333333,,,,insightface_bbox,0.8735501766204834,1903.1832275390625,89.60403442382812,2494.26806640625,927.3162841796875,0,0,1,0,1,0,0,0,0,1,0,0,0.05163118615746498,0.026737069711089134,0.1503554880619049,0.025085804983973503,0.010289296507835388,0.04939332976937294,0.007335225120186806,0.4830014109611511,0.13484814763069153,0.0871054008603096,0.0074736312963068485,0.02005075290799141
3,125.0,,,,insightface_bbox,0.8735501766204834,1903.1832275390625,89.60403442382812,2494.26806640625,927.3162841796875,0,0,1,0,1,0,0,1,0,1,0,0,0.05700249597430229,0.030625255778431892,0.14949461817741394,0.029519543051719666,0.013522829860448837,0.0625685602426529,0.009427359327673912,0.6366053819656372,0.1459447145462036,0.09338174015283585,0.011067211627960205,0.024341382086277008
4,166.66666666666666,,,,insightface_bbox,0.8735501766204834,1903.1832275390625,89.60403442382812,2494.26806640625,927.3162841796875,0,0,1,0,1,0,0,1,0,1,0,0,0.05217070132493973,0.02985110878944397,0.12646083533763885,0.025967661291360855,0.01185019314289093,0.05705602094531059,0.007976913824677467,0.5602035522460938,0.13643676042556763,0.09116247296333313,0.010254254564642906,0.02084558829665184
5,208.33333333333334,,,,insightface_bbox,0.8735501766204834,1903.1832275390625,89.60403442382812,2494.26806640625,927.3162841796875,0,0,1,0,0,0,0,0,0,0,0,0,0.05751620605587959,0.030514247715473175,0.11384287476539612,0.026328640058636665,0.009624535217881203,0.04803251475095749,0.009733002632856369,0.47319573163986206,0.1077713817358017,0.06380002200603485,0.010082078166306019,0.019957922399044037
6,250.0,,,,insightface_bbox,0.8735151290893555,1904.4459228515625,124.57044982910156,2515.837890625,974.4674072265625,0,0,1,0,1,0,0,0,0,0,0,0,0.04477342218160629,0.02921312302350998,0.08085577189922333,0.029083343222737312,0.012340360321104527,0.0454506054520607,0.01409086212515831,0.40243905782699585,0.08969473838806152,0.06840339303016663,0.008199279196560383,0.020021557807922363
7,291.6666666666667,,,,insightface_bbox,0.8735151290893555,1904.4459228515625,124.57044982910156,2515.837890625,974.4674072265625,0,0,1,0,1,0,0,1,0,0,0,0,0.046515002846717834,0.0316614955663681,0.08989521861076355,0.03744833916425705,0.01596906967461109,0.06125422194600105,0.021142421290278435,0.4576641917228699,0.10272606462240219,0.09021750092506409,0.011064877733588219,0.024943044409155846
8,333.3333333333333,,,,insightface_bbox,0.8735151290893555,1904.4459228515625,124.57044982910156,2515.837890625,974.4674072265625,0,0,1,0,0,0,0,1,0,0,0,0,0.049013201147317886,0.030671821907162666,0.0788327008485794,0.03681002929806709,0.01295224204659462,0.05235447734594345,0.01683940924704075,0.3874814510345459,0.1100323498249054,0.08711501955986023,0.01147877424955368,0.024834096431732178
9,375.0,,,,insightface_bbox,0.8735151290893555,1904.4459228515625,124.57044982910156,2515.837890625,974.4674072265625,0,0,1,0,1,0,0,1,0,1,0,0,0.05036289989948273,0.03269302472472191,0.1047251969575882,0.04174889624118805,0.01381924469023943,0.06807407736778259,0.02259930595755577,0.440971702337265,0.13586995005607605,0.09579719603061676,0.010350705124437809,0.02419264242053032
