frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7831841707229614,401.7267150878906,942.1007690429688,1720.594970703125,2646.88037109375,0,0,0,0,0,0,0,0,0,0,0,0,0.02575678564608097,0.019377082586288452,0.020603027194738388,0.014779315330088139,0.009868176653981209,0.015239754691720009,0.007398628629744053,0.020754247903823853,0.04321267828345299,0.036429449915885925,0.00722621101886034,0.019175976514816284
1,41.666666666666664,,,,insightface_bbox,0.7831841707229614,401.7267150878906,942.1007690429688,1720.594970703125,2646.88037109375,0,0,0,0,0,0,0,0,0,0,0,0,0.02524506486952305,0.018548939377069473,0.01908106915652752,0.014407884329557419,0.009986082091927528,0.014830796048045158,0.007444771938025951,0.020314296707510948,0.0427606925368309,0.03770839050412178,0.0075094313360750675,0.0186060331761837
2,83.33333333333333,,,,insightface_bbox,0.7831841707229614,401.7267150878906,942.1007690429688,1720.594970703125,2646.88037109375,0,0,0,0,0,0,0,0,0,0,0,0,0.024164382368326187,0.018200036138296127,0.01840161718428135,0.01419155951589346,0.009690596722066402,0.014390741474926472,0.0073224883526563644,0.019858499988913536,0.0424983873963356,0.03691481798887253,0.007522046100348234,0.018791336566209793
3,125.0,,,,insightface_bbox,0.7831841707229614,401.7267150878906,942.1007690429688,1720.594970703125,2646.88037109375,0,0,0,0,0,0,0,0,0,0,0,0,0.023492462933063507,0.017977911978960037,0.018115801736712456,0.014021165668964386,0.009761540219187737,0.014030536636710167,0.007120462134480476,0.01968538388609886,0.04302937909960747,0.03677375242114067,0.007289552129805088,0.018660739064216614
4,166.66666666666666,,,,insightface_bbox,0.7831841707229614,401.7267150878906,942.1007690429688,1720.594970703125,2646.88037109375,0,0,0,0,0,0,0,0,0,0,0,0,0.024150533601641655,0.01854788325726986,0.018839485943317413,0.014470094814896584,0.010235709138214588,0.014190210029482841,0.00748166348785162,0.02015545777976513,0.04343555122613907,0.0367736853659153,0.007195063401013613,0.019069328904151917
5,208.33333333333334,,,,insightface_bbox,0.7831841707229614,401.7267150878906,942.1007690429688,1720.594970703125,2646.88037109375,0,0,0,0,0,0,0,0,0,0,0,0,0.024323198944330215,0.018604964017868042,0.01935572177171707,0.01457692589610815,0.010478297248482704,0.014563155360519886,0.0075690909288823605,0.020483413711190224,0.043843310326337814,0.03732214868068695,0.007347137667238712,0.018944254145026207
6,250.0,,,,insightface_bbox,0.7775765657424927,411.7786560058594,951.7274780273438,1721.2529296875,2653.544677734375,0,0,0,0,0,1,0,0,0,0,0,0,0.02647385187447071,0.022976186126470566,0.024886280298233032,0.018389347940683365,0.01428068708628416,0.01964648999273777,0.011979225091636181,0.027484171092510223,0.05579378455877304,0.048370905220508575,0.01287941075861454,0.025186661630868912
7,291.6666666666667,,,,insightface_bbox,0.7775765657424927,411.7786560058594,951.7274780273438,1721.2529296875,2653.544677734375,0,0,0,0,0,1,0,0,0,0,0,0,0.026745427399873734,0.02297639660537243,0.02486608549952507,0.018647577613592148,0.014662198722362518,0.01998072862625122,0.012989594601094723,0.027007076889276505,0.05477277189493179,0.048382535576820374,0.013667203485965729,0.02548306994140148
8,333.3333333333333,,,,insightface_bbox,0.7775765657424927,411.7786560058594,951.7274780273438,1721.2529296875,2653.544677734375,0,0,0,0,0,1,0,1,0,0,0,0,0.026292648166418076,0.02381870150566101,0.027023179456591606,0.019421257078647614,0.014958333224058151,0.020842302590608597,0.014228343963623047,0.03042319044470787,0.059571459889411926,0.05223952978849411,0.013516463339328766,0.026787765324115753
9,375.0,,,,insightface_bbox,0.7775765657424927,411.7786560058594,951.7274780273438,1721.2529296875,2653.544677734375,0,0,0,0,0,1,0,1,0,0,0,0,0.030132059007883072,0.02456928789615631,0.027605831623077393,0.019936606287956238,0.01534347329288721,0.0221053846180439,0.01473307516425848,0.030506107956171036,0.06291938573122025,0.05406367778778076,0.014953967183828354,0.028759725391864777
10,416.6666666666667,,,,insightface_bbox,0.7775765657424927,411.7786560058594,951.7274780273438,1721.2529296875,2653.544677734375,0,0,0,0,0,1,0,1,0,0,0,0,0.02789740450680256,0.021775634959340096,0.02438223734498024,0.018877971917390823,0.015499766916036606,0.021498244255781174,0.014602682553231716,0.028611868619918823,0.058793745934963226,0.05167093873023987,0.016170021146535873,0.027181264013051987
11,458.3333333333333,,,,insightface_bbox,0.7775765657424927,411.7786560058594,951.7274780273438,1721.2529296875,2653.544677734375,0,0,0,0,0,0,0,1,0,1,0,0,0.028526073321700096,0.020145457237958908,0.022844411432743073,0.017777785658836365,0.013925448060035706,0.018434559926390648,0.008771835826337337,0.04443969950079918,0.0690600723028183,0.0595567561686039,0.01071157120168209,0.0233123991638422
12,500.0,,,,insightface_bbox,0.832105278968811,383.8229675292969,937.6644287109375,1641.056396484375,2653.553466796875,0,0,0,0,0,0,0,0,0,0,0,0,0.025207966566085815,0.018911102786660194,0.02300787903368473,0.019380617886781693,0.011875452473759651,0.01279874611645937,0.00536770187318325,0.0265174712985754,0.03381232172250748,0.0361093170940876,0.004088033922016621,0.019670316949486732
13,541.6666666666666,,,,insightface_bbox,0.832105278968811,383.8229675292969,937.6644287109375,1641.056396484375,2653.553466796875,0,0,0,0,0,0,0,0,0,0,0,0,0.03144800290465355,0.019805826246738434,0.024334963411092758,0.016429275274276733,0.010030227713286877,0.010824121534824371,0.006974183022975922,0.016001924872398376,0.042188819497823715,0.03575722128152847,0.002840090077370405,0.0231982059776783
14,583.3333333333334,,,,insightface_bbox,0.832105278968811,383.8229675292969,937.6644287109375,1641.056396484375,2653.553466796875,0,0,0,0,0,0,0,0,0,0,0,0,0.03372657671570778,0.020768582820892334,0.025533214211463928,0.01953837461769581,0.013144341297447681,0.014026200398802757,0.0160335972905159,0.02395789884030819,0.0595807284116745,0.04916369542479515,0.004556507803499699,0.02822563797235489
15,625.0,,,,insightface_bbox,0.832105278968811,383.8229675292969,937.6644287109375,1641.056396484375,2653.553466796875,0,0,0,0,0,0,0,0,0,1,0,0,0.039277441799640656,0.025711137801408768,0.02283559739589691,0.02432973124086857,0.017693836241960526,0.015839386731386185,0.024536456912755966,0.024753669276833534,0.0662626251578331,0.06000477448105812,0.004257162567228079,0.03186042606830597
