frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8792022466659546,429.1269226074219,1219.16943359375,1123.3251953125,2163.8330078125,0,0,0,0,0,0,0,0,0,0,0,0,0.091814786195755,0.0797438770532608,0.15575703978538513,0.081596240401268,0.031265486031770706,0.06251455098390579,0.05584727227687836,0.2684275507926941,0.16809359192848206,0.137229323387146,0.08063945919275284,0.11208704859018326
1,41.666666666666664,,,,insightface_bbox,0.8792022466659546,429.1269226074219,1219.16943359375,1123.3251953125,2163.8330078125,0,0,0,0,0,0,0,0,0,0,0,0,0.12262915074825287,0.08628813922405243,0.21549642086029053,0.07424416393041611,0.03469521179795265,0.07690458744764328,0.04271290823817253,0.2455732524394989,0.16189603507518768,0.11969199776649475,0.14359313249588013,0.10537362843751907
2,83.33333333333333,,,,insightface_bbox,0.8792022466659546,429.1269226074219,1219.16943359375,1123.3251953125,2163.8330078125,0,0,0,0,0,0,0,0,0,0,0,0,0.1614122986793518,0.1103002205491066,0.31406256556510925,0.09130395203828812,0.0523081012070179,0.10570510476827621,0.06974634528160095,0.13632163405418396,0.19463428854942322,0.16215544939041138,0.17176881432533264,0.13180358707904816
3,125.0,,,,insightface_bbox,0.8792022466659546,429.1269226074219,1219.16943359375,1123.3251953125,2163.8330078125,0,0,0,0,0,0,0,0,0,0,0,0,0.14773140847682953,0.12720683217048645,0.2685563564300537,0.0919305607676506,0.04877149686217308,0.10911038517951965,0.07665174454450607,0.13157886266708374,0.1833890676498413,0.1489429622888565,0.2534615397453308,0.17487400770187378
4,166.66666666666666,,,,insightface_bbox,0.8792022466659546,429.1269226074219,1219.16943359375,1123.3251953125,2163.8330078125,0,0,0,0,0,0,0,0,0,0,0,0,0.1381477415561676,0.09479543566703796,0.31591087579727173,0.08328188210725784,0.05339793488383293,0.09360472857952118,0.06638377159833908,0.13471843302249908,0.20781320333480835,0.14033500850200653,0.1553976833820343,0.1272081434726715
5,208.33333333333334,,,,insightface_bbox,0.8792022466659546,429.1269226074219,1219.16943359375,1123.3251953125,2163.8330078125,0,0,0,0,0,0,0,0,0,0,0,0,0.09133417159318924,0.05977718159556389,0.22229334712028503,0.06279898434877396,0.044321510940790176,0.066824771463871,0.10284753143787384,0.11056391894817352,0.14356058835983276,0.11923428624868393,0.07016662508249283,0.13164830207824707
6,250.0,,,,insightface_bbox,0.8723679780960083,639.3660888671875,1142.2847900390625,1308.1212158203125,2068.9365234375,0,0,0,0,0,0,0,1,0,0,0,0,0.05948372930288315,0.06798288226127625,0.12441354990005493,0.06978334486484528,0.03530436381697655,0.051810480654239655,0.06393053382635117,0.2614249885082245,0.13398589193820953,0.12491306662559509,0.04394574090838432,0.08870057016611099
7,291.6666666666667,,,,insightface_bbox,0.8723679780960083,639.3660888671875,1142.2847900390625,1308.1212158203125,2068.9365234375,0,0,0,0,0,1,0,0,0,0,0,0,0.0938912034034729,0.09658727794885635,0.13480038940906525,0.07775506377220154,0.0769328624010086,0.06296443194150925,0.14133284986019135,0.2419803887605667,0.1331719160079956,0.1281546950340271,0.08048012107610703,0.12489306926727295
8,333.3333333333333,,,,insightface_bbox,0.8723679780960083,639.3660888671875,1142.2847900390625,1308.1212158203125,2068.9365234375,0,0,0,0,0,1,0,0,0,0,0,0,0.09936894476413727,0.1061551570892334,0.16760599613189697,0.08441430330276489,0.09228344261646271,0.07721449434757233,0.19336745142936707,0.28312861919403076,0.1837499439716339,0.16190962493419647,0.08700811117887497,0.11661826819181442
9,375.0,,,,insightface_bbox,0.8723679780960083,639.3660888671875,1142.2847900390625,1308.1212158203125,2068.9365234375,0,0,0,0,0,1,0,0,0,1,0,0,0.10685931891202927,0.11267851293087006,0.14607448875904083,0.07901875674724579,0.08158645033836365,0.07636065781116486,0.14421558380126953,0.4703366160392761,0.25871044397354126,0.14730770885944366,0.10434641689062119,0.10457313060760498
