frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8304269313812256,385.08929443359375,1060.0875244140625,1729.868408203125,2800.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.03003525733947754,0.02554842084646225,0.024271568283438683,0.018245920538902283,0.01381877064704895,0.016733331605792046,0.010114978067576885,0.024621441960334778,0.0444820374250412,0.03298249468207359,0.00788614246994257,0.025340653955936432
1,41.666666666666664,,,,insightface_bbox,0.8304269313812256,385.08929443359375,1060.0875244140625,1729.868408203125,2800.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.028466342017054558,0.023675216361880302,0.023025032132864,0.017477141693234444,0.013342181220650673,0.015544464811682701,0.009797819890081882,0.023564809933304787,0.04320889711380005,0.03245890513062477,0.007423600647598505,0.024282235652208328
2,83.33333333333333,,,,insightface_bbox,0.8304269313812256,385.08929443359375,1060.0875244140625,1729.868408203125,2800.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.02940371260046959,0.02401169203221798,0.022527949884533882,0.01771821454167366,0.013467911630868912,0.015657149255275726,0.00985888671129942,0.02313368394970894,0.04255436360836029,0.03216687962412834,0.00785753969103098,0.025044267997145653
3,125.0,,,,insightface_bbox,0.8304269313812256,385.08929443359375,1060.0875244140625,1729.868408203125,2800.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.028539184480905533,0.022535651922225952,0.02262050285935402,0.01722312718629837,0.013765549287199974,0.015568513423204422,0.009733331389725208,0.023053474724292755,0.04232601821422577,0.03306562080979347,0.0076259830966591835,0.024409659206867218
4,166.66666666666666,,,,insightface_bbox,0.8304269313812256,385.08929443359375,1060.0875244140625,1729.868408203125,2800.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.02859518676996231,0.02189939096570015,0.023657018318772316,0.016993258148431778,0.01410619355738163,0.016069255769252777,0.009536312893033028,0.02352428436279297,0.04314020276069641,0.034100860357284546,0.007773390039801598,0.024549605324864388
5,208.33333333333334,,,,insightface_bbox,0.8304269313812256,385.08929443359375,1060.0875244140625,1729.868408203125,2800.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.029396938160061836,0.022180257365107536,0.022311978042125702,0.01718178763985634,0.014601307921111584,0.015915950760245323,0.0098199974745512,0.022830817848443985,0.044230442494153976,0.034589190036058426,0.0077250367030501366,0.02409154176712036
6,250.0,,,,insightface_bbox,0.8318967819213867,391.52227783203125,1035.137939453125,1732.1273193359375,2830.358154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.0350404717028141,0.0260588638484478,0.025037221610546112,0.019671281799674034,0.016698528081178665,0.018386393785476685,0.012728085741400719,0.02462015673518181,0.0471593476831913,0.03785301372408867,0.01009207684546709,0.028720403090119362
7,291.6666666666667,,,,insightface_bbox,0.8318967819213867,391.52227783203125,1035.137939453125,1732.1273193359375,2830.358154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.03559950739145279,0.026149999350309372,0.024844927713274956,0.019684981554746628,0.01702744886279106,0.018454022705554962,0.012648924253880978,0.024550387635827065,0.048002805560827255,0.03828635811805725,0.010586708784103394,0.028891943395137787
8,333.3333333333333,,,,insightface_bbox,0.8318967819213867,391.52227783203125,1035.137939453125,1732.1273193359375,2830.358154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.03238885849714279,0.02405179850757122,0.025970496237277985,0.018564827740192413,0.016279200091958046,0.017773477360606194,0.012342691421508789,0.02418961003422737,0.04832328110933304,0.037406302988529205,0.009854786098003387,0.02721661888062954
9,375.0,,,,insightface_bbox,0.8318967819213867,391.52227783203125,1035.137939453125,1732.1273193359375,2830.358154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.03242797777056694,0.023678135126829147,0.02456977777183056,0.018541406840085983,0.016563953831791878,0.01769830845296383,0.012660264037549496,0.02365027368068695,0.04852856695652008,0.03826835751533508,0.01025401521474123,0.02696659415960312
10,416.6666666666667,,,,insightface_bbox,0.8318967819213867,391.52227783203125,1035.137939453125,1732.1273193359375,2830.358154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.03451414033770561,0.025653596967458725,0.030290424823760986,0.019381318241357803,0.017137372866272926,0.019378243014216423,0.013099508360028267,0.025226520374417305,0.051162488758563995,0.038150038570165634,0.010204273276031017,0.02768852934241295
11,458.3333333333333,,,,insightface_bbox,0.8318967819213867,391.52227783203125,1035.137939453125,1732.1273193359375,2830.358154296875,0,0,0,0,0,0,0,0,0,0,0,0,0.03376200795173645,0.025073528289794922,0.03003678098320961,0.01923603191971779,0.0171259343624115,0.019591305404901505,0.013215923681855202,0.025515800341963768,0.05233105644583702,0.0391131266951561,0.010249176062643528,0.027293693274259567
12,500.0,,,,insightface_bbox,0.8337810039520264,374.0372314453125,1047.274658203125,1746.255615234375,2831.86083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.030614139512181282,0.024329304695129395,0.028467530384659767,0.02004251629114151,0.016986217349767685,0.020723531022667885,0.01403498649597168,0.025398556143045425,0.05406451225280762,0.04450356960296631,0.008441682904958725,0.02390410378575325
13,541.6666666666666,,,,insightface_bbox,0.8337810039520264,374.0372314453125,1047.274658203125,1746.255615234375,2831.86083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.029752694070339203,0.023769931867718697,0.026114238426089287,0.019817203283309937,0.016975516453385353,0.02001144178211689,0.014235110953450203,0.02474832348525524,0.05332712084054947,0.04472283646464348,0.008995608426630497,0.0235360749065876
14,583.3333333333334,,,,insightface_bbox,0.8337810039520264,374.0372314453125,1047.274658203125,1746.255615234375,2831.86083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.029628172516822815,0.02368297055363655,0.026552043855190277,0.019891351461410522,0.0170900896191597,0.02013314701616764,0.01423555612564087,0.024948453530669212,0.053981930017471313,0.04458560794591904,0.008926073089241982,0.02351531945168972
15,625.0,,,,insightface_bbox,0.8337810039520264,374.0372314453125,1047.274658203125,1746.255615234375,2831.86083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03214767202734947,0.025517906993627548,0.02724524773657322,0.020673925057053566,0.01787496916949749,0.02139059640467167,0.014730876311659813,0.026006430387496948,0.05578240007162094,0.045812949538230896,0.00964138749986887,0.024949945509433746
16,666.6666666666666,,,,insightface_bbox,0.8337810039520264,374.0372314453125,1047.274658203125,1746.255615234375,2831.86083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03043658845126629,0.02476375736296177,0.02567495033144951,0.01966281794011593,0.016619278118014336,0.020831074565649033,0.013944393023848534,0.02580121159553528,0.054735325276851654,0.04554353654384613,0.00924649927765131,0.02489738166332245
17,708.3333333333334,,,,insightface_bbox,0.8337810039520264,374.0372314453125,1047.274658203125,1746.255615234375,2831.86083984375,0,0,0,0,0,0,0,0,0,0,0,0,0.03167165443301201,0.02552081272006035,0.02567657269537449,0.019875898957252502,0.017384368926286697,0.021185502409934998,0.014422359876334667,0.02594844251871109,0.05684894323348999,0.046396538615226746,0.009271172806620598,0.024834757670760155
18,750.0,,,,insightface_bbox,0.8360932469367981,377.6077880859375,1044.5323486328125,1763.947998046875,2848.166748046875,0,0,0,0,0,0,0,0,0,0,0,0,0.031116385012865067,0.02613886259496212,0.02891155146062374,0.02240278571844101,0.02033776044845581,0.021427016705274582,0.0219607874751091,0.02555609494447708,0.04900804162025452,0.04281295835971832,0.008216687478125095,0.022185366600751877
19,791.6666666666666,,,,insightface_bbox,0.8360932469367981,377.6077880859375,1044.5323486328125,1763.947998046875,2848.166748046875,0,0,0,0,0,0,0,0,0,0,0,0,0.03076796419918537,0.025710539892315865,0.02854812704026699,0.02219392918050289,0.02019418589770794,0.021186266094446182,0.021599039435386658,0.025409236550331116,0.04904899373650551,0.04277405887842178,0.00817348062992096,0.02200491912662983
20,833.3333333333334,,,,insightface_bbox,0.8360932469367981,377.6077880859375,1044.5323486328125,1763.947998046875,2848.166748046875,0,0,0,0,0,0,0,0,0,0,0,0,0.03277204558253288,0.02559830993413925,0.02777337282896042,0.021359996870160103,0.01775900088250637,0.022113390266895294,0.01674227975308895,0.029948044568300247,0.05150947719812393,0.04220949113368988,0.007621485739946365,0.023590335622429848
