frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8253623247146606,386.67034912109375,937.7415771484375,1700.3880615234375,2642.08447265625,0,0,0,0,0,0,0,0,0,0,0,0,0.026242636144161224,0.02056167460978031,0.02080424502491951,0.018696986138820648,0.010568861849606037,0.018088065087795258,0.010193193331360817,0.02734190970659256,0.04090595245361328,0.031266774982213974,0.014230981469154358,0.02915114536881447
1,41.666666666666664,,,,insightface_bbox,0.8253623247146606,386.67034912109375,937.7415771484375,1700.3880615234375,2642.08447265625,0,0,0,0,0,0,0,0,0,0,0,0,0.025967400521039963,0.01993628405034542,0.02067427895963192,0.018522480502724648,0.01085721142590046,0.01760878972709179,0.010564558207988739,0.027079487219452858,0.04225471615791321,0.03267458453774452,0.01345488429069519,0.02719944529235363
2,83.33333333333333,,,,insightface_bbox,0.8253623247146606,386.67034912109375,937.7415771484375,1700.3880615234375,2642.08447265625,0,0,0,0,0,0,0,0,0,0,0,0,0.026514891535043716,0.02004660852253437,0.02093363367021084,0.018367640674114227,0.010883614420890808,0.01753629744052887,0.010279923677444458,0.027210116386413574,0.04188250005245209,0.03276113048195839,0.013286536559462547,0.027246758341789246
3,125.0,,,,insightface_bbox,0.8253623247146606,386.67034912109375,937.7415771484375,1700.3880615234375,2642.08447265625,0,0,0,0,0,0,0,0,0,0,0,0,0.025924719870090485,0.01950494758784771,0.020329410210251808,0.01817254163324833,0.01090170256793499,0.0170751865953207,0.010229004546999931,0.027263179421424866,0.041752368211746216,0.03321193531155586,0.012951459735631943,0.026522867381572723
4,166.66666666666666,,,,insightface_bbox,0.8253623247146606,386.67034912109375,937.7415771484375,1700.3880615234375,2642.08447265625,0,0,0,0,0,0,0,0,0,0,0,0,0.026683341711759567,0.01975410059094429,0.020579978823661804,0.018293479457497597,0.011140257120132446,0.01727418415248394,0.0103888139128685,0.027156861498951912,0.041793178766965866,0.033447787165641785,0.013109087944030762,0.026859883219003677
5,208.33333333333334,,,,insightface_bbox,0.8253623247146606,386.67034912109375,937.7415771484375,1700.3880615234375,2642.08447265625,0,0,0,0,0,0,0,0,0,0,0,0,0.026532843708992004,0.01947900652885437,0.020129505544900894,0.017965955659747124,0.011095586232841015,0.016879307106137276,0.010201364755630493,0.026888933032751083,0.04185939207673073,0.03380556404590607,0.013017208315432072,0.026358116418123245
6,250.0,,,,insightface_bbox,0.8282231092453003,385.7421875,937.5928955078125,1702.3939208984375,2636.715087890625,0,0,0,0,0,0,0,0,0,0,0,0,0.02778981253504753,0.01996610313653946,0.02179979905486107,0.018104050308465958,0.01060218084603548,0.018271084874868393,0.009740077890455723,0.024519430473446846,0.03961297124624252,0.033234015107154846,0.0170045904815197,0.028188657015562057
7,291.6666666666667,,,,insightface_bbox,0.8282231092453003,385.7421875,937.5928955078125,1702.3939208984375,2636.715087890625,0,0,0,0,0,0,0,0,0,0,0,0,0.02795729786157608,0.02009456604719162,0.021859046071767807,0.018190328031778336,0.010698145255446434,0.01839020475745201,0.009858094155788422,0.02484394982457161,0.04001092165708542,0.03375468775629997,0.017084097489714622,0.02846595086157322
8,333.3333333333333,,,,insightface_bbox,0.8282231092453003,385.7421875,937.5928955078125,1702.3939208984375,2636.715087890625,0,0,0,0,0,0,0,0,0,0,0,0,0.028241299092769623,0.020058859139680862,0.022032996639609337,0.018266642466187477,0.010910741984844208,0.018438100814819336,0.009870990179479122,0.024852745234966278,0.040200892835855484,0.034336626529693604,0.017734749242663383,0.028971510007977486
9,375.0,,,,insightface_bbox,0.8282231092453003,385.7421875,937.5928955078125,1702.3939208984375,2636.715087890625,0,0,0,0,0,0,0,0,0,0,0,0,0.02753344178199768,0.019473614171147346,0.021193891763687134,0.01804058626294136,0.010691473260521889,0.017676567658782005,0.009983591735363007,0.02434432879090309,0.04104823246598244,0.03472668677568436,0.015998875722289085,0.027629390358924866
10,416.6666666666667,,,,insightface_bbox,0.8282231092453003,385.7421875,937.5928955078125,1702.3939208984375,2636.715087890625,0,0,0,0,0,0,0,0,0,0,0,0,0.02785634621977806,0.019728373736143112,0.021447189152240753,0.01814022846519947,0.010911598801612854,0.017664123326539993,0.010218316689133644,0.02464584819972515,0.04115021973848343,0.03489511460065842,0.015546217560768127,0.027440957725048065
11,458.3333333333333,,,,insightface_bbox,0.8282231092453003,385.7421875,937.5928955078125,1702.3939208984375,2636.715087890625,0,0,0,0,0,0,0,0,0,0,0,0,0.027789168059825897,0.019717808812856674,0.02117658033967018,0.018171800300478935,0.011030538938939571,0.017550569027662277,0.010298333130776882,0.025214936584234238,0.041744451969861984,0.03539338335394859,0.015572118572890759,0.027403661981225014
12,500.0,,,,insightface_bbox,0.8056945204734802,385.4756774902344,953.8756713867188,1709.6229248046875,2648.3759765625,0,0,0,0,0,0,0,0,0,0,0,0,0.025517037138342857,0.018537092953920364,0.02157912403345108,0.017352670431137085,0.009432337246835232,0.01749810017645359,0.008676428347826004,0.021734246984124184,0.03975503891706467,0.03312390670180321,0.014454005286097527,0.024895068258047104
13,541.6666666666666,,,,insightface_bbox,0.8056945204734802,385.4756774902344,953.8756713867188,1709.6229248046875,2648.3759765625,0,0,0,0,0,0,0,0,0,0,0,0,0.02751961722970009,0.019667383283376694,0.023402124643325806,0.018494289368391037,0.010698475874960423,0.018560081720352173,0.009977336972951889,0.022967278957366943,0.0406547412276268,0.03516093268990517,0.017985589802265167,0.02821003645658493
