frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7954815030097961,104.04396057128906,455.1753845214844,996.331787109375,1646.7425537109375,0,0,0,1,1,1,1,1,0,0,0,0,0.060208991169929504,0.04070095345377922,0.16020134091377258,0.04318054020404816,0.18677392601966858,0.045414671301841736,0.24985691905021667,0.036500442773103714,0.09859585016965866,0.08279767632484436,0.0747271478176117,0.047113969922065735
1,41.666666666666664,,,,insightface_bbox,0.7954815030097961,104.04396057128906,455.1753845214844,996.331787109375,1646.7425537109375,0,0,0,1,1,1,1,1,0,0,0,0,0.06095510348677635,0.04131223261356354,0.16321679949760437,0.04278932511806488,0.1813701093196869,0.04502173513174057,0.2500303089618683,0.03660517930984497,0.09548550844192505,0.08105024695396423,0.08200454711914062,0.04701166972517967
2,83.33333333333333,,,,insightface_bbox,0.7954815030097961,104.04396057128906,455.1753845214844,996.331787109375,1646.7425537109375,0,0,0,1,1,1,1,1,0,0,0,0,0.06260545551776886,0.04209660366177559,0.1744184046983719,0.04351957142353058,0.1792336404323578,0.04589969664812088,0.2454926073551178,0.03683088719844818,0.09741853177547455,0.08229327201843262,0.07847945392131805,0.04755118861794472
3,125.0,,,,insightface_bbox,0.7954815030097961,104.04396057128906,455.1753845214844,996.331787109375,1646.7425537109375,0,0,0,1,1,1,1,1,0,0,0,0,0.06214206665754318,0.04223528504371643,0.16725218296051025,0.0433344729244709,0.17538931965827942,0.044810615479946136,0.2429666370153427,0.03639041632413864,0.0958169624209404,0.08125174045562744,0.07845017313957214,0.04738546535372734
4,166.66666666666666,,,,insightface_bbox,0.7954815030097961,104.04396057128906,455.1753845214844,996.331787109375,1646.7425537109375,0,0,0,1,1,1,1,1,0,0,0,0,0.05825857073068619,0.03886468708515167,0.14824995398521423,0.041199032217264175,0.16699430346488953,0.043763890862464905,0.21184863150119781,0.03496628999710083,0.09442388266324997,0.0811152458190918,0.07115884125232697,0.04495691508054733
5,208.33333333333334,,,,insightface_bbox,0.7954815030097961,104.04396057128906,455.1753845214844,996.331787109375,1646.7425537109375,0,0,0,1,1,1,1,1,0,0,0,0,0.05856191739439964,0.03923889622092247,0.18509022891521454,0.041401900351047516,0.1611645221710205,0.04483109340071678,0.21238864958286285,0.034960463643074036,0.10171601176261902,0.08028250187635422,0.06048266589641571,0.04226932302117348
6,250.0,,,,insightface_bbox,0.7880902886390686,108.98789978027344,448.4539794921875,997.15283203125,1637.4093017578125,0,0,0,1,1,1,1,1,0,0,0,0,0.05566830933094025,0.03734787553548813,0.17157363891601562,0.04165278747677803,0.17008014023303986,0.046599455177783966,0.20728199183940887,0.0365101583302021,0.1001080870628357,0.08056088536977768,0.06947953999042511,0.041568510234355927
7,291.6666666666667,,,,insightface_bbox,0.7880902886390686,108.98789978027344,448.4539794921875,997.15283203125,1637.4093017578125,0,0,0,1,1,1,1,1,0,0,0,0,0.05672833323478699,0.0389505997300148,0.1985016167163849,0.041670121252536774,0.1642671376466751,0.04570154473185539,0.21095849573612213,0.035648200660943985,0.09552749991416931,0.07656919211149216,0.07102533429861069,0.04248844087123871
8,333.3333333333333,,,,insightface_bbox,0.7880902886390686,108.98789978027344,448.4539794921875,997.15283203125,1637.4093017578125,0,0,0,1,1,1,1,1,0,0,0,0,0.05981411784887314,0.04047628864645958,0.1978534460067749,0.045433513820171356,0.20720061659812927,0.051222290843725204,0.23697173595428467,0.03979608044028282,0.1169639378786087,0.08985044062137604,0.07220827788114548,0.04423431307077408
9,375.0,,,,insightface_bbox,0.7880902886390686,108.98789978027344,448.4539794921875,997.15283203125,1637.4093017578125,0,0,0,1,1,1,1,1,0,1,0,0,0.06407557427883148,0.04295714572072029,0.24999423325061798,0.050890833139419556,0.2399141490459442,0.05946246534585953,0.25128430128097534,0.0459417887032032,0.1557762771844864,0.10955500602722168,0.07364005595445633,0.04979696497321129
10,416.6666666666667,,,,insightface_bbox,0.7880902886390686,108.98789978027344,448.4539794921875,997.15283203125,1637.4093017578125,0,0,1,1,1,1,1,1,0,1,0,1,0.06513401865959167,0.04203289747238159,0.31714189052581787,0.05067092180252075,0.23193970322608948,0.06558354198932648,0.23367783427238464,0.0493287518620491,0.1698128581047058,0.11735047399997711,0.07349098473787308,0.0507366880774498
11,458.3333333333333,,,,insightface_bbox,0.7880902886390686,108.98789978027344,448.4539794921875,997.15283203125,1637.4093017578125,0,0,1,1,1,1,1,1,0,1,0,1,0.06830978393554688,0.04429805651307106,0.3309807777404785,0.05254872143268585,0.24444082379341125,0.06727994978427887,0.26014095544815063,0.04979701712727547,0.17065805196762085,0.12074601650238037,0.07372376322746277,0.051668159663677216
12,500.0,,,,insightface_bbox,0.8011201024055481,119.3994140625,442.3521728515625,997.0557861328125,1630.0045166015625,0,0,1,1,1,1,1,1,0,0,0,0,0.07381133735179901,0.04858127236366272,0.43851137161254883,0.05586878955364227,0.23997890949249268,0.06354882568120956,0.28783559799194336,0.04735378175973892,0.12706483900547028,0.09443359076976776,0.11001890897750854,0.0565665028989315
13,541.6666666666666,,,,insightface_bbox,0.8011201024055481,119.3994140625,442.3521728515625,997.0557861328125,1630.0045166015625,0,0,1,1,1,1,1,1,0,0,0,0,0.08083699643611908,0.052258338779211044,0.48383331298828125,0.05828153342008591,0.24840398132801056,0.06915200501680374,0.29669705033302307,0.04928326606750488,0.12697747349739075,0.09642786532640457,0.12045761942863464,0.06089199706912041
