frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8264830708503723,381.1256408691406,1073.22509765625,1746.790283203125,2816.644775390625,0,0,0,0,0,0,0,0,0,0,0,0,0.02816598489880562,0.023884044960141182,0.02699524350464344,0.02062772586941719,0.013173215091228485,0.019593678414821625,0.013301804661750793,0.025890087708830833,0.05111221596598625,0.04344070702791214,0.007081406190991402,0.021624919027090073
1,41.666666666666664,,,,insightface_bbox,0.8264830708503723,381.1256408691406,1073.22509765625,1746.790283203125,2816.644775390625,0,0,0,0,0,0,0,0,0,0,0,0,0.02862505614757538,0.02337740547955036,0.02729634754359722,0.02035357989370823,0.013695145957171917,0.019352028146386147,0.013521144166588783,0.02539943717420101,0.05026997998356819,0.04336774721741676,0.007159566041082144,0.021444939076900482
2,83.33333333333333,,,,insightface_bbox,0.8264830708503723,381.1256408691406,1073.22509765625,1746.790283203125,2816.644775390625,0,0,0,0,0,0,0,0,0,0,0,0,0.028656164184212685,0.02308766171336174,0.027359824627637863,0.02024693414568901,0.013599952682852745,0.019120529294013977,0.013399096205830574,0.025326339527964592,0.05007818341255188,0.043515823781490326,0.007222657557576895,0.02154088392853737
3,125.0,,,,insightface_bbox,0.8264830708503723,381.1256408691406,1073.22509765625,1746.790283203125,2816.644775390625,0,0,0,0,0,0,0,0,0,0,0,0,0.029517877846956253,0.023226311430335045,0.028238851577043533,0.020656006410717964,0.014851871877908707,0.019554734230041504,0.013910053297877312,0.025393906980752945,0.05016595870256424,0.04455201327800751,0.00730938371270895,0.021696947515010834
4,166.66666666666666,,,,insightface_bbox,0.8264830708503723,381.1256408691406,1073.22509765625,1746.790283203125,2816.644775390625,0,0,0,0,0,0,0,0,0,0,0,0,0.030555449426174164,0.024244897067546844,0.031074699014425278,0.021521706134080887,0.016199521720409393,0.02099132351577282,0.015482800081372261,0.02614147961139679,0.05245349928736687,0.04616866260766983,0.00775187648832798,0.022221699357032776
5,208.33333333333334,,,,insightface_bbox,0.8264830708503723,381.1256408691406,1073.22509765625,1746.790283203125,2816.644775390625,0,0,0,0,0,0,0,0,0,0,0,0,0.03144383430480957,0.025134125724434853,0.03253435343503952,0.022596055641770363,0.01664060913026333,0.02190285362303257,0.014808700419962406,0.026804693043231964,0.05307415500283241,0.0458989143371582,0.007893139496445656,0.0227044727653265
6,250.0,,,,insightface_bbox,0.8274714946746826,379.5568542480469,1058.70947265625,1739.9180908203125,2831.2275390625,0,0,0,0,0,0,0,0,0,0,0,0,0.026288235560059547,0.022059999406337738,0.02401517890393734,0.017134863883256912,0.011782223358750343,0.017119131982326508,0.010514713823795319,0.022217709571123123,0.04908028990030289,0.04055550694465637,0.00654698396101594,0.02102934569120407
7,291.6666666666667,,,,insightface_bbox,0.8274714946746826,379.5568542480469,1058.70947265625,1739.9180908203125,2831.2275390625,0,0,0,0,0,0,0,0,0,0,0,0,0.02827572077512741,0.024492358788847923,0.026430975645780563,0.01889277622103691,0.013254350982606411,0.02036115899682045,0.013193754479289055,0.023503180593252182,0.05141117051243782,0.04323382303118706,0.009533949196338654,0.02342268079519272
8,333.3333333333333,,,,insightface_bbox,0.8274714946746826,379.5568542480469,1058.70947265625,1739.9180908203125,2831.2275390625,0,0,0,0,0,0,0,0,0,0,0,0,0.027704067528247833,0.024219024926424026,0.026872459799051285,0.01873842254281044,0.0133858947083354,0.020262662321329117,0.013309157453477383,0.0230293907225132,0.05156200751662254,0.04234757646918297,0.008928661234676838,0.022464975714683533
9,375.0,,,,insightface_bbox,0.8274714946746826,379.5568542480469,1058.70947265625,1739.9180908203125,2831.2275390625,0,0,0,0,0,0,0,0,0,0,0,0,0.027692824602127075,0.023963745683431625,0.028102461248636246,0.019126852974295616,0.014480984769761562,0.0209371205419302,0.016002144664525986,0.022624462842941284,0.05279039591550827,0.04465766251087189,0.010131023824214935,0.022482123225927353
