frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8279778957366943,516.6365356445312,947.3463745117188,1848.396728515625,2660.587646484375,0,0,0,0,0,0,0,0,0,1,0,0,0.02516622468829155,0.02149820514023304,0.028423458337783813,0.01656772568821907,0.012761369347572327,0.017611492425203323,0.009158452972769737,0.026402397081255913,0.05370458588004112,0.047041699290275574,0.0044554127380251884,0.021816426888108253
1,41.666666666666664,,,,insightface_bbox,0.8279778957366943,516.6365356445312,947.3463745117188,1848.396728515625,2660.587646484375,0,0,0,0,0,0,0,0,0,0,0,0,0.024860138073563576,0.021420324221253395,0.027436885982751846,0.016193758696317673,0.012756218202412128,0.017240723595023155,0.008746236562728882,0.02583250217139721,0.05258401483297348,0.04569903761148453,0.004501378163695335,0.021817471832036972
2,83.33333333333333,,,,insightface_bbox,0.8279778957366943,516.6365356445312,947.3463745117188,1848.396728515625,2660.587646484375,0,0,0,0,0,0,0,0,0,0,0,0,0.025303222239017487,0.021639307960867882,0.027640750631690025,0.01633421890437603,0.013318642973899841,0.01731143146753311,0.008882997557520866,0.025283312425017357,0.05171412229537964,0.0439712330698967,0.005276942625641823,0.022533265873789787
3,125.0,,,,insightface_bbox,0.8279778957366943,516.6365356445312,947.3463745117188,1848.396728515625,2660.587646484375,0,0,0,0,0,0,0,0,0,0,0,0,0.025758016854524612,0.02211698144674301,0.028576862066984177,0.01686428114771843,0.014506557956337929,0.018865244463086128,0.009618230164051056,0.027413098141551018,0.053868457674980164,0.04671865701675415,0.005662168376147747,0.02272254228591919
4,166.66666666666666,,,,insightface_bbox,0.8279778957366943,516.6365356445312,947.3463745117188,1848.396728515625,2660.587646484375,0,0,0,0,0,0,0,1,0,0,0,0,0.025769995525479317,0.022142352536320686,0.027938030660152435,0.01727443002164364,0.01516864076256752,0.019307920709252357,0.010353842750191689,0.029268361628055573,0.057417385280132294,0.05111895129084587,0.005580034106969833,0.022357624024152756
5,208.33333333333334,,,,insightface_bbox,0.8279778957366943,516.6365356445312,947.3463745117188,1848.396728515625,2660.587646484375,0,0,0,0,0,1,0,1,0,0,0,0,0.02738380990922451,0.024090120568871498,0.03013160265982151,0.018534239381551743,0.01712862029671669,0.021589064970612526,0.012390832416713238,0.028527183458209038,0.0613461472094059,0.04846453294157982,0.006490575149655342,0.02304123342037201
6,250.0,,,,insightface_bbox,0.8269699811935425,484.8912048339844,954.1342163085938,1821.89111328125,2672.888916015625,0,0,0,0,0,1,0,0,0,0,0,0,0.026863183826208115,0.021600762382149696,0.026760350912809372,0.015989219769835472,0.01513112336397171,0.019067496061325073,0.010289134457707405,0.022687237709760666,0.05279509723186493,0.040816571563482285,0.0066221654415130615,0.020863976329565048
7,291.6666666666667,,,,insightface_bbox,0.8269699811935425,484.8912048339844,954.1342163085938,1821.89111328125,2672.888916015625,0,0,0,0,0,1,0,0,0,0,0,0,0.03210403397679329,0.021540503948926926,0.029141586273908615,0.01758658140897751,0.015237871557474136,0.024545995518565178,0.01655745506286621,0.02588636800646782,0.06243262439966202,0.053443294018507004,0.014079115353524685,0.02481170929968357
8,333.3333333333333,,,,insightface_bbox,0.8269699811935425,484.8912048339844,954.1342163085938,1821.89111328125,2672.888916015625,0,0,0,0,0,0,0,0,0,0,0,0,0.024359755218029022,0.019210994243621826,0.03150129318237305,0.01764722727239132,0.011197476647794247,0.013619731180369854,0.0037751297932118177,0.01725642755627632,0.036121439188718796,0.03376463055610657,0.004445664118975401,0.012831153348088264
9,375.0,,,,insightface_bbox,0.8269699811935425,484.8912048339844,954.1342163085938,1821.89111328125,2672.888916015625,0,0,0,0,0,0,0,0,0,0,0,0,0.01883613131940365,0.014115608297288418,0.021470479667186737,0.013380032032728195,0.007864845916628838,0.009800413623452187,0.00401307875290513,0.013650692068040371,0.030929051339626312,0.026036255061626434,0.0033519775606691837,0.012487891130149364
10,416.6666666666667,,,,insightface_bbox,0.8269699811935425,484.8912048339844,954.1342163085938,1821.89111328125,2672.888916015625,0,0,0,0,0,0,0,0,0,0,0,0,0.02702196314930916,0.01794649474322796,0.021507905796170235,0.016655562445521355,0.010284727439284325,0.01272672414779663,0.009110480546951294,0.01588994823396206,0.04528220370411873,0.04547629505395889,0.0038065367843955755,0.018739687278866768
11,458.3333333333333,,,,insightface_bbox,0.8269699811935425,484.8912048339844,954.1342163085938,1821.89111328125,2672.888916015625,0,0,0,0,0,0,0,0,0,0,0,0,0.027698472142219543,0.0204630047082901,0.02097368985414505,0.01852702908217907,0.011378861032426357,0.013803764246404171,0.011466956697404385,0.017863107845187187,0.04977438226342201,0.05036577582359314,0.004359984304755926,0.018417570739984512
