frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.7495191693305969,569.2180786132812,741.3565063476562,1574.9871826171875,2268.558837890625,0,0,0,0,0,0,0,0,0,0,0,0,0.04414074867963791,0.029440755024552345,0.028575344011187553,0.03647400438785553,0.011830766685307026,0.03065529838204384,0.021270964294672012,0.03166187182068825,0.09447210282087326,0.0874977633357048,0.010942564345896244,0.03107936680316925
1,41.666666666666664,,,,insightface_bbox,0.7495191693305969,569.2180786132812,741.3565063476562,1574.9871826171875,2268.558837890625,0,0,0,0,0,0,0,0,0,0,0,0,0.04523387551307678,0.029895130544900894,0.02946416847407818,0.036678194999694824,0.012065697461366653,0.03143715858459473,0.02236858941614628,0.03206978365778923,0.09646452218294144,0.08828933537006378,0.011172790080308914,0.031573764979839325
2,83.33333333333333,,,,insightface_bbox,0.7495191693305969,569.2180786132812,741.3565063476562,1574.9871826171875,2268.558837890625,0,0,0,0,0,0,0,0,0,0,0,0,0.0663084089756012,0.0398414172232151,0.0516955740749836,0.06342311203479767,0.01950443908572197,0.04919072240591049,0.03911580890417099,0.04198562353849411,0.12348571419715881,0.09775222837924957,0.0183307733386755,0.037296704947948456
3,125.0,,,,insightface_bbox,0.7495191693305969,569.2180786132812,741.3565063476562,1574.9871826171875,2268.558837890625,0,0,0,0,0,0,0,0,0,0,0,0,0.08246733248233795,0.04544096440076828,0.06505102664232254,0.06180402263998985,0.028271861374378204,0.05728519707918167,0.056224286556243896,0.04491268843412399,0.12934213876724243,0.1070643961429596,0.02200729213654995,0.039450474083423615
4,166.66666666666666,,,,insightface_bbox,0.7495191693305969,569.2180786132812,741.3565063476562,1574.9871826171875,2268.558837890625,0,0,0,0,0,0,0,0,0,0,0,0,0.07104039937257767,0.03812146931886673,0.05658271908760071,0.0424664132297039,0.034062232822179794,0.05354873090982437,0.08472353219985962,0.041499849408864975,0.11368696391582489,0.10209638625383377,0.033831845968961716,0.03834373876452446
5,208.33333333333334,,,,insightface_bbox,0.7495191693305969,569.2180786132812,741.3565063476562,1574.9871826171875,2268.558837890625,0,0,0,0,0,0,0,0,0,0,0,0,0.07184678316116333,0.038719527423381805,0.05538694187998772,0.04373988136649132,0.033625103533267975,0.0435602143406868,0.07936035096645355,0.040421780198812485,0.10140840709209442,0.09588631987571716,0.02794131636619568,0.03707335144281387
6,250.0,,,,insightface_bbox,0.7889430522918701,595.734130859375,742.102294921875,1629.8023681640625,2242.677734375,0,0,0,0,0,0,0,0,0,0,0,0,0.0791817158460617,0.04514366015791893,0.05346918851137161,0.05148041248321533,0.03450936824083328,0.05161155387759209,0.07233907282352448,0.04412493854761124,0.08465921878814697,0.10008544474840164,0.05863866209983826,0.044968754053115845
7,291.6666666666667,,,,insightface_bbox,0.7889430522918701,595.734130859375,742.102294921875,1629.8023681640625,2242.677734375,0,0,0,0,0,0,0,0,0,0,0,0,0.07729017734527588,0.04627380520105362,0.03789371997117996,0.06126726418733597,0.024875041097402573,0.03707508742809296,0.041148506104946136,0.041135273873806,0.08127124607563019,0.09201529622077942,0.031326763331890106,0.04060179740190506
8,333.3333333333333,,,,insightface_bbox,0.7889430522918701,595.734130859375,742.102294921875,1629.8023681640625,2242.677734375,0,0,0,0,0,0,0,0,0,0,0,0,0.05969151481986046,0.03716013580560684,0.03552369400858879,0.050121914595365524,0.018782010301947594,0.027788495644927025,0.021530913189053535,0.03641853481531143,0.0733359083533287,0.07499586045742035,0.01931762509047985,0.035193346440792084
9,375.0,,,,insightface_bbox,0.7889430522918701,595.734130859375,742.102294921875,1629.8023681640625,2242.677734375,0,0,0,0,0,0,0,0,0,0,0,0,0.04234828054904938,0.02305714786052704,0.030655648559331894,0.021912287920713425,0.009970060549676418,0.01852026954293251,0.012824278324842453,0.02602946199476719,0.07093068212270737,0.07078708708286285,0.012780376709997654,0.03234197199344635
