frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8348962068557739,398.7856750488281,1074.3909912109375,1725.9730224609375,2804.807373046875,0,0,0,0,0,1,0,0,0,0,0,0,0.03549603745341301,0.03304550051689148,0.036556344479322433,0.030188322067260742,0.040065087378025055,0.02535909041762352,0.048106130212545395,0.03357500955462456,0.058929912745952606,0.04309125989675522,0.02776985615491867,0.032814763486385345
1,41.666666666666664,,,,insightface_bbox,0.8348962068557739,398.7856750488281,1074.3909912109375,1725.9730224609375,2804.807373046875,0,0,0,0,0,1,0,0,0,0,0,0,0.03552545607089996,0.03271383047103882,0.03669055923819542,0.029975781217217445,0.041353609412908554,0.024802032858133316,0.05218362808227539,0.03337198868393898,0.059006549417972565,0.0433807298541069,0.025818990543484688,0.03182254359126091
2,83.33333333333333,,,,insightface_bbox,0.8348962068557739,398.7856750488281,1074.3909912109375,1725.9730224609375,2804.807373046875,0,0,0,0,0,1,0,0,0,0,0,0,0.03812564164400101,0.035144172608852386,0.040040455758571625,0.0323917418718338,0.04673159122467041,0.026535626500844955,0.05937368422746658,0.03482062742114067,0.05789065733551979,0.04336877912282944,0.030764827504754066,0.03416179493069649
3,125.0,,,,insightface_bbox,0.8348962068557739,398.7856750488281,1074.3909912109375,1725.9730224609375,2804.807373046875,0,0,0,0,0,1,0,0,0,0,0,0,0.04051854461431503,0.039956070482730865,0.046646591275930405,0.03725653141736984,0.07172302901744843,0.03161775320768356,0.08171439170837402,0.04010260850191116,0.06303538382053375,0.04699768126010895,0.045613400638103485,0.03630093112587929
4,166.66666666666666,,,,insightface_bbox,0.8348962068557739,398.7856750488281,1074.3909912109375,1725.9730224609375,2804.807373046875,0,0,0,0,0,1,0,0,0,0,0,0,0.04242980480194092,0.043715283274650574,0.051930006593465805,0.039739251136779785,0.08291719853878021,0.033548079431056976,0.10030573606491089,0.04154057055711746,0.06639114767313004,0.047069571912288666,0.044453881680965424,0.036999061703681946
5,208.33333333333334,,,,insightface_bbox,0.8348962068557739,398.7856750488281,1074.3909912109375,1725.9730224609375,2804.807373046875,0,0,0,0,0,1,0,0,0,0,0,0,0.043974101543426514,0.0442083515226841,0.05636758729815483,0.041319340467453,0.08889603614807129,0.035837333649396896,0.11265750229358673,0.041888222098350525,0.06767003238201141,0.04883025214076042,0.04921455308794975,0.03755057603120804
6,250.0,,,,insightface_bbox,0.8296025991439819,395.4527893066406,1077.133544921875,1726.6048583984375,2822.822021484375,0,0,0,0,0,1,0,0,0,0,0,0,0.04247701168060303,0.042451657354831696,0.047394637018442154,0.03719402104616165,0.06729584187269211,0.030968032777309418,0.09542741626501083,0.038303375244140625,0.06561373174190521,0.0451606847345829,0.03698185458779335,0.035305533558130264
7,291.6666666666667,,,,insightface_bbox,0.8296025991439819,395.4527893066406,1077.133544921875,1726.6048583984375,2822.822021484375,0,0,0,0,0,1,0,0,0,0,0,0,0.04368327185511589,0.04335276782512665,0.05400469899177551,0.03935515135526657,0.08411495387554169,0.03469857946038246,0.1091124415397644,0.04001559689640999,0.06912804394960403,0.047867320477962494,0.046300459653139114,0.03620601072907448
8,333.3333333333333,,,,insightface_bbox,0.8296025991439819,395.4527893066406,1077.133544921875,1726.6048583984375,2822.822021484375,0,0,0,0,0,1,0,0,0,0,0,0,0.04223969578742981,0.040938813239336014,0.0582156740128994,0.03782495856285095,0.09224247932434082,0.036198247224092484,0.12977394461631775,0.040340740233659744,0.06894835084676743,0.0505889356136322,0.05153345316648483,0.033652953803539276
9,375.0,,,,insightface_bbox,0.8296025991439819,395.4527893066406,1077.133544921875,1726.6048583984375,2822.822021484375,0,0,0,0,0,1,0,0,0,0,0,0,0.04516337066888809,0.042319878935813904,0.06570315361022949,0.03978094458580017,0.10685921460390091,0.03945083171129227,0.15635015070438385,0.04185911640524864,0.07003320753574371,0.056500352919101715,0.05945495516061783,0.033555228263139725
