frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.807395339012146,267.46978759765625,451.5642395019531,963.8790283203125,1357.3563232421875,0,0,0,1,1,1,0,1,1,1,0,0,0.07086952775716782,0.0628233551979065,0.143368661403656,0.05492290109395981,0.21979005634784698,0.05473757162690163,0.19229216873645782,0.05588091164827347,0.1275729387998581,0.0672014057636261,0.07156702876091003,0.0430842787027359
1,41.666666666666664,,,,insightface_bbox,0.807395339012146,267.46978759765625,451.5642395019531,963.8790283203125,1357.3563232421875,0,0,0,1,1,1,0,1,1,1,0,0,0.07104907929897308,0.061524271965026855,0.14295694231987,0.05392153561115265,0.19857974350452423,0.0527012012898922,0.17963595688343048,0.05548373609781265,0.12506525218486786,0.06785595417022705,0.0625428706407547,0.04218483343720436
2,83.33333333333333,,,,insightface_bbox,0.807395339012146,267.46978759765625,451.5642395019531,963.8790283203125,1357.3563232421875,0,0,0,1,1,1,0,1,1,1,0,0,0.07309882342815399,0.06265125423669815,0.14225898683071136,0.053973302245140076,0.20198680460453033,0.05224598944187164,0.18890239298343658,0.05424211174249649,0.1250053346157074,0.06678768247365952,0.06207012012600899,0.0425819531083107
3,125.0,,,,insightface_bbox,0.807395339012146,267.46978759765625,451.5642395019531,963.8790283203125,1357.3563232421875,0,0,0,1,1,1,0,1,1,1,0,0,0.07223138213157654,0.06260742992162704,0.13443809747695923,0.05434495955705643,0.20878957211971283,0.05230913311243057,0.1915701925754547,0.054780468344688416,0.12512294948101044,0.06712409853935242,0.0633208379149437,0.04190975800156593
4,166.66666666666666,,,,insightface_bbox,0.807395339012146,267.46978759765625,451.5642395019531,963.8790283203125,1357.3563232421875,0,0,0,1,1,1,0,1,1,0,0,0,0.06734663248062134,0.0575692281126976,0.11982423067092896,0.050971388816833496,0.17213106155395508,0.0483846589922905,0.1641918122768402,0.05068635568022728,0.11390145868062973,0.06201887130737305,0.060819558799266815,0.040510207414627075
5,208.33333333333334,,,,insightface_bbox,0.807395339012146,267.46978759765625,451.5642395019531,963.8790283203125,1357.3563232421875,0,0,0,1,1,1,0,1,1,1,0,0,0.06906907260417938,0.05977608263492584,0.1309199035167694,0.05261640250682831,0.209069162607193,0.05019862949848175,0.20933839678764343,0.051065705716609955,0.12463647127151489,0.06618165224790573,0.05834589898586273,0.03976559266448021
6,250.0,,,,insightface_bbox,0.7919429540634155,270.0323791503906,449.1075439453125,966.045654296875,1351.1038818359375,0,0,0,1,1,1,1,1,1,1,0,0,0.06754285842180252,0.05739498510956764,0.12135501950979233,0.05211617797613144,0.19892118871212006,0.04938274621963501,0.21307361125946045,0.05053735896945,0.12166015058755875,0.06526780128479004,0.06441778689622879,0.04158931225538254
7,291.6666666666667,,,,insightface_bbox,0.7919429540634155,270.0323791503906,449.1075439453125,966.045654296875,1351.1038818359375,0,0,0,1,1,1,1,1,0,0,0,0,0.06726295500993729,0.055907078087329865,0.11574713885784149,0.05146702751517296,0.18187902867794037,0.049093037843704224,0.2063617706298828,0.04902012273669243,0.11459566652774811,0.0641583576798439,0.0634147897362709,0.041883647441864014
8,333.3333333333333,,,,insightface_bbox,0.7919429540634155,270.0323791503906,449.1075439453125,966.045654296875,1351.1038818359375,0,0,0,1,1,1,1,1,1,0,0,0,0.07006581872701645,0.060522086918354034,0.12596429884433746,0.052345775067806244,0.19886837899684906,0.049121275544166565,0.20585818588733673,0.05009922757744789,0.11583461612462997,0.06294254958629608,0.06258898228406906,0.042034804821014404
9,375.0,,,,insightface_bbox,0.7919429540634155,270.0323791503906,449.1075439453125,966.045654296875,1351.1038818359375,0,0,0,1,1,1,1,1,1,1,0,0,0.07418768107891083,0.06609423458576202,0.14569362998008728,0.055821869522333145,0.2502797245979309,0.05431438982486725,0.24357126653194427,0.05345411226153374,0.1243705227971077,0.06755191832780838,0.06526396423578262,0.04343319684267044
