frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.8243336081504822,419.3083190917969,927.2107543945312,1710.3447265625,2606.080810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.03203035145998001,0.02507312223315239,0.020387466996908188,0.02147497609257698,0.015530203469097614,0.020232247188687325,0.014426680281758308,0.03579140082001686,0.04331689700484276,0.03157833218574524,0.009122674353420734,0.031059563159942627
1,41.666666666666664,,,,insightface_bbox,0.8243336081504822,419.3083190917969,927.2107543945312,1710.3447265625,2606.080810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.03269970044493675,0.025323983281850815,0.02106788381934166,0.02180616371333599,0.015966292470693588,0.020402295514941216,0.014670802280306816,0.03576282784342766,0.0434829480946064,0.03244964778423309,0.009657273069024086,0.03111092746257782
2,83.33333333333333,,,,insightface_bbox,0.8243336081504822,419.3083190917969,927.2107543945312,1710.3447265625,2606.080810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.033087775111198425,0.025374816730618477,0.021561920642852783,0.02170911803841591,0.01608789525926113,0.020381463691592216,0.014899799600243568,0.03477323800325394,0.04355955868959427,0.032284270972013474,0.00962935108691454,0.031317517161369324
3,125.0,,,,insightface_bbox,0.8243336081504822,419.3083190917969,927.2107543945312,1710.3447265625,2606.080810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.0325646847486496,0.02493523433804512,0.02164551243185997,0.021448686718940735,0.015957143157720566,0.020275618880987167,0.01438507717102766,0.03459376096725464,0.04346960783004761,0.03248279541730881,0.0100520895794034,0.031229712069034576
4,166.66666666666666,,,,insightface_bbox,0.8243336081504822,419.3083190917969,927.2107543945312,1710.3447265625,2606.080810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.032833281904459,0.024961987510323524,0.02168497070670128,0.02137984335422516,0.01627824828028679,0.020257946103811264,0.014400357380509377,0.03410447761416435,0.04346124827861786,0.03249043971300125,0.009780311957001686,0.031188808381557465
5,208.33333333333334,,,,insightface_bbox,0.8243336081504822,419.3083190917969,927.2107543945312,1710.3447265625,2606.080810546875,0,0,0,0,0,0,0,0,0,0,0,0,0.03299663960933685,0.025084078311920166,0.02184324897825718,0.02160375937819481,0.016502052545547485,0.02025577239692211,0.014616094529628754,0.03406594321131706,0.04387851431965828,0.03258242830634117,0.009899196214973927,0.031228531152009964
6,250.0,,,,insightface_bbox,0.8195232152938843,411.4428405761719,926.5734252929688,1701.69140625,2610.7763671875,0,0,0,0,0,0,0,0,0,0,0,0,0.03386363387107849,0.026341870427131653,0.022626172751188278,0.022705238312482834,0.017714975401759148,0.021000297740101814,0.01618090085685253,0.03432038426399231,0.045377541333436966,0.032978449016809464,0.010883515700697899,0.03325387090444565
7,291.6666666666667,,,,insightface_bbox,0.8195232152938843,411.4428405761719,926.5734252929688,1701.69140625,2610.7763671875,0,0,0,0,0,0,0,0,0,0,0,0,0.03343915939331055,0.02613367885351181,0.022796643897891045,0.02271990105509758,0.017918318510055542,0.021055683493614197,0.016581352800130844,0.034142255783081055,0.045717764645814896,0.033068474382162094,0.011078305542469025,0.033251725137233734
8,333.3333333333333,,,,insightface_bbox,0.8195232152938843,411.4428405761719,926.5734252929688,1701.69140625,2610.7763671875,0,0,0,0,0,0,0,0,0,0,0,0,0.03374520689249039,0.02645391970872879,0.023498954251408577,0.022982776165008545,0.018253179267048836,0.02138298936188221,0.016885196790099144,0.03457687422633171,0.0462489128112793,0.033349569886922836,0.011152364313602448,0.033732470124959946
9,375.0,,,,insightface_bbox,0.8195232152938843,411.4428405761719,926.5734252929688,1701.69140625,2610.7763671875,0,0,0,0,0,0,0,0,0,0,0,0,0.033698808401823044,0.02654764987528324,0.023163704201579094,0.02330193482339382,0.018790924921631813,0.02170555107295513,0.017607418820261955,0.035432785749435425,0.0464077852666378,0.034054603427648544,0.012025163508951664,0.03403693065047264
