frame_idx,frame_time_in_ms,pitch,yaw,roll,face_alignment_method,face_detection_score,face_bbox_xmin,face_bbox_ymin,face_bbox_xmax,face_bbox_ymax,au_1,au_2,au_4,au_6,au_7,au_10,au_12,au_14,au_15,au_17,au_23,au_24,au_1_intensity,au_2_intensity,au_4_intensity,au_5_intensity,au_6_intensity,au_9_intensity,au_12_intensity,au_15_intensity,au_17_intensity,au_20_intensity,au_25_intensity,au_26_intensity
0,0.0,,,,insightface_bbox,0.812000036239624,753.12890625,770.505126953125,1933.579833984375,2633.709228515625,0,0,0,0,0,1,0,0,0,0,0,0,0.07739650458097458,0.04846572503447533,0.06855250895023346,0.040190741419792175,0.06661570817232132,0.048022352159023285,0.04271924868226051,0.03874606639146805,0.04466363787651062,0.05715470761060715,0.5058249831199646,0.0971376821398735
1,41.666666666666664,,,,insightface_bbox,0.812000036239624,753.12890625,770.505126953125,1933.579833984375,2633.709228515625,0,0,0,0,0,1,0,0,0,0,0,0,0.07785290479660034,0.047949448227882385,0.06767713278532028,0.040180571377277374,0.0653211772441864,0.04800526052713394,0.04243289679288864,0.03846906125545502,0.04443170130252838,0.05726117268204689,0.5018313527107239,0.09802019596099854
2,83.33333333333333,,,,insightface_bbox,0.812000036239624,753.12890625,770.505126953125,1933.579833984375,2633.709228515625,0,0,0,0,0,1,0,0,0,0,0,0,0.07945138961076736,0.04917597398161888,0.0693412572145462,0.04106695204973221,0.06849756091833115,0.04909500479698181,0.04555186629295349,0.03918938338756561,0.04532015323638916,0.058494314551353455,0.5167955756187439,0.09971903264522552
3,125.0,,,,insightface_bbox,0.812000036239624,753.12890625,770.505126953125,1933.579833984375,2633.709228515625,0,0,0,0,0,1,0,0,0,0,0,0,0.07989297807216644,0.04921966791152954,0.0692191869020462,0.04129417985677719,0.06744799762964249,0.04888961464166641,0.044703252613544464,0.03901471197605133,0.04466266185045242,0.05821380764245987,0.5209782719612122,0.10049761086702347
4,166.66666666666666,,,,insightface_bbox,0.812000036239624,753.12890625,770.505126953125,1933.579833984375,2633.709228515625,0,0,0,0,0,1,0,0,0,0,0,0,0.07853332161903381,0.04843559116125107,0.06678004562854767,0.04011701047420502,0.06432472914457321,0.047643378376960754,0.04150030016899109,0.03817788511514664,0.04401961714029312,0.05667535588145256,0.5126663446426392,0.09970960021018982
5,208.33333333333334,,,,insightface_bbox,0.812000036239624,753.12890625,770.505126953125,1933.579833984375,2633.709228515625,0,0,0,0,0,1,0,0,0,0,0,0,0.0783015638589859,0.048319216817617416,0.06629883497953415,0.03940515220165253,0.06292225420475006,0.04692421108484268,0.03900919482111931,0.037831779569387436,0.04379863291978836,0.05543927848339081,0.489848256111145,0.09950041025876999
6,250.0,,,,insightface_bbox,0.816405713558197,751.53955078125,750.73095703125,1922.5865478515625,2618.7900390625,0,0,0,0,0,1,0,0,0,0,0,0,0.07604555785655975,0.04736335575580597,0.05814540386199951,0.038378775119781494,0.06033147871494293,0.044981759041547775,0.03926526755094528,0.038092926144599915,0.045628033578395844,0.054247744381427765,0.3742924928665161,0.09719020128250122
7,291.6666666666667,,,,insightface_bbox,0.816405713558197,751.53955078125,750.73095703125,1922.5865478515625,2618.7900390625,0,0,0,0,0,1,0,0,0,0,0,0,0.07763087004423141,0.04857391119003296,0.05928448960185051,0.038550619035959244,0.06089113652706146,0.04523182287812233,0.03735816478729248,0.03804235905408859,0.04555866867303848,0.05410563945770264,0.3593686819076538,0.09864591062068939
8,333.3333333333333,,,,insightface_bbox,0.816405713558197,751.53955078125,750.73095703125,1922.5865478515625,2618.7900390625,0,0,0,0,0,1,0,0,0,0,0,0,0.07843960076570511,0.049509551376104355,0.05956610292196274,0.03883379325270653,0.06321896612644196,0.04564756900072098,0.036056313663721085,0.03866976872086525,0.045009251683950424,0.053491443395614624,0.3682883381843567,0.0993099957704544
9,375.0,,,,insightface_bbox,0.816405713558197,751.53955078125,750.73095703125,1922.5865478515625,2618.7900390625,0,0,0,0,0,1,0,0,0,0,0,0,0.0757078006863594,0.049096375703811646,0.05921918526291847,0.03897351399064064,0.06667450070381165,0.04535895213484764,0.034953854978084564,0.03843296691775322,0.04336065798997879,0.05246877297759056,0.3854057788848877,0.09571042656898499
10,416.6666666666667,,,,insightface_bbox,0.816405713558197,751.53955078125,750.73095703125,1922.5865478515625,2618.7900390625,0,0,0,0,0,1,0,0,0,0,0,0,0.07624401152133942,0.05371210724115372,0.06066351383924484,0.04191245511174202,0.08175262063741684,0.04939325898885727,0.042923349887132645,0.04172148182988167,0.04353300482034683,0.05395352095365524,0.4254028797149658,0.09545545279979706
11,458.3333333333333,,,,insightface_bbox,0.816405713558197,751.53955078125,750.73095703125,1922.5865478515625,2618.7900390625,0,0,0,0,0,1,0,0,0,0,0,0,0.07035887986421585,0.05296579748392105,0.06008822098374367,0.0430186428129673,0.09029574692249298,0.052460238337516785,0.047046124935150146,0.042924914509058,0.04390842840075493,0.057079609483480453,0.6192522048950195,0.10041072964668274
12,500.0,,,,insightface_bbox,0.8251233100891113,703.2184448242188,786.9560546875,1885.0301513671875,2636.322998046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06928060203790665,0.048158708959817886,0.058997202664613724,0.03753892332315445,0.08372248709201813,0.04790617153048515,0.03282695263624191,0.03946486860513687,0.04260428622364998,0.05580144375562668,0.5140456557273865,0.09090171754360199
13,541.6666666666666,,,,insightface_bbox,0.8251233100891113,703.2184448242188,786.9560546875,1885.0301513671875,2636.322998046875,0,0,0,0,0,1,0,0,0,0,0,0,0.07083489000797272,0.05002789944410324,0.058061711490154266,0.039169177412986755,0.08889421075582504,0.04863011837005615,0.03603934869170189,0.03962146118283272,0.04241197928786278,0.05831766128540039,0.527230978012085,0.0974048525094986
14,583.3333333333334,,,,insightface_bbox,0.8251233100891113,703.2184448242188,786.9560546875,1885.0301513671875,2636.322998046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06386463344097137,0.048780251294374466,0.04555488005280495,0.037354450672864914,0.07325147837400436,0.04432946816086769,0.04018104821443558,0.03531244024634361,0.03994167223572731,0.05469736456871033,0.6277428865432739,0.09646334499120712
15,625.0,,,,insightface_bbox,0.8251233100891113,703.2184448242188,786.9560546875,1885.0301513671875,2636.322998046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06261827051639557,0.04832939803600311,0.04315204918384552,0.03682907670736313,0.0735224187374115,0.04384171590209007,0.040974609553813934,0.03475175425410271,0.039994820952415466,0.053201399743556976,0.6306871771812439,0.09543842077255249
16,666.6666666666666,,,,insightface_bbox,0.8251233100891113,703.2184448242188,786.9560546875,1885.0301513671875,2636.322998046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06406033784151077,0.047787539660930634,0.04415662959218025,0.03638144209980965,0.07103021442890167,0.04319276288151741,0.04039435833692551,0.03380279242992401,0.04021840542554855,0.05157198756933212,0.5962808728218079,0.0934048593044281
17,708.3333333333334,,,,insightface_bbox,0.8251233100891113,703.2184448242188,786.9560546875,1885.0301513671875,2636.322998046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06535635143518448,0.0493767075240612,0.04521133005619049,0.03717369586229324,0.07327563315629959,0.043706171214580536,0.041740112006664276,0.03431056812405586,0.04059377312660217,0.05197977274656296,0.6285479664802551,0.09599678963422775
18,750.0,,,,insightface_bbox,0.7835751175880432,666.7930297851562,760.095947265625,1839.4776611328125,2615.98046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06628864258527756,0.041653357446193695,0.04456903040409088,0.030664263293147087,0.04624086990952492,0.03869348764419556,0.0245938990265131,0.03158463165163994,0.03752367943525314,0.043947651982307434,0.2676975131034851,0.07848464697599411
19,791.6666666666666,,,,insightface_bbox,0.7835751175880432,666.7930297851562,760.095947265625,1839.4776611328125,2615.98046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06452538818120956,0.04222951456904411,0.04383521154522896,0.031060976907610893,0.05068283528089523,0.03926300257444382,0.025451403111219406,0.03196832537651062,0.03826688602566719,0.04509807005524635,0.30036234855651855,0.07825654745101929
20,833.3333333333334,,,,insightface_bbox,0.7835751175880432,666.7930297851562,760.095947265625,1839.4776611328125,2615.98046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06490402668714523,0.04257217049598694,0.04491724818944931,0.0316278338432312,0.05344709753990173,0.040149033069610596,0.026432720944285393,0.032699327915906906,0.038657836616039276,0.045506302267313004,0.33627286553382874,0.08095630258321762
21,875.0,,,,insightface_bbox,0.7835751175880432,666.7930297851562,760.095947265625,1839.4776611328125,2615.98046875,0,0,0,0,0,1,0,0,0,0,0,0,0.06324486434459686,0.042126964777708054,0.044550053775310516,0.03178565576672554,0.05316796153783798,0.03964530676603317,0.029058389365673065,0.032210253179073334,0.03793640434741974,0.045389123260974884,0.3530839681625366,0.08133605122566223
